,frame,mean_intensity,x,y,normalized_intensity,cell_id,x_microns,y_microns,x_pixels,y_pixels
0,0,108.863,60.75,101.497,0.0300590075464425,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
1,1,68.314,61.043,101.318,0.0,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
2,2,116.824,60.781,101.505,0.0359605034915269,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
3,3,117.137,60.936,101.584,0.0361925306527895,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
4,4,152.078,60.949,101.679,0.0620943231182078,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
5,5,114.196,60.854,101.52,0.0340123648979228,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
6,6,119.569,60.956,101.469,0.0379953742827914,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
7,7,104.235,60.897,101.59,0.0266282672834289,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
8,8,135.373,60.952,101.541,0.0497108926744651,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
9,9,794.706,60.888,101.645,0.5384749959228454,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
10,10,619.333,60.986,101.624,0.408470844638171,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
11,11,561.725,61.031,101.686,0.3657659861525004,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
12,12,408.196,60.878,101.66,0.2519548103011164,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
13,13,228.275,60.988,101.599,0.1185792228202049,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
14,14,1293.255,60.956,101.556,0.9080497857640588,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
15,15,920.314,60.951,101.497,0.6315883111684384,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
16,16,831.765,60.897,101.494,0.5659468635561684,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
17,17,761.451,61.004,101.537,0.5138230366647393,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
18,18,514.98,60.823,101.484,0.3311138786342273,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
19,19,236.196,60.909,101.547,0.1244510667319011,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
20,20,438.824,61.022,101.564,0.2746593722664531,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
21,21,207.686,60.923,101.619,0.103316579934469,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
22,22,181.49,60.836,101.506,0.0838974632685436,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
23,23,128.784,60.869,101.761,0.0448264614745956,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
24,24,172.745,61.121,101.559,0.0774147874690507,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
25,25,126.431,60.969,101.524,0.0430821806105353,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
26,26,151.294,60.882,101.681,0.0615131432637993,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
27,27,115.647,60.834,101.651,0.0350879924090794,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
28,28,168.431,61.035,101.526,0.0742168156681344,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
29,29,95.373,60.947,101.704,0.0200588592862755,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
30,30,155.255,60.835,101.478,0.0644494358700648,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
31,31,114.235,60.79,101.718,0.0340412756304763,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
32,32,110.667,60.87,101.578,0.0313963142522498,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
33,33,166.549,60.881,101.496,0.0728216874972201,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
34,34,155.922,61.078,101.601,0.0649438835268128,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
35,35,78.353,60.949,101.422,0.0074419190796008,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
36,36,143.137,60.923,101.633,0.0554663523551127,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
37,37,145.216,61.107,101.459,0.0570075167904639,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
38,38,125.333,60.939,101.468,0.0422682322940295,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
39,39,127.804,60.914,101.652,0.0440999866565849,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
40,40,158.431,60.845,101.441,0.066803807321087,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
41,41,189.529,61.106,101.514,0.089856780678735,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
42,42,165.255,61.121,101.465,0.0718624442171121,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
43,43,144.902,61.045,101.438,0.0567747483283666,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
44,44,114.98,60.932,101.305,0.0345935447523313,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
45,45,157.608,60.945,101.497,0.066193716734125,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
46,46,223.373,60.977,101.651,0.1149453661284822,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
47,47,570.196,60.954,101.6,0.3720455455232843,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
48,48,321.765,61.108,101.678,0.187883437856751,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
49,49,260.902,61.001,101.58,0.1427656451541164,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
50,50,621.412,60.991,101.718,0.4100120090735222,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
51,51,279.725,61.002,101.585,0.1567191507657638,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
52,52,165.608,60.802,101.586,0.0721241234117629,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
53,53,154.98,60.824,101.205,0.0642455781405209,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
54,54,106.824,61.039,101.692,0.0285474951444795,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
55,55,112.667,60.651,101.649,0.0328789159216593,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
56,56,263.098,60.963,101.436,0.144393541787128,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
57,57,1062.627,61.005,101.468,0.737085056857774,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
58,58,298.824,60.998,101.551,0.1708772554077896,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
59,59,313.686,60.914,101.403,0.1818944684131714,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
60,60,260.784,61.0,101.463,0.1426781716556212,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
61,61,553.098,60.961,101.447,0.3593707838515026,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
62,62,505.686,60.901,101.496,0.3242242286764814,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
63,63,569.882,60.804,101.505,0.3718127770611869,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
64,64,510.941,60.948,101.429,0.3281197645628548,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
65,65,790.588,60.921,101.512,0.5354223190855313,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
66,66,365.059,60.911,101.473,0.219977316194458,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
67,67,177.412,60.934,101.54,0.0808744384646177,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
68,68,155.412,60.865,101.485,0.0645658201011134,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
69,69,164.275,60.906,101.487,0.0711359693991015,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
70,70,221.608,60.859,101.669,0.1136369701552284,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
71,71,166.98,60.733,101.537,0.0731411881569778,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
72,72,146.235,60.953,101.749,0.057762902341028,3,60.94158166666666,94.38621833333332,196.58572690083403,304.47170604943693
