experiment_type,experiment_name,experiment_size,experiment_length_in_minutes,num_of_frames,frames_frequency (sec),num_of_arcos_events,community_id,additional_communities,community_size,event_cells,event_start_cell,event_end_cell,event_length_in_seconds,activated_cells,info_spread_rate (avg between 2 adjacent cells) - cells per second
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,0,[],3,[ 2  7 16],[2],[7],29.288,3,0.9046446654960012
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,1,[],3,[ 4  6 17],[4],[4],33.472,3,1.581909235119304
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,2,[],3,[ 8  9 26],[8],[26],25.104,3,0.7252787692963101
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,3,[],3,[11 23 33],[11],[23],50.208,3,0.6186862487957266
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,4,[],4,[ 8  9 19 35],[19],[9],66.944,6,0.7204192493106902
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,5,[],3,[ 2 16 18],[16],[18],50.208,3,0.6031807382193141
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,6,[],3,[20 21 22],[20],[20 21],29.288,3,1.6314179702352707
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,7,[],5,[19 25 26 27 28],[19],[27],92.048,5,0.8717925641513489
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,8,[],3,[ 7 16 18],[7],[18],41.84,3,0.7910375644265143
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,9,[],3,[19 27 30],[27 30],[27 30],25.104,3,2.522384067585435
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,10,[],6,[19 25 26 27 33 43],[26 27],[43],58.576,10,2.099165846433206
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,11,[],4,[10 22 24 34],[34],[24],62.760000000000005,4,0.7217323608462447
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,12,[],3,[ 8  9 35],[35],[9],54.392,3,0.24383355369859305
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,13,[],5,[ 7 11 18 23 39],[23],[11],83.68,5,1.601962010779954
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,14,[],5,[19 20 21 24 41],[41],[20 21],79.49600000000001,5,0.9445755127309922
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,15,[],3,[11 28 43],[11],[43],62.760000000000005,3,0.3278808443065451
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,16,[],6,[ 8  9 19 25 26 35],[35],[9],58.576,8,1.008758499902355
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,17,[],6,[11 26 27 28 30 39],[11],[39],83.68,7,1.0210108324791627
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,18,[],6,[ 8  9 19 23 33 35],[ 8 19],[33],66.944,9,1.3643702377328621
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,19,[],3,[ 5 12 14],[12],[14],71.128,3,0.6773982853445213
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,20,[],4,[11 28 29 39],[29],[11 39],54.392,4,0.3952164970509655
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,21,[],3,[ 5 12 37],[37],[5],41.84,3,0.4914191017717351
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,22,[],7,[11 25 26 28 35 41 43],[25],[43],154.808,8,0.7380274925814856
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,23,[],3,[ 7 38 42],[38],[42],54.392,3,4.597306566089809
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,24,[],3,[ 5 12 32],[12],[32],46.024,3,0.44231932500688353
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,25,[],7,[ 8  9 11 23 25 26 39],[8],[23],121.336,7,0.7092037377996211
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,26,[],4,[ 8  9 19 24],[24],[24],20.92,4,2.1277719627113743
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,27,[],12,[ 7  8  9 11 19 23 24 25 26 30 35 39],[25],[25],196.648,15,1.0541027358160744
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,28,[],3,[12 14 31],[14],[12],83.68,3,0.8540770901758467
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,29,[],4,[ 8  9 19 33],[ 8 19],[33],41.84,4,1.6397024679527947
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,30,[],8,[ 7 11 24 28 29 33 39 41],[29],[11],92.048,9,2.631629589370064
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,31,[],5,[23 25 29 30 42],[29],[30 42],62.760000000000005,5,1.54132398769507
mid_third_wild_type,sample_7,44,41.84,600,4.184,33,32,[],3,[ 8  9 19],[9],[ 8  9 19],25.104,3,1.845946514488273
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,0,[],3,[0 1 2],[0],[2],25.751,3,1.2999647612142242
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,1,[],3,[ 7  8 87],[ 7 87],[8],28.092000000000002,3,0.6811405608486926
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,2,[],6,[ 0  1  5 16 17 18],[16],[0 1],49.161,6,0.9734517831742598
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,3,[],13,[ 0  1  2  4 13 15 17 21 22 23 25 26 64],[21],[ 0 17],86.617,16,2.0129177655768564
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,4,[],3,[ 3 27 28],[27 28],[3],21.069000000000003,3,1.0058342918358627
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,5,[],4,[ 9 24 34 45],[45],[24],60.86600000000001,4,0.4678030698633488
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,6,[],10,[ 0  1  4 13 17 18 22 23 26 99],[23],[26],95.98100000000001,11,1.2997826231711453
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,7,[],5,[ 7  8 27 42 87],[8],[42],30.433000000000003,5,2.42841416015836
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,8,[],3,[12 13 17],[17],[12],32.774,3,0.5680096658490043
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,9,[],3,[30 43 44],[43],[30],32.774,3,0.5062276590907685
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,10,[],5,[24 29 45 46 85],[45],[85],37.456,6,1.2878253372606938
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,11,[],8,[ 0  1  2 15 17 18 22 25],[2],[17 18],53.843,8,1.0840985143763675
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,12,[],7,[ 4 18 21 22 25 26 35],[21],[18],56.184000000000005,7,1.7961613218621626
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,13,[],7,[  6  29  31  50  54  79 106],[29 50],[ 54 106],44.479000000000006,7,1.7631070135754032
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,14,[],3,[14 30 43],[30],[14],25.751,3,1.6322302513401281
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,15,[],6,[ 5 27 28 56 58 59],[27],[ 5 59],67.88900000000001,6,2.231292828228938
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,16,[],14,[ 0  1  2  4  5 12 13 17 18 25 62 82 83 99],[13],[99],147.483,18,1.5681169924049723
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,17,[],6,[24 45 46 55 60 61],[45 55],[60 61],56.184000000000005,6,0.7755566951796846
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,18,[],3,[33 48 84],[33],[84],30.433000000000003,4,2.6855581355872835
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,19,[],3,[32 67 68],[32],[68],28.092000000000002,3,1.5322110665097546
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,20,[],7,[24 29 37 45 55 72 73],[37],[24],39.797000000000004,9,1.8667003583157864
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,21,[],4,[15 21 22 90],[21],[90],35.115,4,0.6920183614785406
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,22,[],13,[  3  27  54  56  58  59  74  75  76  77  79  80 106],[74],[80],44.479000000000006,13,5.759193927964726
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,23,[],3,[35 68 81],[68],[35],18.728,3,0.8034999086822971
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,24,[],4,[24 29 55 85],[29],[85],39.797000000000004,4,0.328656966547005
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,25,[],9,[24 31 37 45 60 61 72 78 79],[79],[60],93.64000000000001,14,2.608732491570325
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,26,[],4,[ 0  1 17 23],[17],[23],42.138000000000005,4,1.3544754611802106
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,27,[],5,[ 5 17 28 56 87],[56],[17 87],35.115,5,5.507317324359276
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,28,[],3,[ 10  86 105],[ 10  86 105],[10],28.092000000000002,3,0.0
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,29,[],4,[ 0  1  4 22],[22],[0 1],32.774,4,0.9714569508987169
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,30,[],10,[24 27 31 42 45 54 74 75 76 87],[42],[45],93.64000000000001,11,3.2354398984363515
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,31,[],5,[ 29  30  37 104 106],[37],[30],49.161,5,2.108955144265232
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,32,[],4,[56 62 90 99],[90],[56],32.774,4,4.505307693272295
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,33,[],4,[ 4  5 17 25],[25],[25],21.069000000000003,4,2.6747771605853985
mid_third_wild_type,sample_6,108,27.311666666666667,700,2.341,57,34,[],3,[60 61 79],[79],[60 61],14.046000000000001,3,4.145747054549682
