,mean_intensity,x,y,normalized_intensity
0,70.6,64.302,25.876,0.11654818978343529
1,70.6,64.302,25.876,0.11654818978343529
2,33.4,64.482,25.873,0.055050421557282195
3,17.3,64.468,25.969,0.028434451975533147
4,20.4,64.629,25.931,0.03355926599437923
5,6.9,64.595,26.424,0.01124152752521078
6,25.1,64.35,25.41,0.041329145313274925
7,14.55,64.4925,25.802500000000002,0.023888245991072907
8,4.0,64.635,26.195,0.006447346668870888
9,14.4,64.215,25.465,0.023640271119193257
10,1.4,64.812,26.151,0.0021491155562902956
11,13.8,64.689,25.424,0.02264837163167466
12,9.5,64.178,26.113,0.01553975863779137
13,20.4,64.547,25.131,0.03355926599437923
14,3.2,64.945,25.575,0.005124814018846091
15,5.65,64.541,25.7015,0.009175070259547034
16,8.1,64.137,25.828,0.013225326500247976
17,8.8,64.226,26.054,0.014382542569019675
18,17.6,64.783,25.582,0.028930401719292446
19,1.6,64.558,25.73,0.0024797487187964953
20,15.2,64.545,25.418,0.024962803769218053
21,13.7,64.447,25.675,0.022483055050421558
22,13.4,64.034,25.584,0.02198710530666226
23,9.7,64.788,25.69,0.01587039180029757
24,30.1,64.248,25.757,0.049594974375929905
25,1.2,64.583,26.298,0.0018184823937840964
26,12.1,64.269,25.926,0.019837989750371963
27,4.4,64.311,26.047,0.0071086129938832876
28,11.9,64.419,26.351,0.019507356587865766
29,9.8,64.657,25.274,0.016035708381550672
30,0.7,64.325,24.955,0.000991899487518598
31,5.5,64.297,26.195,0.008927095387667384
32,4.8,64.635,26.505,0.007769879318895685
33,7.9,64.6,25.23,0.012894693337741778
34,11.5,64.015,25.454,0.018846090262853367
35,17.6,64.903,25.985,0.028930401719292446
36,20.6,64.757,26.195,0.033889899156885436
37,2.0,64.945,25.885,0.003141015043808894
38,2.2,64.945,25.265,0.003471648206315094
39,8.8,64.378,25.864,0.014382542569019675
40,0.1,64.635,26.505,0.0
41,17.4,64.699,25.595,0.028599768556786243
42,11.5,64.61449999999999,25.7595,0.018846090262853367
43,11.5,64.61449999999999,25.7595,0.018846090262853367
44,5.6,64.53,25.924,0.009092411968920484
45,10.6,64.635,25.628,0.017358241031575468
46,3.9,64.635,26.505,0.006282030087617788
47,1.1,64.015,25.575,0.001653165812530997
48,21.4,64.054,25.465,0.03521243180691023
49,1.9,64.407,25.869,0.002975698462555794
50,5.7,64.347,25.015,0.009257728550173584
51,10.3,64.259,26.075,0.01686229128781617
52,7.9,64.631,26.324,0.012894693337741778
53,4.4,64.121,25.892,0.0071086129938832876
54,4.7,64.068,25.5785,0.007604562737642586
55,4.7,64.068,25.5785,0.007604562737642586
56,5.0,64.015,25.265,0.008100512481401886
57,4.8,64.25399999999999,25.312,0.007769879318895685
58,4.6,64.493,25.359,0.0074392461563894865
59,14.5,64.601,25.265,0.023805587700446357
60,17.0,64.498,26.024,0.027938502231773847
61,11.9,64.635,25.265,0.019507356587865766
62,8.9,64.698,25.328,0.014547859150272775
63,10.5,64.242,26.174,0.017192924450322368
64,20.1,64.765,25.774,0.03306331625061994
65,5.9,64.336,26.494,0.009588361712679783
66,12.6,64.672,26.02,0.020664572656637462
67,11.2,64.3,25.816,0.018350140519094064
68,13.7,64.323,25.116,0.022483055050421558
69,20.4,64.176,25.826,0.03355926599437923
70,17.7,64.248,25.675,0.029095718300545543
71,16.6,64.402,25.937,0.027277235906761448
72,5.8,64.598,25.03,0.009423045131426683
73,3.4,64.015,26.195,0.0054554471813522895
74,7.0,64.13,26.137,0.011406844106463879
75,4.1,64.015,25.575,0.006612663250123987
76,13.0,64.025,25.585,0.021325838981649862
77,5.2,64.027,26.189,0.008431145643908086
78,18.0,64.508,25.885,0.029591668044304843
79,25.9,64.325,25.6,0.04265167796329972
80,13.4,64.381,25.846,0.02198710530666226
81,18.1,64.40950000000001,25.759999999999998,0.029756984625557946
82,22.8,64.438,25.674,0.03752686394445363
83,10.7,64.939,25.891,0.017523557612828568
84,17.4,64.744,25.969,0.028599768556786243
85,13.8,64.323,25.766,0.02264837163167466
86,41.4,64.452,25.972,0.06827574805753017
87,27.7,64.635,26.41,0.045627376425855515
88,6.5,64.587,26.2,0.010580261200198381
89,20.8,64.514,25.718,0.034220532319391636
90,6.4,64.591,25.439,0.010414944618945281
91,6.7,64.635,26.505,0.01091089436270458
92,1.4,64.325,25.575,0.0021491155562902956
93,27.5,64.583,26.305,0.045296743263349315
94,3.9,64.015,26.195,0.006282030087617788
95,12.7,64.391,25.924,0.020829889237890562
96,9.7,64.635,26.275,0.01587039180029757
97,35.2,64.29,25.387,0.05802612001983799
98,26.5,64.626,26.353,0.043643577450818316
99,25.5,64.255,26.1,0.04199041163828732
100,24.9,64.553,26.373,0.04099851215076872
101,22.1,64.544,26.000500000000002,0.036369647875681935
102,19.3,64.535,25.628,0.03174078360059514
103,6.9,64.298,25.562,0.01124152752521078
104,2.4,64.325,26.505,0.0038022813688212928
105,24.1,64.53,26.488,0.039675979500743926
106,13.8,64.392,25.227,0.02264837163167466
107,3.2,64.945,25.575,0.005124814018846091
108,16.0,64.319,26.338,0.02628533641924285
109,5.4,64.635,25.661,0.008761778806414286
110,1.7,64.015,25.265,0.002645065300049595
111,2.3,64.15,25.669,0.003636964787568193
112,13.7,64.402,26.274,0.022483055050421558
113,3.3,64.635,25.575,0.00529013060009919
114,4.4,64.607,26.449,0.0071086129938832876
115,1.8,64.377,25.782,0.0028103818813026947
116,5.1,64.714,26.268,0.008265829062654984
117,6.5,64.244,25.623,0.010580261200198381
118,16.4,64.274,25.498,0.026946602744255244
119,15.1,64.253,25.879,0.024797487187964953
120,3.5,64.945,26.195,0.005620763762605389
121,17.3,64.762,25.828,0.028434451975533147
122,33.7,64.362,26.092,0.0555463713010415
123,39.9,64.205,26.202,0.06579599933873367
124,1.3,64.945,26.195,0.001983798975037196
125,6.4,64.853,25.759,0.010414944618945281
126,24.1,64.258,26.042,0.039675979500743926
127,11.5,64.403,25.694,0.018846090262853367
128,24.7,64.216,26.113,0.04066787898826252
129,11.2,64.325,24.999,0.018350140519094064
130,1.2,64.299,26.402,0.0018184823937840964
131,10.2,64.553,26.274,0.01669697470656307
132,15.2,64.156,25.734,0.024962803769218053
133,23.7,64.401,26.083,0.039014713175731526
134,6.1,64.462,25.794,0.009918994875185981
135,7.8,64.114,26.278,0.012729376756488676
136,18.4,64.91,25.449,0.03025293436931724
137,13.2,64.327,26.134,0.021656472144156058
138,20.4,64.501,25.681,0.03355926599437923
139,16.2,64.371,25.185,0.026615969581749048
140,9.8,64.765,26.138,0.016035708381550672
141,20.9,64.245,25.965,0.03438584890064473
142,3.2,64.829,25.992,0.005124814018846091
143,23.2,64.306,25.938,0.03818813026946603
144,10.4,64.659,26.237,0.017027607869069268
145,33.5,64.244,25.42,0.055215738138535295
146,21.1,64.403,25.892,0.034716482063150936
147,21.3,64.4245,25.7665,0.035047115225657136
148,21.5,64.446,25.641,0.03537774838816333
149,0.9,64.635,26.505,0.0013225326500247976
150,1.5,64.8,26.174,0.0023144321375433955
151,22.8,64.613,25.145,0.03752686394445363
152,6.4,64.504,25.967,0.010414944618945281
153,18.8,64.444,25.694,0.03091420069432964
154,3.3,64.231,26.411,0.00529013060009919
155,16.0,64.635,26.505,0.02628533641924285
156,22.9,64.362,26.028,0.03769218052570673
157,21.0,64.731,26.055,0.034551165481897836
158,8.7,64.361,25.026,0.014217225987766573
159,22.8,64.916,26.081,0.03752686394445363
160,17.4,64.523,25.445,0.028599768556786243
161,6.8,64.015,25.265,0.011076210943957679
162,5.8,64.56,25.131,0.009423045131426683
163,6.6,64.635,26.505,0.010745577781451479
164,3.3,64.776,26.11,0.00529013060009919
165,31.8,64.758,25.901,0.0524053562572326
166,5.5,64.325,25.913,0.008927095387667384
167,25.4,64.242,25.865,0.04182509505703422
168,9.4,64.622,26.205,0.015374442056538273
169,35.2,64.347,25.843,0.05802612001983799
170,39.7,64.308,25.569,0.06546536617622747
171,15.0,64.538,24.955,0.024632170606711856
172,3.6,64.273,26.143,0.005786080343858489
173,1.8,64.893,26.143,0.0028103818813026947
174,84.0,64.546,25.829,0.13870061167135064
175,19.3,64.807,25.342,0.03174078360059514
176,8.6,64.902,25.972,0.014051909406513474
177,29.4,64.529,26.195,0.048437758307158206
178,34.9,64.362,26.436,0.057530170276078686
179,8.7,64.072,25.375,0.014217225987766573
180,10.1,64.043,25.237,0.01653165812530997
181,45.3,64.586,25.388,0.07472309472640105
182,104.8,64.458,26.164,0.1730864605719954
183,36.8,64.678,25.927,0.06067118531988758
184,25.8,64.503,26.075,0.04248636138204662
185,21.7,64.466,26.372,0.03570838155066953
186,8.6,64.822,25.867,0.014051909406513474
187,17.5,64.577,26.36,0.028765085138039343
188,9.6,64.758,26.179,0.015705075219044472
189,7.0,64.644,25.894,0.011406844106463879
190,17.3,64.443,25.794,0.028434451975533147
191,39.4,64.306,26.197,0.06496941643246817
192,11.9,64.359,25.374,0.019507356587865766
193,25.5,64.309,26.077,0.04199041163828732
194,15.2,64.233,26.248,0.024962803769218053
195,0.1,64.015,26.195,0.0
196,16.3,64.631,25.592,0.026781286163002148
197,34.7,64.236,25.994,0.05719953711357249
198,16.1,64.945,25.885,0.02645065300049595
199,20.6,64.479,25.686,0.033889899156885436
200,17.2,64.46,25.791,0.028269135394280043
201,9.4,64.45,25.278,0.015374442056538273
202,41.0,64.482,25.983,0.06761448173251777
203,57.2,64.399,25.933,0.09439576789551993
204,15.2,64.851,25.728,0.024962803769218053
205,3.7,64.61,25.826,0.005951396925111589
206,6.5,64.23,25.98,0.010580261200198381
207,24.6,64.307,25.666,0.040502562407009425
208,3.4,64.234,25.885,0.0054554471813522895
209,9.9,64.363,25.716,0.016201024962803772
210,5.65,64.499,25.579,0.009175070259547034
211,1.4,64.635,25.442,0.0021491155562902956
212,5.6,64.037,25.658,0.009092411968920484
213,6.3,64.502,25.132,0.010249628037692181
214,33.9,64.083,25.84,0.055877004463547694
215,5.4,64.756,26.006,0.008761778806414286
216,27.0,64.216,25.647,0.044470160357083816
217,30.0,64.403,25.69,0.049429657794676805
218,4.4,64.55,26.28,0.0071086129938832876
219,18.5,64.789,25.474,0.030418250950570342
220,15.1,64.341,25.483,0.024797487187964953
221,32.4,64.331,25.652,0.053397255744751196
222,3.7,64.283,25.458,0.005951396925111589
223,5.2,64.337,25.861,0.008431145643908086
224,14.1,64.587,25.197,0.023144321375433957
225,48.1,64.366,25.708,0.07935195900148785
226,23.6,64.707,25.922,0.038849396594478426
227,2.4,64.015,25.265,0.0038022813688212928
228,0.5,64.635,24.955,0.0006612663250123988
229,36.2,64.372,25.435,0.05967928583236899
230,20.0,64.128,25.673,0.03289799966936684
231,36.9,64.658,25.997,0.060836501901140684
232,0.7,64.945,25.575,0.000991899487518598
233,38.0,64.388,25.402,0.06265498429492478
234,25.1,64.609,25.514,0.041329145313274925
235,18.4,64.573,25.521,0.03025293436931724
236,37.3,64.803,25.575,0.06149776822615308
237,15.1,64.738,25.908,0.024797487187964953
238,49.8,64.625,25.631,0.08216234088279054
239,16.5,64.509,26.178,0.027111919325508348
240,31.0,64.146,25.634,0.051082823607207804
241,11.1,64.789,26.078,0.018184823937840967
242,13.2,64.367,25.737,0.021656472144156058
243,11.5,64.241,25.648,0.018846090262853367
244,6.5,64.172,25.58,0.010580261200198381
245,2.2,64.325,26.082,0.003471648206315094
246,9.2,64.352,25.447,0.015043808894032071
247,14.4,64.719,25.769,0.023640271119193257
248,42.5,64.248,26.091,0.07009423045131427
249,32.9,64.325,25.679,0.054223838651016695
250,24.7,64.547,26.18,0.04066787898826252
251,1.8,64.566,25.403,0.0028103818813026947
252,31.2,64.407,26.235,0.051413456769714004
253,4.3,64.224,25.582,0.006943296412630188
254,32.0,64.066,25.652,0.052735989419738796
255,19.8,64.732,25.634,0.03256736650686064
256,11.5,64.462,26.168,0.018846090262853367
257,14.3,64.589,26.149,0.023474954537940157
258,52.1,64.439,25.676,0.08596462225161183
259,18.8,64.548,25.89,0.03091420069432964
260,12.1,64.23,25.844,0.019837989750371963
261,31.2,64.221,26.036,0.051413456769714004
262,9.5,64.1,25.673,0.01553975863779137
263,16.9,64.635,26.503,0.027773185650520744
264,20.0,64.646,25.787,0.03289799966936684
265,9.2,64.413,25.329,0.015043808894032071
266,37.7,64.406,25.98,0.06215903455116548
267,15.2,64.551,25.918,0.024962803769218053
268,41.9,64.401,25.55,0.06910233096379567
269,15.6,64.466,25.859,0.025624070094230452
270,25.5,64.413,25.663,0.04199041163828732
271,17.7,64.651,25.642,0.029095718300545543
272,30.1,64.697,25.887,0.049594974375929905
273,44.4,64.648,26.053,0.07323524549512316
274,12.7,64.459,25.673,0.020829889237890562
275,25.8,64.338,26.065,0.04248636138204662
276,11.6,64.945,26.088,0.019011406844106463
277,26.7,64.155,25.976,0.043974210613324516
278,35.0,64.535,25.742,0.05769548685733179
279,23.0,64.46,25.66,0.03785749710695983
280,13.3,64.211,25.58,0.02182178872540916
281,42.8,64.451,25.977,0.07059018019507356
282,31.3,64.198,25.694,0.051578773350967104
283,10.7,64.47,26.01,0.017523557612828568
284,19.3,64.765,25.871,0.03174078360059514
285,21.2,64.587,25.619,0.03488179864440403
286,33.2,64.052,25.535,0.054719788394776
287,16.9,64.321,26.123,0.027773185650520744
288,23.7,64.362,25.97,0.039014713175731526
289,8.1,64.635,25.885,0.013225326500247976
290,45.5,64.668,25.829,0.07505372788890725
291,32.5,64.658,25.69,0.053562572326004296
292,8.7,64.343,25.903,0.014217225987766573
293,7.2,64.497,25.506,0.011737477268970078
294,5.3,64.664,25.938,0.008596462225161184
295,3.6,64.833,25.859,0.005786080343858489
296,11.6,64.133,25.65,0.019011406844106463
297,10.8,64.75,25.98,0.017688874194081668
298,36.1,64.639,25.456,0.05951396925111589
299,18.7,64.393,26.018,0.03074888411307654
300,9.7,64.734,26.061,0.01587039180029757
301,16.2,64.43,26.078,0.026615969581749048
302,2.1,64.015,25.265,0.003306331625061994
303,8.2,64.325,25.499,0.013390643081501074
304,5.9,64.341,25.543,0.009588361712679783
305,9.5,64.21449999999999,25.404,0.01553975863779137
306,13.1,64.088,25.265,0.021491155562902958
307,16.5,64.616,25.047,0.027111919325508348
308,11.6,64.635,24.955,0.019011406844106463
309,16.6,64.235,25.693,0.027277235906761448
310,33.3,64.378,26.118,0.05488510497602909
311,21.5,64.262,25.47,0.03537774838816333
312,20.9,64.448,26.11,0.03438584890064473
313,9.4,64.506,25.575,0.015374442056538273
314,6.0,64.211,25.668,0.009753678293932883
315,14.6,64.705,25.643,0.023970904281699457
316,10.6,64.483,25.903,0.017358241031575468
317,13.8,64.509,26.028,0.02264837163167466
318,17.0,64.535,26.153,0.027938502231773847
319,22.1,64.521,25.517,0.036369647875681935
320,41.2,64.365,25.732,0.06794511489502397
321,33.4,64.512,25.73,0.055050421557282195
322,13.1,64.865,25.556,0.021491155562902958
323,13.4,64.357,25.418,0.02198710530666226
324,11.5,64.082,26.109,0.018846090262853367
325,8.0,64.778,25.761,0.013060009918994876
326,9.0,64.945,25.947,0.014713175731525873
327,14.0,64.318,26.073,0.022979004794180857
328,23.5,64.413,25.323,0.038684080013225326
329,6.6,64.494,26.505,0.010745577781451479
330,6.4,64.325,24.955,0.010414944618945281
331,23.9,64.421,26.048,0.03934534633823772
332,11.4,64.178,25.409,0.018680773681600267
333,13.3,64.504,26.134,0.02182178872540916
334,38.5,64.259,26.141,0.06348156720119028
335,23.1,64.685,25.566,0.03802281368821293
336,105.6,64.552,25.455,0.17440899322202016
337,379.6,64.492,25.77,0.6273764258555133
338,56.6,64.536,25.887,0.09340386840800133
339,20.7,64.53,25.764,0.034055215738138536
340,15.7,64.246,25.348,0.025789386675483552
341,30.6,64.291,25.819,0.050421557282195405
342,4.2,64.487,25.789,0.006777979831377089
343,7.2,64.635,26.143,0.011737477268970078
344,23.7,64.393,25.769,0.039014713175731526
345,29.9,64.882,26.004,0.049264341213423705
346,29.85,64.767,25.9405,0.049181682922797156
347,29.8,64.652,25.877,0.049099024632170606
348,1.2,64.325,25.885,0.0018184823937840964
349,41.6,64.43,26.068,0.06860638122003637
350,32.0,64.1,25.406,0.052735989419738796
351,49.0,64.527,26.002,0.08083980823276575
352,21.7,64.922,25.849,0.03570838155066953
353,40.3,64.389,25.511,0.06645726566374607
354,18.7,64.423,25.295,0.03074888411307654
355,32.7,64.389,25.721,0.0538932054885105
356,18.7,64.31,25.86,0.03074888411307654
