,mean_intensity,x,y,normalized_intensity
0,155.0,94.826,85.93,0.06898831440449876
1,92.059,94.982,86.01,0.03336210629392003
2,97.235,94.965,85.987,0.03629185404467638
3,96.176,94.824,86.28,0.035692433088715995
4,78.118,94.75,86.076,0.025471145437410313
5,109.294,94.939,86.022,0.043117554996448176
6,82.294,94.784,86.116,0.027834867734001994
7,69.471,94.851,86.099,0.020576723335248386
8,68.353,95.093,86.063,0.019943906877492274
9,94.706,94.86,86.05,0.03486037567109393
10,62.941,95.026,85.884,0.016880577119553066
11,57.0,94.595,85.954,0.013517819896360738
12,77.353,94.774,86.013,0.02503813596497434
13,91.765,95.033,85.815,0.033195694810395616
14,100.706,95.006,85.953,0.038256528396081964
15,59.0,94.815,86.092,0.014649870804690084
16,83.294,94.897,86.133,0.028400893188166666
17,67.706,94.787,86.253,0.019577688408647737
18,122.176,94.88,85.842,0.05040909489699751
19,80.588,95.098,86.047,0.02686922830919706
20,54.118,95.031,85.98,0.011886534537458148
21,87.647,95.023,86.099,0.030864801990145498
22,56.059,94.825,85.665,0.012985189943991778
23,100.882,94.719,85.909,0.038356148876014955
24,163.412,94.893,85.887,0.073749720524932
25,1650.823,94.854,86.038,0.9156622073294636
26,1375.823,94.833,86.077,0.7600052074341783
27,429.176,94.89,86.015,0.22417890932555234
28,122.765,94.79,86.108,0.0507424838895005
29,79.706,94.897,85.858,0.02636999385862382
30,108.647,94.836,86.034,0.04275133652760364
31,74.941,94.791,86.128,0.02367288256952915
32,107.647,94.935,85.939,0.042185311073438966
33,81.471,94.852,86.022,0.02736902878522447
34,75.294,94.869,85.957,0.023872689554849277
35,135.765,95.011,85.826,0.05810081479364126
36,125.647,95.041,85.907,0.0523737692484031
37,104.529,94.756,85.891,0.040420443707353516
38,89.294,94.779,85.68,0.03179704591315471
39,65.706,94.854,85.725,0.018445637500318388
40,69.412,94.924,86.143,0.02054332783345267
41,102.471,94.996,86.046,0.039255563322682624
42,74.529,94.943,85.978,0.0234396800824133
43,83.353,94.724,86.099,0.02843428868996238
44,156.294,94.826,85.88,0.06972075134218786
45,97.353,94.924,85.956,0.03635864504826781
46,62.059,94.814,85.91,0.01638134266897982
47,112.471,94.836,86.046,0.04491581786432936
48,65.0,94.731,86.063,0.018046023529678126
49,111.235,94.629,85.9,0.04421621040298181
50,107.941,94.897,85.929,0.042351722556963387
51,82.0,94.942,85.954,0.02766845625047758
52,86.824,94.931,86.132,0.030398963041367966
53,608.235,94.851,85.973,0.32553086112282464
54,1124.647,94.842,86.05,0.6178331979589121
55,366.765,94.879,86.086,0.1888526947056809
56,90.353,95.056,86.308,0.0323964668691151
57,89.471,94.899,86.143,0.03189723241854186
58,69.353,94.749,86.174,0.02050993233165695
59,78.176,94.943,85.825,0.025503974913751868
60,117.588,94.788,85.867,0.04781217011328999
61,126.471,94.991,85.794,0.05284017422263479
62,100.118,95.223,85.96,0.03792370542903314
63,125.294,94.791,85.952,0.05217396226308296
64,69.471,95.171,85.916,0.020576723335248386
65,116.294,94.839,86.155,0.047079733175600894
66,72.353,94.932,85.674,0.02220800869415097
67,64.471,94.792,85.812,0.017746596064425017
68,92.235,94.876,86.228,0.033461726773853014
69,113.294,94.738,85.947,0.04538165681310687
70,99.824,94.935,85.848,0.03775729394550872
71,60.706,94.679,85.852,0.01561551022949502
72,69.824,94.785,85.802,0.02077653032056851
73,53.235,94.864,85.834,0.01138673406143074
74,98.824,94.76,86.121,0.03719126849134405
75,81.588,94.98,86.196,0.02743525376336173
76,84.824,94.952,86.009,0.029266912133038617
77,76.235,94.82,86.016,0.024405319507218234
78,82.0,94.802,86.085,0.02766845625047758
79,86.353,94.786,86.25,0.0301323650524564
80,131.765,94.622,85.853,0.05583671297698257
