,mean_intensity,x,y,normalized_intensity
0,78.75,44.66,130.878,0.18097447795823665
1,171.5,44.856,130.712,0.3961716937354988
2,103.25,44.739,130.817,0.23781902552204176
3,86.0,44.843,130.86,0.19779582366589327
4,173.25,44.689,130.701,0.40023201856148494
5,69.5,44.813,130.904,0.15951276102088166
6,13.75,44.795,130.981,0.030162412993039442
7,5.25,44.647,130.754,0.010440835266821345
8,51.75,44.719,130.884,0.11832946635730858
9,42.25,44.755,130.803,0.0962877030162413
10,84.75,44.802,130.835,0.19489559164733178
11,81.0,44.879,130.995,0.18619489559164734
12,96.75,44.75,130.658,0.22273781902552203
13,42.5,44.779,130.807,0.0968677494199536
14,41.0,44.778,130.459,0.09338747099767981
15,59.25,44.909,130.742,0.1357308584686775
16,62.25,44.937,130.9,0.14269141531322505
17,78.5,44.877,130.804,0.18039443155452436
18,48.0,44.598,130.841,0.10962877030162413
19,25.75,44.744,130.665,0.058004640371229696
20,56.75,44.855,130.415,0.12993039443155452
21,71.0,45.08,130.723,0.16299303944315546
22,47.5,44.658,130.828,0.10846867749419954
23,76.0,44.8,130.817,0.1745939675174014
24,54.5,44.583,130.784,0.12470997679814386
25,96.75,45.035,131.001,0.22273781902552203
26,76.5,44.714,130.789,0.175754060324826
27,48.75,44.959,130.716,0.11136890951276102
28,24.5,44.76,130.937,0.055104408352668215
29,41.5,44.847,130.9,0.09454756380510441
30,87.0,44.754,130.767,0.20011600928074247
31,169.25,44.806,130.709,0.3909512761020882
32,48.5,44.886,130.739,0.11078886310904873
33,71.75,44.889,130.848,0.16473317865429235
34,61.25,44.757,130.751,0.14037122969837587
35,95.5,44.963,130.876,0.21983758700696054
36,60.5,44.967,130.832,0.13863109048723898
37,46.25,44.818,130.849,0.10556844547563805
38,110.75,44.773,130.904,0.2552204176334107
39,150.75,44.616,130.752,0.3480278422273782
40,65.25,44.746,130.694,0.14965197215777262
41,65.75,44.681,130.709,0.15081206496519722
42,56.75,44.765,130.791,0.12993039443155452
43,25.25,44.666,130.837,0.0568445475638051
44,112.75,44.728,130.895,0.25986078886310904
45,29.5,44.566,130.594,0.06670533642691415
46,37.0,44.808,130.782,0.08410672853828306
47,33.0,44.802,130.724,0.07482598607888631
48,26.0,44.899,130.743,0.058584686774941996
49,83.75,44.835,130.725,0.1925754060324826
50,105.25,44.763,130.722,0.24245939675174014
51,49.25,44.646,130.665,0.11252900232018562
52,89.0,44.815,130.806,0.20475638051044084
53,60.0,44.844,130.846,0.13747099767981438
54,35.25,44.709,130.812,0.08004640371229699
55,47.25,44.998,130.85,0.10788863109048724
56,100.75,44.697,130.714,0.23201856148491878
57,15.75,44.613,130.798,0.03480278422273782
58,138.0,44.785,130.996,0.31844547563805103
59,33.75,44.804,130.642,0.0765661252900232
60,99.0,44.977,130.786,0.22795823665893272
61,6.25,44.795,130.975,0.012761020881670533
62,44.75,44.57,130.935,0.10208816705336426
63,60.75,44.812,130.789,0.13921113689095127
64,52.75,44.795,130.719,0.12064965197215777
65,65.0,44.759,130.652,0.14907192575406034
66,54.25,44.774,130.701,0.12412993039443156
67,55.75,44.763,130.814,0.12761020881670534
68,108.75,44.811,130.694,0.2505800464037123
69,45.0,44.812,130.88,0.10266821345707657
70,23.75,44.965,130.959,0.05336426914153132
71,12.5,44.665,130.56,0.027262180974477957
72,50.75,44.555,131.022,0.11600928074245939
73,40.5,44.738,130.631,0.09222737819025523
74,41.5,44.791,130.869,0.09454756380510441
75,172.25,44.707,130.685,0.39791183294663574
76,74.0,44.664,130.871,0.169953596287703
77,63.0,44.897,130.649,0.14443155452436196
78,129.0,44.792,130.77,0.29756380510440833
79,66.25,44.789,130.719,0.1519721577726218
80,26.75,44.789,130.871,0.060324825986078884
81,58.5,44.726,130.759,0.1339907192575406
82,52.0,44.808,130.701,0.11890951276102088
83,53.0,44.737,130.656,0.12122969837587007
84,49.75,44.694,130.959,0.1136890951276102
85,29.75,44.738,130.597,0.06728538283062645
86,76.25,44.731,130.984,0.1751740139211137
87,55.0,44.619,130.689,0.12587006960556846
88,117.75,44.855,130.823,0.271461716937355
89,71.5,44.912,131.126,0.16415313225058004
90,54.25,44.954,130.614,0.12412993039443156
91,75.0,44.818,130.811,0.17227378190255221
92,67.75,44.673,130.616,0.1554524361948956
93,62.0,44.714,130.843,0.14211136890951276
94,50.0,44.716,130.87,0.1142691415313225
95,22.0,45.052,130.654,0.049303944315545245
96,82.75,44.699,130.762,0.1902552204176334
97,84.0,44.913,130.643,0.1931554524361949
98,72.0,44.695,130.876,0.16531322505800464
99,31.75,44.788,130.763,0.07192575406032482
100,85.25,44.724,130.698,0.19605568445475638
101,50.25,44.556,130.975,0.1148491879350348
102,65.25,44.694,130.707,0.14965197215777262
103,74.25,44.738,130.594,0.17053364269141533
104,21.5,44.925,130.806,0.04814385150812065
105,20.0,44.865,130.719,0.04466357308584687
106,342.0,44.796,130.814,0.7917633410672854
107,164.5,44.828,130.693,0.3799303944315545
108,102.0,44.914,130.782,0.23491879350348027
109,35.0,44.704,130.955,0.07946635730858469
110,37.5,44.766,130.622,0.08526682134570766
111,36.25,44.692,131.105,0.08236658932714618
112,15.0,44.645,130.903,0.03306264501160093
