,mean_intensity,x,y,normalized_intensity
0,71.429,39.409,75.291,0.11497112811605087
1,89.143,39.49,75.599,0.1743714245474726
2,54.786,39.355,75.958,0.059162212370981904
3,126.143,39.415,75.76,0.29844339970625117
4,39.214,39.38,75.445,0.00694467731226568
5,97.429,39.282,75.736,0.20215684038978718
6,72.571,39.38,75.691,0.11880059286284343
7,139.643,39.181,75.639,0.34371290415607575
8,68.643,39.327,75.144,0.10562884371625743
9,79.071,39.451,75.539,0.14059702093127752
10,56.143,39.459,75.572,0.06371263589234576
11,53.5,39.483,75.969,0.05484987291005786
12,68.643,39.512,75.282,0.10562884371625743
13,76.357,39.498,75.405,0.1314961738885498
14,98.286,39.289,75.562,0.20503061559819455
15,76.214,39.451,75.466,0.13101665247104424
16,54.5,39.267,75.367,0.0582031695359708
17,72.643,39.422,75.536,0.11904203021990917
18,67.429,39.376,75.654,0.10155794161239913
19,118.214,39.334,75.425,0.2718551107593875
20,64.357,39.464,75.681,0.0912566143775946
21,78.857,39.374,75.632,0.13987941545333213
22,42.286,39.422,75.626,0.017246004547070225
23,69.214,39.429,75.267,0.10754357608965372
24,83.0,39.467,75.566,0.15377212337448942
25,67.857,39.209,76.065,0.10299315256828986
26,63.5,39.342,75.701,0.08838283916918721
27,82.714,39.306,75.324,0.1528130805394783
28,63.929,39.417,75.522,0.08982140342170386
29,71.857,39.286,75.5,0.1164063390719416
30,99.429,39.389,75.781,0.20886343364161303
31,93.214,39.349,75.196,0.18802269511156414
32,75.786,39.441,75.72,0.12958144151515352
33,47.929,39.28,75.399,0.03616865740709691
34,78.571,39.414,75.371,0.13892037261832105
35,67.571,39.427,75.302,0.10203410973327875
36,72.071,39.372,75.766,0.11712394454988696
37,101.571,39.396,75.484,0.21604619501431852
38,58.429,39.246,75.635,0.07137827197918273
39,83.786,39.41,75.776,0.156407814522457
40,47.571,39.457,75.37,0.03496817721502007
41,102.643,39.333,75.666,0.2196409289972972
42,79.643,39.472,75.586,0.1425151066012997
43,94.286,39.305,75.488,0.19161742909454282
44,65.143,39.482,75.972,0.09389230552556216
45,86.571,39.362,75.331,0.16574674562562453
46,88.071,39.452,75.717,0.1707766905644939
47,91.143,39.474,75.586,0.18107801779929847
48,54.5,39.394,75.565,0.0582031695359708
49,57.286,39.389,75.732,0.06754545393576424
50,45.5,39.425,75.624,0.02802349990275439
51,85.929,39.398,75.44,0.16359392919178842
52,58.5,39.498,75.623,0.07161635603962253
53,77.643,39.282,75.56,0.13580851334947383
54,75.857,39.411,75.7,0.12981952557559334
55,91.714,39.277,75.306,0.18299275017269473
56,86.5,39.296,75.796,0.1655086615651847
57,50.357,39.455,75.368,0.04431046161481351
58,62.786,39.543,75.514,0.08598858537828538
59,82.071,39.392,75.401,0.1506569108090163
60,73.5,39.324,75.762,0.12191580542831655
61,96.286,39.323,75.643,0.19832402234636867
62,60.643,39.525,75.521,0.07880247070895396
63,72.571,39.399,75.245,0.11880059286284343
64,108.571,39.295,75.725,0.23951927139570905
65,57.286,39.302,75.836,0.06754545393576424
66,103.857,39.499,75.602,0.2237118311011555
67,91.429,39.409,75.45,0.18203706063430955
68,55.071,39.373,75.546,0.060117901909367076
69,67.857,39.368,75.663,0.10299315256828986
70,82.071,39.364,75.666,0.1506569108090163
