,mean_intensity,x,y,normalized_intensity
0,28.75,5.128,92.516,0.037330857371304454
1,31.75,5.386,91.944,0.04123752957676416
2,48.75,5.468,92.64,0.06337533874103582
3,40.583,5.928,92.11,0.052740074773706014
4,23.667,6.013,92.468,0.030711652431187227
5,22.833,5.768,92.338,0.029625597558069424
6,16.083,5.798,92.717,0.02083558509578509
7,43.583,5.749,92.542,0.05664674697916571
8,20.167,5.592,92.335,0.02615386819148424
9,31.333,5.572,92.307,0.04069450214020526
10,24.417,5.563,92.525,0.03168832048255216
11,29.333,5.453,92.443,0.03809005400323212
12,40.25,5.477,92.391,0.05230643415889998
13,75.833,5.737,92.289,0.09864347318785754
14,73.417,5.632,92.086,0.09549729983839399
15,29.667,5.559,91.562,0.03852499684210663
16,37.0,5.4,92.707,0.048074205936318636
17,37.25,5.582,92.332,0.04839976195344028
18,2.667,5.851,92.099,0.0033649469929692916
19,100.083,5.512,92.149,0.13022240684865682
20,149.417,5.492,92.633,0.1944663290433732
21,123.333,5.788,92.503,0.16049911644096954
22,79.333,5.568,92.525,0.10320125742756053
23,31.25,5.521,92.48,0.040586417542520875
24,17.583,5.603,92.312,0.022788921198514944
25,23.833,5.562,91.867,0.030927821626555992
26,47.333,5.436,92.148,0.06153008723599034
27,49.75,5.838,92.014,0.06467756280952239
28,29.917,5.492,92.234,0.038850552859228275
29,21.0,5.815,92.277,0.027238620840533547
30,34.833,5.772,92.178,0.045252286379908246
31,29.75,5.705,92.595,0.03863308143979102
32,62.5,5.449,92.318,0.08128091968272613
33,52.75,5.767,92.277,0.06858423501498209
34,75.333,5.642,92.264,0.09799236115361426
35,77.417,5.401,92.146,0.10070619611234026
36,53.25,5.678,92.34,0.06923534704922538
37,42.0,5.392,92.036,0.05458532627875148
38,33.417,5.477,92.553,0.043408337098931264
39,30.083,5.372,92.858,0.03906672205459705
40,15.083,5.54,92.532,0.019533361027298524
41,24.667,5.772,92.222,0.0320138764996738
42,73.083,5.575,92.522,0.09506235699951948
43,113.083,5.672,92.637,0.1471513197389822
44,102.083,5.541,92.615,0.13282685498562996
45,140.0,5.547,92.236,0.18220328499043517
46,83.417,5.578,92.365,0.10851954052325967
47,85.667,5.568,92.206,0.11144954467735445
48,60.0,5.643,92.619,0.07802535951150971
49,50.167,5.743,92.088,0.06522059024608129
50,23.5,5.721,92.221,0.030494181011749968
51,37.917,5.672,91.981,0.04926834540712082
52,41.25,5.486,92.423,0.05360865822738655
53,45.0,5.523,92.026,0.05849199848421118
54,72.417,5.715,92.041,0.09419507576990742
55,52.917,5.66,92.329,0.06880170643441935
56,70.25,5.584,92.079,0.09137315621349704
57,25.833,5.466,91.886,0.03353226976352913
58,105.333,5.589,92.32,0.1370590832082113
59,32.0,5.753,91.909,0.0415630855938858
60,20.917,5.56,92.219,0.027130536242849165
61,36.417,5.526,91.772,0.04731500930439097
62,41.417,5.568,92.098,0.05382612964682381
63,71.0,5.335,92.2,0.09234982426486196
64,47.917,5.393,91.834,0.062290586091986504
65,41.667,5.551,92.394,0.05415168566394545
66,44.25,5.518,91.954,0.057515330432846255
67,63.083,5.676,92.169,0.0820401163146538
68,52.333,5.813,92.536,0.06804120757842319
69,59.917,5.665,91.974,0.07791727491382533
70,74.833,5.546,92.187,0.09734124911937098
71,45.5,5.734,91.988,0.059143110518454466
72,22.833,5.597,92.097,0.029625597558069424
73,56.75,5.734,91.957,0.07379313128892837
74,51.583,5.531,91.724,0.06706453952705826
75,48.333,5.531,92.772,0.06283231130447692
76,105.583,5.477,92.025,0.13738463922533295
77,47.417,5.597,92.437,0.06163947405774322
78,32.5,5.532,91.944,0.042214197628129085
79,40.25,5.763,92.208,0.05230643415889998
80,41.167,5.563,92.221,0.05350057362970217
81,38.333,5.381,91.89,0.049810070619611235
82,33.833,5.457,92.654,0.04395006231142168
83,41.0,5.736,92.414,0.05328310221026491
84,24.667,5.375,92.671,0.0320138764996738
85,56.5,5.325,92.239,0.07346757527180672
86,69.917,5.47,91.87,0.090939515598691
87,54.583,5.632,91.96,0.07097121173251797
88,60.167,5.455,92.336,0.07824283093094697
89,78.083,5.597,92.191,0.10157347734195232
90,60.25,5.479,92.195,0.07835091552863135
91,66.417,5.452,92.228,0.08638173135898802
92,68.667,5.592,92.413,0.0893117355130828
93,65.583,5.599,92.357,0.08529567648587022
94,75.167,5.676,92.233,0.09777619195824548
95,111.5,5.601,92.154,0.14508989903856798
96,72.333,5.579,92.14,0.09408568894815456
97,86.5,5.649,92.245,0.11253429732640376
98,101.25,5.734,91.91,0.13174210233658065
99,106.083,5.465,92.221,0.13803575125957623
100,40.25,5.602,92.275,0.05230643415889998
101,67.0,5.632,92.271,0.08714092799091569
102,84.167,5.642,91.979,0.1094962085746246
103,77.25,5.724,92.166,0.100488724692903
104,47.917,5.633,92.1,0.062290586091986504
105,68.583,5.562,92.245,0.08920234869132992
106,70.167,5.58,92.687,0.09126507161581264
107,41.0,5.54,92.379,0.05328310221026491
108,42.917,5.472,92.538,0.05577946574955366
109,60.667,5.859,92.186,0.07889394296519026
110,51.667,5.623,92.254,0.06717392634881114
111,44.75,5.514,92.474,0.05816644246708954
112,48.833,5.745,91.765,0.0634834233387202
113,47.75,5.562,92.201,0.062073114672549244
114,45.167,5.486,92.417,0.05870946990364844
115,68.917,5.638,92.105,0.08963729153020444
116,52.667,5.515,92.22,0.06847615041729771
117,45.25,5.63,91.94,0.058817554501332824
118,50.167,5.403,92.146,0.06522059024608129
119,76.083,5.605,92.247,0.09896902920497919
120,24.833,5.711,92.23,0.032230045695042564
121,68.417,5.524,92.161,0.08898617949596116
122,93.5,5.621,92.253,0.12164986580580973
123,33.75,5.551,92.153,0.043841977713737296
124,38.333,5.485,92.193,0.049810070619611235
125,42.25,5.613,92.221,0.05491088229587312
126,97.583,5.658,92.242,0.1269668466774404
127,40.917,5.402,92.573,0.053175017612580526
128,43.583,5.804,92.211,0.05664674697916571
129,90.25,5.586,92.443,0.11741763758322839
130,58.917,5.597,92.28,0.07661505084533876
131,32.417,5.546,92.086,0.042106113030444696
132,67.167,5.605,91.906,0.08735839941035295
133,58.5,5.622,92.142,0.07607202340877986
134,27.417,5.711,92.513,0.03559499268801186
135,44.583,5.727,92.168,0.05794897104765228
136,87.083,5.42,92.302,0.11329349395833142
137,57.5,5.425,92.429,0.07476979934029329
138,52.417,5.554,92.206,0.06815059440017607
139,70.25,5.759,92.035,0.09137315621349704
140,72.75,5.354,92.341,0.09462871638471346
141,63.0,5.671,91.979,0.08193203171696942
142,47.667,5.642,92.206,0.06196503007486486
143,43.333,5.592,92.282,0.05632119096204407
144,44.25,5.537,91.829,0.057515330432846255
145,62.833,5.579,92.429,0.08171456029753216
146,36.667,5.758,92.288,0.04764056532151261
147,57.5,5.526,92.408,0.07476979934029329
148,38.5,5.614,92.7,0.05002754203904849
149,103.583,5.406,92.043,0.1347801910883598
150,75.25,5.624,92.352,0.09788427655592988
151,36.583,5.592,92.105,0.04753117849975974
152,30.083,5.371,92.767,0.03906672205459705
