,mean_intensity,x,y,normalized_intensity
0,92.118,128.511,98.327,0.19028835785592543
1,40.294,128.543,98.573,0.07011258362609714
2,75.588,128.275,98.343,0.15195658979442764
3,77.471,128.315,98.237,0.1563231184852807
4,94.059,128.627,98.39,0.19478938397857318
5,83.706,128.521,98.528,0.17078159240321406
6,59.412,128.344,98.064,0.11444571985112527
7,67.176,128.293,98.758,0.13244982434171626
8,96.412,128.369,98.253,0.20024580565121108
9,53.412,128.295,98.414,0.10053219242408433
10,79.529,128.349,98.143,0.1610954583927557
11,72.765,128.224,98.431,0.1454102751400049
12,86.176,128.295,98.007,0.17650932786067924
13,62.0,128.33,98.609,0.1204470880146556
14,25.882,128.487,98.217,0.03669229074634481
15,76.706,128.205,98.236,0.15454914373833295
16,65.118,128.237,98.331,0.1276774844342412
17,59.176,128.339,98.371,0.113898454438995
18,37.588,128.155,98.468,0.06383758275650168
19,97.941,128.326,98.143,0.2037914362238687
20,33.118,128.427,98.046,0.05347200482335619
21,57.765,128.451,99.007,0.11062645657240254
22,84.294,128.05,98.424,0.17214511809106406
23,68.588,128.425,98.398,0.13572414112954653
24,37.824,128.388,98.129,0.06438484816863196
25,108.176,128.447,98.388,0.2275255950931627
26,124.706,128.264,98.311,0.26585736315466046
27,89.588,128.267,98.238,0.18442148712418985
28,44.0,128.541,98.206,0.07870650573353277
29,77.0,128.578,98.623,0.15523090658225797
30,19.882,128.441,97.864,0.02277876331930387
31,84.529,128.401,98.321,0.1726900645819565
32,61.294,128.209,98.06,0.11880992962074044
33,91.412,128.448,98.287,0.1886511994620103
34,98.588,128.451,98.447,0.20529177826475126
35,84.118,128.333,98.376,0.1717369879532042
36,58.941,128.249,98.49,0.11335350794810256
37,91.235,128.601,98.103,0.18824075040291258
38,39.235,128.419,98.06,0.06765684603522443
39,50.471,128.272,98.067,0.09371224506359642
40,61.882,128.08,98.453,0.12017345530859046
41,44.824,128.338,98.119,0.08061729683351306
42,88.059,128.626,98.165,0.18087585655153224
43,100.294,128.323,98.375,0.20924785789650657
44,71.176,128.38,98.217,0.1417255092930769
45,32.882,128.471,97.981,0.052924739411225906
46,58.0,128.122,98.481,0.11117140306329497
47,46.706,128.197,98.421,0.08498150660312824
48,73.471,128.634,98.016,0.14704743353392005
49,43.706,128.176,98.244,0.07802474288960777
50,44.294,128.441,98.345,0.07938826857745777
51,61.412,128.34,98.494,0.11908356232680559
52,96.824,128.472,97.984,0.20120120120120122
53,84.588,128.232,98.331,0.17282688093498905
54,64.588,128.306,98.275,0.12644845617818593
55,86.941,128.426,98.483,0.17828330260762695
56,46.529,128.235,98.091,0.08457105754403053
57,28.647,128.376,98.298,0.04310410796897284
58,51.941,128.127,98.38,0.09712105928322147
59,27.765,128.096,98.049,0.04105881943719783
60,70.706,128.258,98.25,0.140635616311292
61,101.118,128.259,98.494,0.21115864899648684
62,441.294,128.392,98.415,1.0
63,88.588,128.396,98.795,0.18210256588634968
64,48.765,128.285,98.045,0.08975616543184112
65,100.941,128.237,98.629,0.21074819993738916
66,65.941,128.455,98.314,0.12958595661298367
67,84.941,128.227,98.343,0.17364546013194665
68,26.412,128.941,98.195,0.03792131900240009
69,78.235,128.452,98.194,0.15809477431099056
70,70.588,128.398,98.224,0.14036198360522686
71,55.471,128.402,97.894,0.1053068512527972
72,61.176,128.44,98.15,0.11853629691467532
73,106.647,128.394,97.991,0.22397996452050511
74,37.588,128.106,98.58,0.06383758275650168
75,70.765,128.483,98.396,0.14077243266432457
76,51.706,128.24,98.265,0.09657611279232903
77,47.353,128.298,98.438,0.08648184864401083
78,29.765,128.202,98.261,0.04569666191287814
79,50.647,128.366,98.725,0.09412037520145629
80,88.176,128.586,98.352,0.18114717033635955
81,43.529,128.512,98.51,0.07761429383051006
82,63.941,128.322,98.322,0.12494811413730335
83,42.765,128.555,98.027,0.07584263800480018
84,66.294,128.449,98.077,0.1304045358099412
85,50.588,128.263,98.313,0.09398355884842373
86,79.176,128.233,98.527,0.16027687919579814
87,58.294,128.398,98.554,0.11185316590721997
88,35.176,128.204,98.376,0.05824434473083123
89,38.176,128.313,98.684,0.0652011084443517
90,67.588,128.378,98.591,0.1334052198917064
91,70.824,128.363,98.187,0.14090924901735713
92,53.588,128.195,98.01,0.1009403225619442
93,40.176,128.542,98.565,0.06983895092003202
94,104.412,128.379,98.526,0.21879717555393235
95,38.941,127.971,98.304,0.06697508319129943
96,57.765,128.369,98.364,0.11062645657240254
97,52.412,128.444,98.273,0.09821327118624418
98,42.412,128.206,98.137,0.0750240588078426
99,107.765,128.343,98.478,0.2265725184644104
100,102.941,128.29,98.53,0.21538604241306947
101,361.588,128.441,98.361,0.8151680638167126
102,197.353,128.368,98.417,0.4343200343200344
103,97.529,128.494,98.342,0.20283604067387853
104,125.118,128.462,98.408,0.2668127587046506
105,46.941,128.488,98.408,0.08552645309402068
106,68.647,128.411,98.24,0.13586095748257915
107,57.765,128.611,98.407,0.11062645657240254
108,52.588,128.343,98.624,0.09862140132410405
109,53.647,128.435,98.329,0.10107713891497677
110,37.765,128.36,98.031,0.06424803181559939
111,42.059,128.058,98.259,0.07420547961088503
112,110.765,128.222,98.357,0.23352928217793087
113,45.353,128.338,98.522,0.08184400616833051
114,62.706,128.36,98.285,0.12208424640857075
115,68.941,128.289,98.23,0.13654272032650414
116,60.471,128.297,98.322,0.116901457441998
117,73.118,128.479,98.675,0.14622885433696245
118,65.647,128.234,98.492,0.12890419376905868
119,27.059,128.62,98.723,0.039421661043282666
120,35.529,128.757,98.377,0.059062923927788814
121,77.353,128.219,98.404,0.1560494857792155
122,60.235,128.315,98.436,0.11635419202986773
123,22.0,128.27,98.596,0.027690238501049316
124,20.294,128.274,97.948,0.02373415886929401
125,70.529,128.429,98.519,0.14022516725219428
126,36.824,128.479,98.389,0.062065926930791805
127,35.647,128.298,98.298,0.05933655663385394
128,72.941,128.319,98.734,0.14581840527786477
129,72.824,128.48,98.238,0.14554709149303746
130,54.471,128.274,98.434,0.10298793001495705
131,30.765,128.378,98.589,0.0480155831507183
132,30.412,128.193,98.281,0.04719700395376072
133,52.941,128.355,98.173,0.09943998052106162
134,40.235,128.519,98.346,0.06997576727306458
135,39.471,128.431,98.495,0.06820411144735469
136,42.412,128.142,98.345,0.0750240588078426
137,44.353,128.035,98.786,0.07952508493049035
138,69.529,128.234,98.542,0.13790624601435414
139,40.765,128.327,98.292,0.07120479552911987
140,24.882,128.524,98.906,0.03437336950850465
141,47.941,128.476,98.781,0.08784537433186083
142,49.941,128.104,98.454,0.09248321680754115
143,34.353,128.616,98.434,0.056335872552088787
144,38.294,128.119,98.634,0.06547474115041683
145,54.471,128.379,98.614,0.10298793001495705
146,50.706,128.238,98.393,0.09425719155448888
147,93.235,128.341,98.303,0.1928785928785929
148,69.059,128.307,98.035,0.13681635303256925
149,47.235,128.126,98.518,0.08620821593794568
150,64.765,128.501,98.117,0.12685890523728363
151,49.176,128.298,98.832,0.09070924206059343
152,47.647,128.086,98.755,0.08716361148793582
153,68.588,128.402,98.045,0.13572414112954653
154,80.765,128.252,98.348,0.16396164504272615
155,47.765,128.484,98.471,0.08743724419400097
156,71.647,128.547,98.538,0.14281772119609962
157,52.0,128.358,97.918,0.09725787563625403
158,53.824,127.932,98.433,0.10148758797407448
159,50.941,128.37,98.208,0.0948021380453813
160,44.294,128.393,98.455,0.07938826857745777
161,55.412,128.469,98.486,0.10517003489976465
162,31.294,128.462,98.449,0.04924229248553573
163,75.294,128.599,98.349,0.15127482695050265
164,79.941,128.238,98.429,0.16205085394274588
165,59.765,128.425,98.274,0.11526429904808284
166,50.412,128.243,98.369,0.09357542871056386
167,34.529,128.637,97.762,0.056744002689948655
168,35.412,128.203,98.628,0.058791610142961505
169,55.0,128.676,98.323,0.1042146393497745
170,33.353,128.289,98.397,0.05401695131424863
171,21.588,128.148,98.63,0.026734842951059174
