 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52,Mean53,XM53,YM53,Mean54,XM54,YM54,Mean55,XM55,YM55,Mean56,XM56,YM56,Mean57,XM57,YM57,Mean58,XM58,YM58,Mean59,XM59,YM59,Mean60,XM60,YM60,Mean61,XM61,YM61,Mean62,XM62,YM62,Mean63,XM63,YM63,Mean64,XM64,YM64,Mean65,XM65,YM65,Mean66,XM66,YM66,Mean67,XM67,YM67,Mean68,XM68,YM68,Mean69,XM69,YM69,Mean70,XM70,YM70,Mean71,XM71,YM71,Mean72,XM72,YM72,Mean73,XM73,YM73,Mean74,XM74,YM74,Mean75,XM75,YM75,Mean76,XM76,YM76,Mean77,XM77,YM77,Mean78,XM78,YM78,Mean79,XM79,YM79,Mean80,XM80,YM80,Mean81,XM81,YM81,Mean82,XM82,YM82,Mean83,XM83,YM83,Mean84,XM84,YM84,Mean85,XM85,YM85,Mean86,XM86,YM86,Mean87,XM87,YM87,Mean88,XM88,YM88,Mean89,XM89,YM89,Mean90,XM90,YM90,Mean91,XM91,YM91,Mean92,XM92,YM92,Mean93,XM93,YM93,Mean94,XM94,YM94,Mean95,XM95,YM95
1,147.077,143.583,113.112,201.000,137.183,198.928,41.357,139.345,176.327,38.000,133.595,145.115,35.962,101.554,63.172,64.812,45.849,78.785,1617.806,188.002,93.492,13.182,112.576,166.487,205.882,126.907,135.659,28.471,170.916,74.745,205.297,148.078,67.727,65.097,84.913,111.852,27.667,104.960,81.749,222.500,106.967,74.344,194.773,113.062,80.867,126.235,214.614,208.283,458.275,178.021,127.902,221.154,95.412,52.048,182.278,132.943,68.817,153.455,163.084,49.297,147.622,55.388,113.458,132.714,138.747,66.131,64.400,183.155,99.273,81.459,196.009,93.818,174.500,64.827,92.669,125.875,153.946,73.441,31.810,142.147,147.022,15.643,151.118,151.189,336.231,152.387,35.313,122.409,119.061,198.236,24.056,104.062,141.794,115.375,117.604,70.164,54.095,143.325,156.191,18.818,87.514,101.712,187.406,181.081,139.425,292.364,101.524,123.298,134.486,129.162,129.749,116.500,157.854,63.443,245.647,159.648,68.253,119.952,142.527,27.382,79.688,155.274,58.102,86.054,94.713,110.741,279.944,137.521,116.662,20.531,107.569,92.162,28.647,104.938,179.038,265.125,112.711,66.004,8.000,175.305,68.251,38.000,181.280,65.977,20.286,166.459,181.634,10.286,98.012,142.135,132.231,100.464,52.541,124.600,148.549,27.135,92.839,143.708,23.351,42.333,153.380,24.395,173.938,119.085,103.991,119.938,110.386,99.305,114.412,167.887,61.531,246.385,171.965,82.928,171.250,128.567,102.069,65.048,155.079,84.681,191.611,139.925,121.810,241.806,95.054,23.007,104.919,77.433,80.694,186.938,100.818,93.066,105.476,115.967,121.158,64.250,104.684,34.664,209.833,101.117,104.099,8.136,124.131,72.472,204.973,70.238,78.528,276.757,145.827,36.007,4088.738,146.320,17.513,39.241,76.956,104.362,38.615,163.729,32.366,64.562,68.510,99.706,19.375,98.715,40.652,85.889,174.088,121.112,165.892,94.293,119.299,350.188,120.929,118.108,219.267,78.051,89.609,145.188,123.107,97.346,10.811,107.477,115.698,77.714,160.442,56.791,176.647,96.338,60.311,92.706,180.770,118.324,324.054,111.950,118.093,36.692,87.618,33.090,161.167,169.241,108.582,50.588,80.572,37.935,235.833,93.824,72.865,64.188,176.585,113.096,144.556,185.305,112.082,191.857,176.471,58.412,136.353,174.375,51.985,271.545,187.062,104.489,54.625,168.348,128.880
2,155.000,143.621,113.145,155.688,137.168,198.616,42.643,139.282,175.255,19.615,133.292,145.354,42.846,101.482,62.850,59.812,45.317,79.336,1506.645,187.959,93.485,8.955,112.956,166.285,209.765,127.074,135.725,31.706,170.770,74.324,155.784,148.082,67.832,88.968,84.751,111.655,40.583,105.064,81.500,152.750,106.859,74.215,199.227,113.081,80.859,165.255,214.666,208.083,196.863,178.123,127.821,768.000,95.315,51.852,132.167,133.187,68.700,355.091,163.148,49.433,142.216,55.393,113.346,137.524,138.838,66.075,54.600,183.823,99.048,78.865,196.229,94.091,189.125,64.837,92.931,220.625,153.948,73.393,14.000,141.857,146.641,16.714,150.834,151.764,381.000,152.463,35.215,110.318,119.041,198.493,39.833,104.195,141.897,108.375,117.468,69.864,92.762,143.475,156.671,17.636,87.103,101.130,188.156,181.160,139.326,217.091,101.617,123.324,156.973,128.984,129.539,158.444,157.714,63.470,217.824,159.590,68.179,85.952,142.563,27.471,9.375,155.213,57.912,84.000,94.680,110.684,314.722,137.705,116.663,21.750,108.243,91.556,41.176,104.177,179.316,155.938,112.643,66.271,13.375,175.592,67.845,13.226,181.110,65.899,56.857,166.736,181.645,5.857,98.115,141.046,125.077,100.636,52.317,103.400,148.616,27.288,91.161,143.347,23.244,58.333,153.519,24.535,128.875,118.995,103.780,110.562,110.304,98.979,135.118,167.900,61.233,190.308,171.818,82.973,151.312,128.543,102.212,34.667,155.072,84.443,215.111,139.980,121.992,309.613,95.084,23.061,66.703,77.206,80.959,243.875,101.017,93.122,108.905,116.055,121.279,37.312,104.590,34.551,219.778,101.047,104.323,14.455,123.644,72.375,164.432,70.177,78.509,251.514,145.888,36.057,4091.976,146.321,17.515,37.931,76.918,105.119,104.538,163.318,32.649,30.938,68.011,99.668,30.438,98.738,40.557,70.111,174.459,121.385,123.892,94.406,119.409,319.188,120.925,118.016,231.433,78.208,89.707,134.812,123.021,97.442,30.703,107.685,115.537,122.143,160.334,56.993,181.647,96.459,60.304,43.824,180.831,118.521,383.838,112.031,118.252,62.077,87.594,33.536,176.667,169.287,108.411,82.824,80.604,37.785,330.833,93.935,72.950,51.812,176.592,112.913,133.167,185.547,111.991,170.714,176.913,58.218,187.882,174.332,51.768,297.864,187.175,104.449,10.125,168.600,129.310
3,64.038,143.669,113.227,176.188,137.071,198.805,18.571,139.561,175.124,57.769,133.391,145.577,60.385,101.637,62.843,52.688,45.419,79.187,859.097,188.025,93.465,11.318,112.944,165.837,208.941,127.064,135.806,48.647,170.731,74.773,207.189,148.265,67.850,106.645,84.785,111.396,77.292,104.905,81.998,254.125,106.978,74.105,218.455,112.935,81.091,153.059,214.554,208.223,168.980,178.243,127.987,1733.462,95.366,51.808,137.056,133.126,68.813,239.273,163.173,49.434,68.649,55.482,113.441,146.143,138.688,66.320,46.767,183.372,98.682,52.919,196.268,93.332,118.500,64.888,92.852,207.562,154.078,73.422,38.762,141.936,147.164,40.500,151.279,152.233,366.000,152.474,35.240,79.955,118.908,198.425,83.889,103.848,141.639,98.125,117.461,70.192,43.619,143.143,156.574,21.909,87.158,100.807,179.094,180.978,139.085,226.818,101.495,123.179,154.108,129.169,129.841,158.000,157.610,63.429,327.765,159.721,68.406,158.905,142.558,27.198,72.625,155.286,58.185,66.973,95.239,110.688,273.556,137.679,116.465,70.469,107.975,91.959,31.059,104.109,179.047,199.125,112.694,66.087,23.750,175.197,68.222,11.097,180.777,66.264,34.286,166.730,181.668,94.000,98.079,141.427,130.462,100.555,52.382,72.200,148.570,27.377,88.516,143.544,23.222,104.167,153.589,23.931,156.875,118.994,104.012,115.625,110.292,99.119,37.235,167.859,61.769,248.154,172.036,82.864,164.375,128.576,102.200,23.714,155.450,84.550,314.222,140.000,121.763,224.000,95.154,23.154,110.973,77.483,80.649,184.062,100.816,92.789,87.952,116.043,121.469,21.375,104.348,34.896,211.722,100.952,104.221,41.818,123.586,72.250,131.838,70.217,78.676,256.216,145.971,36.089,4095.000,146.320,17.515,54.069,76.888,104.458,104.385,163.536,32.835,52.312,68.426,100.049,35.438,98.508,41.051,49.815,174.387,121.158,153.892,94.409,119.271,305.688,120.805,118.168,221.433,78.119,89.683,145.625,123.066,97.527,4.378,106.768,115.245,133.714,160.467,56.857,204.824,96.399,60.498,94.765,180.802,118.572,424.270,111.995,118.247,121.000,87.438,33.481,123.000,169.225,108.440,48.588,80.326,37.787,202.500,93.872,72.996,65.812,176.697,112.775,124.167,185.470,111.970,157.143,176.874,58.132,242.235,174.244,52.012,235.500,187.056,104.420,65.625,168.068,128.915
4,172.615,143.524,113.162,150.938,137.224,198.727,31.500,139.405,175.554,28.923,133.259,145.332,32.846,101.811,63.159,93.375,45.533,79.258,477.484,187.909,93.515,28.273,112.590,166.670,181.529,127.119,135.724,27.059,171.059,74.734,253.514,148.064,67.630,54.839,84.759,111.608,37.083,105.051,82.266,247.125,106.850,74.134,177.818,112.943,81.056,142.784,214.757,208.213,147.765,178.187,127.634,604.692,95.365,51.782,118.778,133.233,68.807,235.818,163.259,49.701,145.622,55.303,113.319,114.714,138.592,66.116,36.167,183.078,98.998,54.595,196.189,93.713,65.875,64.663,92.674,166.562,154.132,73.436,23.952,141.940,147.401,19.929,151.135,151.694,474.692,152.430,35.350,87.818,118.950,198.223,55.889,103.788,141.521,94.750,117.605,70.118,100.286,143.456,157.068,26.500,87.739,100.666,134.656,180.901,139.372,152.955,101.390,123.585,112.432,128.947,129.398,254.333,157.841,63.410,369.882,159.586,68.278,118.905,142.568,27.703,90.188,155.407,58.457,73.730,94.791,110.392,285.778,137.702,116.495,39.562,107.464,91.831,25.765,104.617,178.964,279.688,112.654,66.096,26.250,174.926,67.976,37.613,180.697,65.716,21.286,166.563,181.463,35.714,98.119,141.283,165.462,100.513,52.130,110.000,148.415,27.396,108.645,143.506,23.327,36.000,153.383,24.381,76.812,119.004,103.809,110.000,110.474,99.348,47.882,168.340,61.596,245.000,171.892,82.995,109.312,128.709,101.816,36.857,155.322,84.117,188.444,140.275,121.895,257.677,94.991,23.031,100.919,77.461,80.820,221.688,100.923,93.051,111.143,115.960,121.408,27.562,105.001,34.822,191.556,101.081,104.179,12.545,123.057,71.902,140.649,70.340,78.781,316.270,145.864,36.174,4033.524,146.325,17.503,75.517,76.950,104.488,79.615,163.598,32.729,57.938,68.372,99.870,62.375,98.457,40.912,25.148,174.322,120.866,184.811,94.640,119.320,426.938,120.893,118.023,252.167,78.308,89.657,218.125,123.090,97.347,19.189,106.864,116.198,74.429,160.223,56.831,183.824,96.514,60.420,84.647,180.920,118.612,265.892,112.139,118.272,62.231,87.550,33.387,151.333,169.216,108.068,86.176,80.402,37.938,254.417,93.940,72.928,93.062,176.585,113.059,128.944,185.627,111.934,147.857,176.754,58.214,174.353,174.417,51.713,233.455,187.005,104.356,93.250,168.534,129.046
5,97.885,143.711,113.147,166.188,137.068,198.673,68.000,139.380,175.200,63.615,132.862,145.069,51.308,101.779,63.061,115.438,45.656,79.003,155.355,188.000,93.720,22.273,112.852,166.408,226.471,127.053,135.759,40.294,171.011,74.951,292.216,148.189,67.812,99.871,84.804,111.433,41.208,105.067,81.941,178.875,107.039,74.130,192.045,113.121,81.005,140.510,214.881,208.355,139.529,178.200,128.059,163.000,95.330,51.728,200.278,133.003,68.819,163.636,163.234,49.466,96.865,55.359,113.273,141.238,138.446,66.303,50.433,183.459,99.063,59.135,196.128,93.694,85.375,64.686,92.772,202.375,153.973,73.392,18.810,141.904,146.699,48.929,151.097,151.525,373.000,152.339,35.343,144.500,118.883,198.643,74.611,103.570,141.466,84.667,117.450,69.852,49.238,143.535,156.923,44.000,87.588,101.173,135.750,181.345,139.146,137.227,101.138,123.344,125.243,128.947,129.798,139.667,158.031,63.523,277.235,159.721,68.370,134.476,142.473,27.617,115.188,155.065,58.016,58.973,95.117,110.537,265.889,137.616,116.704,20.000,107.126,92.047,14.118,104.372,179.420,204.562,112.588,66.198,15.688,175.446,67.825,30.839,180.874,65.710,75.143,166.584,181.328,61.143,98.053,141.451,209.000,100.531,52.180,148.000,148.449,27.197,45.355,143.425,23.213,16.833,153.605,24.046,129.938,119.069,103.924,191.938,110.438,99.060,123.176,167.805,61.317,172.692,171.830,82.854,148.125,128.616,102.128,24.857,155.246,84.458,229.722,139.940,121.871,221.742,95.202,23.080,127.946,77.289,80.772,167.250,100.977,93.055,80.381,115.811,121.692,32.500,104.892,34.388,169.722,100.989,104.054,24.045,123.829,72.574,132.324,70.111,78.690,236.757,145.926,36.157,4095.000,146.320,17.515,54.138,77.056,104.345,68.731,163.393,33.000,55.375,68.442,99.996,76.125,98.392,40.761,37.741,174.609,121.022,150.541,94.363,119.347,391.562,120.801,117.959,211.700,78.289,89.574,180.188,123.245,96.956,18.162,107.122,116.215,104.429,160.487,56.818,226.647,96.587,60.392,89.471,180.777,118.370,353.405,112.114,118.324,50.692,87.393,33.483,62.000,169.400,108.333,53.882,80.356,37.874,182.250,93.840,72.823,124.438,176.572,113.042,124.111,185.270,111.958,172.929,176.936,58.257,201.765,174.259,51.919,231.773,187.099,104.349,15.625,168.587,128.845
6,145.577,143.632,113.034,186.312,137.184,198.836,60.357,139.489,175.544,22.077,133.588,145.252,35.269,101.715,62.971,33.500,45.494,78.926,73.677,187.793,93.453,22.727,113.159,165.868,181.000,127.012,135.700,44.765,170.852,74.658,243.946,148.042,67.763,38.000,84.883,111.772,77.917,105.175,81.693,140.625,107.021,74.359,171.455,113.017,81.193,183.804,214.741,208.544,151.686,178.207,127.714,123.462,95.277,51.896,152.722,132.927,68.957,245.818,163.204,49.434,120.973,55.308,113.355,181.000,138.680,66.122,67.867,183.305,98.729,61.892,196.102,93.580,104.000,64.769,92.843,277.500,154.183,73.479,29.952,142.023,146.770,38.786,151.114,151.953,344.923,152.352,35.299,147.773,118.980,198.616,57.556,103.574,141.610,90.500,117.430,70.076,31.810,143.475,156.967,34.091,87.266,101.202,166.812,180.997,139.268,235.182,101.352,123.227,108.757,128.915,129.789,136.056,157.830,63.473,215.235,159.617,68.306,186.619,142.483,27.537,36.312,155.135,57.769,77.243,95.030,110.625,266.611,137.715,116.509,24.406,108.067,91.477,22.235,104.372,178.896,241.812,112.844,66.146,15.875,174.905,67.918,32.258,181.015,65.832,22.286,166.482,181.628,47.857,98.376,141.213,102.308,100.742,52.533,81.900,148.385,27.316,96.129,143.553,23.296,109.833,153.437,24.213,165.875,118.921,103.979,151.625,110.527,99.228,49.000,168.319,61.038,221.000,172.006,82.867,123.000,128.517,102.175,23.143,155.085,84.516,204.222,140.046,121.849,138.194,94.976,22.906,113.730,77.465,80.844,205.500,100.927,93.092,82.762,115.835,121.734,74.188,104.374,34.879,147.167,100.996,104.024,10.636,123.922,73.032,176.703,70.002,78.761,229.243,145.975,36.316,4071.476,146.323,17.517,97.724,76.968,104.703,79.885,163.158,32.746,63.250,68.404,99.833,26.250,98.437,40.648,36.037,174.368,120.481,134.811,94.278,119.305,277.000,120.964,118.046,302.600,78.212,89.526,146.125,123.069,97.321,0.378,107.415,115.165,87.143,160.464,56.476,157.353,96.282,60.438,132.118,180.587,118.516,260.919,111.805,118.324,91.231,87.377,33.204,115.833,169.383,108.476,69.588,80.215,37.867,219.667,93.868,72.875,76.875,176.788,113.005,215.333,185.274,112.057,204.786,176.482,58.361,116.588,174.378,51.819,272.909,187.156,104.512,80.625,168.741,128.968
7,87.808,143.796,113.100,230.938,137.263,198.778,58.929,139.571,176.428,65.308,133.603,145.253,41.423,101.665,63.064,98.875,45.357,79.170,67.548,187.992,93.386,5.136,113.321,166.960,216.588,127.027,135.796,22.706,170.688,74.806,268.054,148.238,67.613,93.290,84.703,111.639,29.042,105.249,82.501,181.125,106.948,74.400,206.909,113.095,80.867,127.686,214.769,208.238,154.392,178.120,127.749,89.846,95.362,51.624,137.611,132.951,68.783,229.818,163.200,49.424,92.270,55.238,113.456,119.476,138.473,66.343,55.033,183.349,98.886,112.757,196.321,93.727,63.875,64.542,92.806,217.875,154.086,73.513,31.000,141.567,146.436,30.857,151.624,151.770,291.769,152.461,35.285,83.364,118.889,198.457,76.278,103.759,141.715,106.500,117.514,69.823,13.143,143.081,157.166,28.318,87.403,101.329,183.375,180.839,139.133,229.091,101.280,123.300,131.189,129.119,129.663,112.222,158.159,63.398,351.706,159.618,68.214,110.762,142.802,27.796,79.812,155.254,57.935,21.946,95.372,110.621,264.056,137.807,116.606,29.875,107.881,91.830,51.176,104.482,179.195,363.250,112.762,66.369,21.875,175.506,67.840,8.194,180.839,66.288,45.857,166.527,181.664,54.000,98.122,141.240,91.846,100.540,52.413,103.700,148.599,27.421,71.355,143.554,23.565,139.333,153.374,24.404,191.750,119.099,103.964,83.625,110.177,99.508,96.765,168.036,61.332,239.846,172.001,82.907,156.062,128.345,102.292,23.810,154.962,84.898,230.389,139.971,121.836,162.839,95.008,22.971,136.649,77.391,80.678,146.812,101.015,92.872,107.048,115.983,121.581,43.125,104.536,34.856,247.444,100.982,104.209,7.500,123.644,72.441,159.027,70.155,78.914,262.432,145.843,36.081,4056.262,146.322,17.514,37.655,77.218,105.214,78.654,163.436,32.791,58.875,68.499,99.810,40.188,98.606,40.653,65.185,174.176,121.218,167.838,94.528,119.157,333.125,121.058,118.261,221.800,78.109,89.621,236.000,123.172,97.250,23.027,107.164,115.571,48.714,160.353,56.747,220.118,96.359,60.360,50.000,180.723,118.638,329.243,112.066,118.379,37.923,87.444,33.143,46.333,169.250,108.980,39.118,80.696,37.493,186.333,93.767,72.802,91.125,176.505,113.046,113.167,185.575,111.889,193.571,176.612,58.353,155.294,174.211,51.948,204.364,187.137,104.217,60.250,168.259,128.701
8,117.538,143.398,113.205,158.312,137.198,198.719,59.143,139.633,175.574,32.154,133.019,145.182,61.154,101.889,63.059,46.562,45.646,78.914,47.742,187.869,93.504,13.455,113.017,166.674,226.647,126.986,135.720,23.706,170.947,74.603,213.459,148.085,67.717,72.129,84.832,111.309,61.333,105.049,82.134,207.375,106.917,74.181,194.500,113.000,80.798,141.490,214.737,208.280,106.118,178.023,127.761,92.385,95.377,52.090,114.222,132.821,68.913,170.545,163.150,49.365,118.000,55.407,113.399,113.000,138.528,66.233,59.900,183.409,99.114,103.081,195.976,93.341,122.000,64.849,92.954,154.625,154.053,73.617,6.762,141.316,146.918,32.500,151.314,151.852,363.385,152.452,35.309,153.591,118.770,198.412,53.444,104.339,141.632,89.208,117.314,69.961,26.952,143.206,156.749,40.409,87.354,101.384,147.125,181.228,139.104,155.773,101.326,123.317,121.838,129.303,129.900,161.000,158.108,63.661,290.647,159.623,68.482,118.952,142.740,27.478,102.750,155.156,58.008,95.459,94.824,110.493,229.889,137.629,116.494,47.969,107.778,91.584,43.000,104.248,178.997,356.438,112.604,66.150,22.500,174.986,67.642,38.000,181.223,65.816,89.857,166.612,181.636,57.286,98.255,141.888,133.308,100.734,52.455,143.900,148.501,27.366,40.839,143.449,23.461,49.833,153.500,24.336,116.375,119.082,103.935,78.812,110.333,99.129,128.118,167.820,61.091,143.000,171.908,82.831,170.062,128.555,101.993,43.238,155.179,84.163,320.778,140.120,121.775,131.290,95.198,23.053,121.892,77.530,80.887,144.062,100.918,93.214,100.095,115.998,121.380,66.562,104.637,34.737,213.000,100.941,104.012,14.136,123.281,72.656,180.378,70.119,78.444,202.270,145.913,36.100,4078.048,146.320,17.515,91.448,76.978,104.500,86.346,163.233,32.804,65.875,68.457,99.356,37.875,98.878,40.865,49.963,174.348,120.995,176.270,94.423,119.247,435.812,120.973,118.151,254.333,78.242,89.616,157.812,122.947,97.402,1.514,107.725,115.785,63.857,160.398,56.492,261.647,96.490,60.408,29.647,180.959,118.696,435.405,112.090,118.201,59.154,87.162,33.106,25.500,169.105,108.381,68.353,80.137,37.876,255.083,93.916,72.853,90.562,176.428,112.683,122.833,185.408,111.828,232.143,176.722,58.379,197.529,174.334,51.826,149.182,187.205,104.553,154.625,168.466,128.910
9,67.577,143.642,113.246,106.438,137.178,198.904,25.571,139.270,175.865,36.385,133.125,145.051,45.692,101.470,63.123,50.938,45.354,79.010,22.903,188.260,93.438,29.364,112.914,166.080,153.529,127.059,135.513,58.294,170.908,74.711,223.027,148.127,67.885,51.484,84.725,111.438,47.875,104.951,81.980,261.500,106.836,74.344,205.455,112.925,80.853,124.157,214.525,208.369,100.392,177.992,127.884,93.385,95.323,51.655,162.611,132.985,68.800,233.091,163.188,49.648,84.162,55.309,113.446,138.952,138.544,66.284,32.000,183.285,99.329,50.432,196.050,93.946,209.000,64.802,93.039,163.938,153.995,73.410,24.714,142.083,146.641,22.929,151.074,151.798,300.769,152.378,35.399,111.682,119.138,198.380,31.944,103.792,141.769,140.208,117.382,69.837,43.333,143.513,156.605,42.955,87.449,101.131,171.938,180.968,139.114,183.182,101.405,123.364,116.432,129.062,129.871,113.500,157.758,63.502,200.176,159.494,68.513,80.619,142.602,27.398,63.312,155.377,58.095,71.459,95.081,110.751,282.000,137.835,116.464,53.062,107.911,91.776,31.000,104.746,179.255,314.062,112.798,66.260,28.562,175.583,67.834,28.774,181.195,65.755,23.143,166.673,182.244,11.286,97.805,141.205,127.308,100.646,52.414,116.900,148.356,27.270,80.774,143.452,23.373,21.500,153.382,24.393,107.188,119.061,103.750,90.250,110.572,99.258,122.706,167.873,61.136,257.154,171.844,82.800,131.750,128.539,102.125,35.524,155.487,84.492,241.222,140.088,121.895,144.323,95.125,23.086,106.865,77.387,81.039,167.250,100.892,93.070,74.571,115.873,121.514,50.688,104.939,34.636,211.167,101.069,104.176,22.455,123.567,72.768,115.135,70.190,78.702,250.162,145.734,36.097,4083.476,146.322,17.513,19.448,77.077,105.075,74.308,163.553,32.702,52.500,68.309,99.550,26.500,98.163,40.584,89.519,174.432,121.147,195.730,94.517,119.398,410.188,120.915,118.040,258.933,78.260,89.719,136.438,123.124,97.352,19.297,107.062,115.542,137.000,160.427,56.428,217.294,96.432,60.300,65.294,180.644,118.432,249.730,112.086,118.259,54.846,87.352,33.220,61.333,169.259,108.324,70.118,80.485,37.637,204.250,93.825,72.931,142.625,176.526,113.069,124.000,185.438,112.008,206.071,176.908,58.307,281.824,174.365,51.836,203.818,187.132,104.686,139.250,168.516,128.878
10,145.077,143.671,113.064,180.688,137.075,198.417,43.286,139.307,176.300,31.923,133.216,145.316,23.423,101.985,63.105,28.188,45.598,78.669,39.677,188.185,93.457,25.818,112.964,167.085,253.059,126.988,135.791,30.941,171.029,74.685,217.189,148.153,67.855,106.194,84.799,111.741,68.750,105.152,82.138,267.125,106.833,74.366,171.864,112.906,80.868,126.314,214.764,208.243,96.588,178.115,127.987,108.692,95.452,51.996,208.222,133.068,68.898,292.182,163.161,49.285,87.297,55.336,113.354,182.952,138.528,66.161,75.267,183.248,99.194,64.703,196.137,93.617,118.750,64.751,92.786,200.125,153.971,73.407,26.667,141.946,146.982,13.714,151.663,152.102,410.615,152.435,35.382,113.500,118.602,198.300,81.667,103.756,141.780,106.625,117.815,70.199,27.524,143.066,156.739,49.136,87.304,101.140,157.250,180.912,139.295,160.364,101.184,123.208,77.622,129.084,129.938,150.222,157.700,63.414,276.706,159.635,68.481,158.238,142.647,27.660,57.312,155.226,58.322,88.919,95.185,110.598,235.833,137.684,116.562,43.594,107.837,91.921,56.647,104.560,179.436,317.188,112.729,66.086,25.438,175.188,67.923,22.323,180.991,65.664,33.571,166.599,181.996,29.714,98.139,141.411,76.462,100.817,52.139,147.100,148.532,27.147,65.290,143.520,23.315,41.167,153.579,24.125,109.125,119.154,103.914,96.312,110.503,99.098,69.471,167.973,61.551,236.538,171.997,82.755,190.312,128.522,102.202,49.429,155.338,84.309,226.333,140.113,121.725,166.387,95.118,23.220,92.000,77.346,80.709,154.000,100.969,93.118,142.667,115.894,121.506,50.375,104.983,34.711,203.000,100.998,104.315,22.136,123.391,72.694,180.108,70.083,78.507,185.189,145.965,36.092,4075.143,146.320,17.509,56.207,76.997,104.435,91.769,163.302,32.909,39.062,68.379,99.706,34.875,98.853,40.558,62.222,174.005,120.766,145.297,94.366,119.081,378.375,120.784,117.957,264.600,78.255,89.677,181.562,123.125,97.253,9.297,107.283,115.911,79.000,160.285,56.749,257.706,96.369,60.291,102.882,180.690,118.306,246.216,112.132,118.171,55.923,87.734,33.217,32.167,169.245,108.694,113.353,80.352,37.752,316.167,93.786,72.927,110.062,176.559,112.894,201.611,185.380,111.940,236.857,176.802,58.436,125.471,174.376,51.776,227.182,187.073,104.290,67.625,168.458,128.883
