 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35
1,115.316,109.299,166.217,80.667,106.299,160.408,54.238,100.048,153.934,63.238,108.321,214.441,24.174,100.213,145.714,33.233,105.821,151.617,70.393,93.327,193.136,78.045,112.798,162.668,33.025,94.542,116.523,23.938,134.426,171.626,78.286,102.283,210.466,63.345,92.328,159.263,85.167,87.179,158.186,37.833,123.680,168.435,183.118,107.385,157.099,44.545,123.554,160.724,37.118,117.669,160.780,143.517,97.447,160.504,45.677,127.026,171.211,29.941,113.401,218.396,67.838,117.792,173.618,132.583,118.131,168.056,149.955,89.978,153.514,5.500,65.958,101.677,17.405,129.824,174.532,9.409,56.696,103.866,13.917,69.229,97.876,17.077,135.149,177.990,20.250,124.911,151.337,72.375,95.438,150.332,25.290,98.901,149.926,13.278,127.574,177.584,33.500,129.044,169.118,77.667,130.234,161.090,14.100,112.219,151.239
2,99.038,109.164,166.074,89.667,106.632,160.491,51.810,99.898,153.699,101.381,108.292,214.498,26.928,100.368,145.749,23.900,105.756,151.832,83.770,93.169,193.224,64.591,112.729,162.547,36.200,94.521,116.080,31.000,134.489,171.098,132.000,102.323,210.324,34.172,92.375,159.373,79.792,87.061,158.043,60.333,123.690,168.658,210.706,107.255,157.043,23.227,123.812,160.480,41.176,117.974,161.078,130.552,97.529,160.541,56.323,126.777,171.217,66.941,113.412,218.259,73.189,117.701,173.582,141.444,117.967,168.016,168.636,90.097,153.702,22.067,65.838,101.289,61.838,130.090,174.312,1.318,56.714,103.406,13.750,69.300,97.844,6.308,135.186,178.001,22.375,124.497,152.291,64.750,95.577,150.362,50.710,99.046,149.704,14.500,127.624,177.961,40.125,129.085,169.311,77.750,130.291,161.154,12.600,112.392,151.866
3,98.051,109.419,166.384,103.567,106.490,160.282,67.476,100.085,154.076,84.000,108.232,214.414,50.899,100.617,145.657,29.667,105.882,151.597,67.869,93.261,193.150,95.591,112.895,162.570,44.125,94.550,116.106,21.062,134.931,171.741,102.476,102.329,210.415,86.862,92.396,159.636,106.208,87.017,158.168,96.278,123.591,168.760,247.824,107.366,157.064,26.227,123.474,160.326,34.235,117.668,161.049,189.103,97.508,160.393,43.161,126.566,171.218,45.882,113.433,218.442,92.000,117.711,173.743,157.056,118.361,167.986,182.636,89.912,153.511,17.733,65.800,101.538,50.541,130.054,174.184,10.000,57.449,103.988,36.167,68.959,97.690,25.308,134.957,178.040,17.438,125.074,151.706,52.125,95.423,150.247,42.516,99.331,149.883,34.667,127.243,178.001,43.438,129.037,169.187,79.167,130.177,161.046,8.300,111.979,151.745
4,135.114,109.474,166.229,96.733,106.431,160.457,33.238,100.069,153.935,105.238,108.197,214.631,46.493,99.944,145.903,33.633,106.002,151.852,51.574,92.973,193.178,98.636,112.628,162.183,30.550,94.576,115.893,22.375,134.701,171.637,94.095,102.172,210.277,47.793,92.340,159.313,108.375,86.984,158.128,82.833,123.651,168.558,302.235,107.282,157.016,56.000,123.575,160.661,53.765,118.033,161.240,188.690,97.498,160.546,39.935,126.766,171.308,41.706,113.334,218.593,75.622,117.571,173.490,155.639,118.293,167.915,217.591,90.182,153.424,20.300,65.479,101.705,85.189,130.003,174.394,0.545,57.350,104.444,29.333,69.430,97.684,15.154,135.298,177.922,16.938,124.766,151.877,20.375,95.344,150.144,86.774,98.814,149.855,21.333,127.499,178.022,28.000,129.099,169.028,80.417,130.395,161.144,10.700,112.065,151.603
5,134.278,109.425,166.080,141.667,106.215,160.249,23.905,100.247,153.821,109.429,108.337,214.465,39.826,99.997,145.535,36.167,106.061,151.854,50.492,93.024,193.341,120.773,112.819,162.589,45.650,94.546,115.793,12.250,134.474,171.261,95.429,102.202,210.242,105.897,92.285,159.433,94.917,86.972,158.338,82.222,123.712,168.770,187.059,107.217,157.105,49.091,123.605,160.511,65.882,117.842,161.156,147.000,97.467,160.656,37.548,126.815,171.022,61.176,113.342,218.241,122.649,117.830,173.831,143.222,118.195,168.075,148.636,90.110,153.540,12.067,65.618,101.809,81.838,130.055,174.272,1.500,57.026,104.296,20.333,69.275,97.674,11.615,134.997,177.779,47.062,124.858,152.234,92.250,95.207,150.214,44.258,98.698,149.926,29.556,127.397,178.193,58.625,129.165,169.099,116.083,130.300,161.159,6.400,111.871,151.513
6,119.291,109.283,166.076,137.533,106.367,160.420,72.000,100.301,153.958,77.619,108.398,214.370,44.087,100.305,145.526,40.033,106.275,151.613,76.492,93.154,193.071,152.409,112.609,162.492,27.825,94.342,116.325,26.125,134.625,171.225,129.476,102.137,210.378,89.931,92.373,159.489,94.583,87.156,158.097,73.278,123.676,168.667,213.882,107.416,156.986,30.909,123.059,160.419,42.941,117.813,160.760,213.931,97.434,160.562,95.032,126.727,171.391,32.235,113.485,218.527,76.270,117.704,173.966,152.833,118.171,168.053,192.818,89.977,153.640,7.833,65.080,101.772,52.432,130.123,173.998,4.455,56.904,103.841,33.500,69.784,97.553,32.077,134.772,177.792,7.188,124.616,151.869,58.750,95.508,150.321,115.613,99.145,149.923,29.056,127.434,178.381,48.812,129.029,169.121,119.375,130.310,161.208,28.800,111.873,151.527
7,153.342,109.421,166.224,76.100,106.341,160.460,48.762,99.695,153.748,77.333,108.295,214.435,39.391,100.745,145.583,41.133,105.945,151.638,53.607,93.018,193.107,92.818,112.663,162.518,27.525,94.760,116.356,14.812,134.415,171.929,64.905,102.385,210.313,106.517,92.340,159.527,67.250,87.129,157.985,68.111,123.684,168.632,153.118,107.179,156.984,42.864,123.408,160.480,58.118,117.771,161.072,236.172,97.503,160.458,66.452,126.483,171.121,25.765,113.382,218.505,92.378,117.700,173.785,152.556,118.519,168.063,140.364,90.176,153.602,19.433,65.904,102.032,73.946,129.990,174.391,0.000,NaN,NaN,34.833,69.304,97.625,27.000,135.180,177.966,23.938,124.735,151.444,97.875,95.348,150.400,93.032,99.023,149.691,34.944,127.222,178.174,65.312,129.110,168.724,134.083,130.193,161.235,27.900,112.355,151.705
8,158.203,109.385,166.115,104.833,106.424,160.183,99.286,99.975,153.918,78.000,108.386,214.672,63.971,100.965,145.508,76.900,105.818,151.916,49.213,93.404,193.202,122.864,112.639,162.327,47.725,94.549,115.933,15.438,134.485,171.485,70.048,102.509,210.280,101.034,92.086,159.379,147.917,87.140,158.547,86.778,123.674,168.443,261.588,107.217,157.089,70.455,123.600,160.593,27.294,117.775,160.726,197.759,97.603,160.378,102.065,126.764,171.070,59.235,113.389,218.248,97.784,117.852,173.899,135.167,118.342,167.936,185.455,90.180,153.635,22.800,65.981,101.643,52.432,129.893,174.203,7.773,57.344,104.444,44.708,69.094,97.614,9.231,134.966,178.614,48.750,124.616,151.812,71.500,95.194,150.323,81.355,98.940,149.709,38.167,126.934,178.037,39.062,129.062,169.311,119.667,130.281,161.062,18.100,112.509,151.284
9,111.620,109.472,166.126,106.400,106.316,160.329,36.190,100.215,153.769,88.238,108.298,214.197,60.435,100.593,145.421,60.300,105.811,151.699,32.492,93.058,192.811,124.636,112.955,162.378,37.275,94.756,116.090,11.250,134.382,171.148,92.333,102.307,210.564,119.172,92.382,159.281,96.458,87.245,158.096,39.111,123.445,168.697,180.647,107.246,156.926,49.045,123.276,160.544,64.824,117.576,160.762,199.655,97.437,160.548,113.742,126.680,170.989,45.471,113.386,218.368,149.514,117.637,173.981,128.528,118.341,167.961,148.455,90.107,153.423,17.767,65.837,101.709,48.757,130.257,174.424,0.000,NaN,NaN,20.958,69.792,97.560,16.077,134.701,178.076,5.062,124.316,151.634,39.375,95.374,150.092,77.032,98.948,149.829,30.333,127.366,177.855,102.000,129.105,169.326,138.375,130.497,161.016,16.200,111.761,151.473
10,158.911,109.240,166.260,100.633,106.534,160.294,45.905,100.087,153.981,97.714,108.368,214.423,93.681,100.534,145.502,37.467,106.108,151.524,39.410,93.095,193.270,101.318,112.835,162.504,46.575,94.542,116.170,42.625,134.485,171.547,98.762,102.232,210.451,106.828,92.169,159.521,91.875,86.910,158.567,82.167,123.781,168.652,243.588,107.322,157.177,63.318,123.155,160.387,34.000,118.266,160.806,193.483,97.493,160.433,109.032,126.567,171.058,43.824,113.302,218.584,91.405,117.638,173.791,168.722,118.274,167.826,158.591,90.020,153.575,19.300,65.642,101.372,83.027,129.989,174.296,6.045,57.608,104.215,22.417,69.346,97.696,39.154,135.161,178.054,12.938,124.571,152.605,33.750,95.060,150.383,97.935,99.074,149.863,29.333,127.768,178.323,69.312,129.161,169.196,93.625,130.382,161.077,18.500,112.286,151.908
11,139.241,109.163,166.183,97.167,106.305,160.264,44.190,100.148,153.465,93.381,108.299,214.509,74.551,100.668,145.500,53.167,105.884,151.895,62.754,93.236,193.362,126.773,112.811,162.447,46.150,94.602,116.333,16.875,134.735,171.306,71.524,102.331,210.489,107.000,92.168,159.533,125.292,87.012,158.363,59.611,123.760,168.517,217.235,107.195,156.960,51.227,123.284,160.564,58.294,117.847,161.023,195.207,97.551,160.523,86.387,126.762,171.032,81.647,113.423,218.403,100.919,117.432,173.877,169.583,118.403,167.773,158.545,89.970,153.510,37.067,65.740,101.777,71.027,130.096,174.250,1.955,56.784,104.502,51.417,69.289,97.613,37.154,135.279,177.813,14.062,124.774,151.972,43.875,95.582,150.386,67.097,99.196,149.718,16.667,127.345,178.794,66.938,129.035,168.816,104.208,130.356,160.990,7.500,112.106,150.964
