 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52,Mean53,XM53,YM53,Mean54,XM54,YM54,Mean55,XM55,YM55,Mean56,XM56,YM56,Mean57,XM57,YM57,Mean58,XM58,YM58,Mean59,XM59,YM59,Mean60,XM60,YM60,Mean61,XM61,YM61,Mean62,XM62,YM62,Mean63,XM63,YM63,Mean64,XM64,YM64,Mean65,XM65,YM65,Mean66,XM66,YM66,Mean67,XM67,YM67,Mean68,XM68,YM68,Mean69,XM69,YM69,Mean70,XM70,YM70,Mean71,XM71,YM71,Mean72,XM72,YM72,Mean73,XM73,YM73,Mean74,XM74,YM74,Mean75,XM75,YM75,Mean76,XM76,YM76,Mean77,XM77,YM77,Mean78,XM78,YM78,Mean79,XM79,YM79,Mean80,XM80,YM80,Mean81,XM81,YM81,Mean82,XM82,YM82,Mean83,XM83,YM83,Mean84,XM84,YM84,Mean85,XM85,YM85,Mean86,XM86,YM86,Mean87,XM87,YM87,Mean88,XM88,YM88,Mean89,XM89,YM89,Mean90,XM90,YM90,Mean91,XM91,YM91,Mean92,XM92,YM92,Mean93,XM93,YM93,Mean94,XM94,YM94,Mean95,XM95,YM95,Mean96,XM96,YM96,Mean97,XM97,YM97,Mean98,XM98,YM98,Mean99,XM99,YM99,Mean100,XM100,YM100,Mean101,XM101,YM101,Mean102,XM102,YM102,Mean103,XM103,YM103,Mean104,XM104,YM104
1,21.290,83.717,149.728,196.000,31.404,100.742,17.375,86.924,175.277,128.417,46.917,137.636,11.838,48.339,121.402,120.059,58.163,173.050,41.705,42.664,91.044,320.387,37.058,193.547,160.580,38.212,188.604,154.944,18.005,136.366,12.839,64.026,221.780,6.615,44.427,146.951,21.611,84.688,185.640,53.226,78.897,175.947,16.500,85.244,138.767,70.824,24.128,146.242,93.818,47.109,134.334,151.032,36.091,131.864,116.625,58.096,139.983,156.250,20.790,120.075,423.000,21.126,102.527,25.375,17.704,131.597,66.500,12.220,136.795,117.846,30.244,95.976,285.333,101.438,144.815,135.778,77.352,151.437,132.833,56.574,117.967,26.727,67.227,107.164,17.000,74.865,105.865,157.125,55.820,110.905,59.333,48.289,203.102,109.750,43.286,120.540,38.500,39.030,143.933,81.636,36.910,140.123,15.484,10.674,140.772,109.750,63.492,137.896,153.667,53.277,139.047,48.500,73.884,154.768,9.500,84.924,157.945,311.875,65.273,83.013,275.091,46.410,100.827,0.000,NaN,NaN,199.000,42.169,98.243,210.364,13.845,123.221,16.000,38.220,174.310,36.667,20.038,183.730,33.125,79.685,144.421,60.500,61.526,129.672,48.750,63.002,191.285,29.000,29.783,176.383,308.167,80.578,165.854,28.000,70.218,92.225,317.125,62.697,108.492,232.600,60.172,77.455,139.375,77.135,192.565,217.806,76.746,161.205,358.190,72.342,165.684,161.538,66.617,72.035,70.750,22.556,163.066,103.071,73.158,175.412,172.762,33.212,109.305,265.905,60.309,104.690,200.375,38.433,111.243,59.857,63.268,93.864,29.000,18.926,126.339,27.900,54.814,182.809,38.000,35.849,181.405,50.778,88.216,170.621,508.000,74.766,185.174,238.667,31.172,131.658,51.250,30.537,186.050,448.364,84.521,153.981,297.800,29.046,118.702,82.500,56.256,205.748,4.000,74.516,109.004,57.613,96.333,139.969,36.059,75.397,101.836,202.125,52.313,135.208,152.875,60.079,134.885,137.375,26.570,111.267,168.000,46.727,113.357,13.250,22.475,192.355,7.250,15.035,187.395,87.250,34.463,90.022,141.750,69.158,189.839,107.875,41.777,181.679,50.000,56.798,188.820,4.625,48.515,188.015,129.000,80.726,189.197,197.462,63.046,165.812,243.818,50.124,116.853,167.000,12.021,118.199,426.000,18.282,141.722,233.400,33.072,114.409,241.273,20.660,114.201,160.231,66.428,183.244,99.500,58.454,123.867,82.889,24.244,167.423,50.095,32.676,167.026,31.290,66.058,89.340,114.833,16.445,145.829,117.750,15.367,162.274,190.083,47.877,105.412,80.625,57.956,167.348
2,23.613,83.850,149.757,347.769,31.479,100.839,27.188,87.236,175.783,92.250,46.705,137.908,6.649,47.895,121.985,206.647,58.284,172.599,19.114,42.960,90.801,144.000,37.092,193.616,168.058,38.213,188.584,219.722,18.010,136.303,5.613,64.368,222.557,44.769,43.774,146.993,20.833,84.846,185.856,107.419,78.915,176.054,13.818,85.280,138.422,60.235,24.047,145.895,55.636,47.177,134.531,178.129,35.978,131.751,81.375,58.284,139.810,242.000,20.767,119.975,364.833,21.090,102.559,101.750,17.353,131.581,98.000,12.041,136.898,113.923,30.115,96.161,262.667,101.293,144.796,0.000,NaN,NaN,64.000,56.206,117.769,13.636,67.524,107.146,4.250,74.865,106.521,89.250,56.108,110.985,41.333,48.549,203.208,84.125,43.381,120.394,75.500,39.231,144.011,72.182,36.794,140.062,21.484,10.908,140.985,233.125,63.599,137.715,272.000,53.283,139.206,17.000,73.675,154.654,76.000,84.814,158.188,273.875,65.247,83.135,188.909,46.379,100.948,33.000,56.575,161.665,190.000,42.054,98.104,142.182,13.876,123.193,18.000,38.586,174.639,59.714,20.076,183.406,1.375,80.135,144.615,86.300,61.498,129.736,33.000,62.932,191.120,26.500,29.874,176.007,430.833,80.531,165.772,46.000,69.706,92.201,210.875,62.817,108.541,149.700,59.787,77.472,79.500,76.966,192.766,190.323,76.596,161.143,295.429,72.316,165.614,155.077,66.482,72.157,9.750,22.165,162.671,138.500,72.974,175.555,114.286,33.456,109.346,217.810,60.245,104.736,262.375,38.675,111.367,81.857,63.490,93.796,42.600,19.666,126.554,10.200,55.131,182.861,38.773,35.878,181.513,57.056,88.202,170.749,422.625,74.658,185.226,266.286,31.085,131.503,63.438,30.392,185.917,352.545,84.525,153.976,255.600,29.271,118.657,62.429,56.087,205.497,0.000,NaN,NaN,46.194,96.312,140.048,18.353,75.674,102.019,134.125,52.184,135.163,127.750,59.993,135.062,112.375,26.652,111.305,263.500,46.735,113.205,0.000,NaN,NaN,0.000,NaN,NaN,263.750,34.340,89.875,260.500,69.195,189.939,48.375,41.538,181.792,76.000,56.656,189.078,36.750,48.983,187.768,120.700,80.589,189.042,210.462,62.994,165.793,318.909,50.095,116.738,248.750,12.153,118.243,424.500,18.342,141.696,304.400,33.335,114.334,193.636,20.550,113.873,142.154,66.580,183.327,169.667,58.736,124.160,62.444,24.262,167.337,83.524,32.666,167.235,87.290,65.747,89.405,122.833,16.405,146.001,43.250,15.347,162.740,131.833,47.877,105.386,48.875,58.192,167.423
3,19.226,83.669,149.517,268.231,31.457,100.802,0.000,NaN,NaN,71.750,46.625,137.940,8.162,47.739,121.260,144.118,58.279,172.890,23.500,42.643,90.909,245.677,37.019,193.504,173.710,38.415,188.336,184.611,17.985,136.571,14.839,64.165,221.348,13.538,43.662,146.804,18.778,84.263,186.194,80.581,78.775,176.234,22.864,85.430,138.700,27.471,24.314,146.231,114.182,47.275,134.546,154.774,36.040,131.897,71.375,58.197,139.464,284.375,20.752,120.195,481.667,21.145,102.645,50.375,17.617,131.712,84.000,12.257,136.669,131.385,30.257,96.151,194.667,101.399,144.734,47.333,77.521,151.236,238.833,56.413,117.816,16.182,67.373,107.453,17.750,74.865,105.865,147.375,55.881,111.029,117.000,48.272,203.093,118.250,43.549,120.388,23.500,39.413,144.160,79.818,36.532,140.411,27.871,10.313,140.785,149.875,63.606,137.892,195.167,53.334,139.207,31.750,73.996,154.694,30.250,85.018,158.168,153.625,65.226,82.949,272.727,46.324,100.878,0.000,NaN,NaN,121.500,42.101,98.217,194.909,13.933,123.255,51.000,38.046,174.136,30.952,19.652,183.829,0.000,NaN,NaN,62.500,60.987,129.691,68.500,63.000,191.030,10.833,29.677,175.997,316.667,80.530,165.873,38.750,70.215,91.915,256.375,62.673,108.478,161.000,60.006,77.528,103.125,77.089,192.745,215.161,76.483,161.152,411.333,72.224,165.477,185.615,66.543,72.146,10.500,22.604,163.270,87.286,73.042,175.629,136.190,33.450,109.306,244.095,60.332,104.762,254.875,38.641,111.255,143.143,63.294,94.127,59.000,19.111,126.044,42.900,54.898,182.507,43.727,36.375,181.416,66.167,88.257,170.936,478.750,74.713,185.184,245.810,31.196,131.436,81.562,30.261,186.121,446.000,84.464,153.946,309.700,29.258,118.727,129.643,56.238,205.632,8.000,74.652,109.101,78.581,96.477,139.793,36.588,75.711,101.995,154.875,52.140,135.168,108.750,60.097,134.842,35.375,26.560,111.219,149.900,46.700,113.200,0.000,NaN,NaN,22.125,15.371,187.449,415.000,34.307,89.850,159.375,69.110,189.703,69.750,41.735,182.171,64.800,56.698,188.864,43.500,48.377,187.673,130.800,80.684,189.144,168.385,63.112,165.989,244.364,50.092,116.742,227.000,12.129,118.464,352.900,18.270,141.613,189.200,33.149,114.352,249.455,20.609,113.916,170.462,66.470,183.341,96.833,58.670,124.170,132.222,24.543,167.302,77.524,32.652,167.009,15.677,65.741,89.699,32.333,16.460,146.024,51.000,15.254,162.370,147.667,48.315,105.513,109.875,58.056,167.855
4,28.903,83.767,149.733,182.000,31.432,100.858,26.250,87.128,175.569,109.167,46.854,137.917,19.946,48.123,120.260,124.529,58.281,172.633,35.136,42.606,90.847,275.484,37.214,193.608,230.551,38.285,188.462,174.611,17.889,136.401,7.548,64.256,221.853,27.769,43.917,147.086,36.778,84.753,186.716,81.548,78.828,175.808,21.818,85.168,138.675,37.000,24.206,146.433,244.909,47.165,134.498,125.548,36.079,131.779,92.438,58.217,140.066,241.250,20.727,120.273,567.500,21.060,102.615,69.375,17.092,131.558,62.833,12.130,136.758,184.462,30.357,96.064,275.000,101.433,144.807,52.222,77.172,151.463,156.167,56.399,117.781,11.455,67.184,107.597,15.750,74.998,106.416,251.625,55.984,110.976,130.333,48.358,202.999,55.625,43.421,120.745,38.250,39.223,143.813,48.727,36.654,140.504,18.839,10.031,140.744,49.625,63.729,137.766,255.167,53.268,139.131,74.000,74.240,154.847,0.000,NaN,NaN,179.000,65.200,83.064,194.364,46.223,100.761,10.000,56.885,161.045,50.750,42.193,98.165,329.818,13.715,123.220,39.167,38.596,173.867,32.952,20.026,183.534,5.000,79.546,143.995,62.600,61.380,129.492,51.750,63.338,191.112,15.167,29.605,175.925,386.833,80.544,165.749,14.000,70.215,92.535,208.750,62.653,108.523,234.600,59.879,77.384,120.375,76.955,192.785,226.323,76.604,161.140,248.667,72.351,165.629,177.077,66.583,72.086,0.000,NaN,NaN,172.500,73.137,175.554,165.238,33.235,109.167,280.571,60.343,104.650,229.250,38.544,111.362,124.571,63.390,93.495,45.100,19.586,126.148,42.400,54.628,182.384,25.909,35.751,181.629,37.111,88.283,170.775,544.000,74.703,185.274,176.000,31.251,131.664,43.688,30.402,186.000,267.636,84.510,153.811,357.400,29.048,118.754,47.786,56.094,205.357,45.000,74.403,108.965,66.581,96.257,140.092,10.882,75.197,101.778,188.625,52.227,135.044,98.125,59.983,135.030,64.875,26.728,111.276,151.400,46.797,113.359,7.250,22.785,192.045,5.375,15.273,187.092,262.250,34.299,89.827,341.375,69.115,189.936,75.000,41.671,182.174,43.800,56.465,189.348,10.625,48.603,187.672,195.600,80.762,189.052,240.538,63.112,165.865,343.091,50.168,116.702,151.000,11.941,118.421,375.600,18.251,141.713,119.200,33.291,114.379,140.364,20.572,113.919,107.000,66.423,183.281,36.500,58.802,124.086,81.778,24.628,167.193,58.857,32.307,167.193,38.129,65.734,89.457,84.500,16.621,145.810,0.750,15.448,162.285,181.667,48.089,105.333,97.750,58.024,167.815
5,14.645,83.617,149.464,217.769,31.413,100.775,17.188,87.193,175.484,149.083,46.854,137.773,7.189,47.562,121.172,80.588,58.372,172.831,23.818,42.445,91.138,270.645,37.094,193.656,190.464,38.132,188.391,127.278,18.152,136.423,28.839,64.488,221.498,17.923,44.002,147.050,34.111,84.774,186.129,107.290,78.854,175.803,13.500,85.102,138.480,45.059,24.376,145.932,84.364,47.511,134.618,172.516,36.081,131.834,107.062,58.103,139.763,257.000,20.689,120.105,424.500,21.060,102.567,67.875,17.275,131.713,74.000,12.140,136.836,135.154,30.418,96.298,393.667,101.226,144.734,57.556,77.142,151.609,99.833,56.516,117.951,0.000,NaN,NaN,10.250,74.941,106.485,190.875,55.980,111.182,74.167,48.162,203.314,70.625,43.223,120.669,38.500,39.235,144.285,21.818,36.348,140.353,8.000,10.378,140.970,152.375,63.697,137.720,275.333,53.314,139.095,16.250,73.658,154.585,8.750,84.688,158.468,242.000,65.076,83.134,202.545,46.367,100.695,22.750,56.827,161.355,224.000,42.242,98.170,254.727,13.698,123.222,6.500,38.285,173.755,41.143,19.864,183.510,6.750,79.859,144.500,38.200,61.272,129.557,104.500,63.145,190.987,33.167,29.881,176.786,320.833,80.544,165.853,0.000,NaN,NaN,213.750,62.745,108.526,190.900,59.746,77.618,131.875,76.761,192.881,158.774,76.660,161.181,311.619,72.249,165.575,136.462,66.563,71.990,67.125,22.388,163.093,104.071,72.980,175.600,141.524,33.227,109.312,351.524,60.354,104.667,180.375,38.696,111.291,92.000,63.492,94.007,30.900,19.874,126.240,30.500,54.944,182.213,57.273,35.841,181.579,71.333,87.811,170.826,569.625,74.631,185.288,227.619,31.280,131.542,75.000,30.257,186.317,386.182,84.467,153.879,255.400,29.176,118.720,61.500,55.838,205.656,27.000,74.363,109.040,77.484,96.648,140.002,19.176,75.526,101.316,241.875,52.286,135.060,95.125,60.264,135.034,50.625,26.518,110.931,195.900,46.786,113.488,7.250,22.475,192.355,27.250,15.008,187.341,260.500,34.269,89.888,345.500,69.204,189.909,123.250,41.882,181.789,64.500,56.980,189.049,3.250,48.825,187.395,141.800,80.478,189.053,115.769,63.220,165.778,223.273,49.915,116.754,100.750,12.062,118.548,355.100,18.256,141.778,280.400,33.135,114.391,124.182,20.652,113.838,142.769,66.338,183.275,114.500,58.794,123.885,99.333,24.078,167.241,28.952,32.678,167.043,29.097,65.802,89.531,30.167,16.703,146.280,25.000,15.407,162.456,94.333,47.945,105.248,123.250,57.914,167.576
6,5.419,82.988,149.874,318.154,31.508,100.988,9.688,87.755,175.655,74.583,46.663,138.164,11.351,47.451,121.006,141.882,58.304,173.045,33.750,42.203,90.856,222.194,37.018,193.601,167.478,38.212,188.282,161.278,18.108,136.293,11.677,64.537,221.735,18.615,43.500,147.233,20.056,84.681,186.160,111.226,78.786,175.979,28.227,85.836,138.693,59.588,24.581,145.986,96.364,47.318,134.594,177.419,36.282,131.619,98.000,58.103,139.614,347.500,20.819,120.114,454.167,21.034,102.604,119.250,17.101,131.684,137.667,12.160,136.857,124.000,30.106,96.116,292.833,101.355,144.778,15.333,77.655,151.745,111.667,56.476,117.864,0.000,NaN,NaN,0.000,NaN,NaN,109.375,56.001,111.146,65.500,48.438,203.171,95.875,43.380,120.590,5.250,39.525,143.685,20.000,37.045,140.275,24.194,10.458,140.774,71.750,63.652,137.602,209.000,53.452,139.159,35.250,73.713,154.703,1.750,85.095,158.255,269.375,65.307,82.960,260.909,46.436,100.998,53.250,56.885,161.285,222.000,42.214,98.140,376.909,13.800,123.225,14.667,38.595,174.065,14.190,20.182,183.507,14.125,79.515,143.995,39.500,61.186,129.512,44.000,63.085,191.099,4.667,29.295,176.545,238.500,80.754,165.769,0.000,NaN,NaN,264.625,62.878,108.543,210.300,60.105,77.424,168.750,77.035,192.759,144.452,76.589,161.314,274.381,72.256,165.753,190.615,66.648,72.074,9.625,22.153,162.945,119.143,73.092,175.694,130.190,33.403,109.370,201.238,60.311,104.690,244.500,38.557,111.245,50.000,63.461,94.344,31.900,20.085,126.144,28.900,54.794,182.615,33.182,35.963,181.466,47.222,87.804,170.866,325.000,74.687,185.261,157.333,31.127,131.557,83.062,30.447,186.326,343.091,84.522,154.091,271.800,29.193,118.756,118.500,56.278,205.473,35.250,74.762,109.275,99.677,96.580,140.023,6.588,75.441,101.608,203.875,52.260,135.215,144.500,60.041,135.010,60.625,26.552,110.923,86.100,46.624,113.566,11.250,22.475,192.665,11.250,15.028,186.782,286.750,34.238,89.989,251.250,69.168,189.820,69.250,41.585,181.934,66.800,56.781,188.967,5.250,48.825,187.395,111.300,80.386,189.145,140.308,63.191,165.837,228.545,50.025,116.627,176.750,12.067,118.191,492.700,18.277,141.685,141.800,32.839,114.387,231.636,20.556,113.860,99.462,66.413,183.273,20.667,58.850,123.973,69.556,24.237,167.237,83.810,32.412,166.909,52.323,65.963,89.711,34.833,16.615,146.162,69.750,15.465,162.245,93.833,48.035,105.487,107.250,58.048,167.437
7,37.226,83.389,149.564,220.077,31.567,101.009,14.750,87.805,175.752,115.167,46.751,137.797,5.405,47.852,120.432,111.000,58.299,172.861,23.864,43.157,90.923,186.129,37.136,193.563,130.232,38.122,188.466,204.056,18.200,136.455,20.645,64.633,221.508,33.538,43.525,147.042,26.611,84.787,185.783,119.806,78.893,175.892,19.364,85.466,138.753,55.118,24.450,146.258,54.182,47.115,134.321,92.968,35.927,131.958,99.562,58.329,139.933,281.875,20.761,120.150,509.833,21.068,102.640,57.625,17.356,131.777,145.500,12.040,136.723,159.923,30.303,96.166,437.833,101.370,144.772,8.667,77.456,151.546,147.500,56.405,117.737,0.000,NaN,NaN,17.750,74.555,106.175,92.000,55.899,111.070,70.333,48.387,203.179,52.500,43.325,120.425,82.250,39.195,143.900,120.182,36.411,140.200,25.871,10.228,140.638,139.000,63.476,137.704,226.333,53.199,139.307,45.625,73.635,154.855,43.500,84.972,158.025,173.500,65.189,83.038,255.636,46.308,101.068,0.000,NaN,NaN,146.250,42.058,98.046,247.091,13.743,123.077,8.667,38.136,174.470,36.000,20.006,183.486,15.500,79.550,144.048,94.400,61.332,129.605,124.000,63.223,190.966,3.667,29.915,175.925,258.333,80.557,165.885,22.000,70.000,92.436,234.375,62.671,108.392,208.800,59.691,77.494,44.375,77.341,192.818,238.839,76.477,161.033,290.381,72.347,165.542,199.154,66.626,72.101,15.000,22.137,162.897,82.429,73.301,175.622,111.333,33.255,109.237,204.000,60.458,104.640,296.875,38.631,111.296,163.429,63.362,93.971,64.100,19.266,126.352,31.000,54.754,182.875,32.318,36.019,181.599,49.056,88.015,170.641,358.500,74.596,185.343,171.524,31.016,131.520,68.062,30.520,186.061,286.182,84.508,154.141,249.400,29.069,118.837,40.143,55.776,205.669,0.000,NaN,NaN,117.355,96.394,139.937,29.647,75.330,101.544,184.500,52.274,135.047,81.250,60.153,134.679,81.125,26.560,110.989,153.800,46.964,113.192,8.750,22.670,192.142,38.625,15.084,187.586,169.000,34.254,89.926,220.000,69.150,189.982,156.500,41.635,181.937,58.900,56.757,189.292,2.125,49.135,187.395,94.000,80.865,188.970,159.077,63.122,165.892,297.818,50.165,116.700,184.000,12.059,118.176,348.800,18.221,141.601,133.600,32.842,114.281,252.182,20.613,113.879,136.923,66.497,183.197,122.500,58.667,124.086,58.000,24.467,167.209,18.762,32.502,167.192,14.968,65.268,89.355,39.000,16.531,145.806,95.500,15.257,162.218,156.417,47.941,105.445,161.500,58.114,167.355
8,23.677,83.296,148.989,242.923,31.498,100.791,17.562,87.752,175.839,122.667,46.981,137.718,15.243,47.826,120.591,119.471,58.340,172.778,13.977,43.288,90.850,200.581,37.094,193.603,159.362,38.333,188.454,175.944,17.970,136.331,18.000,64.079,221.942,12.231,43.941,146.662,31.944,84.755,185.768,111.742,78.952,175.759,33.864,85.233,138.368,41.588,24.320,146.071,67.818,47.106,134.644,121.935,35.905,131.807,83.062,58.412,139.977,237.625,20.740,120.091,303.500,21.099,102.644,128.375,17.159,131.652,121.167,11.779,136.604,212.385,30.295,96.164,299.667,101.287,144.863,16.000,77.035,151.125,121.000,56.335,117.904,31.455,67.427,107.247,38.500,74.962,106.356,102.750,56.047,111.028,101.167,48.433,203.151,175.375,43.488,120.524,10.250,39.200,144.267,121.818,36.902,140.307,13.032,10.604,140.938,162.000,63.397,137.528,227.167,53.346,139.153,7.875,74.516,154.806,7.000,84.475,158.178,122.375,65.208,82.994,214.727,46.401,100.947,0.000,NaN,NaN,141.500,42.221,98.171,62.545,14.038,123.067,0.000,NaN,NaN,45.810,19.847,183.580,0.000,NaN,NaN,52.400,61.407,129.562,35.750,63.048,190.942,0.000,NaN,NaN,208.000,80.545,165.903,57.000,69.946,92.024,244.500,62.739,108.520,146.900,59.729,77.421,98.750,77.205,192.589,339.677,76.533,161.135,243.905,72.312,165.658,229.769,66.644,72.156,16.375,22.227,162.780,111.286,73.192,175.652,108.857,33.442,109.382,213.143,60.310,104.671,315.250,38.482,111.409,188.857,63.217,93.948,38.600,19.310,126.161,23.700,55.084,182.702,52.227,35.792,181.648,37.389,88.213,170.568,381.125,74.733,185.250,188.476,31.298,131.599,45.312,30.858,186.222,234.727,84.452,153.960,268.900,29.217,118.648,73.214,55.938,205.471,0.000,NaN,NaN,42.323,96.338,140.253,11.412,75.372,101.624,146.625,52.271,135.301,156.750,59.996,134.902,54.500,26.858,111.362,181.500,46.797,113.425,32.750,22.785,192.338,51.750,15.488,187.395,267.000,34.293,89.788,231.500,69.277,189.856,39.375,41.926,181.762,83.800,56.731,188.895,51.500,48.653,187.788,165.000,80.725,189.206,170.769,63.127,165.763,147.818,50.142,116.706,181.750,11.998,118.323,318.800,18.255,141.680,146.800,33.038,114.428,110.727,20.529,114.101,116.923,66.470,183.219,107.667,58.645,123.931,65.333,24.588,167.385,88.381,32.467,167.242,34.968,65.522,89.495,142.333,16.556,145.863,49.000,15.100,162.657,153.917,47.829,105.451,66.750,57.859,167.700
9,20.000,83.364,149.394,175.769,31.319,100.833,36.688,87.520,175.626,136.833,46.862,137.808,16.216,47.992,120.970,131.588,58.089,172.815,20.818,42.786,91.341,240.323,37.048,193.594,268.319,38.216,188.303,160.889,17.929,136.349,10.387,64.009,221.722,4.154,43.480,146.785,5.056,84.468,186.230,99.419,78.724,175.979,29.045,85.024,138.550,55.412,24.279,145.997,42.545,47.315,134.491,153.032,36.256,131.741,115.062,58.331,139.845,252.500,20.654,120.021,520.000,21.102,102.607,79.625,17.522,131.725,145.833,12.076,136.597,155.846,30.241,96.238,344.500,101.269,144.819,8.222,77.429,151.326,274.833,56.329,117.782,40.182,67.324,107.621,12.250,74.561,106.169,158.875,56.031,111.040,144.333,48.286,203.078,83.250,43.535,120.668,45.000,39.020,143.992,91.455,36.672,140.265,38.710,10.538,140.810,125.125,63.519,137.898,217.667,53.372,139.216,71.500,73.899,154.714,0.000,NaN,NaN,293.125,65.236,83.083,243.636,46.292,101.009,0.000,NaN,NaN,134.750,42.011,98.198,92.000,13.618,123.292,0.000,NaN,NaN,56.286,20.176,183.432,18.250,79.515,144.615,39.900,61.172,129.681,55.000,63.124,190.940,41.500,30.001,176.470,192.167,80.608,165.871,14.500,69.910,92.524,183.625,62.723,108.498,203.500,59.767,77.528,47.625,77.029,192.817,257.935,76.425,161.110,370.571,72.280,165.538,190.308,66.379,72.100,22.375,22.129,163.132,142.000,73.175,175.547,197.714,33.299,109.390,254.667,60.158,104.643,230.625,38.631,111.203,148.429,63.402,94.101,2.300,19.281,126.136,27.200,54.993,182.522,45.545,36.058,181.481,51.500,87.892,170.733,394.000,74.658,185.252,220.571,31.148,131.584,48.438,30.199,185.939,238.182,84.486,154.029,281.100,29.147,118.712,105.643,55.898,205.527,29.250,74.642,109.275,50.000,96.357,139.711,23.765,75.853,101.912,224.625,52.151,135.189,143.625,60.045,134.893,141.875,26.646,111.224,112.100,46.768,113.346,53.750,22.587,192.323,0.000,NaN,NaN,475.500,34.260,89.814,182.375,69.319,189.833,69.375,41.892,181.997,111.800,56.526,188.795,11.375,48.825,187.565,189.700,80.699,189.039,181.923,63.041,165.782,356.545,50.146,116.727,182.000,11.995,118.411,309.400,18.354,141.613,165.000,33.119,114.433,138.364,20.651,114.055,125.000,66.454,183.261,45.000,58.471,124.160,48.667,24.638,167.551,104.571,32.194,166.906,23.677,65.536,89.327,81.000,16.612,146.147,109.250,15.373,162.634,123.750,47.709,105.421,112.625,58.056,167.627
10,41.806,83.500,149.514,292.846,31.456,100.896,12.500,86.719,175.466,105.833,46.861,137.538,51.622,47.042,121.057,122.765,58.299,172.804,24.500,42.452,90.766,131.290,36.843,193.667,169.217,38.203,188.415,168.944,18.115,136.484,2.323,64.041,221.607,25.769,43.518,147.461,17.333,84.642,186.303,99.677,78.856,175.842,14.909,85.303,138.894,48.529,24.441,146.095,72.545,47.206,134.230,147.355,35.934,131.789,121.000,58.340,139.691,280.125,20.699,120.116,432.667,21.033,102.671,44.625,17.307,131.698,86.333,12.074,136.791,119.154,30.132,95.932,361.000,101.320,144.887,2.222,77.035,151.435,100.833,56.464,117.688,20.909,67.180,107.189,12.000,74.555,106.485,147.750,56.106,111.160,89.500,48.211,203.061,99.375,43.438,120.412,9.750,39.120,143.995,24.182,36.819,140.170,52.774,10.306,141.072,82.000,63.582,137.521,335.667,53.450,139.122,16.750,73.681,154.551,30.000,84.664,157.883,265.000,65.259,83.102,199.273,46.241,101.155,18.250,56.452,161.406,69.750,41.934,98.131,263.636,13.691,123.279,0.000,NaN,NaN,39.905,20.042,183.583,7.250,79.579,144.337,34.000,61.665,129.493,17.000,63.085,191.115,0.833,29.605,175.925,260.000,80.571,165.871,11.500,69.905,92.225,161.750,62.670,108.521,158.400,59.877,77.481,37.750,76.861,192.641,207.226,76.472,161.079,394.000,72.262,165.553,224.308,66.482,72.031,0.000,NaN,NaN,109.786,73.052,175.566,94.190,33.418,109.326,252.857,60.383,104.684,157.500,38.572,111.256,170.571,63.414,94.055,57.300,19.546,126.297,33.200,54.864,182.411,38.636,36.013,181.243,73.778,87.947,170.523,521.375,74.660,185.166,233.714,31.153,131.483,64.375,30.306,186.097,361.818,84.373,153.900,262.300,29.038,118.777,91.714,55.896,205.510,4.500,74.245,108.965,140.452,96.634,140.334,29.529,75.512,101.488,312.000,52.262,135.203,164.000,60.275,135.000,121.125,26.811,111.020,161.100,46.862,113.410,41.250,22.383,192.201,35.625,15.726,187.193,273.750,34.232,89.776,209.750,69.088,189.853,75.625,41.669,181.939,36.700,56.796,188.871,0.000,NaN,NaN,151.700,80.529,189.272,116.846,63.137,165.678,445.273,50.089,116.675,140.250,11.957,118.418,314.300,18.326,141.804,146.000,32.901,114.410,141.636,20.619,113.999,181.615,66.587,183.066,127.167,58.657,124.122,132.000,24.188,167.242,65.238,32.379,166.929,21.290,65.935,89.415,51.000,16.654,146.023,33.750,15.480,162.407,173.667,48.011,105.497,207.000,57.950,167.598
