 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18
1,75.556,166.046,98.273,354.278,185.563,70.355,48.633,64.606,52.559,27.267,181.328,100.434,66.688,209.741,131.728,332.968,191.673,73.617,107.615,213.453,135.499,96.902,190.922,123.497,278.273,184.077,78.953,146.714,135.091,67.985,320.967,148.097,66.726,27.881,121.148,79.269,79.946,198.904,108.004,69.333,198.770,115.271,314.500,155.875,56.932,49.071,176.376,41.841,99.804,161.557,30.487,32.955,171.799,90.367
2,57.889,166.416,98.610,259.000,185.329,70.356,29.700,64.636,52.756,33.733,181.700,100.745,42.750,209.807,131.554,237.613,191.586,73.654,117.615,213.503,135.579,98.196,190.722,123.593,246.864,184.075,78.822,130.333,135.003,68.291,265.333,148.084,66.769,19.524,121.166,79.247,98.054,199.319,108.054,83.700,198.711,115.176,381.611,155.829,56.839,22.607,176.392,42.099,164.392,161.659,30.450,20.364,171.294,90.508
3,86.444,166.176,98.374,271.222,185.531,70.398,41.200,64.546,52.767,13.300,181.723,100.997,59.750,209.631,131.682,270.903,191.694,73.591,106.923,213.481,135.488,102.667,190.934,123.428,259.864,184.004,78.891,165.524,135.058,68.499,290.667,147.923,66.580,27.310,120.851,79.477,102.324,199.085,107.899,98.600,198.721,115.129,360.000,155.802,56.898,34.429,176.545,41.768,108.824,161.682,30.461,14.455,171.561,90.491
4,48.361,166.246,98.745,242.111,185.306,70.407,45.000,64.452,52.705,20.900,181.617,100.860,69.062,209.802,131.664,231.097,191.619,73.621,75.923,213.545,135.418,99.255,190.943,123.312,269.818,184.248,78.944,127.905,135.142,68.268,259.800,148.097,66.725,26.476,120.614,79.463,44.649,199.197,108.254,76.667,198.707,115.045,380.500,155.789,56.945,48.500,176.511,41.803,147.451,161.861,30.470,21.909,171.923,90.674
5,47.222,166.155,98.341,299.500,185.344,70.442,25.967,64.459,52.371,45.500,181.706,100.842,49.312,209.662,131.591,225.935,191.479,73.577,98.462,213.476,135.531,119.882,190.769,123.285,272.409,184.055,78.879,130.619,134.964,68.435,228.733,148.054,66.692,36.262,121.239,79.038,85.189,199.286,107.726,91.467,198.744,115.291,379.500,155.785,56.929,49.250,176.645,41.796,134.353,161.615,30.349,26.955,171.747,90.492
6,65.861,166.248,98.588,230.722,185.372,70.482,52.167,63.830,52.386,35.467,182.023,100.518,59.812,209.701,131.880,262.774,191.725,73.798,149.538,213.483,135.534,91.098,190.859,123.400,262.409,184.109,78.816,139.476,135.121,68.417,299.933,148.069,66.783,35.714,121.059,79.495,46.054,199.029,108.215,76.967,198.995,115.364,372.111,155.831,56.852,28.143,176.753,42.321,112.353,161.599,30.386,34.773,171.597,90.397
7,66.833,166.351,98.761,268.944,185.443,70.355,53.333,64.751,52.801,23.633,181.793,100.361,31.562,209.693,131.644,203.032,191.684,73.569,92.846,213.577,135.516,89.059,190.881,123.657,207.273,184.256,78.804,136.333,135.141,68.237,290.300,148.159,66.668,51.119,120.554,79.545,86.216,199.387,108.106,110.200,198.717,115.050,326.722,155.826,56.854,48.393,176.557,42.027,98.471,161.636,30.544,49.409,171.565,90.212
8,74.389,166.269,98.507,249.444,185.431,70.265,29.067,64.298,52.337,22.467,181.709,100.385,26.812,209.919,131.979,224.968,191.701,73.653,98.692,213.438,135.462,73.569,191.156,123.182,266.636,184.070,78.750,131.048,135.006,68.241,360.700,148.055,66.784,47.500,120.746,79.404,114.865,199.442,108.148,62.733,198.787,115.275,427.667,155.821,56.984,14.357,176.643,42.151,115.961,161.644,30.497,19.864,171.782,90.769
9,34.639,166.209,98.484,317.500,185.419,70.447,29.200,64.095,52.187,36.267,181.796,100.279,25.375,209.583,131.576,278.516,191.616,73.704,97.462,213.446,135.382,108.667,190.757,123.611,281.182,184.226,78.752,162.048,135.045,68.413,297.567,148.177,66.780,33.429,121.043,79.554,61.568,199.125,108.208,102.700,198.764,115.017,411.222,155.889,56.888,54.000,176.542,41.985,96.549,161.666,30.394,21.409,172.162,90.749
10,80.694,166.205,98.098,267.944,185.258,70.455,29.967,64.383,52.288,17.100,181.622,100.763,42.188,209.757,131.489,244.903,191.546,73.572,71.154,213.418,135.324,97.529,190.574,123.412,287.136,184.168,78.769,175.143,135.027,68.329,234.200,148.232,66.776,25.429,120.639,79.742,69.514,199.137,108.126,95.600,198.747,115.126,391.722,155.805,57.035,26.964,176.610,41.780,127.333,161.654,30.431,35.773,171.731,90.417
