 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45
1,234.233,44.522,153.880,26.765,31.941,130.174,148.667,30.829,125.317,37.308,64.568,148.724,38.562,116.336,194.755,133.226,57.248,170.396,137.484,60.467,175.874,22.919,65.618,176.661,83.200,66.208,171.720,19.294,40.085,138.769,194.516,60.405,167.318,4.381,112.658,196.985,73.056,61.756,159.876,106.600,68.123,155.038,16.476,47.363,124.256,39.917,68.890,144.577,70.500,115.971,182.901,162.250,90.323,170.008,246.381,113.774,189.998,48.034,85.627,152.789,169.423,78.139,217.055,6.979,95.858,180.407,57.385,93.940,198.623,30.636,86.831,187.980,100.941,84.859,174.306,206.571,88.426,199.040,427.189,47.528,165.497,43.529,88.704,190.878,74.750,72.354,218.659,323.333,62.850,186.071,261.333,65.715,183.222,227.375,74.348,212.219,79.808,77.329,154.368,56.759,41.315,94.496,65.833,51.678,127.832,65.571,55.296,153.974,57.800,81.725,221.803,147.730,52.636,143.456,183.098,24.231,127.258,27.538,38.425,132.263,73.600,60.111,154.935,14.216,53.119,114.823,11.657,60.190,144.430,119.292,75.744,146.163,159.750,79.342,210.828
2,187.100,44.594,153.871,30.824,31.785,130.420,131.762,30.484,125.358,43.615,64.415,148.521,43.125,116.150,194.619,139.806,57.170,170.373,220.645,60.674,175.905,32.757,65.607,176.623,67.200,66.061,171.937,25.000,40.346,138.688,205.484,60.352,167.303,19.238,112.594,196.768,44.944,61.468,160.013,136.600,68.213,155.023,7.286,47.646,124.102,43.958,68.967,144.794,78.812,115.896,183.041,171.750,90.408,169.858,245.190,113.796,190.210,24.000,85.726,152.492,166.615,77.861,217.158,28.723,95.810,181.633,157.769,94.106,198.435,31.909,86.976,187.659,148.745,84.970,174.191,182.000,88.417,198.842,386.054,47.530,165.313,64.588,88.490,191.005,47.438,72.609,218.905,293.833,62.735,186.076,284.000,65.659,183.393,206.000,74.315,212.434,85.154,77.385,154.538,34.414,41.329,94.739,97.222,51.926,128.103,86.200,54.952,154.357,33.700,81.947,221.811,145.784,52.709,143.278,159.608,24.418,127.185,66.231,38.344,132.057,80.867,60.272,154.826,6.703,53.405,115.300,22.057,60.408,144.395,150.375,75.640,146.218,128.312,79.325,210.776
3,246.500,44.540,153.836,55.294,31.524,130.811,166.190,30.669,125.540,64.923,64.343,148.655,39.000,116.418,194.557,88.645,57.183,170.340,162.452,60.493,175.774,14.270,65.579,176.627,149.900,66.006,171.813,21.235,40.241,138.874,160.194,60.322,167.374,18.095,113.456,197.159,59.556,62.041,160.065,58.200,68.206,154.930,24.667,47.233,123.914,42.417,68.800,144.842,106.062,116.046,182.892,147.938,90.257,169.951,253.095,113.808,190.025,56.724,85.597,152.439,174.731,78.183,217.111,8.681,96.159,181.066,150.923,94.168,198.348,26.091,86.870,187.798,151.373,84.848,174.368,161.571,88.333,199.199,386.432,47.526,165.377,59.176,88.557,190.839,54.938,72.595,218.654,330.917,62.754,185.995,132.667,65.597,183.344,277.125,74.288,212.407,60.000,77.278,154.191,38.276,41.313,94.471,83.778,51.901,128.174,72.171,54.931,154.202,40.000,82.166,221.583,120.703,52.726,143.338,213.725,24.341,127.212,79.231,38.350,132.113,85.533,59.950,155.184,24.162,53.442,115.184,23.800,60.473,144.366,171.458,75.873,146.218,146.938,79.419,210.865
4,262.400,44.490,153.829,28.765,32.188,130.862,129.000,30.544,125.441,76.462,64.485,148.599,43.625,116.103,194.545,95.806,57.023,170.285,176.516,60.495,175.971,30.432,65.745,176.461,125.100,66.153,172.010,14.588,39.994,138.475,264.452,60.371,167.184,21.333,113.001,197.281,26.611,61.830,159.760,66.900,68.037,155.200,9.381,47.785,124.216,27.833,68.824,144.658,144.500,116.120,183.058,122.625,90.355,169.758,207.857,113.882,189.974,42.310,85.636,152.498,154.731,78.120,217.110,10.936,96.113,180.865,128.000,94.038,198.622,27.773,87.223,187.546,128.078,84.859,174.416,136.048,88.286,199.282,390.973,47.633,165.301,49.941,88.803,191.206,90.375,72.626,218.747,386.250,62.765,185.947,145.667,65.705,183.225,252.667,74.262,212.262,53.731,77.370,154.214,40.552,41.426,94.579,77.389,51.887,127.950,98.600,54.812,154.329,78.600,81.549,221.771,141.676,52.736,143.528,228.118,24.303,127.234,55.615,38.593,132.100,79.467,59.905,154.994,15.514,53.412,115.102,44.600,60.457,144.459,134.458,75.837,146.103,132.062,79.205,210.953
5,261.700,44.434,153.862,13.471,31.623,130.833,111.143,30.883,125.418,38.154,64.210,148.541,57.938,116.239,194.628,133.677,57.174,170.286,140.258,60.442,175.944,48.973,65.366,176.802,59.400,65.952,171.870,20.941,39.907,138.303,151.806,60.330,167.278,19.190,112.748,197.453,53.278,61.802,160.145,91.600,68.460,155.010,36.762,47.619,123.904,26.500,68.880,144.210,90.438,116.044,182.987,134.250,90.369,169.786,210.810,113.861,190.049,63.103,85.786,152.769,158.808,78.062,216.958,11.149,96.099,180.509,113.923,94.273,198.543,34.227,86.943,187.388,178.431,84.929,174.143,170.571,88.345,198.913,421.297,47.619,165.366,84.824,88.822,190.953,63.438,72.609,218.635,380.250,62.753,185.914,164.667,65.592,183.262,286.292,74.354,212.285,54.923,77.591,154.760,72.724,41.442,94.699,101.500,51.984,127.808,74.371,55.061,154.410,27.900,81.575,221.549,182.811,52.638,143.465,184.510,24.564,127.144,57.692,38.682,131.640,116.833,60.020,155.160,19.297,53.518,115.254,25.657,60.755,144.744,173.792,75.634,146.237,208.688,79.403,210.806
6,231.800,44.583,153.863,52.000,31.773,130.755,194.000,30.865,125.355,124.769,64.371,148.707,43.375,116.249,194.883,136.710,57.215,170.331,128.645,60.531,175.939,19.243,65.692,176.764,61.800,66.021,171.773,40.647,40.092,138.543,191.097,60.323,167.311,12.762,113.029,198.436,50.611,62.089,160.067,145.200,68.213,154.881,20.762,47.307,123.821,37.750,68.711,144.735,41.125,115.863,182.715,172.062,90.394,169.961,191.810,113.885,190.064,51.034,85.665,152.438,137.423,78.136,216.855,10.979,96.146,180.711,109.077,94.105,198.371,48.636,87.026,187.355,122.118,84.825,174.075,170.238,88.423,198.848,357.243,47.564,165.430,99.471,88.606,190.946,109.375,72.682,218.818,336.667,62.733,186.029,259.000,65.594,183.234,329.500,74.385,212.353,70.115,77.286,154.386,62.345,41.373,94.689,92.889,52.029,127.966,70.229,55.334,154.315,39.000,81.443,221.748,161.676,52.450,143.434,205.373,24.387,127.215,57.385,38.247,131.905,100.800,60.156,155.105,22.378,53.134,115.542,30.800,60.300,144.706,143.708,75.931,146.135,157.812,79.270,210.967
7,291.733,44.518,153.797,26.294,32.068,130.862,166.810,30.584,125.383,74.231,64.592,148.955,54.000,115.862,194.735,68.516,57.285,170.183,200.065,60.482,175.867,17.892,65.886,176.403,72.400,66.110,171.781,67.412,40.401,138.469,191.871,60.351,167.223,5.571,113.173,197.002,53.444,61.830,159.772,94.500,68.331,154.963,18.714,47.328,124.574,30.458,68.893,144.726,63.750,116.055,182.907,196.500,90.408,170.032,268.000,113.639,190.228,39.552,85.717,152.460,149.615,78.026,216.921,17.404,95.902,180.942,129.077,94.033,198.509,31.591,87.469,187.399,190.235,84.771,174.208,108.286,88.128,198.813,325.568,47.494,165.367,23.882,89.014,191.198,121.000,72.464,218.861,402.083,62.843,185.977,223.333,65.614,183.286,333.542,74.252,212.340,94.308,77.351,154.570,76.517,41.203,94.730,108.611,51.819,127.998,56.857,55.206,154.122,60.600,81.244,221.775,182.649,52.557,143.338,280.235,24.425,127.208,93.385,38.324,132.010,96.500,60.246,155.097,18.757,53.329,115.354,10.686,60.688,144.553,174.042,75.803,146.434,152.500,79.311,210.884
8,254.500,44.580,153.772,57.529,31.934,130.573,190.905,30.754,125.433,55.000,64.586,148.571,85.250,116.185,194.638,95.484,57.207,170.303,195.097,60.573,175.854,34.108,65.839,176.614,42.800,66.197,171.776,44.824,40.442,138.701,198.839,60.377,167.117,18.619,113.123,197.792,61.278,61.860,159.775,159.800,68.269,155.069,13.143,47.414,124.148,35.333,69.087,144.947,71.875,115.902,183.134,158.688,90.341,169.914,310.667,113.808,190.056,62.966,85.595,152.511,191.462,78.114,216.996,5.447,96.122,181.476,48.462,94.042,198.486,35.591,87.212,187.567,154.314,84.835,174.286,137.905,88.288,199.012,464.486,47.572,165.407,43.059,88.937,191.182,108.562,72.616,218.980,405.583,62.817,186.045,136.667,65.691,183.090,308.292,74.361,212.347,70.231,77.224,154.511,61.414,41.407,94.547,117.889,51.753,127.925,74.686,55.231,154.031,28.700,81.138,221.755,115.459,52.538,143.233,182.392,24.383,127.152,89.769,38.346,132.014,89.400,59.895,155.041,8.649,53.254,114.913,25.257,60.624,144.535,148.458,75.901,146.188,157.625,79.382,210.911
9,209.400,44.425,153.808,39.647,31.609,131.057,127.381,30.749,125.376,40.615,64.503,148.846,116.062,116.268,194.410,157.613,57.235,170.513,144.516,60.381,175.829,14.432,66.063,176.682,28.500,66.492,172.034,44.235,40.172,138.588,157.161,60.322,167.207,33.000,112.919,197.520,47.722,61.621,160.119,103.400,68.234,154.871,20.333,47.328,124.347,31.958,68.834,145.316,121.062,115.905,183.017,138.438,90.411,169.950,241.667,113.755,190.110,42.310,85.503,152.811,170.385,77.976,217.150,18.936,96.136,180.866,111.538,94.016,198.430,34.045,87.333,187.714,139.686,84.904,174.452,122.619,88.416,199.041,420.216,47.520,165.343,54.588,88.831,191.233,100.438,72.312,218.902,396.250,62.833,185.991,236.333,65.677,183.285,238.833,74.435,212.310,85.769,77.190,154.556,53.690,41.452,94.608,149.500,51.891,127.882,140.600,55.124,154.166,51.800,82.125,221.913,115.297,52.592,143.435,216.431,24.456,127.289,50.846,38.246,132.097,112.367,59.800,154.980,24.054,53.398,115.076,9.371,60.878,144.415,123.708,75.715,146.238,176.375,79.435,210.820
10,227.467,44.582,153.689,47.824,31.456,130.541,153.667,30.733,125.450,81.692,64.640,148.797,65.375,115.930,194.709,56.194,57.119,170.493,164.710,60.383,175.845,22.162,65.634,176.324,90.100,65.767,171.927,53.941,40.216,138.538,171.097,60.305,167.348,22.524,112.709,197.489,38.389,61.718,159.628,109.800,68.199,155.043,3.048,47.551,123.438,27.042,68.927,144.970,77.812,115.892,183.120,146.812,90.363,169.919,247.524,113.795,190.077,44.897,85.615,152.717,149.038,77.956,216.887,27.447,96.181,180.307,165.231,94.035,198.576,21.955,86.985,187.402,180.078,84.903,174.297,137.952,88.219,199.172,327.351,47.595,165.416,71.353,88.987,191.264,106.938,72.372,218.960,398.583,62.811,186.070,185.333,65.605,183.169,235.000,74.396,212.408,87.808,77.391,154.398,69.138,41.136,94.962,112.944,51.854,127.689,77.657,55.211,154.091,22.100,81.416,221.899,143.189,52.612,143.438,225.333,24.449,127.236,68.769,38.398,131.876,100.100,59.955,155.067,32.270,53.364,115.401,15.686,60.756,144.319,111.750,75.586,146.314,195.500,79.330,210.789
