 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52
1,88.727,145.521,169.490,309.000,147.388,175.173,3.226,167.419,180.067,77.812,198.717,170.600,49.000,140.890,161.034,34.000,93.255,73.978,97.111,87.554,61.117,23.889,90.632,56.431,10.041,201.629,158.808,11.706,164.555,166.708,191.000,199.478,132.089,14.426,146.511,80.599,61.048,113.916,73.449,117.490,84.456,66.639,203.389,87.759,74.576,74.973,94.827,68.228,11.843,163.872,161.396,154.933,153.164,170.824,23.767,128.391,69.612,13.688,115.682,66.379,29.091,115.037,48.021,130.129,139.832,133.431,106.054,157.405,182.594,96.294,142.652,157.142,73.137,195.119,108.495,124.474,134.101,174.803,237.600,95.296,178.937,51.923,127.225,171.392,29.727,140.048,106.467,57.846,193.145,127.324,14.167,196.338,91.649,1.081,174.995,78.585,13.308,110.818,69.780,102.000,171.280,161.103,40.310,113.357,137.444,26.773,167.590,118.865,24.567,157.977,124.078,51.038,208.893,159.365,49.529,141.427,179.853,59.333,149.774,181.779,99.125,154.717,166.080,14.538,184.699,142.637,8.111,180.110,173.377,8.875,190.561,158.788,94.690,200.760,146.999,86.865,93.408,59.636,45.600,107.841,54.221,2.938,158.855,116.761,0.806,171.553,97.196,4.941,132.835,162.905,145.125,89.757,67.236,0.375,141.412,173.600
2,903.409,145.385,169.362,536.333,147.347,175.084,8.452,167.633,180.151,67.188,199.120,170.744,54.773,140.935,161.125,18.154,93.075,73.989,112.389,87.531,61.042,11.472,90.647,56.834,26.286,201.073,159.005,23.176,164.213,167.479,125.375,199.380,132.031,42.383,146.630,80.255,52.190,114.092,73.346,70.941,84.451,66.442,162.167,87.864,74.776,83.892,94.704,68.167,52.275,163.671,161.669,116.867,153.259,170.977,13.233,128.750,69.455,19.625,116.150,66.065,15.500,115.313,48.144,22.645,139.709,133.327,123.622,157.763,182.680,130.353,142.577,157.152,103.137,195.094,108.904,88.124,134.084,174.712,254.833,95.282,178.986,56.154,127.171,171.204,24.636,139.822,106.320,41.615,192.978,126.830,13.889,196.324,91.252,16.432,174.321,78.629,18.231,110.936,69.090,97.345,171.296,161.177,42.397,113.353,137.409,26.455,167.919,118.942,19.733,158.257,124.330,46.769,209.092,158.908,79.647,141.748,180.041,19.167,149.865,181.969,157.583,154.706,166.356,40.923,184.747,142.647,9.278,180.105,174.399,15.250,190.580,157.854,13.621,200.891,146.715,76.216,93.563,59.703,107.367,107.747,54.126,2.500,158.720,116.545,1.778,172.069,97.442,5.471,132.212,162.235,182.750,89.782,67.223,2.188,140.877,172.896
3,1441.955,145.433,169.366,138.056,147.371,175.219,6.968,168.115,180.271,22.438,198.967,170.680,85.364,140.977,160.979,85.154,93.389,74.236,82.611,87.358,61.257,8.417,90.996,56.602,26.531,201.490,159.134,3.118,164.367,167.649,157.688,199.421,131.771,28.766,146.668,80.403,109.429,113.961,73.255,111.569,84.582,66.743,134.833,87.750,74.818,107.297,94.754,68.156,27.843,164.113,161.876,142.800,153.263,170.881,6.833,128.123,69.934,29.500,116.072,66.665,26.227,115.420,47.996,13.032,140.066,133.495,104.054,157.427,182.603,116.765,142.621,157.147,104.824,195.238,108.812,117.979,134.012,174.748,269.167,95.162,178.963,75.462,127.321,171.295,8.773,139.880,106.699,33.923,192.910,127.373,16.278,196.393,91.455,7.081,174.053,77.901,28.154,110.813,69.350,94.414,171.203,161.236,53.207,113.487,137.407,28.091,168.052,118.863,23.033,158.351,124.217,55.769,209.330,159.407,99.059,141.470,179.907,24.583,149.794,182.339,114.667,154.551,166.144,0.615,185.225,142.445,26.500,180.023,173.520,17.438,190.705,157.739,10.103,200.425,146.702,104.649,93.613,59.784,52.300,107.695,54.374,16.500,158.721,116.984,6.333,172.259,97.524,0.882,132.215,161.975,159.750,89.880,67.176,0.125,140.585,173.755
4,815.955,145.440,169.349,212.278,147.279,175.066,442.129,167.344,180.346,67.625,198.785,170.596,30.909,140.443,161.110,37.615,93.368,74.341,108.056,87.286,61.105,19.528,91.074,56.340,11.592,201.507,159.073,18.000,164.042,167.591,189.812,199.471,131.956,17.957,146.646,80.482,101.429,113.945,73.251,81.373,84.550,66.799,204.444,87.742,74.727,71.784,94.608,68.143,30.078,163.774,161.713,147.933,152.890,171.033,14.300,128.683,69.714,12.375,116.267,66.442,7.955,115.204,48.079,7.677,139.043,133.559,101.297,157.495,182.546,142.882,142.685,157.171,98.863,195.324,108.545,105.588,133.801,174.863,248.600,95.235,179.050,90.538,126.965,171.251,19.091,140.160,106.678,50.231,193.161,127.034,14.611,196.460,91.867,12.919,174.402,78.103,11.077,110.962,69.529,85.552,171.236,161.531,86.000,112.781,137.329,85.227,168.068,118.899,19.433,158.124,124.365,43.885,209.119,159.152,46.471,141.830,180.161,28.167,149.672,182.504,147.792,154.702,166.052,9.692,184.935,142.927,10.167,180.011,173.318,16.062,190.735,157.811,6.655,200.301,147.405,96.919,93.535,59.352,41.333,107.713,54.267,7.625,158.433,117.320,6.306,172.119,96.957,1.176,132.835,162.595,161.875,90.000,67.217,0.438,141.205,172.825
5,52.409,145.154,169.562,241.611,147.170,175.118,141.677,167.316,180.377,27.875,198.820,170.444,50.591,140.775,160.787,98.385,93.330,74.159,107.667,87.306,61.164,15.444,90.914,57.484,30.980,201.056,158.971,34.412,164.416,167.048,164.812,199.527,132.016,31.149,146.866,80.321,87.524,113.835,73.381,106.157,84.449,66.458,195.000,87.838,74.606,95.946,94.793,68.040,25.294,164.022,161.517,161.700,153.183,170.678,16.267,128.458,69.686,22.812,116.130,66.206,49.182,115.375,48.133,44.903,139.918,133.090,70.595,157.181,182.662,115.235,142.870,156.945,108.627,195.186,108.861,110.412,134.110,174.539,298.767,95.194,179.097,94.846,127.194,171.385,29.364,139.793,106.779,60.462,192.813,126.683,25.000,196.175,91.561,12.973,174.582,78.207,11.308,110.667,69.382,102.759,171.357,161.318,84.724,113.009,137.296,43.318,167.755,119.048,20.867,157.795,123.914,39.000,209.047,159.140,60.235,142.096,180.215,45.000,150.072,181.731,121.167,154.607,166.268,2.154,183.985,142.755,14.000,179.609,173.491,5.875,190.277,158.733,0.862,199.857,147.405,111.135,93.476,59.984,56.367,107.641,54.350,8.750,158.297,117.477,4.222,172.568,97.136,2.118,132.525,161.975,171.562,89.839,67.115,1.562,141.515,173.135
6,118.500,145.663,169.519,452.333,147.376,175.128,6.710,166.583,180.268,55.438,198.928,170.697,904.273,140.805,161.063,56.462,93.297,74.074,86.278,87.652,61.001,20.750,90.826,56.923,16.939,201.984,159.188,33.647,164.453,167.284,232.312,199.508,132.039,24.383,146.950,80.466,72.667,113.959,73.263,100.431,84.525,66.579,181.333,87.840,74.703,116.595,95.021,68.199,37.294,163.958,161.827,136.800,153.079,170.984,26.767,128.533,69.719,1.000,116.424,67.115,11.045,115.253,48.148,26.452,139.090,133.411,74.649,157.349,182.667,104.294,142.784,157.261,130.706,195.235,108.710,97.897,133.911,174.737,247.867,95.316,178.886,104.846,127.227,171.231,29.045,139.939,106.559,24.846,192.902,127.382,6.389,196.482,91.397,11.297,173.909,77.966,6.885,111.197,69.910,85.138,171.445,161.240,73.121,113.279,137.304,34.045,168.087,118.945,18.833,158.342,123.763,27.154,209.342,159.265,79.176,141.636,180.027,32.417,149.765,182.676,119.833,154.593,165.814,2.769,184.571,142.617,16.889,179.698,173.177,12.938,190.865,158.327,11.241,200.587,147.144,94.000,93.486,59.988,42.767,107.653,54.336,7.500,158.978,116.043,11.083,172.389,96.988,2.235,132.199,162.938,209.062,89.724,67.183,1.188,140.275,173.135
7,46.500,145.245,169.599,172.444,147.265,175.257,0.000,NaN,NaN,1126.375,198.900,170.457,1193.045,140.799,161.030,52.692,93.604,73.880,103.889,87.393,61.192,96.361,91.009,57.202,19.551,200.849,159.225,26.118,164.604,167.374,101.250,199.468,132.183,46.553,146.688,80.576,17.714,113.698,73.105,99.725,84.542,66.553,211.500,87.760,74.786,145.243,94.815,68.047,18.196,163.466,161.581,118.667,153.107,171.124,17.900,128.321,69.672,20.688,116.472,66.698,32.500,115.868,48.025,13.290,139.643,133.253,59.784,157.252,182.503,132.529,142.474,157.028,100.510,195.171,108.794,136.866,134.278,174.604,243.567,95.229,178.987,89.385,127.369,171.356,30.909,140.249,106.587,44.154,193.007,126.969,2.611,196.115,91.447,24.757,173.809,78.500,13.000,111.288,69.645,81.517,171.433,161.162,53.983,113.325,137.374,28.545,167.547,119.075,18.867,157.848,123.694,45.654,209.098,159.447,92.588,141.886,179.951,27.583,149.981,181.863,128.917,154.750,166.342,16.538,184.690,142.980,17.778,180.166,172.973,23.000,190.594,158.262,6.690,200.479,146.595,272.973,93.335,59.819,90.433,107.662,54.281,9.562,158.610,116.709,6.389,172.233,97.410,13.588,132.373,162.353,196.875,89.972,67.199,0.000,NaN,NaN
8,81.273,145.380,169.342,135.333,147.212,175.173,12.387,166.770,180.485,311.688,198.871,170.484,390.182,140.784,160.946,42.462,93.533,74.268,75.833,87.256,61.039,24.444,90.922,57.129,16.653,201.750,159.304,12.706,164.266,167.505,156.125,199.442,131.975,41.021,146.326,80.447,58.286,113.884,73.241,131.216,84.508,66.691,161.500,87.673,74.745,106.919,94.686,68.047,47.020,163.596,161.632,180.133,153.096,170.806,16.933,127.824,69.681,14.250,116.463,66.744,21.955,115.593,48.037,395.290,139.703,133.486,88.378,157.156,182.508,135.000,142.661,157.125,85.922,195.090,108.794,105.732,133.994,174.818,291.233,95.195,178.986,102.077,127.291,171.280,25.273,140.073,106.879,13.923,193.143,127.236,8.500,196.278,91.595,19.514,174.361,78.033,5.308,110.906,69.240,121.207,171.260,160.981,64.672,113.624,137.217,38.636,167.926,118.905,26.167,157.772,124.192,65.192,209.089,159.081,106.824,141.672,179.847,37.667,150.040,182.305,131.167,154.596,166.227,24.154,184.878,142.784,19.000,180.241,173.295,24.688,190.493,158.202,9.000,200.084,147.019,142.378,93.477,59.760,45.867,107.742,54.327,14.688,158.235,116.439,5.111,172.357,97.524,13.294,131.776,162.377,209.250,89.892,67.318,0.812,140.275,173.135
9,50.227,145.307,169.423,145.778,147.466,175.210,2.839,167.245,179.955,57.000,198.807,170.253,47.727,141.031,160.766,1071.769,93.542,73.985,732.667,87.451,61.040,17.250,90.508,56.666,13.714,201.254,159.263,20.471,164.248,167.616,113.250,199.501,132.008,27.106,146.548,80.355,64.571,113.856,73.450,110.706,84.412,66.567,180.167,87.710,74.685,124.324,94.808,68.047,20.039,163.793,162.195,142.633,153.106,170.990,6.200,128.055,69.977,0.750,115.785,67.115,18.364,115.464,47.741,30.323,139.724,133.431,89.622,157.372,182.512,111.412,142.692,157.251,100.275,195.229,108.495,132.969,133.989,174.710,238.767,95.258,179.003,81.154,127.158,171.302,27.500,140.123,106.428,41.308,193.059,127.089,5.944,196.527,91.773,20.865,173.731,78.025,17.885,110.194,69.852,102.310,171.147,161.333,54.259,113.513,137.548,29.455,167.915,119.068,8.100,158.194,123.749,37.769,208.739,159.104,104.941,141.597,179.957,26.417,149.717,182.197,144.833,154.764,166.189,8.308,184.817,142.990,12.278,179.637,173.480,11.625,190.353,158.155,5.586,200.763,146.808,83.135,93.540,59.700,60.900,107.787,54.291,9.375,158.553,116.517,10.972,172.438,97.284,6.000,132.215,163.215,168.000,89.987,67.322,0.375,141.515,174.375
10,104.091,145.387,169.443,121.444,147.531,175.231,1.613,167.009,180.786,61.500,198.804,170.670,47.591,140.747,161.194,668.538,93.471,74.052,439.056,87.480,60.964,28.417,90.329,56.622,23.796,201.602,159.373,24.647,164.179,167.409,250.875,199.372,131.813,31.319,146.328,80.568,55.619,114.161,73.534,112.667,84.527,66.408,187.611,87.878,74.687,149.622,94.895,68.154,25.373,163.854,161.143,119.167,153.269,170.986,17.133,128.775,69.407,28.500,116.053,66.760,60.636,115.234,47.975,11.871,139.753,133.239,99.946,157.318,182.723,156.824,142.788,157.145,107.451,195.163,108.557,129.320,133.817,174.697,259.167,95.269,178.941,47.769,127.238,171.623,25.318,140.000,107.025,48.462,193.345,127.003,12.389,196.360,91.951,9.946,174.338,78.192,13.731,110.342,69.674,119.483,171.300,161.245,58.328,113.425,137.371,47.364,168.048,118.986,2.433,157.784,123.391,57.615,209.256,159.283,147.059,141.733,179.881,37.000,149.671,181.989,176.792,154.684,166.214,7.308,185.457,143.375,14.556,179.979,173.977,10.125,190.352,158.031,5.897,200.388,146.939,89.027,93.461,59.943,56.333,107.735,54.141,21.125,158.745,116.338,2.583,172.692,96.812,9.412,131.812,162.901,200.438,90.006,67.184,2.688,141.739,173.842
11,745.227,145.480,169.358,142.500,147.335,175.159,3.677,167.245,180.145,50.875,198.778,170.794,66.091,140.837,160.905,57.692,93.332,74.296,91.444,87.340,61.200,18.611,90.815,56.503,25.959,201.480,159.175,133.000,164.115,167.315,160.312,199.450,132.196,10.979,146.414,80.425,69.905,113.860,73.157,109.529,84.452,66.507,210.556,87.805,74.742,96.649,95.070,68.104,29.804,163.701,161.566,104.100,153.077,170.995,22.367,128.282,69.910,5.312,116.394,66.429,26.636,115.701,48.375,30.516,139.948,133.577,113.297,157.087,182.577,108.706,142.889,157.113,98.039,195.184,108.561,107.134,133.901,174.775,258.200,95.146,178.988,97.308,127.370,171.393,16.955,140.205,106.818,34.769,192.643,127.125,3.833,196.529,90.967,20.216,174.089,78.089,24.115,110.669,69.956,122.690,171.217,161.255,67.052,113.499,137.309,43.364,168.028,119.209,14.333,158.490,123.548,48.077,208.930,159.161,76.353,141.552,179.954,65.333,149.645,182.092,152.125,154.757,166.300,17.538,184.959,143.387,15.167,179.935,173.530,3.500,190.999,158.089,8.621,200.451,146.846,87.514,93.485,59.997,42.767,107.682,54.240,13.688,158.688,116.014,10.306,172.145,97.536,3.824,132.525,162.905,186.125,89.959,67.179,14.812,140.796,173.302
