 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52,Mean53,XM53,YM53,Mean54,XM54,YM54,Mean55,XM55,YM55
1,53.409,118.430,136.815,92.909,118.434,84.213,57.385,122.125,86.908,97.176,185.592,100.078,158.919,131.055,118.939,61.647,107.757,113.126,54.000,127.686,111.777,72.083,113.963,106.124,67.000,111.508,102.808,31.875,101.715,124.635,148.188,80.562,97.331,199.611,73.472,104.096,223.062,170.037,104.956,94.364,161.209,99.822,135.545,119.629,80.946,41.231,121.806,114.000,138.333,80.513,117.539,97.154,77.736,101.118,167.000,131.720,94.472,33.278,107.189,100.554,38.625,109.812,96.916,63.833,117.533,111.748,72.549,95.763,101.080,124.125,84.759,96.685,289.154,76.503,116.511,102.000,168.170,108.676,140.231,126.499,89.485,136.588,186.493,107.784,106.312,75.404,112.140,176.688,176.126,106.257,184.250,83.847,115.349,94.591,167.872,98.388,64.692,113.130,123.545,74.538,83.637,106.739,26.500,97.009,122.313,128.194,114.276,76.888,55.286,102.695,114.443,57.429,110.319,142.552,58.375,116.025,140.967,35.353,122.957,94.710,32.000,97.321,95.511,45.706,180.613,111.043,164.143,88.212,111.216,66.529,92.295,92.610,104.900,139.480,97.909,45.900,100.614,102.394,111.312,117.623,74.739,53.647,120.966,133.379,49.250,86.656,93.542,10.000,88.195,100.285,174.909,77.471,107.852,12.235,149.662,74.306,83.297,135.363,89.602,39.833,119.613,123.773,37.182,120.149,129.092
2,77.136,118.451,136.858,43.091,118.459,84.247,38.692,122.161,86.586,92.980,185.459,100.019,81.946,130.725,118.869,96.235,107.680,113.173,60.714,127.281,111.854,47.167,113.871,106.222,108.800,111.767,102.788,34.875,101.988,124.384,70.750,80.418,97.264,190.222,73.287,104.254,167.188,169.854,104.689,107.455,161.068,99.944,154.636,119.755,80.879,26.077,121.456,114.621,220.333,80.595,117.410,88.769,77.544,100.770,185.941,131.457,94.743,54.111,107.199,100.785,16.750,109.432,97.231,148.000,117.699,111.552,69.647,95.493,101.211,120.188,84.965,96.554,292.538,76.704,116.406,35.600,168.157,108.340,187.692,126.457,89.522,137.000,186.573,107.815,168.688,75.320,112.288,144.000,176.176,106.250,173.875,84.102,115.568,125.182,167.981,98.474,93.769,113.207,123.466,69.692,83.855,106.624,50.125,96.550,122.140,113.935,114.292,77.217,76.286,102.644,113.764,69.500,110.404,142.609,92.500,115.878,140.739,10.706,123.109,94.926,20.944,97.064,95.405,47.412,180.546,110.955,143.857,88.360,111.029,72.000,92.147,92.441,178.600,139.419,97.913,21.400,100.253,102.419,37.438,117.576,74.978,46.471,120.921,133.591,105.625,86.369,93.709,28.727,88.509,99.995,50.182,77.308,107.682,10.510,150.042,74.538,99.892,135.345,89.718,75.417,119.656,124.149,35.955,120.375,129.090
3,26.227,118.547,136.507,50.182,118.665,84.201,67.692,122.292,86.923,95.725,185.481,100.278,94.270,130.865,118.982,123.353,108.141,113.216,63.786,127.650,111.880,32.417,114.189,106.284,74.100,111.590,103.304,22.062,101.817,124.643,42.188,80.959,97.451,212.500,73.457,104.161,241.000,169.787,104.841,77.091,161.008,99.840,172.500,119.733,80.909,57.538,121.720,114.003,203.000,80.765,117.438,109.077,77.697,101.012,118.588,131.409,94.546,70.611,107.066,101.067,22.125,109.856,97.183,184.389,117.499,111.722,65.216,95.752,101.436,115.500,85.011,96.580,297.692,76.609,116.464,32.900,167.806,108.203,222.308,126.408,89.614,181.941,186.445,107.726,156.125,75.325,112.290,186.375,176.199,106.059,195.750,83.907,115.375,149.091,167.802,98.514,74.769,113.171,123.467,130.000,83.474,106.641,45.125,96.460,122.344,67.032,114.377,76.984,51.143,102.617,114.529,27.714,110.118,142.399,12.250,115.839,141.082,52.412,123.170,94.555,23.444,97.287,95.500,44.235,180.488,111.169,176.429,88.413,111.166,80.588,91.958,92.572,165.100,139.294,97.957,35.800,100.547,102.460,53.562,117.432,75.067,51.294,121.048,133.555,44.500,86.608,93.433,0.000,NaN,NaN,12.727,77.438,107.760,32.863,149.628,74.259,66.216,135.465,89.644,99.167,119.717,123.952,24.682,120.148,129.059
4,46.955,118.501,136.740,65.318,118.753,84.185,40.308,122.094,86.467,61.333,185.516,100.192,93.459,131.269,119.068,65.235,107.547,113.201,44.857,127.682,111.865,77.333,114.154,106.011,47.500,111.529,102.886,32.688,101.609,124.394,69.625,80.468,97.230,253.778,73.512,104.208,196.000,169.820,104.789,87.773,161.220,99.955,186.545,119.732,80.953,80.154,121.536,113.803,168.667,80.703,117.471,68.769,77.808,100.736,124.941,131.613,94.590,30.722,107.071,100.884,45.625,109.645,97.459,502.722,117.543,111.633,109.333,95.472,101.304,77.125,84.814,96.360,259.615,76.515,116.429,15.600,168.135,108.341,161.615,126.468,89.560,113.529,186.483,107.769,141.375,75.396,112.205,149.250,176.358,106.249,221.625,83.984,115.402,121.455,167.783,98.336,87.923,112.921,123.664,57.538,83.646,106.645,31.000,97.011,121.921,112.516,114.142,77.176,46.786,102.579,114.088,51.786,109.841,142.364,118.875,115.885,141.193,50.353,123.060,94.610,36.278,97.032,95.491,24.647,180.486,110.928,139.000,88.299,111.145,69.647,91.772,92.496,112.100,139.409,98.223,82.400,100.353,101.979,69.312,117.440,74.817,34.235,121.019,133.885,117.000,86.673,93.274,28.909,88.324,100.020,140.000,77.515,107.670,18.431,149.588,73.990,119.243,135.236,89.429,62.417,119.481,123.922,48.227,120.293,129.175
5,48.955,118.441,136.935,55.909,118.899,84.400,56.462,122.287,86.505,102.353,185.582,100.578,125.459,130.949,118.803,88.706,107.863,113.257,96.143,127.182,111.844,75.833,113.949,106.224,49.400,111.519,102.643,53.375,101.741,124.904,98.125,80.543,97.398,199.056,73.401,104.236,150.500,169.949,104.827,50.364,160.952,99.885,216.955,119.886,80.885,78.615,121.741,114.176,271.667,80.808,117.433,90.000,77.571,100.876,191.176,131.459,94.703,91.222,107.373,100.463,40.375,109.798,97.213,453.667,117.497,111.617,112.431,95.690,101.362,90.938,84.756,96.618,267.308,76.559,116.470,34.300,167.938,108.307,168.538,126.529,89.445,193.294,186.476,107.831,172.750,75.274,112.408,205.062,176.167,106.264,181.875,83.915,115.359,157.636,167.904,98.373,46.769,113.244,123.528,82.462,83.579,106.853,43.125,96.669,122.448,88.387,113.968,77.015,37.929,102.598,114.887,78.143,110.274,142.611,63.875,115.930,141.078,18.294,123.083,95.040,11.444,96.807,95.397,19.941,180.123,111.344,162.143,88.469,111.208,74.059,91.997,92.450,199.300,139.581,98.150,30.500,100.488,102.839,87.312,117.452,74.383,54.353,121.199,133.814,46.125,86.264,93.433,44.000,88.537,100.058,71.636,77.190,107.652,15.059,149.586,74.718,90.000,135.109,89.676,35.667,119.802,123.703,28.455,119.798,129.248
6,58.909,118.511,136.791,45.409,118.303,84.009,75.154,122.274,86.641,86.471,185.389,100.118,241.243,130.906,118.768,127.294,107.771,113.040,62.857,127.423,111.769,78.250,113.974,106.083,84.200,111.522,102.987,58.125,102.041,124.522,70.750,80.695,97.158,237.056,73.313,104.177,239.000,169.872,104.803,74.227,161.102,100.012,113.955,119.664,80.757,56.385,121.513,114.234,127.833,80.775,117.475,95.462,77.528,100.960,155.294,131.381,94.587,50.278,107.216,100.549,65.375,109.784,97.328,313.889,117.552,111.767,43.137,95.252,101.292,113.812,84.859,96.654,270.692,76.378,116.414,14.600,168.232,108.525,194.154,126.429,89.361,179.353,186.379,107.696,138.312,75.415,112.448,132.812,176.129,106.268,195.250,84.008,115.372,134.500,167.930,98.397,50.462,113.165,123.396,114.538,83.402,106.800,44.500,96.496,121.815,80.581,114.275,76.757,60.071,102.756,113.878,38.714,110.707,142.644,66.125,115.544,140.929,38.412,123.025,94.660,46.611,97.420,95.382,29.706,180.457,110.960,157.714,88.360,111.185,42.824,92.101,92.440,162.000,139.488,97.878,46.700,100.226,102.146,72.438,117.414,74.758,42.059,121.144,133.712,117.375,86.483,93.613,80.545,88.390,100.090,64.909,77.342,108.191,21.608,149.766,74.148,93.351,135.393,89.535,80.500,119.617,123.854,20.182,120.078,129.061
7,90.136,118.374,136.977,72.182,118.615,84.013,50.769,122.380,86.837,56.235,185.521,100.405,146.054,130.743,118.924,110.824,107.779,113.301,89.357,127.432,111.798,34.417,113.986,105.836,31.700,111.649,103.033,38.312,101.839,124.938,63.312,80.515,97.062,248.500,73.519,104.180,251.812,169.853,104.900,134.227,161.045,99.926,137.000,119.816,80.663,74.000,121.591,114.035,190.500,80.872,117.543,84.308,77.685,101.063,151.000,131.645,94.527,46.778,107.304,100.528,45.000,109.748,97.215,152.889,117.559,111.781,71.373,95.518,101.250,103.438,84.849,96.538,302.308,76.572,116.376,12.400,167.585,108.350,182.462,126.441,89.360,188.471,186.586,107.801,179.938,75.413,112.418,193.688,176.208,106.395,97.750,84.061,115.398,128.045,167.692,98.423,56.385,113.072,123.228,129.385,83.555,106.776,48.625,96.518,122.202,166.065,114.458,76.915,54.571,102.752,113.942,45.357,110.509,142.649,49.250,115.948,141.039,72.059,122.942,94.860,46.500,97.148,95.543,25.353,180.420,110.743,50.143,88.400,110.969,72.941,92.137,92.538,234.300,139.463,97.974,92.000,100.223,102.089,135.438,117.520,74.692,32.882,121.139,133.663,53.000,86.417,93.632,18.182,88.651,100.121,153.818,77.231,107.493,22.667,149.812,74.658,85.135,135.110,89.701,142.583,119.808,123.723,46.136,120.076,128.829
8,83.955,118.495,136.859,78.000,118.622,84.078,56.615,122.281,86.453,106.902,185.480,100.171,172.703,130.931,118.928,63.118,107.955,113.152,58.714,127.417,111.788,76.333,113.806,106.141,85.700,111.622,102.891,31.125,101.783,124.806,89.312,80.731,97.294,248.222,73.493,104.152,169.438,170.022,104.845,121.091,161.324,99.959,172.045,119.772,80.847,25.615,121.782,114.091,176.333,80.657,117.400,91.538,77.741,101.095,148.118,131.426,94.729,49.056,107.164,100.641,58.375,109.639,97.073,123.278,117.774,111.535,76.784,95.586,100.953,67.000,84.867,96.684,393.308,76.637,116.491,19.400,168.052,108.559,163.615,126.367,89.637,226.059,186.636,107.808,142.438,75.317,112.184,196.250,176.155,106.177,200.750,83.993,115.414,123.455,168.033,98.385,113.000,113.253,123.421,105.846,83.452,106.645,17.312,96.765,122.465,171.871,114.366,76.894,41.000,102.687,114.251,38.214,110.250,142.588,30.375,115.587,141.177,33.176,122.997,94.711,52.000,97.697,95.502,35.059,180.359,111.105,10.571,88.136,111.428,60.765,92.176,92.601,141.300,139.598,97.862,18.500,100.573,102.621,166.812,117.281,74.974,51.882,120.704,133.532,84.250,86.577,93.636,33.091,88.447,100.128,71.091,77.226,107.770,8.039,149.809,73.915,69.622,135.451,89.555,62.500,119.846,123.522,12.364,120.301,129.051
9,731.545,118.486,136.833,44.773,118.873,83.885,41.154,121.891,86.709,112.000,185.322,100.134,164.000,131.006,119.024,135.000,107.775,113.329,39.214,127.162,111.848,60.583,114.088,106.174,10.700,111.657,103.365,50.562,101.924,124.143,101.500,80.489,97.352,236.222,73.411,104.148,220.000,169.875,104.832,110.864,160.830,99.775,157.864,119.833,80.747,56.154,121.841,114.252,188.333,81.037,117.419,51.692,77.815,101.167,131.588,131.395,94.636,47.556,107.237,100.684,27.125,110.105,97.088,68.778,117.615,111.707,88.275,95.810,100.920,118.500,85.263,96.545,382.077,76.449,116.589,19.500,168.075,108.569,153.231,126.564,89.315,143.000,186.477,107.803,141.250,75.424,112.234,166.188,176.285,106.161,187.500,84.037,115.403,133.818,167.893,98.445,66.538,113.329,123.489,72.231,83.804,106.863,12.938,96.348,122.073,179.419,114.261,77.088,54.929,102.650,114.332,33.929,110.541,142.442,101.500,115.752,140.982,52.588,123.266,94.721,16.389,97.262,95.555,34.353,180.090,110.841,86.286,88.360,111.190,77.412,92.181,92.348,173.800,139.534,97.954,70.100,100.568,102.470,72.250,117.636,74.982,49.471,120.810,133.802,91.875,86.624,93.526,22.364,88.697,99.783,49.636,77.208,107.581,20.078,149.491,74.689,112.703,135.038,89.556,45.500,119.670,123.608,24.955,120.471,129.178
10,325.000,118.448,136.720,115.273,118.450,84.341,74.308,122.026,86.779,78.627,185.508,99.997,126.000,130.941,118.882,88.353,107.956,113.086,44.786,127.596,112.026,69.500,114.146,105.768,111.800,111.795,102.858,11.000,102.090,124.356,86.812,80.601,97.487,224.833,73.435,104.078,264.938,169.925,104.859,120.500,161.127,99.695,151.636,119.742,80.774,23.000,121.802,114.208,183.083,80.682,117.406,72.385,77.750,101.085,151.235,131.588,94.465,31.389,107.235,100.779,8.750,109.682,97.309,105.333,117.643,111.556,56.902,95.570,101.266,50.125,84.957,96.604,266.538,76.552,116.566,31.400,167.791,108.246,176.846,126.558,89.285,141.059,186.513,107.807,157.500,75.284,112.314,125.875,176.283,106.371,197.875,83.955,115.407,140.955,167.908,98.321,35.923,113.267,123.562,96.923,83.532,106.719,36.438,96.261,122.118,141.871,114.475,77.026,70.143,102.687,114.381,57.214,110.514,142.848,89.250,115.602,141.018,20.882,123.382,94.657,31.833,97.621,95.742,32.941,180.377,110.835,78.857,88.344,111.088,50.059,91.988,92.707,181.400,139.458,97.996,54.700,100.610,102.239,101.562,117.342,74.799,8.118,121.313,133.992,86.875,86.585,93.810,118.364,88.787,99.796,110.364,77.300,107.788,26.314,149.956,74.106,109.622,135.166,89.520,44.833,119.729,123.973,22.455,119.797,128.906
