 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52,Mean53,XM53,YM53
1,1954.812,56.392,83.992,284.600,73.521,101.977,384.077,31.190,78.052,56.000,34.395,91.331,191.769,124.874,86.971,63.875,16.015,77.537,50.615,22.246,80.522,228.625,41.744,91.985,238.462,39.682,51.015,40.000,63.089,123.575,116.500,43.625,96.001,284.839,50.666,90.614,16.381,81.227,105.178,25.700,84.832,103.398,189.571,77.594,94.365,44.108,125.097,108.753,152.588,46.982,87.695,345.038,54.020,118.086,222.538,59.725,119.434,7.714,77.156,126.945,169.419,25.334,76.938,60.762,76.531,110.918,31.900,34.755,105.955,7.938,41.863,61.913,40.875,71.534,93.793,65.692,86.604,129.020,13.935,12.054,93.865,84.323,55.496,111.254,1.484,28.217,108.048,0.529,69.733,131.285,45.167,62.247,85.582,11.838,96.980,123.303,17.750,43.433,126.652,13.462,31.529,59.521,0.000,NaN,NaN,139.929,65.443,127.041,65.833,66.541,114.706,65.000,22.163,72.075,269.238,35.862,75.381,64.727,28.049,98.916,135.500,117.651,80.871,3.935,30.093,113.722,375.375,65.956,119.618,144.143,81.288,131.034,27.941,55.687,126.614,312.231,50.309,122.545,56.100,118.425,62.464,208.600,62.087,112.853,450.250,69.955,124.958,50.000,34.494,96.542,56.387,73.098,119.119,3.484,68.407,102.713,70.118,83.208,125.353
2,1545.000,56.384,84.011,246.200,73.460,101.950,504.154,31.141,78.088,58.353,34.726,91.242,226.923,124.747,86.884,61.938,15.772,77.279,39.923,22.141,80.644,238.625,41.876,91.887,155.385,39.709,50.862,58.700,63.025,123.532,74.500,43.557,96.252,204.903,50.710,90.719,16.667,81.232,105.785,38.800,85.202,103.542,128.429,77.703,94.311,88.432,125.121,108.422,169.294,46.913,87.648,340.923,53.908,118.197,207.692,59.846,119.476,28.286,76.822,127.147,219.806,25.367,77.015,42.381,76.219,110.895,33.800,34.981,106.187,50.688,42.208,61.472,44.375,71.679,94.089,51.385,86.469,129.017,23.548,12.626,93.456,105.355,55.777,111.122,14.516,27.813,108.367,0.000,NaN,NaN,35.250,62.214,85.686,5.838,96.674,124.011,32.250,43.527,126.937,23.462,32.068,59.782,0.000,NaN,NaN,177.714,65.348,127.153,25.417,66.673,114.596,49.750,22.162,71.982,206.952,35.940,75.499,66.636,28.181,99.080,196.750,117.668,81.054,0.065,28.985,114.235,393.500,65.962,119.518,179.429,81.487,131.139,14.765,55.751,126.512,319.154,50.381,122.737,43.400,118.352,62.658,224.700,61.995,112.901,468.500,69.859,124.983,75.846,34.324,96.586,37.677,73.273,119.163,9.548,68.606,102.918,112.471,83.097,125.317
3,1217.625,56.388,84.079,2255.700,73.478,102.036,470.385,31.155,78.133,82.176,34.593,91.418,201.769,124.788,86.962,50.438,15.904,77.602,90.769,22.012,80.660,281.188,41.832,91.910,209.769,39.709,51.008,66.200,63.017,123.785,89.250,43.476,95.935,153.613,50.880,90.524,30.667,80.910,105.096,22.100,85.370,103.319,151.429,77.543,94.250,35.189,125.016,108.723,246.824,46.948,87.520,294.231,53.883,118.161,295.769,59.978,119.510,32.714,77.030,127.653,176.452,25.399,77.090,58.095,76.452,111.160,30.700,34.594,106.360,6.500,42.077,61.559,54.125,71.759,93.517,100.385,86.538,128.602,10.516,12.857,93.756,96.774,55.532,111.229,8.000,27.005,108.230,20.706,70.745,131.328,25.250,62.448,85.491,6.811,97.379,124.030,11.750,42.968,126.952,3.846,31.601,58.813,1.524,75.756,132.854,96.857,65.353,127.181,38.833,66.688,114.645,57.750,22.032,71.997,215.619,35.917,75.566,46.773,27.952,98.716,142.625,117.810,80.927,11.871,30.466,113.868,229.000,66.005,119.742,168.571,81.295,131.109,13.588,55.332,127.297,284.538,50.298,122.702,10.200,118.593,62.775,161.900,61.853,112.807,406.125,69.879,124.938,32.154,34.124,96.259,64.194,72.986,119.074,12.258,68.986,102.736,142.235,83.222,125.462
4,557.000,56.383,84.059,2992.300,73.477,102.009,522.769,31.127,78.163,36.882,34.569,91.231,207.077,124.717,86.819,57.938,15.798,77.633,47.385,22.254,80.446,183.688,41.902,91.867,205.538,39.662,50.920,45.000,62.811,123.809,179.750,43.621,96.178,172.710,50.407,90.675,16.667,81.288,105.645,43.300,85.021,103.319,201.571,77.584,94.272,54.000,124.849,108.746,281.412,47.018,87.579,329.077,53.903,118.073,235.923,59.864,119.500,34.143,76.746,127.134,199.742,25.594,76.995,82.952,76.343,110.878,20.000,34.866,106.497,14.312,42.365,61.374,78.375,71.569,93.700,88.692,86.317,128.755,15.806,12.237,93.364,141.355,55.441,111.255,5.677,27.280,107.806,3.059,69.595,131.595,100.917,62.394,85.544,21.027,97.187,123.753,14.500,43.039,127.268,15.154,32.249,59.917,0.000,NaN,NaN,177.071,65.415,127.248,64.333,66.781,114.746,88.750,21.671,71.829,245.143,35.904,75.626,80.364,27.951,99.122,74.625,117.666,80.733,10.258,30.225,114.488,311.875,66.105,119.600,132.429,81.309,130.898,5.882,55.354,126.979,316.308,50.409,122.568,52.600,118.427,62.370,200.500,62.002,112.784,387.000,69.894,124.867,49.846,34.349,96.444,69.419,73.044,119.281,4.581,68.975,103.210,211.882,83.268,125.384
5,312.062,56.436,84.066,2177.000,73.489,102.030,836.615,31.155,78.081,74.176,34.366,91.356,244.385,124.711,86.871,100.188,15.712,77.406,62.154,22.371,80.524,191.562,41.796,91.935,251.769,39.748,50.902,101.700,62.900,123.679,59.125,43.703,96.184,240.645,50.689,90.609,26.667,81.151,105.307,45.900,84.963,103.698,188.000,77.766,94.155,41.568,125.122,108.867,202.118,47.045,87.578,273.077,53.889,118.079,204.923,59.818,119.586,36.143,76.867,126.925,330.516,25.459,76.919,45.429,76.385,111.248,7.900,34.902,106.077,6.125,41.951,61.617,55.750,71.636,93.498,49.615,86.396,128.930,24.645,12.354,93.691,152.710,55.432,111.308,0.000,NaN,NaN,8.647,70.780,131.230,72.417,62.211,85.557,12.216,96.801,123.521,25.375,43.303,127.081,33.923,32.107,59.130,22.857,75.436,132.561,98.714,65.441,127.408,95.833,66.471,114.805,40.750,21.653,72.043,255.238,35.802,75.510,49.000,28.163,99.066,101.375,117.715,80.810,4.387,29.915,113.925,301.688,66.139,119.660,98.143,81.494,131.114,23.588,55.465,126.538,223.000,50.379,122.697,81.600,118.261,62.118,209.100,61.867,112.737,362.125,69.979,124.913,77.538,34.338,96.690,113.484,73.122,119.274,1.548,68.665,102.920,150.235,83.205,125.301
6,248.188,56.364,84.055,1471.100,73.463,101.954,1033.231,31.187,78.094,190.882,34.434,91.441,217.692,124.672,86.790,84.000,15.705,77.333,93.154,22.279,80.689,290.188,41.852,91.842,156.923,39.670,50.831,41.900,63.112,123.838,44.250,43.480,96.047,225.548,50.678,90.850,2.190,80.742,105.515,49.600,84.987,103.764,174.143,77.660,94.151,37.243,125.456,108.591,212.588,46.902,87.560,287.577,53.880,118.121,208.846,59.875,119.508,48.714,76.859,127.520,431.226,25.622,76.959,60.381,76.517,111.223,11.500,34.587,106.426,12.375,41.895,61.549,59.000,71.748,93.611,81.077,86.311,128.735,33.355,12.109,93.764,103.097,55.653,111.170,12.774,27.062,108.400,11.706,71.198,131.301,95.250,62.365,85.493,14.649,96.467,123.671,40.125,43.179,126.786,22.154,31.821,59.163,34.381,75.926,133.145,118.571,65.492,127.168,70.000,66.343,114.812,31.000,22.040,71.808,289.238,35.773,75.572,74.591,28.161,98.921,109.625,117.671,80.741,0.645,29.295,114.235,336.312,66.068,119.768,176.714,81.356,131.089,14.353,55.681,126.944,293.538,50.444,122.656,216.300,118.309,62.069,155.300,61.752,112.951,415.500,69.880,124.977,76.769,34.645,96.570,77.097,72.831,119.134,20.452,69.078,102.796,166.118,83.279,125.415
7,289.188,56.386,83.936,1439.400,73.470,102.007,1252.231,31.185,78.134,977.647,34.490,91.288,230.154,124.770,86.668,42.875,15.522,77.566,82.615,22.076,80.117,279.438,41.767,91.922,199.154,39.642,51.045,54.800,62.902,123.464,90.625,43.594,96.126,229.871,50.517,90.574,35.429,80.760,105.658,62.800,84.827,103.272,271.714,77.677,94.294,54.919,125.178,108.738,327.176,46.896,87.499,296.962,53.910,118.095,202.923,59.871,119.340,4.571,77.035,127.865,404.968,25.637,76.916,96.571,76.514,111.410,6.400,35.132,106.485,43.438,42.204,61.703,137.250,71.494,93.638,69.462,86.176,128.982,32.065,12.145,93.829,117.677,55.630,111.232,3.677,28.055,108.633,9.941,70.114,131.406,40.083,62.617,85.725,22.703,97.196,123.450,34.750,43.525,127.508,21.000,32.077,59.423,7.524,76.274,132.454,347.071,65.411,127.030,69.667,66.675,114.894,29.750,21.865,71.934,238.476,35.879,75.497,84.273,28.181,99.112,155.500,117.770,80.742,2.258,30.225,114.235,245.312,66.012,119.735,75.857,81.473,131.081,24.529,55.394,127.085,256.923,50.450,122.647,59.400,118.562,62.264,164.100,61.826,112.755,352.125,69.998,124.956,23.692,34.559,96.359,69.613,73.056,119.077,4.323,68.665,102.455,153.412,83.355,125.400
8,328.938,56.354,83.857,1709.200,73.494,102.031,1524.154,31.149,78.166,588.882,34.470,91.351,704.769,124.814,86.851,39.188,15.756,77.346,82.615,22.260,80.199,269.688,41.867,91.952,224.154,39.642,50.851,70.900,63.033,123.885,15.000,43.067,95.906,223.226,50.490,90.627,26.190,80.773,105.262,24.600,84.926,103.192,192.000,77.665,94.424,33.405,125.262,108.384,208.353,46.871,87.775,301.000,54.093,118.173,186.385,59.694,119.464,8.571,76.730,127.260,547.806,25.632,76.905,60.476,76.462,111.145,19.900,34.644,106.236,37.812,42.238,61.791,64.125,71.741,93.636,104.538,86.466,128.781,20.387,12.188,93.642,72.903,55.824,111.204,4.258,27.750,108.462,7.941,70.615,131.035,132.833,62.283,85.611,12.162,96.941,123.578,19.375,43.393,126.763,8.769,32.332,59.164,8.381,75.485,132.525,179.071,65.307,127.190,40.417,66.508,114.492,87.000,21.952,71.850,303.619,35.787,75.451,67.545,27.838,98.891,49.375,117.664,80.924,15.161,30.145,114.165,270.000,66.032,119.652,109.429,81.317,131.394,23.412,55.929,126.221,324.615,50.394,122.772,31.400,118.149,62.262,200.800,62.044,112.845,429.250,69.865,124.879,49.000,34.292,96.749,78.258,72.988,119.115,3.484,68.883,102.903,139.412,83.220,125.147
9,210.688,56.443,83.957,1640.500,73.476,101.979,1227.846,31.153,78.075,370.824,34.460,91.325,486.923,124.819,86.754,52.312,15.581,77.530,70.000,22.370,80.574,284.562,41.689,91.930,241.462,39.494,50.786,32.500,62.921,123.689,94.625,43.553,96.123,229.871,50.641,90.694,18.952,80.781,105.388,82.300,85.010,103.234,193.000,77.659,94.254,50.486,125.341,108.505,188.941,46.960,87.824,281.269,53.970,118.064,248.692,59.760,119.575,2.000,77.035,126.945,534.000,25.545,77.024,106.476,76.362,111.320,12.300,34.651,106.263,7.562,41.846,61.553,133.625,71.746,93.687,54.538,86.850,128.827,9.355,12.884,94.059,120.839,55.773,111.108,3.742,26.655,108.270,12.647,70.604,131.131,128.167,62.494,85.768,11.892,96.337,123.617,23.625,43.606,127.060,7.231,32.204,59.546,3.238,75.485,132.525,160.500,65.398,127.156,37.167,66.706,114.551,148.500,22.011,71.962,351.619,35.905,75.505,95.318,28.233,98.707,51.125,117.709,80.666,0.516,28.985,113.615,268.875,66.111,119.606,123.857,81.254,130.860,6.353,55.059,126.405,253.923,50.461,122.699,68.900,118.422,62.101,150.200,61.869,112.839,458.875,69.878,124.964,39.923,34.505,96.572,58.129,73.086,119.317,13.548,68.991,102.731,200.000,83.250,125.536
10,281.938,56.364,84.014,1099.000,73.452,101.960,798.923,31.169,78.108,453.353,34.456,91.404,1189.462,124.813,86.812,53.500,15.857,77.709,115.000,22.335,80.628,243.375,41.658,91.940,183.077,39.734,50.952,56.800,63.036,124.084,54.000,43.584,96.057,289.097,50.641,90.622,35.714,81.152,105.264,30.100,84.776,102.512,256.571,77.594,94.277,50.432,125.319,108.302,195.529,46.919,87.524,285.346,53.974,118.117,231.462,59.884,119.562,8.571,76.797,127.529,308.516,25.470,76.995,37.905,76.416,111.050,37.500,34.881,106.306,33.188,42.386,61.530,142.375,71.654,93.773,116.231,86.469,128.765,8.452,12.789,93.434,107.935,55.741,111.350,16.774,27.156,107.854,4.294,69.807,131.294,57.583,62.535,85.566,20.919,96.652,123.768,13.250,43.067,126.933,7.538,32.477,59.216,11.143,75.792,132.226,143.143,65.491,127.186,52.833,66.545,114.509,37.000,22.092,71.876,242.571,35.775,75.472,67.591,27.982,98.943,196.625,117.838,80.805,5.161,29.314,113.921,200.750,66.009,119.622,100.143,81.360,131.166,9.000,55.862,126.329,328.692,50.384,122.585,46.800,118.278,62.671,174.500,61.836,112.829,292.000,69.995,124.884,49.538,33.883,96.487,81.290,73.062,119.260,12.645,69.437,103.429,96.824,83.194,125.337
