 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52,Mean53,XM53,YM53,Mean54,XM54,YM54
1,63.923,62.932,29.809,441.500,89.892,22.665,44.929,162.452,47.663,63.812,128.021,105.408,88.556,130.967,21.357,17.032,64.210,98.992,75.538,136.383,107.239,37.857,126.020,100.525,44.538,120.946,89.455,47.615,81.854,41.224,291.611,158.106,40.925,335.765,116.166,91.796,8.111,131.122,131.001,175.583,137.148,22.836,87.730,159.151,20.564,46.375,105.899,80.361,27.097,106.952,16.936,69.381,79.289,25.142,126.000,87.249,19.408,42.943,121.920,36.690,54.054,161.090,55.939,20.968,162.068,66.030,282.923,156.427,23.661,274.571,146.801,15.679,50.667,111.154,37.542,285.243,131.226,109.216,9.000,101.096,16.910,71.000,84.957,21.356,119.000,118.904,14.781,33.955,128.370,24.642,60.703,112.232,28.497,59.588,79.977,30.942,41.154,130.056,34.413,27.375,116.095,97.444,130.769,13.923,61.417,69.294,116.619,20.777,83.000,114.928,36.992,43.857,65.266,117.683,9.688,141.939,82.731,18.154,131.571,17.669,35.677,84.607,35.473,269.857,150.516,12.632,0.000,NaN,NaN,38.769,135.623,14.678,0.348,137.175,77.035,215.625,150.874,21.323,176.750,14.678,55.751,32.125,80.673,16.257,2.250,78.149,49.319,24.233,85.036,47.655,74.581,121.168,17.512,94.500,110.672,25.266,0.000,NaN,NaN,52.375,121.538,51.313
2,1276.000,62.816,29.447,376.062,89.953,22.695,67.643,162.381,47.779,52.875,127.878,105.377,150.333,130.794,21.299,41.742,64.194,98.722,113.385,136.414,107.252,51.214,125.461,100.365,84.000,120.790,89.394,61.731,81.599,41.110,88.500,158.312,41.003,120.941,116.416,91.850,12.389,131.267,130.665,151.333,137.151,22.915,170.865,159.256,20.654,5.750,105.245,80.411,24.065,106.735,17.223,51.000,78.800,25.350,172.188,87.100,19.597,46.371,121.346,36.879,30.541,161.008,56.301,15.419,162.015,66.788,219.308,156.372,23.650,292.476,146.682,15.662,38.667,110.715,37.441,230.541,131.361,109.233,19.556,101.979,17.667,95.250,84.760,21.487,62.250,118.688,14.823,26.318,128.166,25.062,121.081,112.347,28.343,157.412,79.872,31.006,57.000,129.510,34.237,1.500,116.173,97.831,115.308,13.877,61.698,168.471,116.753,20.647,56.250,114.972,36.976,10.786,65.622,117.809,9.438,142.330,82.767,37.923,131.377,17.398,63.226,84.919,35.241,194.571,150.461,12.354,0.000,NaN,NaN,65.154,135.565,14.841,46.957,137.601,78.499,225.438,150.925,21.181,213.875,14.666,55.772,8.312,79.764,16.531,20.667,77.991,48.859,28.200,84.977,48.346,139.419,121.058,17.990,64.750,110.607,24.908,70.600,64.302,25.876,47.312,121.532,51.425
3,786.385,62.791,29.494,564.750,89.953,22.662,36.857,162.555,47.787,81.312,127.943,105.713,80.056,130.775,21.287,27.226,64.470,99.442,187.769,136.643,107.243,27.000,126.036,100.306,27.231,121.064,89.328,29.000,81.908,40.989,13.833,157.847,40.619,17.588,115.918,91.680,19.333,130.947,130.577,147.500,137.036,22.785,140.108,159.246,20.339,36.125,105.158,80.745,30.387,107.069,17.504,67.905,79.018,25.713,142.000,87.125,19.583,37.971,121.488,36.758,78.000,160.899,55.798,60.323,161.968,66.415,271.692,156.236,23.594,193.714,146.818,15.598,32.980,110.917,37.406,360.378,131.302,109.090,42.889,101.271,17.405,97.000,84.687,21.458,76.750,118.598,14.981,25.045,128.301,24.710,102.324,112.282,28.350,118.471,80.320,30.741,107.077,129.645,34.129,15.750,116.540,97.921,162.923,13.830,61.518,161.529,116.784,20.945,54.500,114.928,36.668,22.071,65.665,117.284,49.250,142.096,83.083,32.692,131.454,17.737,40.387,84.624,35.505,279.571,150.580,12.342,0.000,NaN,NaN,69.385,135.872,15.279,11.913,137.347,78.719,218.438,150.807,21.165,245.250,14.785,55.718,23.312,80.077,16.315,4.917,78.144,49.109,31.933,85.037,47.858,160.968,121.068,17.689,148.250,110.547,25.198,33.400,64.482,25.873,72.750,121.710,51.896
4,335.923,62.949,29.472,616.125,89.911,22.625,107.071,162.472,47.865,66.438,128.231,105.625,110.000,130.826,21.467,69.355,64.351,99.242,126.231,136.344,107.122,60.429,125.988,100.515,40.077,121.029,89.262,23.346,81.428,40.880,23.333,157.952,41.063,26.118,116.067,92.109,15.500,131.083,130.789,175.833,137.299,22.909,114.216,159.262,20.604,58.875,105.302,80.361,18.323,107.026,17.281,60.429,78.829,25.351,326.875,87.128,19.592,39.657,121.474,36.805,62.000,161.076,56.293,41.290,161.681,66.582,319.615,156.423,23.436,285.524,146.858,15.630,57.843,110.683,37.645,324.108,131.335,109.181,13.500,101.340,17.298,70.375,84.880,21.532,82.750,118.659,14.890,38.182,128.326,24.627,122.216,112.311,28.017,150.412,80.002,30.963,55.462,129.905,34.313,13.500,116.221,97.702,114.000,13.616,61.737,102.588,116.650,20.794,127.500,114.851,36.813,32.000,65.519,117.662,21.562,141.964,82.746,52.231,131.085,17.823,43.484,84.727,35.511,216.714,150.478,12.462,0.000,NaN,NaN,30.692,135.647,14.931,40.348,137.390,78.288,313.062,150.886,21.226,233.750,14.684,55.787,39.562,80.196,16.131,0.250,77.655,49.445,51.867,84.957,48.069,83.290,121.008,17.943,37.000,110.475,24.919,17.300,64.468,25.969,89.375,121.722,51.569
5,84.231,62.728,29.384,540.625,89.910,22.665,126.000,162.534,48.277,71.812,128.195,105.387,196.722,130.870,21.424,36.839,64.116,98.796,146.538,136.465,107.256,35.571,125.750,100.356,54.769,121.130,88.953,38.462,81.848,41.204,15.389,158.418,40.983,18.941,116.055,91.607,16.278,130.956,130.734,243.833,137.231,22.835,178.757,159.351,20.573,24.875,105.673,80.894,30.710,106.881,17.273,71.095,79.028,25.351,207.188,87.201,19.571,52.714,121.596,36.796,44.973,160.910,55.993,34.645,161.804,66.401,310.308,156.361,23.574,219.143,146.858,15.651,47.804,110.849,37.337,346.541,131.257,109.204,15.389,101.176,17.176,82.625,84.672,21.236,158.500,118.732,14.779,35.136,128.505,25.099,55.676,112.281,28.236,168.235,80.158,30.777,112.615,129.751,34.136,133.125,115.991,97.664,140.385,13.811,61.542,118.118,116.734,21.063,102.750,114.787,36.921,20.857,65.449,117.286,7.875,141.909,82.130,58.385,131.456,17.591,18.000,84.454,35.221,346.143,150.585,12.474,25.714,115.225,82.474,21.846,135.458,14.830,22.435,137.451,78.598,217.750,150.792,21.255,344.375,14.612,55.789,15.500,81.228,16.091,9.917,78.275,48.825,21.267,85.074,47.374,173.806,121.035,17.571,127.500,110.286,25.217,20.400,64.629,25.931,46.188,121.639,51.100
6,99.462,62.930,29.355,1427.812,89.929,22.625,114.000,162.433,47.946,41.125,128.100,105.615,158.667,130.893,21.641,14.065,64.523,99.305,180.077,136.359,107.157,15.571,125.597,100.571,44.923,121.130,89.129,40.385,81.746,40.961,15.278,158.194,41.154,35.529,116.008,92.352,7.278,130.691,131.001,201.333,137.110,22.885,176.108,159.362,20.385,0.000,NaN,NaN,36.516,107.054,17.351,44.190,78.697,25.327,225.875,87.140,19.550,53.171,121.366,36.507,63.405,161.052,55.872,43.226,161.848,66.677,298.846,156.321,23.466,255.429,146.854,15.737,47.020,111.063,37.296,331.568,131.285,109.088,7.056,101.415,16.963,120.250,84.793,21.402,106.500,118.831,14.774,19.136,127.761,25.067,97.243,112.466,28.340,129.941,79.832,31.096,123.077,129.969,34.197,120.875,116.257,97.621,156.923,13.797,61.725,141.059,116.720,20.875,59.250,114.918,36.857,31.714,65.518,117.526,29.250,142.266,82.920,64.769,131.246,17.736,76.903,84.638,35.318,334.571,150.522,12.548,6.429,114.883,83.221,15.846,135.487,15.009,24.870,137.572,78.169,257.188,150.804,21.195,207.500,14.697,55.895,12.812,80.372,16.434,12.500,78.254,48.802,27.267,85.198,47.765,101.871,120.989,17.489,115.750,110.506,25.020,6.900,64.595,26.424,71.188,121.587,51.317
7,73.154,62.930,29.462,2650.188,89.883,22.645,1444.286,162.373,47.843,78.688,127.971,105.355,115.556,130.871,21.375,31.742,64.405,99.274,174.692,136.460,107.139,53.071,126.534,100.598,74.154,121.060,89.160,53.038,81.783,41.044,9.278,158.374,40.962,20.000,116.266,92.721,14.000,130.947,131.080,211.417,137.245,22.860,208.919,159.402,20.505,3.750,106.175,80.445,40.258,106.860,17.679,41.619,78.854,25.668,280.000,87.159,19.636,44.029,121.604,36.515,48.108,160.980,56.358,70.645,161.884,66.664,282.538,156.436,23.403,260.762,146.734,15.597,46.196,111.081,37.429,319.946,131.376,109.204,12.167,101.441,17.597,70.375,84.474,21.318,158.750,118.765,14.690,29.773,128.009,25.263,91.622,112.371,28.566,118.412,80.065,31.088,40.308,129.865,34.143,162.500,116.057,97.495,147.538,13.797,61.478,161.529,116.772,20.951,233.750,114.887,36.987,48.643,65.461,117.596,18.875,142.254,82.713,85.308,131.368,17.468,29.161,84.474,35.184,292.857,150.568,12.369,0.571,115.475,83.545,51.846,135.498,15.042,29.565,137.474,78.210,213.500,150.848,21.096,268.625,14.743,55.901,26.188,80.350,16.171,12.833,78.400,48.857,20.133,84.602,47.871,104.516,121.006,17.659,37.250,110.515,24.645,25.100,64.350,25.410,77.562,121.463,51.596
8,44.692,63.062,29.650,2121.000,89.863,22.640,387.357,162.438,47.772,70.062,127.959,105.381,148.722,130.749,21.506,30.387,64.278,99.387,191.154,136.622,107.223,51.000,125.779,100.519,77.000,121.166,89.417,40.077,81.880,40.879,32.444,158.241,41.072,30.588,115.859,92.174,10.389,131.438,130.957,175.750,137.223,23.029,138.378,159.307,20.394,9.500,105.302,80.755,77.806,107.044,17.304,51.762,79.139,25.176,307.125,87.309,19.654,56.229,121.735,36.537,68.757,161.220,56.024,38.452,162.087,66.511,257.077,156.413,23.571,356.190,146.741,15.636,22.000,111.013,37.485,344.486,131.238,109.284,15.056,101.501,17.150,52.125,85.013,21.317,178.500,118.725,14.730,41.818,127.993,24.803,102.216,112.392,28.347,108.588,80.225,30.940,90.077,129.749,33.983,48.500,116.303,97.780,246.077,13.924,61.677,187.176,116.743,20.808,165.750,114.862,36.961,18.500,65.256,116.418,48.375,141.947,82.798,55.923,131.139,17.509,28.645,85.008,35.344,323.857,150.509,12.426,19.714,114.963,82.507,51.692,135.517,15.064,25.217,137.215,78.367,234.938,150.759,21.030,165.750,14.740,55.713,17.500,80.180,16.365,16.500,78.466,48.986,29.133,84.922,48.127,113.161,120.973,17.423,69.500,110.610,24.923,0.000,NaN,NaN,67.188,121.587,51.546
9,93.615,62.905,29.420,1494.375,89.860,22.649,97.143,162.377,47.833,924.375,128.057,105.369,257.889,130.922,21.412,26.194,64.297,98.865,119.308,136.590,107.282,43.500,125.436,100.375,40.692,120.925,89.316,45.885,81.625,40.738,20.111,158.169,40.924,23.412,116.059,92.012,10.111,130.437,130.438,259.667,137.133,22.894,233.676,159.277,20.518,3.375,105.968,80.755,30.000,107.060,17.289,45.238,79.107,25.263,289.750,87.269,19.698,44.943,121.800,36.852,82.216,160.997,56.117,30.903,162.044,66.809,212.923,156.335,23.549,267.429,146.939,15.615,52.392,110.874,37.472,351.622,131.289,109.093,20.889,101.347,17.454,143.875,85.009,21.266,39.750,118.739,14.725,52.591,128.229,24.750,93.730,112.313,28.479,200.706,80.081,31.030,92.308,129.803,34.251,9.250,115.777,97.604,126.846,13.761,61.761,135.529,116.763,21.146,59.500,114.828,36.872,19.857,65.290,117.573,10.312,142.111,83.019,34.000,131.571,17.594,63.419,84.521,35.321,299.714,150.466,12.470,38.143,115.095,83.250,19.923,135.745,14.925,22.174,137.342,78.471,246.312,150.861,21.043,289.625,14.756,55.941,5.125,79.678,16.574,19.750,78.021,49.329,63.533,84.734,47.967,112.129,121.241,17.580,78.500,110.485,24.899,4.000,64.635,26.195,37.688,121.844,51.736
10,40.769,62.990,29.514,874.500,89.896,22.634,86.786,162.360,48.035,759.562,128.067,105.323,1229.056,130.862,21.394,56.065,64.354,99.037,154.231,136.646,107.230,30.929,125.815,100.524,46.692,121.174,88.875,57.308,81.479,41.220,15.278,157.584,40.790,11.118,116.077,92.040,5.167,132.135,130.692,250.083,137.169,22.863,171.405,159.325,20.277,19.250,105.760,80.872,24.323,107.339,17.437,63.952,79.104,25.610,247.250,87.193,19.685,52.057,121.768,36.395,56.486,160.903,56.234,35.097,161.941,66.778,309.923,156.412,23.573,237.333,146.747,15.562,26.510,111.129,37.585,376.649,131.325,109.243,13.667,101.970,16.987,100.000,84.866,21.349,153.500,118.448,14.794,36.045,128.085,24.775,106.486,112.539,28.434,128.529,80.175,30.858,78.769,129.821,34.295,14.250,116.405,97.354,214.769,13.922,61.627,174.118,116.654,20.806,57.250,114.870,37.027,18.071,65.455,116.356,43.000,141.848,83.000,33.923,131.195,17.704,55.935,84.841,35.357,234.000,150.535,12.477,7.000,115.260,83.045,53.154,135.618,14.877,41.043,137.574,78.217,250.312,150.912,21.124,263.500,14.690,55.826,20.688,79.810,16.375,17.583,78.451,49.589,17.200,84.997,47.784,124.516,121.137,17.765,151.250,110.525,25.028,14.400,64.215,25.465,52.938,121.697,51.363
