 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45
1,39.412,131.961,59.073,85.250,76.792,41.209,31.459,83.379,54.156,42.476,76.848,54.092,128.833,126.127,41.737,57.385,106.556,39.899,247.471,126.366,28.461,54.323,55.008,71.412,47.692,115.735,34.021,195.000,134.791,80.714,90.286,103.316,76.522,72.839,83.987,41.395,84.231,80.727,47.488,43.917,138.179,89.221,8.250,127.302,89.341,168.100,90.190,39.593,13.628,136.281,67.807,31.700,103.914,34.444,11.846,95.428,115.000,21.059,60.635,79.636,64.923,123.431,85.264,47.769,108.634,56.915,179.619,147.379,46.434,28.588,126.895,96.645,28.588,69.612,56.315,41.391,83.293,90.291,136.077,79.563,111.805,53.419,69.033,50.164,105.917,135.788,50.520,14.385,94.100,99.416,152.118,105.789,65.626,23.647,75.184,107.048,73.364,125.513,37.083,146.129,120.873,91.350,65.000,106.311,84.115,145.938,102.208,88.513,424.846,160.488,48.271,0.000,NaN,NaN,6.750,120.768,95.646,100.500,97.621,95.876,9.833,112.885,91.805,107.167,96.283,34.628,79.500,105.230,71.289,13.100,49.135,72.234,82.333,99.310,84.247
2,104.471,131.965,59.038,252.500,76.954,40.939,35.216,83.469,53.836,12.857,76.798,54.221,259.667,126.236,41.744,33.077,106.809,39.376,278.882,126.359,28.641,53.677,54.991,70.921,14.462,115.765,33.605,238.750,134.989,80.462,106.286,103.166,76.502,42.903,83.928,41.329,70.846,80.852,47.717,10.417,138.313,89.090,41.500,127.389,89.151,112.200,90.353,39.295,25.256,136.358,67.425,0.100,103.695,34.875,6.769,95.515,115.898,20.118,60.492,79.339,29.846,123.811,84.784,45.923,108.612,57.015,234.952,147.172,46.370,21.647,127.277,97.378,60.882,69.660,55.960,50.478,83.239,90.499,173.538,79.592,111.740,46.387,68.958,50.074,107.667,135.477,50.625,4.154,94.619,98.988,108.118,105.804,65.825,26.765,74.855,107.253,57.773,125.203,36.854,208.323,120.984,91.220,54.400,106.201,83.723,68.062,102.285,88.609,458.308,160.552,48.186,29.667,156.047,60.044,0.250,120.745,96.255,94.000,97.740,95.920,1.667,112.995,91.915,24.778,96.307,34.720,87.900,105.408,71.270,13.300,49.415,72.306,46.333,99.237,84.163
3,82.824,131.765,58.974,239.250,76.832,41.128,18.784,83.276,53.482,44.381,76.908,54.454,74.833,126.111,41.911,27.923,106.821,39.295,327.000,126.394,28.591,22.645,55.067,71.109,42.615,115.737,34.046,278.500,134.923,80.751,164.190,103.110,76.296,85.161,83.884,41.243,59.000,80.729,47.470,23.083,138.292,88.439,56.500,127.565,89.237,199.900,90.304,39.380,39.349,136.368,68.099,12.700,104.093,34.685,22.769,95.484,115.540,17.118,60.387,78.744,62.231,123.418,84.657,25.769,108.348,56.940,157.048,147.335,46.271,44.412,127.372,96.948,26.706,69.631,56.117,41.348,83.287,90.938,143.846,79.453,111.862,19.935,68.808,50.451,93.333,135.317,50.387,14.231,94.110,98.668,168.118,105.754,65.719,19.765,74.743,107.365,86.273,125.576,36.548,182.710,120.999,91.219,70.500,106.139,83.892,148.875,102.108,88.527,465.538,160.592,48.246,0.000,NaN,NaN,15.250,121.055,95.635,60.700,97.942,95.955,1.667,112.995,91.605,20.278,96.007,35.058,66.400,105.763,71.341,3.800,49.135,72.385,117.500,99.338,84.373
4,70.471,131.909,58.866,260.000,76.839,41.016,15.838,83.027,53.802,17.905,76.984,54.797,127.000,126.147,41.830,24.000,106.999,39.993,242.588,126.167,28.566,37.290,55.130,70.905,43.000,115.564,33.877,245.750,134.856,80.915,91.714,103.062,76.486,58.258,83.831,41.477,73.615,80.451,47.141,37.000,138.446,88.997,16.000,127.565,88.815,178.400,90.297,39.472,32.326,136.446,67.822,72.200,103.622,34.591,3.154,95.635,115.513,10.588,60.323,79.031,32.308,123.438,84.728,33.462,108.507,56.771,127.238,147.529,46.155,10.765,127.021,96.573,54.412,69.604,56.078,40.522,83.276,90.725,182.077,79.657,111.706,91.032,68.827,49.626,81.750,135.944,50.518,14.077,93.958,98.862,292.824,105.849,65.719,9.000,74.875,106.876,87.227,125.452,36.646,207.484,121.092,91.248,98.800,106.209,83.714,76.875,102.310,88.501,441.923,160.538,48.119,4.333,155.465,60.295,6.000,121.055,95.945,69.400,97.934,95.758,3.833,113.211,91.605,40.333,96.197,34.678,105.800,105.340,71.393,2.700,49.755,72.075,65.833,99.422,84.098
5,78.235,131.853,58.818,169.000,76.885,41.083,33.351,83.381,53.472,16.000,77.068,54.394,54.333,126.106,41.542,56.000,106.845,39.794,269.824,126.367,28.574,63.161,55.102,71.039,67.692,115.973,33.912,230.917,134.815,80.631,122.000,103.092,76.514,76.581,83.892,41.328,89.308,80.797,47.364,45.417,138.186,88.947,24.500,127.552,89.324,359.700,90.305,39.485,31.302,136.526,67.437,40.900,103.841,34.510,55.308,95.724,115.710,10.118,60.598,79.081,39.615,123.493,85.232,25.846,108.481,57.067,290.952,147.334,46.333,30.471,127.168,96.731,32.647,69.774,56.082,55.609,83.322,90.134,156.923,79.518,111.619,43.355,69.117,49.794,94.333,135.603,50.621,8.077,94.516,98.726,102.000,105.781,65.776,48.588,74.721,107.329,36.818,125.800,36.653,156.839,120.955,91.326,42.900,106.166,83.604,98.250,102.286,88.421,494.000,160.625,48.148,18.333,155.775,60.202,13.750,120.756,95.635,64.000,97.641,95.634,1.667,112.685,91.295,38.722,96.253,34.534,122.300,105.432,71.151,11.000,49.135,72.075,26.667,99.229,83.983
6,66.353,131.950,58.935,177.875,76.952,41.027,23.811,83.364,53.804,22.190,77.125,54.537,83.333,126.181,41.673,29.154,106.991,39.710,283.824,126.208,28.369,18.452,54.823,70.689,39.615,115.987,33.761,234.667,134.801,80.613,158.095,103.237,76.522,51.355,83.906,41.427,57.154,80.858,47.463,12.250,138.170,88.893,32.750,127.643,89.120,234.800,90.146,39.472,27.070,136.462,67.842,49.400,103.994,34.458,0.000,NaN,NaN,12.706,60.797,79.456,50.923,123.511,85.189,12.231,108.643,56.918,239.714,147.441,46.302,48.000,127.002,96.856,39.294,69.750,55.934,33.913,83.219,89.608,131.308,79.676,111.497,74.516,68.987,49.739,68.417,135.537,50.520,10.077,93.645,99.265,187.294,105.967,65.923,9.824,74.436,107.771,80.227,125.598,36.769,116.516,121.030,91.019,57.400,106.326,84.053,96.875,102.190,88.491,485.692,160.578,48.161,21.333,155.903,60.787,54.500,120.783,95.934,70.400,98.076,95.896,14.167,112.915,91.999,45.944,95.966,34.981,62.500,105.233,71.254,6.500,49.960,72.232,23.167,99.371,84.274
7,61.529,131.768,59.046,212.625,76.824,41.196,34.459,83.256,53.661,16.381,77.100,54.439,69.500,126.105,41.737,14.000,106.393,39.264,339.412,126.235,28.607,36.516,55.192,71.157,49.154,115.911,33.355,216.667,134.901,80.679,187.429,103.132,76.533,66.452,84.043,41.132,43.000,80.734,47.323,35.000,138.376,88.848,46.000,127.314,89.091,215.800,90.289,39.388,20.884,136.545,67.627,52.300,104.052,34.525,25.692,95.407,115.698,4.765,60.218,79.205,31.692,123.598,84.760,41.846,108.437,56.891,180.857,147.255,46.228,45.471,127.189,96.611,33.824,69.717,56.006,52.043,83.153,90.597,130.077,79.608,111.700,49.548,68.883,49.783,72.250,135.925,50.587,11.385,94.588,98.829,158.353,105.821,65.633,29.294,74.677,107.640,51.409,125.675,36.888,141.484,120.881,91.346,70.000,106.418,83.963,96.062,101.785,88.421,351.000,160.559,48.218,2.333,156.395,60.295,16.500,121.055,95.945,88.300,97.706,95.877,0.000,NaN,NaN,54.278,96.122,34.724,93.400,105.388,71.237,0.000,NaN,NaN,80.500,99.469,84.134
8,85.176,131.835,58.892,120.125,76.928,41.320,26.135,83.256,53.475,54.857,77.118,54.339,131.333,126.192,41.931,33.385,106.664,39.758,296.765,126.220,28.498,41.032,54.651,71.165,38.154,115.999,33.846,256.167,134.825,80.747,90.762,103.262,76.574,62.516,83.900,41.536,78.615,80.621,47.152,41.167,138.305,88.703,67.250,127.344,89.284,175.200,90.235,39.411,22.605,136.477,68.252,9.500,103.741,34.904,32.538,95.715,115.404,16.824,60.406,79.232,25.385,123.522,84.897,14.231,108.796,57.076,205.333,147.310,46.116,50.176,127.170,97.419,35.706,69.593,55.988,43.870,83.267,90.509,268.385,79.525,111.621,60.839,69.065,49.834,90.083,135.757,50.426,20.231,94.307,98.730,216.353,105.861,65.856,18.765,75.011,107.259,95.864,125.532,37.054,134.452,120.986,91.403,65.200,106.185,83.855,98.062,102.317,88.583,415.692,160.493,48.279,10.667,156.395,60.411,59.000,121.045,95.829,87.100,97.758,95.889,0.000,NaN,NaN,48.167,96.353,34.735,132.000,105.322,71.366,0.000,NaN,NaN,98.833,99.300,84.259
9,56.118,131.899,58.820,219.375,76.913,41.105,19.270,83.496,54.073,74.000,76.889,54.302,90.667,126.044,41.693,8.769,106.771,39.957,293.471,126.191,28.458,46.710,55.250,71.445,60.000,115.810,33.978,294.917,134.902,80.594,171.524,103.151,76.416,68.581,83.936,41.458,46.692,80.741,47.144,9.417,138.349,88.195,22.750,127.620,89.023,185.200,90.267,39.334,33.070,136.498,68.031,22.300,104.204,34.440,33.077,95.993,115.611,1.647,60.295,80.135,20.000,123.888,84.939,22.385,108.464,56.990,218.286,147.456,46.283,20.588,127.240,96.716,49.529,69.590,55.976,43.217,83.334,90.650,220.077,79.414,111.634,96.129,68.993,49.608,53.000,135.650,50.518,16.462,94.276,98.945,62.235,105.760,65.663,15.000,75.308,107.537,57.955,125.545,36.604,141.484,120.997,91.241,59.800,106.232,83.732,83.125,101.897,88.409,495.077,160.542,48.238,0.167,155.775,60.295,124.250,120.913,95.811,175.700,97.971,95.887,0.000,NaN,NaN,57.111,96.023,34.970,104.500,105.367,71.176,12.300,49.579,72.080,106.833,99.285,84.321
10,58.235,131.812,59.042,167.875,76.901,40.913,26.541,83.355,54.230,42.667,76.887,54.178,94.500,125.904,41.933,7.846,106.339,39.999,359.529,126.126,28.473,39.548,54.916,71.321,37.154,115.798,33.838,263.000,134.843,80.725,103.048,103.080,76.403,63.548,83.926,41.559,94.769,80.792,47.268,17.000,138.260,88.473,3.500,127.255,89.435,257.500,90.343,39.472,40.465,136.443,68.272,31.100,103.638,34.640,19.154,95.560,115.431,16.176,60.588,79.487,51.308,123.517,85.261,84.231,108.437,56.788,164.000,147.494,46.244,22.529,127.087,96.718,36.353,69.223,56.031,40.522,83.234,90.792,181.538,79.527,111.946,46.000,69.087,50.125,55.833,135.621,50.476,14.923,94.165,98.973,92.941,105.930,65.820,21.412,74.717,107.876,68.318,125.617,36.900,160.452,120.996,91.381,84.400,106.234,83.853,123.312,102.152,88.432,449.308,160.541,48.201,0.000,NaN,NaN,12.750,121.055,95.635,126.200,98.158,95.955,26.000,112.920,91.555,39.111,96.139,34.783,46.100,105.183,71.265,3.800,49.771,71.781,74.667,99.176,84.120
