 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52,Mean53,XM53,YM53,Mean54,XM54,YM54,Mean55,XM55,YM55,Mean56,XM56,YM56,Mean57,XM57,YM57,Mean58,XM58,YM58,Mean59,XM59,YM59,Mean60,XM60,YM60,Mean61,XM61,YM61,Mean62,XM62,YM62,Mean63,XM63,YM63,Mean64,XM64,YM64,Mean65,XM65,YM65,Mean66,XM66,YM66,Mean67,XM67,YM67,Mean68,XM68,YM68,Mean69,XM69,YM69,Mean70,XM70,YM70,Mean71,XM71,YM71,Mean72,XM72,YM72,Mean73,XM73,YM73,Mean74,XM74,YM74,Mean75,XM75,YM75,Mean76,XM76,YM76,Mean77,XM77,YM77,Mean78,XM78,YM78,Mean79,XM79,YM79,Mean80,XM80,YM80,Mean81,XM81,YM81,Mean82,XM82,YM82,Mean83,XM83,YM83,Mean84,XM84,YM84,Mean85,XM85,YM85,Mean86,XM86,YM86
1,3104.167,101.673,156.211,2053.273,111.475,140.292,636.250,80.456,118.146,302.286,91.276,114.130,582.364,119.193,144.167,160.571,86.170,164.194,95.767,91.497,52.156,62.053,99.508,52.697,143.250,96.889,130.874,121.412,105.900,149.038,80.125,85.016,177.847,154.235,66.076,202.762,77.333,98.477,151.685,83.600,108.906,123.883,153.625,91.985,127.445,206.750,68.973,210.860,142.000,62.008,211.030,64.875,81.095,141.903,55.000,87.571,139.148,2509.875,113.769,153.614,115.667,80.245,174.054,27.000,97.905,162.319,300.875,106.773,210.229,116.875,79.368,167.955,116.375,93.206,99.950,426.323,109.652,116.314,154.952,88.176,121.931,108.625,94.142,174.140,107.000,106.621,202.556,449.833,124.621,86.678,280.774,123.134,80.011,148.154,108.155,109.542,104.000,110.992,90.850,156.200,118.772,122.167,166.516,92.613,138.503,133.091,83.776,129.048,174.667,89.224,132.343,170.750,107.990,165.326,63.273,47.570,148.071,226.500,99.274,144.309,64.750,98.616,103.793,228.000,62.364,206.438,78.125,46.994,125.105,224.429,99.905,139.376,148.500,96.350,185.991,88.000,100.799,90.530,53.167,102.706,97.957,309.500,102.713,109.353,305.500,100.400,194.122,166.500,103.850,181.996,183.571,111.084,183.688,338.167,92.351,144.146,460.000,90.349,93.859,282.000,95.003,89.237,161.500,56.773,138.445,62.429,60.203,141.123,47.375,62.159,121.443,304.182,79.489,112.308,173.250,75.917,108.127,173.455,113.571,146.591,330.727,106.160,143.641,225.333,82.574,167.753,286.750,87.202,170.786,137.375,110.044,177.538,173.778,91.042,160.111,241.778,85.458,144.196,232.667,107.210,133.514,110.833,82.650,107.894,38.500,72.701,204.451,272.667,85.216,116.833,164.875,106.018,188.540,84.750,77.267,203.708,154.095,46.427,193.247,36.833,85.774,189.527,131.333,81.016,192.783,92.600,38.380,181.399,151.833,76.383,123.672,76.333,99.708,209.698,220.500,80.705,197.832,237.500,79.126,98.143,295.500,95.246,199.005,202.833,110.153,159.861,87.500,94.825,168.198,321.200,52.816,146.316,83.714,61.983,170.032,170.889,93.910,190.799
2,2403.333,101.666,156.270,1852.182,111.488,140.278,132.000,80.452,118.037,609.000,91.315,113.993,542.000,119.162,144.226,156.571,86.401,164.079,48.267,91.458,51.908,53.421,99.429,52.083,28.500,96.987,131.065,134.000,105.902,149.053,57.875,85.255,177.983,213.706,66.326,202.672,140.333,98.594,151.932,72.400,108.791,124.018,62.375,91.932,127.290,362.500,68.866,210.689,110.143,62.015,211.224,88.875,81.365,141.791,68.500,87.578,139.281,1818.625,113.776,153.613,189.667,80.215,174.009,73.000,98.231,162.288,272.875,106.685,210.155,141.875,79.372,167.874,90.875,93.162,99.755,377.484,109.544,116.322,146.286,88.109,122.014,105.938,94.122,174.044,162.200,106.638,202.746,444.500,124.633,86.769,290.000,123.190,80.024,101.154,108.366,109.670,63.833,111.035,91.213,143.200,118.745,122.274,164.258,92.585,138.470,146.727,83.913,129.115,158.000,89.274,132.648,184.250,108.047,165.112,14.000,47.742,148.613,199.375,99.224,144.312,101.625,98.646,103.702,201.923,62.449,206.323,106.375,47.204,125.101,204.286,100.000,139.680,128.833,96.399,186.014,82.300,101.156,90.518,53.000,102.660,98.162,251.000,102.599,109.466,265.167,100.395,193.947,181.500,103.815,182.027,171.143,110.885,183.629,299.000,92.429,144.106,331.500,90.448,93.841,264.500,95.103,89.263,50.000,56.944,138.431,95.571,60.358,140.966,57.625,62.404,121.393,285.091,79.547,112.371,234.250,75.908,108.026,136.727,113.631,146.575,183.818,106.171,143.761,140.667,82.628,167.648,249.750,87.292,170.802,159.312,109.952,177.581,219.778,90.976,160.058,210.222,85.420,144.270,278.000,107.352,133.480,95.167,82.641,107.911,16.250,72.557,204.187,128.667,85.142,116.901,234.125,106.049,188.666,90.125,77.302,203.642,116.286,46.364,193.399,135.167,85.889,189.395,113.833,80.919,192.800,154.100,38.399,181.457,184.500,76.215,123.693,67.000,99.835,209.437,164.750,80.839,197.770,123.250,79.116,98.186,377.500,95.248,198.982,111.167,109.876,159.937,60.750,94.789,168.327,300.200,52.781,146.254,12.000,61.930,169.695,61.556,93.776,190.804
3,2700.000,101.697,156.221,1781.818,111.468,140.292,109.750,80.483,118.086,867.714,91.297,114.087,1236.182,119.189,144.307,170.190,86.329,164.112,55.833,91.457,52.209,46.737,99.544,51.999,104.750,96.778,130.684,87.882,105.874,149.209,115.875,85.110,178.009,166.588,66.066,202.655,103.333,98.306,151.958,105.900,108.913,124.060,122.250,91.785,127.391,355.750,68.987,210.790,105.286,61.943,211.379,58.375,81.354,141.604,85.167,87.540,139.324,1576.000,113.766,153.684,256.667,80.254,174.228,92.750,98.167,162.292,249.250,106.863,210.154,94.375,79.368,167.948,180.750,93.145,99.910,399.484,109.570,116.324,109.810,88.115,121.991,102.062,94.148,174.196,167.800,106.570,202.845,524.833,124.618,86.788,242.710,123.122,80.059,154.923,108.307,109.485,138.333,110.920,91.175,67.200,118.749,122.264,150.516,92.605,138.437,227.818,83.944,129.142,147.333,89.118,132.507,189.500,108.029,165.322,76.909,47.641,148.323,290.625,99.163,144.247,54.750,98.748,103.684,154.385,62.448,206.449,96.875,47.128,124.959,118.286,100.020,139.506,153.333,96.228,186.016,62.300,100.971,90.469,77.250,102.639,98.317,261.400,102.548,109.433,200.333,100.267,194.072,159.750,103.865,182.159,228.000,110.949,183.758,339.667,92.341,144.265,334.750,90.325,93.976,314.625,94.911,89.336,158.250,56.706,138.398,99.143,60.291,140.901,55.125,62.078,121.492,192.364,79.492,112.243,232.750,75.868,107.987,117.273,113.605,146.579,176.364,106.174,143.751,209.000,82.589,167.674,381.500,87.244,170.820,122.562,110.107,177.477,255.111,90.907,160.053,180.444,85.481,144.208,216.833,107.248,133.560,41.000,82.411,107.753,77.500,72.695,204.258,97.167,85.139,116.764,251.250,106.049,188.627,96.500,77.272,203.716,101.905,46.385,193.211,89.833,85.873,189.439,150.833,80.875,192.784,107.400,38.420,181.323,137.000,76.232,123.725,127.167,99.774,209.544,140.750,80.619,197.846,135.500,79.011,98.010,403.500,95.202,199.005,142.500,109.969,159.943,83.250,94.702,168.443,313.200,52.734,146.308,78.857,62.125,169.604,56.667,93.792,190.786
4,1875.000,101.684,156.272,1277.455,111.535,140.309,76.250,80.514,118.399,1079.714,91.281,114.046,2019.273,119.192,144.270,277.619,86.334,164.178,62.167,91.418,52.203,63.895,99.528,53.140,120.500,96.876,131.057,110.235,105.912,149.095,70.250,85.024,177.843,179.176,66.176,202.787,76.667,98.650,151.777,106.600,108.742,124.024,176.500,91.888,127.487,136.500,68.993,210.785,130.714,61.991,211.211,150.750,81.067,141.673,160.333,87.448,139.194,1771.500,113.790,153.680,117.667,80.341,174.163,148.750,98.246,162.219,158.750,106.884,210.220,208.125,79.325,167.912,166.000,93.263,99.919,299.097,109.587,116.413,142.476,88.095,121.964,78.062,94.050,174.204,114.800,106.635,202.873,461.333,124.612,86.809,660.903,123.300,80.172,146.308,108.176,109.557,119.167,111.082,91.146,88.600,118.665,122.292,118.000,92.511,138.443,146.727,83.867,129.261,170.190,89.100,132.567,159.250,107.996,165.404,105.818,47.612,148.283,202.125,99.228,144.323,74.625,98.612,103.720,199.231,62.438,206.475,118.250,47.203,124.877,143.000,99.991,139.397,215.500,96.480,185.866,68.000,101.221,90.463,62.083,102.586,98.117,314.600,102.564,109.321,180.667,100.252,193.974,194.125,103.800,182.187,183.143,110.961,183.748,287.167,92.452,144.069,255.750,90.311,93.953,251.000,94.899,89.353,146.000,56.634,138.487,95.286,60.194,141.008,54.750,62.060,121.502,341.818,79.452,112.402,249.250,75.925,108.212,158.545,113.551,146.519,226.909,106.276,143.621,251.667,82.506,167.678,324.500,87.281,170.786,141.938,109.989,177.560,253.778,90.979,160.136,225.111,85.354,144.337,352.500,107.253,133.638,78.833,82.295,107.824,54.250,72.512,204.379,116.833,85.310,116.999,235.625,106.073,188.659,130.375,77.532,203.692,70.190,46.435,193.273,64.667,85.784,189.555,79.333,81.006,192.784,71.200,38.420,181.418,107.667,76.255,123.671,123.833,99.731,209.512,84.000,80.759,197.874,101.250,79.027,98.092,246.500,95.302,198.993,187.167,109.974,159.890,93.000,94.876,168.402,243.300,52.734,146.365,69.286,62.165,169.963,128.444,93.773,190.648
5,1250.167,101.707,156.269,1586.182,111.478,140.298,118.000,80.437,118.021,1221.571,91.285,114.035,1546.000,119.172,144.242,1095.333,86.301,164.228,57.133,91.451,52.094,55.789,99.462,51.944,41.250,96.911,130.890,111.000,105.667,149.142,78.500,84.833,177.984,144.706,66.155,202.884,43.833,98.612,151.922,87.000,108.788,123.890,96.625,91.865,127.449,274.250,68.991,210.844,124.429,62.000,211.238,93.000,81.300,141.775,92.500,87.396,139.046,1448.375,113.754,153.717,161.833,80.275,173.986,54.000,98.204,162.301,241.375,106.820,210.148,80.250,79.350,167.874,176.375,93.241,99.906,268.581,109.549,116.447,104.857,88.251,121.785,104.562,94.051,173.944,177.800,106.658,202.920,339.667,124.597,86.817,1380.065,123.299,80.117,180.231,108.275,109.497,84.833,110.957,91.316,57.000,118.828,122.360,104.387,92.542,138.336,169.818,83.856,129.220,158.095,89.022,132.384,168.500,108.036,165.246,51.818,47.593,148.491,202.250,99.323,144.370,146.250,98.496,103.799,201.846,62.514,206.496,84.625,47.143,124.936,122.714,99.905,139.559,136.167,96.368,185.949,127.800,101.025,90.592,74.333,102.726,98.219,167.500,102.584,109.192,195.000,100.457,194.070,155.125,103.851,181.965,273.000,110.897,183.687,259.833,92.344,144.086,302.000,90.369,93.946,314.375,94.915,89.249,84.750,56.859,138.609,434.857,60.330,140.931,45.875,62.280,121.585,261.818,79.473,112.316,257.250,75.935,107.982,228.182,113.571,146.374,235.273,106.122,143.588,211.333,82.544,167.635,285.500,87.245,170.922,103.938,110.128,177.526,286.444,90.982,160.157,275.778,85.388,144.347,312.167,107.293,133.560,95.333,82.558,107.749,191.500,72.746,204.230,121.333,85.358,116.830,187.750,106.131,188.684,105.750,77.267,203.817,90.000,46.369,193.362,223.500,85.747,189.472,90.167,80.879,192.774,95.400,38.532,181.416,129.500,76.203,123.561,77.167,99.894,209.516,238.750,80.860,197.780,225.750,79.008,98.161,518.250,95.258,199.019,150.667,110.089,159.913,25.000,94.609,168.280,314.700,52.687,146.306,45.429,62.272,169.722,143.333,93.803,190.741
6,737.500,101.686,156.214,1265.273,111.467,140.272,142.750,80.484,118.163,1067.000,91.297,114.087,1312.727,119.133,144.250,762.000,86.340,164.151,52.433,91.467,51.893,74.053,99.574,51.932,67.500,96.756,130.896,105.529,105.797,149.102,94.250,85.083,177.841,141.000,66.073,202.691,60.167,98.498,151.861,89.500,108.910,124.078,45.625,91.786,127.430,389.250,68.957,210.823,136.714,61.979,211.444,66.250,81.336,141.869,126.667,87.697,139.133,1527.750,113.731,153.628,87.833,80.304,174.128,21.250,98.162,162.504,224.750,106.801,210.286,206.125,79.346,167.958,140.500,93.246,99.921,213.935,109.592,116.565,125.333,88.160,121.945,105.875,94.175,173.968,224.000,106.593,203.042,391.833,124.662,86.852,1124.387,123.307,80.114,113.000,108.389,109.444,86.167,110.949,91.407,102.200,118.721,122.273,202.774,92.438,138.428,227.091,83.850,129.120,126.667,89.092,132.523,198.500,108.001,165.204,43.455,47.647,148.462,256.125,99.276,144.200,88.250,98.659,103.642,203.769,62.552,206.461,73.500,47.241,125.218,165.286,99.982,139.521,120.667,96.382,186.104,90.500,101.126,90.487,57.417,102.624,97.949,141.700,102.634,109.125,202.000,100.473,194.176,164.500,103.934,182.224,242.429,110.961,183.674,320.000,92.353,144.119,297.750,90.361,93.899,372.625,95.032,89.381,54.000,56.762,138.302,340.143,60.328,140.975,45.625,62.269,121.243,258.545,79.550,112.288,208.500,75.902,108.043,201.091,113.655,146.661,252.000,106.201,143.765,149.000,82.338,167.859,165.750,87.283,170.854,162.938,110.019,177.593,186.667,90.987,160.118,316.444,85.474,144.323,249.500,107.249,133.641,38.500,82.521,107.975,171.500,72.754,204.234,135.667,85.335,116.696,192.500,106.010,188.733,54.500,77.374,203.657,174.381,46.511,193.213,141.167,85.756,189.450,62.500,80.954,192.770,136.400,38.483,181.389,98.833,76.043,123.717,52.833,99.784,209.536,77.250,80.749,197.869,93.750,78.992,98.117,376.500,95.294,198.983,186.833,110.021,159.911,74.000,94.858,168.520,357.000,52.748,146.282,59.429,62.234,170.069,152.667,93.880,190.733
7,438.500,101.741,156.309,969.636,111.480,140.278,49.250,80.465,118.284,652.857,91.335,114.081,1162.364,119.162,144.279,608.190,86.332,164.235,73.067,91.422,52.234,59.000,99.507,52.607,152.000,96.855,131.069,102.412,105.863,149.097,46.500,85.130,178.070,198.824,66.338,202.841,95.500,98.499,151.639,137.200,108.837,124.105,90.875,91.885,127.271,314.500,68.922,210.815,160.429,61.963,211.146,34.500,81.110,141.927,83.500,87.458,139.156,1046.125,113.775,153.674,134.500,80.271,174.023,50.750,98.121,162.290,130.250,106.683,210.235,141.625,79.244,167.756,123.375,93.108,99.973,160.065,109.592,116.500,79.238,88.206,122.016,128.438,94.075,174.075,191.000,106.665,202.874,553.667,124.609,86.688,791.032,123.260,80.035,163.231,108.149,109.520,105.667,111.008,91.005,37.000,118.756,122.702,150.065,92.521,138.479,102.909,83.913,128.981,152.571,89.120,132.396,270.250,108.003,165.385,58.727,47.689,148.342,170.375,99.246,144.242,59.750,98.480,103.553,217.154,62.422,206.428,60.500,46.990,125.071,155.571,99.892,139.510,129.333,96.382,185.893,69.100,101.284,90.479,73.417,102.598,98.152,147.900,102.627,109.379,201.000,100.265,194.105,150.250,103.807,182.239,263.000,111.046,183.683,277.500,92.338,144.038,253.500,90.355,93.843,311.375,94.985,89.279,166.500,56.737,138.364,382.857,60.308,141.109,37.250,62.301,121.467,297.455,79.496,112.387,229.750,76.019,108.041,148.909,113.648,146.584,233.273,106.069,143.663,256.667,82.648,167.639,245.250,87.219,170.867,141.625,110.071,177.544,195.556,91.101,160.024,268.889,85.470,144.260,239.667,107.272,133.628,107.500,82.598,107.941,28.500,72.472,204.179,174.667,85.075,116.928,170.625,105.999,188.640,104.250,77.322,203.743,153.810,46.465,193.328,42.667,86.027,189.546,98.500,80.932,192.662,54.800,38.459,181.313,82.833,76.350,123.835,62.833,99.593,209.462,163.500,80.885,197.675,178.750,79.020,98.197,422.250,95.210,199.026,159.167,110.026,159.899,110.000,94.704,168.540,281.800,52.802,146.329,36.429,62.057,170.138,109.111,94.028,190.726
8,360.667,101.702,156.251,793.818,111.409,140.241,52.000,80.360,118.351,351.571,91.285,113.982,1168.727,119.176,144.254,587.905,86.314,164.202,75.600,91.473,51.901,64.053,99.492,52.508,73.250,96.795,130.825,81.412,105.707,148.931,70.625,84.966,177.934,158.235,66.270,202.696,99.833,98.813,151.767,82.400,108.915,123.989,195.250,91.958,127.482,220.000,69.064,210.805,97.857,61.993,211.355,99.125,81.426,141.771,87.333,87.528,139.256,618.875,113.699,153.706,42.000,80.312,173.743,89.250,98.351,162.246,240.750,106.719,210.203,164.375,79.242,167.866,207.500,93.195,99.896,148.387,109.554,116.452,150.286,88.094,121.805,139.000,94.075,174.086,109.600,106.617,203.133,409.500,124.602,86.887,613.677,123.225,80.131,120.769,108.274,109.595,88.333,110.969,91.066,46.400,118.745,122.577,134.129,92.520,138.550,172.545,84.001,129.094,142.381,88.991,132.530,329.500,107.974,165.238,96.000,47.391,148.195,272.875,99.203,144.275,107.625,98.489,103.733,193.462,62.524,206.676,64.375,47.227,124.967,174.143,99.885,139.368,238.667,96.392,186.021,87.000,101.024,90.547,67.750,102.615,98.395,75.900,102.528,109.387,220.333,100.449,194.033,198.500,103.890,182.218,197.429,111.046,183.699,258.333,92.494,144.144,278.750,90.342,93.945,356.375,95.003,89.208,103.750,56.889,138.408,185.857,60.291,140.959,61.000,62.276,121.270,331.636,79.512,112.328,232.250,75.939,107.988,224.000,113.672,146.513,352.000,106.167,143.764,126.000,82.572,167.693,171.250,87.258,170.728,153.688,110.055,177.505,160.444,90.915,160.159,266.667,85.425,144.267,91.667,107.166,133.479,123.000,82.466,107.830,58.250,72.742,204.440,154.833,85.253,116.838,241.375,106.042,188.692,140.625,77.363,203.683,124.762,46.288,193.269,170.167,85.872,189.630,170.167,80.857,192.862,104.600,38.312,181.308,111.667,76.260,123.716,56.167,99.790,209.606,110.750,80.803,197.857,152.000,79.024,98.088,422.750,95.133,198.963,211.000,110.071,160.026,141.250,94.639,168.214,292.400,52.701,146.274,90.000,62.178,170.077,137.333,93.832,190.671
9,374.000,101.617,156.247,573.273,111.446,140.275,119.250,80.557,118.089,204.000,91.304,113.978,721.636,119.167,144.288,414.286,86.453,164.183,142.900,91.428,52.128,54.263,99.495,52.192,115.000,96.834,130.801,129.588,105.895,149.064,76.375,85.215,177.825,230.118,66.188,202.726,117.667,98.589,151.930,115.000,108.912,123.800,147.375,91.873,127.382,231.500,69.035,210.728,134.286,62.058,210.889,96.250,81.138,141.910,112.500,87.556,139.179,771.000,113.773,153.731,77.500,80.245,174.352,41.500,98.319,162.147,211.500,106.813,210.278,134.375,79.397,167.860,99.500,93.262,99.671,132.645,109.574,116.455,129.619,88.080,122.001,113.250,94.101,174.046,175.600,106.676,203.132,484.833,124.591,86.842,468.000,123.209,80.129,133.692,108.253,109.648,61.000,111.035,91.314,58.000,118.684,122.183,104.839,92.554,138.441,130.000,83.784,129.159,182.476,89.066,132.495,238.500,108.061,165.215,43.818,47.708,148.080,224.000,99.255,144.248,90.750,98.497,103.747,177.615,62.390,206.391,121.625,47.181,125.309,154.143,100.022,139.380,101.833,96.378,185.957,99.700,101.151,90.573,60.667,102.762,98.592,80.300,102.768,109.405,220.000,100.460,193.961,166.125,103.895,182.226,311.286,110.946,183.790,227.833,92.397,144.064,334.500,90.345,93.919,376.375,94.997,89.279,76.750,56.944,138.234,82.143,60.337,141.203,36.500,62.186,121.353,330.182,79.532,112.407,279.375,75.965,108.091,170.545,113.633,146.617,306.000,106.176,143.749,244.667,82.429,167.728,200.750,87.241,170.762,168.062,110.071,177.538,169.778,91.035,160.022,269.778,85.438,144.240,137.667,107.213,133.692,81.667,82.485,107.887,71.250,72.632,204.118,160.667,85.294,116.993,189.000,105.927,188.753,92.375,77.369,203.576,136.286,46.392,193.413,55.167,85.730,189.241,95.333,81.027,192.920,110.700,38.516,181.357,88.500,76.321,123.623,78.667,99.867,209.584,146.500,80.717,197.821,160.250,79.137,98.058,469.500,95.173,199.027,158.000,110.057,159.803,88.000,94.709,168.317,291.200,52.675,146.342,61.429,62.128,169.921,120.444,93.876,190.815
10,303.667,101.767,156.230,413.455,111.365,140.319,93.250,80.427,117.984,281.714,91.349,113.954,661.818,119.188,144.301,174.667,86.380,164.136,146.033,91.444,51.765,63.316,99.495,52.763,119.500,96.728,130.881,87.941,106.047,149.006,45.250,85.211,177.891,166.118,66.143,202.753,94.167,98.648,151.813,64.700,108.678,123.969,167.625,91.938,127.329,230.500,68.905,210.808,98.286,62.031,211.014,148.875,81.240,141.745,97.333,87.477,139.137,820.125,113.787,153.729,105.333,80.273,174.092,54.750,98.265,162.128,216.000,106.749,210.300,110.500,79.512,167.841,201.500,93.040,99.848,97.097,109.626,116.467,119.810,88.217,121.929,98.062,94.053,173.801,150.600,106.577,203.102,451.833,124.642,86.736,414.065,123.144,80.122,156.385,108.213,109.622,79.000,111.083,91.495,87.800,118.783,122.349,99.226,92.588,138.378,113.636,83.850,129.246,163.048,88.999,132.432,111.000,108.113,165.398,41.636,47.558,148.200,256.625,99.220,144.295,67.625,98.733,103.653,183.385,62.564,206.370,120.875,47.139,125.068,145.714,99.967,139.407,201.167,96.336,186.074,146.300,101.007,90.508,44.167,102.667,98.178,93.100,102.531,109.456,187.000,100.471,194.062,241.250,103.849,182.150,281.000,111.112,183.686,299.333,92.422,144.122,258.250,90.409,93.859,344.250,94.999,89.291,130.250,56.887,138.409,97.571,60.179,140.886,69.500,62.403,121.267,319.273,79.533,112.429,267.875,75.946,107.995,217.455,113.662,146.547,182.182,106.140,143.615,166.000,82.605,167.710,221.000,87.253,170.790,163.812,109.858,177.607,216.667,90.927,160.185,223.556,85.411,144.267,185.167,107.251,133.626,106.333,82.507,107.760,83.000,72.667,204.161,190.333,85.203,116.966,243.500,106.029,188.746,79.000,77.566,203.772,137.714,46.331,193.316,155.667,85.769,189.484,74.833,80.941,192.690,73.300,38.477,181.427,91.333,76.214,123.637,43.667,99.730,209.852,127.000,80.869,197.794,65.250,79.086,98.215,291.250,95.107,198.961,137.667,109.835,159.900,25.500,94.681,168.521,351.900,52.720,146.270,59.143,62.079,169.953,95.778,93.899,190.737
