 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52
1,705.250,53.347,132.493,470.125,31.925,90.046,58.476,99.397,121.769,422.500,48.864,185.006,286.400,60.747,133.691,85.750,59.363,65.155,522.000,62.647,105.721,98.000,75.555,175.500,431.059,73.914,76.900,193.300,56.454,57.666,267.250,77.193,126.097,196.800,39.835,138.811,230.412,57.111,103.697,340.375,29.189,131.658,172.000,34.834,113.787,306.571,56.518,120.462,227.700,58.669,82.454,186.200,65.711,82.239,200.571,52.170,81.077,201.083,93.953,102.915,52.167,99.732,101.594,96.600,47.306,114.801,332.909,45.128,137.549,54.000,100.595,107.676,303.312,54.250,187.192,263.625,13.997,160.279,260.438,20.446,157.419,110.300,75.979,85.620,85.000,77.578,149.966,135.000,28.337,169.916,171.900,18.997,170.858,184.000,52.702,116.561,174.500,87.494,121.652,236.000,29.175,127.287,293.636,91.314,98.735,195.857,86.050,105.990,207.875,35.215,132.733,109.500,49.496,135.666,225.000,68.634,78.853,567.375,64.129,62.175,343.667,73.983,122.193,292.000,41.394,108.344,130.000,61.139,75.871,109.111,36.155,176.856,286.429,36.505,88.596,82.667,71.531,147.511,194.250,67.844,117.483,283.750,36.645,83.426,68.000,47.265,86.890,78.400,73.769,169.805,86.000,69.812,141.871,247.778,39.859,134.461
2,666.750,53.314,132.581,579.375,31.883,90.006,102.476,99.296,121.479,462.500,48.801,185.040,347.500,60.733,133.541,112.375,59.398,64.855,529.667,62.705,105.720,141.500,75.505,175.530,236.706,73.993,77.220,158.700,56.434,57.560,274.250,77.197,126.276,156.400,39.835,138.604,336.000,57.010,103.801,281.875,29.107,131.502,183.238,34.829,113.644,266.476,56.574,120.407,351.100,58.646,82.478,211.000,65.628,82.088,264.714,52.046,81.046,235.333,93.873,102.992,96.000,99.776,101.644,121.000,47.166,114.769,186.182,45.071,137.438,65.077,100.557,107.923,278.812,54.240,187.277,362.125,14.023,160.123,202.812,20.464,157.634,128.300,76.118,85.426,121.500,77.690,149.952,328.714,28.392,169.711,205.700,18.958,170.779,151.833,52.823,116.631,182.750,87.349,121.656,219.714,29.135,127.267,222.909,91.304,98.705,102.571,85.975,106.178,197.750,35.064,132.838,91.000,49.444,135.843,356.000,68.693,78.828,527.000,64.198,62.157,412.333,74.151,122.240,255.778,41.277,108.368,177.000,61.148,76.218,173.778,36.132,176.767,174.786,36.397,88.781,89.500,71.394,147.753,213.750,67.837,117.273,468.750,36.532,83.416,118.182,47.469,86.969,54.200,73.775,169.995,63.250,69.805,142.073,253.556,39.827,134.431
3,721.250,53.299,132.510,629.625,31.890,90.035,62.095,99.311,121.555,326.500,48.922,185.002,214.400,60.764,133.661,39.875,59.668,65.037,451.500,62.563,105.751,110.750,75.514,175.421,236.824,73.948,76.849,242.800,56.371,57.598,492.000,77.173,126.205,84.800,39.835,138.390,291.588,56.984,103.812,271.250,29.125,131.563,123.524,34.895,113.681,201.810,56.532,120.461,272.300,58.501,82.422,288.500,65.662,82.156,167.714,52.044,81.028,177.583,93.900,103.121,118.667,99.979,101.663,339.100,47.078,114.731,211.818,45.092,137.452,67.000,100.570,108.112,291.000,54.160,187.278,344.250,14.016,160.083,216.625,20.480,157.526,156.800,75.883,85.560,71.400,77.771,150.159,361.571,28.383,169.878,147.800,18.855,170.785,29.833,52.701,116.658,212.125,87.428,121.553,227.714,29.218,127.183,239.091,91.240,98.801,180.571,86.031,106.069,170.625,35.375,132.792,51.500,49.486,135.903,513.250,68.686,78.664,514.875,64.170,62.181,408.333,74.138,122.133,189.111,41.282,108.320,107.000,61.090,75.919,95.778,36.179,176.744,151.286,36.489,88.780,99.500,71.477,147.850,176.500,67.975,117.459,242.250,36.481,83.452,76.000,47.313,86.922,147.800,73.734,169.732,53.250,69.882,141.641,267.333,39.854,134.411
4,1099.250,53.299,132.517,1014.000,31.883,90.053,102.381,99.281,121.822,281.500,48.797,184.969,289.800,60.713,133.596,83.000,59.637,64.833,427.167,62.696,105.738,156.750,75.501,175.390,212.000,73.898,77.083,193.600,56.421,57.561,289.750,77.177,126.224,140.000,39.835,138.528,246.647,56.998,103.694,316.250,29.181,131.630,134.476,34.791,113.678,220.190,56.615,120.430,293.700,58.598,82.371,278.100,65.688,82.113,229.857,52.062,81.064,242.833,93.912,103.089,74.167,99.672,101.732,307.100,47.184,114.778,280.182,45.085,137.478,67.538,100.645,107.819,346.438,54.206,187.269,284.625,13.999,160.156,232.812,20.339,157.532,85.200,75.959,85.734,130.900,77.855,150.274,238.857,28.318,169.864,160.300,18.944,170.691,170.833,52.652,116.622,255.625,87.337,121.663,122.762,29.246,127.221,260.545,91.316,98.773,241.714,85.982,106.083,70.625,35.013,132.696,192.750,49.305,135.691,285.750,68.584,78.724,664.750,64.179,62.119,470.500,74.045,122.111,297.111,41.341,108.404,166.250,61.076,75.914,167.333,36.093,176.781,173.071,36.509,88.947,83.417,71.513,147.577,217.000,67.868,117.541,381.750,36.492,83.392,88.545,47.393,86.896,119.200,73.803,169.541,62.500,69.766,142.041,264.000,39.901,134.378
5,901.750,53.347,132.539,860.125,31.881,90.020,69.810,99.334,121.656,439.500,48.849,185.047,290.100,60.793,133.681,92.375,59.469,64.843,477.500,62.599,105.705,78.500,75.367,175.474,78.588,73.851,77.132,250.500,56.411,57.638,390.250,77.199,126.192,246.400,39.835,138.476,301.118,57.092,103.784,256.500,29.213,131.549,139.810,34.981,113.643,337.714,56.594,120.421,245.800,58.644,82.455,275.100,65.755,82.109,280.286,52.137,81.077,209.167,93.952,102.936,82.667,99.848,101.848,148.000,47.246,114.659,290.182,45.096,137.500,65.077,100.695,107.885,354.500,54.238,187.304,312.375,14.003,160.126,224.750,20.445,157.692,77.800,75.985,85.575,77.000,77.882,149.939,332.429,28.358,169.889,243.900,18.995,170.801,116.500,52.720,116.653,224.875,87.414,121.706,265.238,29.266,127.192,106.545,91.354,98.697,177.143,86.019,106.010,135.875,35.124,132.685,119.750,49.478,135.735,336.000,68.582,78.716,568.375,64.169,62.165,346.000,74.034,122.047,227.333,41.412,108.401,194.750,61.076,75.870,125.111,36.134,176.798,259.357,36.533,88.958,104.500,71.498,147.513,252.750,67.858,117.510,244.500,36.617,83.406,157.636,47.369,86.875,109.200,73.808,169.661,46.250,69.536,141.677,217.778,39.914,134.436
6,797.000,53.381,132.511,868.875,31.922,90.034,248.381,99.387,121.790,317.750,48.825,185.046,229.100,60.709,133.609,70.000,59.637,65.130,439.833,62.563,105.737,113.750,75.447,175.524,184.353,73.883,77.136,164.100,56.321,57.634,395.500,77.170,126.156,295.200,39.835,138.777,274.412,57.082,103.716,287.375,29.163,131.627,137.810,34.879,113.525,326.952,56.573,120.419,324.400,58.605,82.556,191.900,65.814,82.149,268.286,52.077,80.999,209.333,93.931,103.220,161.667,99.995,101.593,94.700,47.077,114.840,150.727,45.107,137.390,60.923,100.705,108.034,359.688,54.218,187.390,272.750,13.982,160.181,208.625,20.384,157.531,162.000,75.957,85.630,75.300,77.844,150.114,217.571,28.396,169.861,119.600,19.004,170.841,106.667,52.908,116.420,273.000,87.406,121.694,256.000,29.352,127.256,199.455,91.348,98.711,153.286,86.009,106.119,149.375,35.327,132.607,105.750,49.549,135.847,339.250,68.699,78.681,607.750,64.089,62.160,481.667,74.107,122.145,190.000,41.441,108.346,199.750,61.144,76.081,209.333,36.220,176.746,197.929,36.599,88.954,95.833,71.570,147.693,263.500,67.961,117.477,299.000,36.559,83.365,83.636,47.390,86.826,110.800,73.825,169.615,105.125,69.674,141.887,186.667,39.815,134.447
7,743.250,53.338,132.534,794.500,31.905,90.090,245.619,99.371,121.682,282.000,48.871,185.172,279.700,60.652,133.542,103.125,59.505,64.913,444.167,62.625,105.749,56.250,75.325,175.410,135.176,73.838,77.071,211.200,56.361,57.563,331.500,77.218,126.088,190.000,39.835,138.456,337.235,57.019,103.598,297.875,29.171,131.631,155.143,34.782,113.695,292.476,56.446,120.418,275.700,58.599,82.398,181.600,65.676,82.131,339.000,52.086,81.099,219.250,93.881,103.088,100.500,99.824,101.694,151.300,47.293,114.817,286.000,45.062,137.631,41.000,100.687,107.948,276.312,54.182,187.332,312.875,13.910,160.213,226.312,20.379,157.664,148.900,75.955,85.779,84.000,77.753,149.999,248.000,28.346,169.777,176.900,18.883,170.690,138.000,52.782,116.535,162.375,87.370,121.560,243.143,29.266,127.286,227.273,91.296,98.708,104.143,86.017,106.055,159.375,35.129,132.691,46.250,49.470,135.794,400.750,68.584,78.708,569.375,64.153,62.162,435.000,74.161,122.142,160.889,41.407,108.411,240.000,61.107,76.006,111.111,36.091,176.740,267.571,36.630,88.767,68.417,71.481,147.819,218.000,67.885,117.489,444.500,36.697,83.426,91.818,47.174,86.798,73.200,73.867,169.632,59.375,69.709,141.531,324.222,39.893,134.361
8,813.500,53.366,132.520,648.375,31.882,90.038,204.571,99.356,121.671,2393.500,48.793,185.091,240.600,60.745,133.715,124.375,59.544,64.923,429.500,62.669,105.745,176.750,75.579,175.416,148.000,73.932,76.979,144.300,56.351,57.441,325.250,77.174,126.300,230.800,39.835,138.652,352.882,57.068,103.751,333.125,29.171,131.611,127.429,34.833,113.668,256.286,56.545,120.376,227.900,58.657,82.398,140.700,65.774,82.131,267.714,51.946,81.113,153.917,93.807,103.178,81.333,99.803,101.538,150.400,47.025,114.754,382.545,45.131,137.497,47.000,100.718,108.229,278.625,54.269,187.132,333.375,13.967,160.136,224.375,20.355,157.650,98.100,76.012,85.678,110.700,77.788,150.037,196.857,28.410,169.925,204.800,18.926,170.939,129.167,52.802,116.597,216.125,87.417,121.662,262.286,29.242,127.338,63.273,91.254,98.657,163.286,86.024,105.903,112.000,35.084,132.715,23.250,49.612,135.742,385.250,68.618,78.747,662.625,64.137,62.141,447.667,74.102,122.213,216.667,41.249,108.352,260.000,61.119,75.828,231.333,36.093,176.739,238.500,36.551,88.843,92.750,71.472,147.652,236.500,67.882,117.516,339.750,36.750,83.400,115.455,47.359,86.928,92.400,73.746,169.707,81.875,69.582,141.816,177.111,39.876,134.497
9,572.250,53.253,132.538,510.125,31.852,89.987,199.619,99.418,121.710,1874.000,48.823,185.076,223.800,60.712,133.489,111.500,59.630,65.031,487.833,62.558,105.765,129.750,75.468,175.599,134.235,73.812,77.278,168.100,56.451,57.693,309.500,77.191,126.180,317.200,39.835,138.721,276.765,56.994,103.743,446.000,29.104,131.576,190.667,34.816,113.722,221.048,56.500,120.420,230.200,58.468,82.450,220.200,65.701,82.235,331.429,52.075,80.970,192.667,93.962,103.030,75.833,99.798,101.622,89.300,47.107,114.720,180.182,45.022,137.312,46.692,100.480,108.018,267.312,54.180,187.311,332.000,13.872,160.221,211.500,20.403,157.528,101.700,76.059,85.478,137.700,77.838,150.162,207.000,28.356,169.994,155.600,18.941,170.828,59.333,52.732,116.634,230.000,87.462,121.599,198.476,29.347,127.192,124.909,91.289,98.698,68.857,86.075,105.895,138.625,35.199,132.704,85.750,49.575,135.849,442.750,68.663,78.736,714.250,64.126,62.219,365.833,74.066,122.144,189.111,41.390,108.347,252.750,61.054,75.974,136.444,36.159,176.828,260.714,36.561,88.844,93.667,71.550,147.565,249.250,67.861,117.573,280.500,36.710,83.397,131.455,47.327,86.937,51.800,73.888,169.555,80.500,69.728,141.879,217.778,39.928,134.382
10,679.500,53.315,132.534,517.625,31.925,90.033,292.476,99.414,121.761,1611.750,48.806,185.029,286.100,60.749,133.560,114.750,59.500,64.776,389.333,62.615,105.679,182.000,75.484,175.417,153.176,73.936,77.187,172.100,56.247,57.778,335.750,77.122,126.222,210.000,39.835,138.847,331.706,56.993,103.579,271.375,29.145,131.653,125.238,34.830,113.670,232.476,56.515,120.442,270.900,58.600,82.417,207.600,65.700,82.275,221.286,52.059,81.041,211.000,93.950,103.115,73.167,99.938,101.673,81.500,47.083,114.623,206.727,45.135,137.417,39.769,100.362,108.004,381.000,54.238,187.229,362.625,13.913,160.190,185.312,20.402,157.550,150.500,75.955,85.535,105.200,77.783,150.090,103.857,28.312,169.839,191.800,18.973,170.750,144.833,52.621,116.600,255.875,87.407,121.587,223.238,29.296,127.260,160.727,91.293,98.904,166.143,86.043,106.022,111.750,35.087,132.857,54.750,49.296,135.859,425.250,68.637,78.814,565.500,64.164,62.133,492.833,74.111,122.224,194.667,41.432,108.276,286.250,61.085,76.032,112.667,36.067,176.818,296.643,36.571,88.775,75.500,71.538,147.580,119.250,67.906,117.543,352.250,36.551,83.350,54.000,47.424,86.745,60.600,73.790,169.715,92.875,69.974,141.959,305.111,39.796,134.453
