 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32
1,340.250,36.989,87.274,49.500,39.747,45.110,746.667,46.681,33.501,347.500,50.802,48.064,61.091,58.289,57.907,111.800,51.429,76.984,251.000,54.970,49.805,867.625,60.261,43.980,628.000,39.679,67.115,474.000,48.606,65.647,265.500,56.254,45.665,270.000,51.644,88.684,242.889,48.413,86.281,490.429,45.385,96.146,877.111,44.173,68.722,142.750,39.681,72.392,96.000,34.658,68.946,300.444,60.696,81.319,191.500,54.569,80.418,159.273,61.273,48.863,140.750,65.285,43.250,95.143,61.955,40.091,247.500,55.407,104.269,215.400,57.989,77.754,192.000,47.087,39.031,317.500,44.954,100.648,624.750,51.301,98.658,90.500,63.706,52.215,503.625,61.957,76.648,232.750,55.973,65.650,33.250,32.400,74.245,604.000,53.787,26.771
2,467.250,36.846,87.260,254.750,39.949,44.943,690.333,46.661,33.484,445.500,50.810,47.997,223.455,58.460,57.948,75.500,51.397,76.991,291.000,54.953,49.978,914.750,60.238,44.014,418.667,39.714,67.117,846.000,48.691,65.545,293.000,56.219,45.641,251.636,51.768,88.792,258.222,48.493,86.380,468.143,45.385,96.219,733.333,44.168,68.717,118.750,39.714,72.413,140.667,34.758,68.869,115.333,60.595,81.437,257.000,54.388,80.383,238.364,61.234,48.825,119.750,65.063,43.286,89.810,61.860,40.000,250.000,55.583,104.194,210.000,57.977,77.682,179.500,47.192,38.965,352.167,44.996,100.670,563.250,51.250,98.541,174.250,63.707,52.285,391.375,61.944,76.804,259.750,55.943,65.527,161.500,32.568,74.222,590.444,53.756,26.813
3,365.250,36.931,87.252,342.750,39.840,44.973,760.000,46.674,33.467,215.000,50.865,48.116,96.909,58.388,58.006,131.900,51.550,77.101,190.250,55.046,49.889,689.125,60.290,44.042,593.000,39.750,67.103,441.750,48.718,65.574,366.250,56.382,45.534,198.909,51.631,88.849,168.000,48.477,86.352,375.143,45.406,96.086,931.556,44.157,68.634,50.250,39.695,72.291,43.333,34.739,68.975,121.333,60.596,81.351,128.750,54.450,80.507,48.364,60.958,48.667,161.750,65.207,43.186,67.333,61.765,40.222,181.750,55.539,104.293,277.400,57.996,77.750,324.500,47.122,39.050,325.667,44.985,100.764,454.000,51.326,98.629,167.250,63.725,52.369,378.250,62.049,76.776,151.500,55.841,65.704,84.250,32.536,74.237,686.000,53.765,26.814
4,367.000,36.973,87.252,280.000,39.899,44.952,575.000,46.698,33.485,278.500,50.855,47.996,133.273,58.392,58.108,107.700,51.325,76.788,292.750,55.026,49.981,932.625,60.436,43.990,553.000,39.698,67.150,412.500,48.685,65.505,273.250,56.356,45.643,175.273,51.649,88.776,220.222,48.568,86.399,468.571,45.427,96.117,794.444,44.165,68.701,42.000,39.615,72.475,92.000,34.689,68.927,125.111,60.724,81.497,218.750,54.531,80.381,198.545,61.255,48.862,201.250,65.063,43.188,83.143,61.902,39.996,269.000,55.387,104.298,160.400,57.964,77.651,256.167,47.242,39.086,325.500,45.024,100.788,470.750,51.360,98.570,122.000,63.594,52.407,374.375,62.003,76.738,132.500,55.942,65.767,154.250,32.593,74.308,606.889,53.786,26.804
5,144.000,36.892,87.276,251.250,39.832,44.996,735.333,46.665,33.518,252.000,50.924,48.085,148.364,58.536,58.181,197.000,51.474,76.751,171.750,55.080,49.847,696.125,60.273,44.003,452.000,39.673,67.235,706.250,48.656,65.596,261.250,56.326,45.549,147.455,51.661,88.875,296.222,48.531,86.310,568.286,45.412,96.127,877.333,44.209,68.691,134.250,39.627,72.455,111.000,34.686,69.106,198.889,60.676,81.336,182.500,54.517,80.479,150.545,61.182,48.658,217.000,65.096,43.208,121.429,61.895,40.039,198.000,55.606,104.301,205.600,57.970,77.606,295.833,47.078,39.154,335.167,44.928,100.751,462.000,51.332,98.583,161.250,63.541,52.415,393.875,61.967,76.758,255.000,55.919,65.688,165.250,32.548,74.211,756.889,53.763,26.784
6,207.250,36.950,87.199,294.000,39.928,44.993,732.667,46.680,33.451,324.750,50.890,48.150,74.182,58.446,58.141,102.600,51.531,76.718,150.500,55.104,49.867,846.625,60.280,43.959,640.000,39.685,67.111,643.500,48.707,65.597,214.500,56.204,45.565,211.818,51.633,88.821,331.778,48.524,86.277,483.571,45.424,96.119,943.556,44.177,68.664,62.500,39.475,72.402,167.000,34.626,69.214,103.111,60.658,81.415,142.000,54.403,80.435,138.909,61.195,48.646,16.250,65.274,43.226,93.429,61.792,40.186,193.750,55.487,104.236,175.600,57.984,77.744,283.167,47.001,39.047,334.667,44.924,100.786,550.750,51.327,98.491,108.875,63.731,52.508,439.500,62.010,76.726,247.000,55.942,65.750,150.250,32.492,74.152,485.333,53.767,26.802
7,294.500,36.921,87.257,227.500,39.843,45.060,701.333,46.586,33.466,385.500,50.771,48.127,167.455,58.478,58.243,170.100,51.407,76.835,277.500,55.139,49.906,758.250,60.333,43.942,661.667,39.620,67.118,822.250,48.646,65.583,304.750,56.307,45.628,175.636,51.773,88.781,444.667,48.478,86.379,456.571,45.430,96.113,886.222,44.204,68.668,98.750,39.681,72.468,88.000,34.786,68.957,98.000,60.569,81.422,203.750,54.615,80.413,133.273,61.265,48.887,158.000,65.189,43.382,65.048,61.635,40.137,224.250,55.513,104.272,222.400,58.046,77.855,270.667,47.156,38.979,277.000,44.891,100.787,383.250,51.265,98.562,92.250,63.655,52.404,382.500,62.049,76.728,201.500,55.950,65.740,122.500,32.632,74.160,775.778,53.791,26.797
8,320.500,36.868,87.292,133.500,39.847,44.955,854.667,46.603,33.448,253.250,50.836,48.082,128.182,58.333,57.980,201.300,51.411,76.852,216.500,55.010,49.815,966.750,60.312,44.010,690.667,39.688,67.086,761.500,48.673,65.534,210.250,56.309,45.648,235.455,51.635,88.754,418.000,48.566,86.249,402.714,45.420,96.150,959.778,44.132,68.641,61.250,39.898,72.351,192.667,34.707,69.020,187.778,60.599,81.335,222.000,54.581,80.369,294.000,61.271,48.888,137.500,65.099,43.323,114.286,61.855,40.014,242.750,55.430,104.277,285.000,57.979,77.772,298.833,47.159,39.086,298.500,44.986,100.838,549.000,51.349,98.613,82.750,63.616,52.524,412.375,61.977,76.658,190.500,55.903,65.662,103.750,32.553,74.238,571.556,53.784,26.715
9,323.500,36.871,87.243,283.500,39.789,44.810,722.667,46.683,33.515,205.750,50.913,48.003,103.091,58.416,58.119,149.400,51.419,76.938,319.250,55.058,49.854,688.500,60.326,44.002,1028.000,39.635,67.109,727.250,48.688,65.512,411.750,56.312,45.587,244.545,51.630,88.751,375.556,48.496,86.405,466.143,45.380,96.227,1162.889,44.197,68.694,81.750,39.612,72.413,206.333,34.703,68.986,168.000,60.454,81.335,201.000,54.487,80.492,182.727,61.191,48.856,177.750,65.085,43.327,82.857,61.967,40.356,285.000,55.481,104.226,229.600,58.025,77.582,129.667,47.119,39.051,269.000,45.031,100.733,561.750,51.232,98.599,93.750,63.781,52.389,382.000,62.035,76.754,192.750,55.924,65.744,119.000,32.595,74.110,531.333,53.791,26.818
10,156.250,36.945,87.171,142.750,39.812,44.910,687.667,46.659,33.455,350.500,50.802,47.940,136.545,58.462,58.170,150.600,51.477,76.882,158.500,55.115,49.971,934.125,60.335,43.990,792.333,39.656,67.159,1094.000,48.664,65.515,204.500,56.357,45.570,203.455,51.635,88.858,356.000,48.549,86.357,452.429,45.424,96.014,885.778,44.196,68.685,73.000,39.756,72.472,154.667,34.685,69.017,171.778,60.662,81.236,231.750,54.466,80.442,136.727,61.300,48.858,129.000,64.995,43.151,64.286,61.833,40.168,206.750,55.553,104.276,200.600,58.015,77.768,138.333,47.198,39.022,359.500,44.951,100.773,537.500,51.317,98.619,180.750,63.680,52.547,451.750,61.978,76.767,125.250,55.893,65.723,147.750,32.564,74.317,607.778,53.747,26.829
