 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16
1,35.154,42.238,103.046,91.833,40.671,107.506,46.300,39.269,83.988,195.818,60.606,87.034,115.818,43.172,80.105,129.250,52.783,80.582,146.000,44.098,95.965,29.818,43.687,75.795,71.429,39.409,75.291,54.000,21.802,91.423,29.500,51.678,69.411,26.375,66.247,76.349,166.471,54.152,86.965,281.000,62.872,63.490,85.300,33.711,95.335,45.154,47.581,64.002
2,11.692,41.970,103.089,45.167,40.468,107.526,33.800,39.349,84.150,187.636,60.606,86.926,90.727,43.088,79.964,155.625,52.871,80.502,159.875,44.051,95.901,72.000,43.951,75.900,89.143,39.490,75.599,139.750,21.802,91.625,6.167,51.305,69.285,13.125,65.845,75.931,88.824,54.146,86.986,402.500,62.970,63.496,98.100,33.839,95.167,51.077,47.286,63.775
3,30.538,41.957,102.724,52.833,40.670,107.679,20.600,39.385,83.896,248.364,60.593,86.928,124.909,43.268,80.015,168.750,52.902,80.708,102.625,44.121,95.883,60.182,43.923,75.911,54.786,39.355,75.958,148.500,21.759,91.510,9.167,51.232,69.048,34.375,66.504,76.148,27.059,54.166,87.070,352.000,62.891,63.522,86.800,33.729,95.212,50.154,47.391,64.051
4,25.077,42.141,102.784,63.333,40.674,107.585,96.900,39.431,84.244,152.545,60.601,87.093,207.818,43.213,80.119,198.375,52.883,80.536,118.750,44.113,95.823,72.727,43.901,75.937,126.143,39.415,75.760,133.500,21.935,91.701,18.000,51.572,69.638,51.250,66.155,76.271,76.471,54.028,86.889,405.250,62.927,63.501,63.600,33.778,95.311,41.615,47.613,64.146
5,80.077,42.140,102.695,11.833,40.407,107.402,68.800,39.489,83.791,242.364,60.507,87.118,189.273,43.226,80.255,180.125,52.935,80.706,119.875,44.100,95.914,53.818,43.747,75.814,39.214,39.380,75.445,102.750,21.829,91.856,5.500,51.615,69.595,57.500,66.294,76.300,132.941,54.061,86.849,367.750,62.857,63.542,37.400,33.788,95.258,65.385,47.271,63.967
6,40.615,42.019,102.632,31.667,40.724,107.521,97.300,39.589,83.924,185.273,60.536,87.082,179.091,43.215,80.149,174.750,52.711,80.445,106.875,44.067,95.925,79.091,43.703,75.808,97.429,39.282,75.736,37.250,21.693,91.911,39.833,51.715,69.566,58.500,66.300,76.171,86.471,54.105,86.907,279.750,62.835,63.526,52.200,33.694,95.067,69.846,47.384,64.164
7,61.231,42.093,102.922,39.000,40.713,107.624,84.100,39.434,84.361,251.091,60.539,86.944,112.909,43.208,80.006,127.250,52.893,80.588,81.000,44.225,96.060,50.545,43.731,75.865,72.571,39.380,75.691,70.750,21.645,91.772,25.333,51.366,69.379,51.375,66.446,76.300,71.529,54.102,86.854,284.250,62.922,63.532,50.600,33.830,95.164,55.769,47.214,63.958
8,63.538,42.056,102.930,54.500,40.671,107.518,49.400,39.608,83.964,118.182,60.525,87.104,116.364,43.141,80.034,227.500,52.788,80.560,94.250,44.092,95.962,34.545,43.676,75.981,139.643,39.181,75.639,38.250,21.719,91.723,38.833,51.390,69.662,21.500,66.035,76.518,93.294,54.050,86.691,202.500,62.856,63.499,122.600,33.749,94.964,45.462,47.486,64.081
9,65.923,42.046,102.680,53.000,40.578,107.636,40.500,39.403,84.200,142.909,60.622,87.106,166.364,43.283,80.232,310.625,52.854,80.628,88.000,43.971,95.928,102.909,43.932,75.840,68.643,39.327,75.144,198.500,21.834,91.704,64.000,51.371,69.659,84.500,66.175,76.415,77.529,54.136,86.814,287.000,62.934,63.477,58.100,33.747,95.147,36.846,47.830,64.258
10,52.769,42.078,102.675,86.000,40.456,107.382,60.500,39.432,83.968,230.545,60.640,87.146,148.364,43.231,80.229,187.875,52.820,80.594,73.500,44.191,96.160,75.091,43.824,75.873,79.071,39.451,75.539,161.250,21.884,91.712,21.500,51.524,69.458,76.875,65.958,76.280,123.176,53.941,86.856,175.000,63.028,63.564,57.300,34.048,95.473,60.000,47.525,63.963
11,69.846,42.222,102.733,48.167,40.480,107.828,57.600,39.417,84.048,145.091,60.596,87.018,109.091,43.273,80.201,232.000,52.904,80.571,125.500,44.115,95.976,64.182,43.829,75.821,56.143,39.459,75.572,196.000,21.853,91.691,43.167,51.724,69.559,59.750,66.276,76.544,63.882,54.021,86.576,272.250,62.806,63.572,82.200,33.830,95.489,52.692,47.549,64.034
12,42.769,42.002,102.825,84.667,40.580,107.516,51.000,39.577,83.637,198.000,60.571,87.094,142.364,43.182,80.174,120.125,53.049,80.631,146.000,44.110,95.993,92.545,43.942,75.779,53.500,39.483,75.969,140.750,21.906,91.827,39.000,51.475,69.224,106.250,65.984,76.267,81.059,54.049,87.066,346.750,62.950,63.566,66.300,33.984,95.311,58.154,47.330,63.935
13,110.077,42.065,102.768,24.167,40.538,107.308,25.800,39.378,83.976,150.909,60.473,86.976,159.091,43.284,80.196,181.750,52.984,80.691,115.750,44.106,96.046,106.000,43.836,75.774,68.643,39.512,75.282,110.750,22.001,91.576,28.500,51.588,69.426,55.625,66.303,76.294,110.706,54.105,86.869,253.000,62.857,63.557,67.200,33.831,95.120,45.000,47.561,63.901
14,234.692,42.260,102.669,55.333,40.558,107.806,33.400,39.430,84.115,124.909,60.705,87.034,103.091,43.273,80.144,174.250,52.897,80.559,78.875,43.933,95.852,105.636,43.920,75.936,76.357,39.498,75.405,139.500,21.815,91.711,42.833,51.512,69.570,73.250,66.356,76.426,79.294,54.240,86.524,279.500,62.891,63.528,108.000,33.775,95.356,61.462,47.326,64.061
15,191.077,42.121,102.844,162.333,40.635,107.587,75.700,39.240,83.846,112.182,60.721,87.103,194.909,43.240,80.250,137.500,53.014,80.651,165.875,43.996,95.854,27.091,43.738,75.984,98.286,39.289,75.562,82.250,21.853,91.823,32.000,51.371,69.519,50.875,66.273,76.242,118.941,54.150,86.731,277.250,62.952,63.566,59.300,33.781,95.289,28.615,47.301,64.123
16,230.615,42.183,102.785,121.000,40.631,107.464,57.600,39.376,83.900,100.545,60.689,86.838,173.636,43.268,80.173,160.250,52.756,80.563,64.750,44.177,95.976,19.455,44.036,75.830,76.214,39.451,75.466,64.750,21.737,91.689,28.833,51.502,69.170,65.625,66.369,76.188,76.235,54.182,86.749,276.500,62.960,63.547,50.200,33.893,95.228,60.231,47.330,64.239
17,146.385,42.180,102.747,74.667,40.521,107.595,54.700,39.346,83.985,115.636,60.564,86.856,210.182,43.195,80.142,138.625,52.880,80.622,126.375,44.018,95.973,49.273,43.955,75.992,54.500,39.267,75.367,122.750,21.837,91.728,27.167,51.269,69.293,34.375,66.089,76.438,134.471,54.160,86.941,319.750,62.932,63.425,57.900,33.761,95.069,34.538,47.597,63.940
18,110.000,42.022,102.772,53.333,40.548,107.672,55.000,39.370,84.086,190.000,60.622,86.964,150.182,43.303,80.244,198.125,52.858,80.512,103.750,44.004,96.094,26.364,43.750,75.848,72.643,39.422,75.536,108.000,21.894,91.807,13.833,51.159,69.285,41.125,66.104,76.292,147.765,54.076,86.788,248.000,62.935,63.504,87.300,33.798,95.019,37.692,47.266,64.154
19,94.692,42.079,102.761,130.167,40.563,107.754,73.500,39.192,84.035,238.364,60.583,86.988,154.909,43.222,80.099,175.375,52.727,80.562,90.375,44.142,95.966,62.545,43.834,75.862,67.429,39.376,75.654,101.750,21.810,91.810,18.167,51.888,69.544,94.250,66.249,76.366,67.059,54.095,86.771,239.500,62.989,63.591,75.100,33.950,95.127,58.308,47.395,64.146
20,96.769,42.113,102.808,58.500,40.605,107.584,38.700,39.414,84.110,171.091,60.591,86.965,201.091,43.407,80.320,221.875,52.802,80.683,115.500,44.011,95.863,26.000,43.728,75.784,118.214,39.334,75.425,29.500,21.561,91.637,40.167,51.475,69.556,38.250,66.188,76.335,76.235,54.011,86.616,240.750,62.972,63.529,72.900,33.749,95.186,53.538,47.335,64.047
21,87.000,42.148,102.615,68.833,40.716,107.797,55.200,39.291,84.110,134.727,60.572,86.777,96.909,43.137,80.000,156.500,52.956,80.686,55.000,44.186,96.085,120.000,43.967,75.725,64.357,39.464,75.681,97.250,21.873,91.725,14.833,51.834,69.644,71.250,66.318,76.201,144.118,54.083,86.906,326.000,62.901,63.578,76.600,33.852,94.991,57.538,47.373,63.848
22,74.231,41.844,102.933,36.500,40.379,107.548,47.800,39.402,84.267,135.273,60.571,86.895,127.273,43.308,80.237,194.875,52.805,80.608,116.250,44.145,95.988,43.273,43.826,75.850,78.857,39.374,75.632,130.500,21.904,91.673,47.333,51.306,69.674,15.375,66.024,76.304,155.882,54.033,86.906,213.500,63.029,63.556,52.100,33.786,95.442,64.154,47.518,63.945
23,67.000,42.345,102.964,28.333,40.843,107.534,48.900,39.616,84.028,213.091,60.604,86.942,81.636,43.274,80.252,191.625,52.808,80.528,124.875,44.084,95.928,52.364,43.743,75.812,42.286,39.422,75.626,104.750,21.945,91.619,14.500,51.408,69.570,39.750,65.997,76.446,101.765,54.137,86.738,267.250,62.769,63.560,107.400,33.714,95.030,58.000,47.580,64.157
24,45.769,42.223,102.836,56.167,40.785,107.664,63.800,39.191,83.964,197.818,60.581,86.960,176.364,43.289,80.203,140.250,52.843,80.641,80.750,43.898,95.936,79.636,44.003,75.739,69.214,39.429,75.267,63.500,21.850,91.756,34.667,51.567,69.383,43.500,66.240,76.234,132.706,54.079,87.040,129.000,63.009,63.691,57.000,33.766,94.951,58.154,47.576,64.289
25,47.692,42.158,102.676,89.833,40.573,107.675,47.800,39.129,84.027,88.182,60.657,87.037,154.909,43.210,80.192,119.625,52.911,80.611,65.750,43.935,96.069,71.636,43.929,76.062,83.000,39.467,75.566,219.250,21.866,91.864,15.333,51.292,69.312,19.000,66.432,76.123,79.176,54.222,86.798,308.000,62.905,63.555,91.800,33.886,95.306,43.000,47.333,64.147
26,51.154,41.954,103.004,42.000,40.573,107.633,48.000,39.486,84.034,220.545,60.643,87.036,144.727,43.211,80.246,223.875,52.840,80.754,111.000,44.080,95.911,22.000,43.883,75.339,67.857,39.209,76.065,122.750,21.931,91.851,57.833,51.512,69.396,26.125,66.364,76.350,117.529,54.138,86.736,330.500,62.944,63.543,56.900,33.850,95.403,80.769,47.578,63.875
27,48.923,42.029,102.741,35.333,40.736,107.877,63.400,39.619,83.970,158.909,60.639,87.206,153.091,43.296,79.948,133.625,52.770,80.465,92.375,44.113,95.927,42.364,43.832,75.674,63.500,39.342,75.701,182.750,21.888,91.658,15.167,51.802,69.486,70.875,66.597,76.352,142.118,54.146,86.773,316.500,63.032,63.589,121.500,33.918,95.149,59.462,47.280,63.906
28,39.154,42.096,102.763,99.000,40.638,107.535,66.800,39.379,84.250,168.364,60.528,86.847,130.545,43.229,80.144,151.500,52.854,80.446,74.625,43.942,95.973,45.636,43.907,75.800,82.714,39.306,75.324,130.500,21.793,91.686,15.667,51.902,69.618,140.875,66.245,76.302,63.294,54.073,87.109,211.000,62.807,63.550,51.800,33.807,95.407,30.231,47.405,64.024
29,42.077,42.218,102.794,149.667,40.609,107.670,43.000,39.491,84.106,110.000,60.692,86.992,100.000,43.260,80.406,147.750,52.881,80.613,120.500,44.038,95.972,59.818,44.102,75.632,63.929,39.417,75.522,62.500,21.738,91.987,13.333,51.460,69.487,104.375,66.224,76.414,110.000,54.108,86.791,252.000,63.038,63.535,84.800,33.664,95.342,49.615,47.585,63.987
30,53.462,42.331,102.677,390.167,40.652,107.574,96.200,39.449,83.769,144.545,60.596,86.863,173.455,43.260,80.204,198.000,52.871,80.644,75.750,44.000,95.975,46.727,43.782,75.444,71.857,39.286,75.500,111.500,21.778,91.786,41.167,51.422,69.131,84.625,66.132,76.330,126.353,54.048,86.700,344.000,62.984,63.568,36.800,33.928,95.266,39.923,47.384,64.103
31,86.308,42.105,102.817,285.000,40.616,107.569,94.500,39.403,83.856,219.273,60.768,86.976,74.364,43.255,80.145,305.000,52.744,80.591,119.625,44.080,95.941,95.636,43.914,75.610,99.429,39.389,75.781,70.750,21.863,91.776,18.167,51.621,69.191,38.250,66.451,76.120,128.471,54.150,86.912,225.500,62.981,63.529,90.500,33.914,95.473,25.077,47.398,63.839
