 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23
1,150.222,90.355,137.582,98.125,82.953,119.928,37.538,69.187,89.186,53.667,50.296,50.649,40.750,53.528,55.531,98.167,90.428,130.761,52.333,101.469,124.608,15.375,59.153,64.602,55.200,94.032,130.291,124.750,96.559,91.607,37.833,57.469,74.790,37.333,78.519,123.714,62.500,85.634,77.673,150.235,89.455,90.874,49.250,85.860,134.917,59.000,98.930,125.438,87.500,93.570,125.527,178.250,89.846,107.522,157.455,84.370,97.262,0.000,NaN,NaN,64.538,63.507,93.794,231.667,110.205,119.233,92.000,94.061,107.706
2,1150.222,90.350,137.468,58.375,83.036,120.137,69.154,69.315,89.221,51.167,50.294,50.594,144.500,53.679,55.582,87.167,90.428,130.953,74.500,101.662,124.578,49.875,59.183,64.723,48.600,93.929,130.426,68.500,96.623,91.634,36.944,57.388,74.955,106.222,78.470,123.884,48.667,85.489,77.680,145.529,89.361,90.903,255.750,85.994,135.041,85.600,98.980,125.526,55.500,93.612,125.362,130.875,89.675,107.458,153.455,84.544,97.087,18.250,84.925,67.905,75.692,63.584,93.803,143.000,110.205,119.000,75.091,93.909,107.662
3,1226.444,90.348,137.473,53.250,82.958,120.085,74.846,69.317,89.424,76.833,50.560,50.755,113.750,53.705,55.574,46.000,90.416,130.895,72.833,101.616,124.737,53.625,59.129,64.550,67.400,93.891,130.435,40.500,96.511,91.969,21.111,57.235,75.143,87.111,78.675,123.976,64.500,85.652,77.689,154.941,89.423,90.987,174.750,86.169,135.037,60.000,98.932,125.450,120.000,93.753,125.479,176.625,89.607,107.508,164.545,84.467,97.156,0.000,NaN,NaN,73.077,63.410,93.700,116.667,110.205,118.959,82.182,94.119,107.713
4,809.556,90.370,137.472,293.875,82.831,120.015,93.000,69.206,89.348,74.333,50.643,50.690,135.000,53.640,55.432,145.000,90.476,130.822,39.667,101.870,124.591,43.625,59.212,64.311,46.600,93.901,129.920,145.500,96.539,91.666,49.111,57.333,75.075,52.667,78.751,123.685,48.333,85.434,77.671,147.294,89.540,90.896,80.250,86.013,134.955,95.200,98.880,125.273,78.500,93.537,125.565,220.875,89.834,107.566,191.091,84.456,96.954,15.000,84.475,67.611,64.538,63.804,93.704,216.667,110.205,118.698,57.818,93.972,107.761
5,690.667,90.372,137.544,235.000,82.772,120.036,72.385,68.923,89.246,54.833,50.528,50.524,160.000,53.871,55.566,57.000,90.608,130.789,64.167,101.834,124.616,44.125,59.022,64.870,96.800,93.885,130.274,82.500,96.548,91.607,70.000,57.292,74.781,29.111,78.557,123.819,77.833,85.506,78.036,122.824,89.443,91.126,143.000,86.213,135.033,109.400,98.848,125.455,75.333,93.762,125.656,197.000,89.714,107.628,139.818,84.440,97.160,51.000,84.501,67.717,47.615,63.410,93.773,231.667,110.205,118.940,136.000,94.016,107.494
6,862.222,90.374,137.503,48.375,82.989,120.020,63.692,69.273,89.259,37.167,50.467,50.659,19.500,53.737,55.645,84.500,90.471,130.918,25.333,101.741,124.655,31.375,59.307,64.508,55.400,93.944,129.947,64.000,96.530,91.569,36.111,57.319,74.901,33.111,78.629,124.061,161.833,85.613,77.869,152.353,89.521,90.983,96.500,86.113,134.938,98.600,98.793,125.376,64.000,93.616,125.452,205.250,89.621,107.562,147.273,84.506,97.210,7.750,84.345,67.735,67.923,63.569,93.601,233.333,110.205,118.985,74.182,93.912,107.741
7,493.333,90.396,137.497,67.500,83.047,119.978,120.846,69.345,89.299,299.167,50.399,50.423,37.750,53.613,55.232,40.500,90.416,130.911,67.000,101.638,124.696,77.875,59.363,64.549,64.200,94.047,130.601,65.500,96.812,91.752,44.000,57.217,74.948,44.889,78.662,124.014,50.667,85.577,77.825,156.706,89.432,90.947,87.750,86.141,135.239,36.400,98.856,125.327,116.667,93.619,125.556,208.250,89.652,107.546,215.091,84.508,97.212,40.000,84.696,67.551,64.538,63.711,93.679,168.333,110.205,118.955,97.091,93.947,107.623
8,190.667,90.280,137.342,91.875,82.953,120.032,248.692,69.253,89.233,290.167,50.543,50.460,112.250,53.951,55.490,56.167,90.541,130.952,124.333,101.656,124.421,11.000,59.323,64.624,87.600,93.999,130.273,51.500,96.380,91.730,13.222,57.037,74.760,31.778,78.607,124.133,86.667,85.475,77.888,74.471,89.342,90.959,93.750,86.004,135.276,119.400,98.854,125.413,57.333,93.579,125.503,160.125,89.793,107.648,162.727,84.505,97.099,39.250,84.621,67.498,78.692,63.458,93.798,188.667,110.205,118.879,86.727,93.975,107.639
9,123.111,90.434,137.444,33.250,82.714,120.052,228.154,69.126,89.273,91.667,50.566,50.660,237.250,53.735,55.559,80.333,90.487,130.853,121.833,101.497,124.480,43.750,59.261,64.426,71.600,93.953,130.177,165.500,96.558,91.789,20.222,57.328,74.815,28.222,78.539,123.967,72.667,85.761,77.718,94.000,89.515,90.875,29.750,86.114,135.398,35.200,98.908,125.409,107.500,93.599,125.623,230.375,89.634,107.508,147.818,84.497,97.176,24.000,84.475,67.725,80.769,63.381,93.813,121.333,110.205,119.290,126.182,94.132,107.593
10,130.889,90.478,137.472,83.875,82.950,120.000,138.308,69.426,89.410,48.333,50.614,50.723,127.000,53.682,55.335,79.500,90.654,130.948,67.000,101.884,124.554,23.125,59.224,64.250,34.200,93.974,130.027,82.250,96.445,91.514,29.667,57.345,75.083,28.444,78.495,123.765,43.667,85.698,77.718,115.059,89.475,91.016,66.250,86.165,135.261,92.600,98.878,125.264,109.000,93.567,125.520,151.000,89.804,107.410,257.636,84.490,97.144,28.500,84.818,67.618,79.385,63.473,93.772,141.000,110.205,118.937,119.818,94.118,107.681
