 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20
1,103.500,78.252,60.756,99.750,86.932,62.448,97.625,78.273,81.298,72.364,129.463,59.281,90.500,96.425,73.961,102.875,102.476,78.877,81.412,60.886,63.888,130.500,75.949,97.060,122.706,71.712,90.433,60.000,98.555,42.425,152.381,115.891,72.574,92.833,93.261,76.633,27.750,69.905,93.088,32.583,110.613,75.831,80.667,106.428,76.789,46.143,85.643,91.733,26.571,100.757,71.613,94.727,105.482,40.127,29.500,106.518,82.780,97.750,75.662,101.734
2,124.125,78.231,60.756,109.750,86.740,62.339,95.000,78.355,81.345,24.545,129.184,59.432,87.000,96.257,73.800,68.375,102.582,78.915,34.588,60.838,64.351,78.000,76.111,97.015,39.176,71.842,90.452,72.750,98.746,42.679,108.762,115.919,72.563,110.833,93.105,76.454,124.250,70.106,93.201,49.417,110.791,76.095,103.048,106.354,76.615,28.714,85.615,92.040,34.714,100.641,71.646,81.455,105.484,40.321,38.000,106.280,82.509,83.000,75.682,101.421
3,67.750,78.259,60.616,80.250,86.955,62.418,126.500,78.376,81.098,47.818,129.273,59.517,103.500,96.432,73.871,57.250,102.477,78.645,48.118,60.975,63.800,48.250,75.842,97.301,54.118,72.364,90.382,47.125,98.793,42.689,150.286,115.829,72.567,40.333,93.023,76.656,146.750,70.096,93.113,33.667,110.767,75.669,123.333,106.523,76.675,68.857,85.758,91.777,22.714,100.677,71.642,33.636,105.530,40.147,47.500,106.192,82.560,117.375,75.624,101.387
4,86.625,78.098,60.692,59.500,86.894,62.151,46.375,78.095,81.241,102.909,129.294,59.344,63.833,96.334,73.616,49.625,102.461,78.847,47.412,61.029,64.127,18.750,76.072,97.011,77.059,72.262,90.474,95.750,98.599,42.691,64.952,115.740,72.732,53.500,93.399,76.616,59.750,70.067,93.137,66.250,110.673,75.904,108.476,106.463,76.536,31.714,85.701,91.500,25.571,100.533,71.855,55.091,105.563,40.204,86.833,106.271,82.950,124.875,75.470,101.379
5,48.000,78.297,60.741,44.250,86.785,62.412,122.375,78.045,81.167,17.818,129.539,59.517,49.833,96.411,73.682,28.750,102.675,78.658,62.941,60.834,64.454,143.250,76.034,97.221,105.294,71.965,90.378,104.125,98.754,42.745,54.095,115.681,72.624,109.833,93.333,76.560,152.000,70.040,93.102,40.500,110.704,76.158,108.762,106.400,76.925,51.571,85.801,91.703,14.571,100.546,71.254,51.455,105.558,40.223,71.333,106.333,82.712,71.625,75.561,101.482
6,90.625,78.139,60.824,53.250,87.026,62.091,97.625,78.186,81.175,27.455,129.747,59.275,74.500,96.247,73.765,40.625,102.238,78.816,70.353,60.821,64.129,156.000,75.919,97.124,71.059,72.233,90.541,78.500,98.717,42.651,126.762,115.789,72.621,43.667,92.968,76.512,50.500,70.207,93.373,45.333,110.742,75.723,62.000,106.422,76.946,17.714,86.025,92.223,49.857,100.702,71.799,32.545,105.489,40.432,61.333,106.220,82.704,137.000,75.580,101.354
7,94.500,78.231,60.788,41.000,86.787,62.119,116.750,78.375,81.104,47.091,129.436,59.474,109.833,96.486,73.770,77.500,102.372,78.722,59.294,60.814,64.211,140.500,75.851,97.050,121.529,71.964,90.413,186.125,98.768,42.705,78.857,115.994,72.627,185.167,93.068,76.553,16.250,69.667,93.174,82.917,110.482,75.858,90.952,106.490,76.752,33.000,85.814,92.212,12.714,100.341,71.173,72.545,105.527,40.335,144.333,106.421,82.565,85.125,75.592,101.589
8,114.250,78.170,60.865,37.750,87.244,62.469,151.500,78.264,81.193,20.000,128.985,59.500,66.167,96.491,73.752,77.250,102.396,78.768,43.529,61.042,63.888,61.750,75.995,97.210,114.118,71.918,90.299,149.000,98.717,42.535,58.762,115.914,72.699,98.667,93.169,76.571,64.500,69.964,93.437,46.000,110.707,75.807,57.619,106.536,76.892,41.429,85.619,92.150,47.857,100.699,71.402,45.818,105.447,40.384,68.667,106.192,82.787,135.500,75.799,101.575
9,105.375,78.226,60.711,41.500,86.837,62.390,94.000,78.355,81.176,38.909,129.419,59.351,54.667,96.373,73.610,50.625,102.514,78.763,32.824,61.012,64.189,202.000,75.670,97.167,63.647,72.110,90.431,152.250,98.574,42.587,122.952,115.756,72.505,51.500,92.754,76.542,72.250,70.240,92.990,70.417,110.644,76.011,45.143,106.428,76.837,40.143,85.619,91.416,49.571,100.409,71.765,59.455,105.583,40.276,28.333,106.341,82.834,114.875,75.692,101.368
10,76.625,78.251,60.880,84.750,86.864,62.376,115.000,78.270,81.221,29.636,129.301,59.519,138.167,96.351,73.672,72.250,102.595,78.992,62.000,60.847,64.072,130.000,75.954,97.205,31.882,72.251,90.365,199.000,98.771,42.633,92.286,116.036,72.555,81.167,92.925,76.595,58.250,70.139,93.203,38.500,110.673,75.643,100.571,106.522,76.984,43.429,85.735,92.059,49.286,100.569,71.526,21.818,105.731,40.163,54.000,105.970,82.797,131.375,75.673,101.451
