 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27
1,928.444,34.233,113.005,530.250,72.240,106.455,744.500,46.932,94.597,288.667,31.314,121.868,172.952,28.464,114.546,20.222,66.475,81.137,148.000,54.928,80.319,84.909,41.564,83.797,197.375,23.568,104.359,219.000,82.969,54.637,149.750,75.152,54.683,211.875,43.857,88.398,375.000,45.864,103.009,186.667,50.508,92.113,160.727,69.246,103.242,120.750,72.894,102.483,186.667,25.546,101.638,178.889,59.060,82.548,107.833,37.593,91.103,72.182,87.017,118.406,233.750,48.397,99.777,95.250,45.928,83.597,340.250,49.114,96.064,141.111,50.684,88.545,77.250,85.978,73.569,152.400,80.483,75.325,167.000,55.282,92.457
2,862.222,34.236,112.990,395.250,72.243,106.482,1306.750,46.921,94.534,265.833,31.304,121.798,152.000,28.517,114.482,96.667,66.105,81.148,35.333,54.899,80.732,87.636,41.619,83.582,214.875,23.637,104.211,186.625,83.080,54.722,163.375,75.152,54.558,309.250,43.898,88.428,246.625,45.980,103.020,119.667,50.402,92.120,215.636,69.275,103.098,104.500,72.786,102.376,156.000,25.440,101.705,191.556,59.048,82.613,96.667,37.319,91.029,28.545,87.087,118.099,291.750,48.339,99.888,112.750,46.083,83.547,292.000,49.123,96.053,150.000,50.693,88.563,114.750,86.121,73.370,72.600,80.682,75.413,128.750,55.176,92.527
3,405.778,34.223,112.883,152.000,72.137,106.467,979.750,46.954,94.532,308.500,31.297,121.759,116.952,28.307,114.403,56.889,66.283,81.076,83.833,54.839,80.461,228.182,41.737,83.489,251.625,23.527,104.246,188.500,82.981,54.552,180.625,75.081,54.600,243.375,43.824,88.379,344.375,45.831,103.021,214.167,50.439,91.993,193.636,69.347,103.073,192.250,72.745,102.460,132.667,25.294,101.578,141.778,59.159,82.522,39.333,37.394,91.002,47.818,87.078,118.217,264.500,48.311,99.719,101.750,46.029,83.489,476.250,49.145,96.060,76.222,50.589,88.431,113.000,86.110,73.575,119.000,80.647,75.366,122.000,55.335,92.530
4,447.111,34.231,112.991,181.500,72.314,106.502,1167.250,46.986,94.559,346.667,31.375,121.831,184.667,28.435,114.563,188.444,66.022,81.004,92.000,54.838,80.260,119.636,41.522,83.566,120.250,23.698,104.324,145.250,82.910,54.565,170.500,75.210,54.483,230.375,43.850,88.436,287.250,45.887,102.866,150.667,50.506,92.027,136.545,69.257,103.169,140.625,72.952,102.439,114.333,25.526,101.671,166.000,59.078,82.597,95.833,37.535,91.104,51.091,86.908,118.168,145.500,48.387,99.757,148.500,45.944,83.287,418.500,49.124,96.091,91.111,50.715,88.539,77.000,86.088,73.508,47.200,80.836,75.410,156.750,55.133,92.518
5,537.333,34.269,112.954,100.000,72.225,106.497,1269.625,46.945,94.525,220.000,31.222,121.715,192.571,28.398,114.438,95.333,66.421,81.199,60.833,54.797,80.324,158.727,41.693,83.608,141.500,23.563,104.267,171.875,82.812,54.448,138.000,75.156,54.561,374.000,43.834,88.373,318.500,45.935,102.935,169.000,50.547,92.090,219.091,69.254,103.056,169.875,72.813,102.548,118.667,25.467,101.619,181.111,59.204,82.661,78.000,37.394,91.129,107.091,86.948,118.305,183.000,48.280,99.726,70.250,46.071,83.546,414.750,49.103,96.124,56.889,50.560,88.581,70.500,85.994,73.646,44.400,80.187,75.397,117.750,55.259,92.390
6,585.333,34.245,113.007,92.250,72.106,106.481,1422.000,46.962,94.557,194.167,31.357,121.787,178.286,28.427,114.462,45.333,66.147,80.995,57.333,54.838,80.192,154.545,41.640,83.509,122.500,23.669,104.249,161.750,82.999,54.526,213.125,75.089,54.607,352.375,44.002,88.292,421.875,45.889,103.025,138.167,50.544,92.170,256.545,69.226,103.041,299.750,72.866,102.673,171.833,25.356,101.668,108.444,58.984,82.521,95.667,37.321,91.145,52.727,86.895,118.042,220.500,48.360,99.705,119.000,46.149,83.473,284.250,49.112,96.067,73.111,50.557,88.412,103.000,85.984,73.730,109.800,80.478,75.318,194.250,55.162,92.443
7,444.444,34.278,113.000,96.250,72.184,106.449,1265.375,46.974,94.546,571.167,31.254,121.869,111.238,28.428,114.465,118.444,66.342,80.969,124.833,54.983,80.449,134.727,41.681,83.483,137.000,23.652,104.497,123.875,83.016,54.586,248.875,75.227,54.529,242.750,43.831,88.375,339.125,45.759,103.056,160.000,50.542,92.191,135.818,69.320,103.030,151.625,72.855,102.409,143.667,25.328,101.596,174.667,58.921,82.564,120.500,37.569,90.933,61.818,87.062,118.629,251.500,48.427,99.767,128.000,46.072,83.354,351.250,49.022,96.074,55.556,50.731,88.421,66.250,85.962,73.378,112.600,80.335,75.325,88.500,55.127,92.644
8,540.889,34.209,112.972,124.000,72.259,106.472,1165.875,46.987,94.582,659.833,31.299,121.870,192.762,28.401,114.404,61.778,66.129,80.839,50.833,54.864,80.158,116.364,41.661,83.733,183.625,23.558,104.069,177.250,82.972,54.584,142.000,75.188,54.597,182.500,43.833,88.478,225.750,45.799,103.001,131.667,50.457,92.074,103.091,69.247,103.127,113.375,72.824,102.524,202.167,25.545,101.645,100.444,58.890,82.518,13.833,37.736,91.422,27.091,86.955,118.005,114.000,48.428,99.828,43.250,45.949,83.438,380.500,49.075,96.087,92.000,50.947,88.754,56.500,85.832,73.528,45.200,80.509,75.327,218.250,55.187,92.627
9,460.222,34.342,112.985,115.000,72.282,106.537,1469.500,46.955,94.548,733.667,31.305,121.761,146.286,28.460,114.503,69.333,66.004,80.907,127.000,54.878,80.627,184.182,41.622,83.624,190.875,23.605,104.335,227.625,83.010,54.675,159.750,75.101,54.515,238.875,43.811,88.351,302.375,45.902,103.097,267.667,50.553,92.022,92.909,69.271,103.131,137.125,72.859,102.450,160.500,25.342,101.720,126.000,58.964,82.680,53.000,37.678,91.367,40.727,86.901,118.291,134.750,48.311,99.821,133.750,46.148,83.451,396.500,49.199,96.038,61.556,50.554,88.301,56.000,86.159,73.505,126.600,80.435,75.332,151.250,55.297,92.577
10,584.222,34.264,112.963,127.000,72.292,106.593,1312.250,46.928,94.572,733.333,31.301,121.842,108.762,28.423,114.549,29.778,65.977,81.097,41.333,54.845,80.418,190.727,41.697,83.589,142.750,23.515,104.266,175.750,82.915,54.663,146.375,75.253,54.626,272.625,44.053,88.416,319.875,45.789,102.923,167.333,50.625,92.005,218.909,69.376,103.037,206.250,72.921,102.436,126.333,25.422,101.714,152.889,58.958,82.590,46.500,37.673,91.029,51.636,86.887,118.131,137.500,48.308,99.652,107.250,45.946,83.270,413.500,49.240,96.100,154.444,50.740,88.464,110.750,86.053,73.591,52.800,80.402,75.341,155.250,55.119,92.546
