 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18
1,136.875,96.553,84.619,75.111,76.300,110.793,261.333,88.211,100.886,175.000,80.630,87.440,165.375,94.249,98.239,88.500,86.308,58.070,49.875,91.752,79.646,167.875,79.129,64.286,191.250,70.115,109.753,68.750,88.921,42.743,93.800,81.016,57.925,87.619,91.074,83.387,35.000,93.331,104.384,42.833,81.837,35.712,182.000,92.193,89.853,124.000,63.071,89.911,167.200,88.950,109.804,70.625,87.219,89.155
2,115.750,96.504,84.603,63.778,76.132,110.704,142.667,88.165,100.977,176.000,80.576,87.476,155.375,94.379,98.351,134.000,86.299,58.222,31.625,91.862,79.596,175.250,79.119,64.266,135.750,70.240,109.685,92.500,88.906,42.471,66.800,80.889,57.878,128.667,91.014,83.603,121.500,93.567,104.129,85.833,81.717,35.490,140.250,92.140,89.827,197.000,63.131,89.862,123.000,89.054,110.055,68.750,87.091,89.293
3,108.500,96.467,84.520,32.889,76.074,110.898,216.889,88.181,100.841,154.000,80.663,87.453,165.625,94.479,98.341,159.000,86.335,58.071,59.750,91.811,79.568,207.125,79.092,64.315,149.750,70.224,109.768,140.500,88.930,42.671,78.400,80.806,57.788,92.571,90.949,83.411,105.833,93.725,104.437,71.500,81.621,35.622,114.250,92.222,89.887,267.500,63.037,89.902,107.200,89.032,109.652,79.250,87.248,89.370
4,173.875,96.496,84.628,155.111,76.142,110.734,112.889,88.246,100.773,82.000,80.493,87.533,188.250,94.309,98.260,198.000,86.322,57.957,55.375,91.714,79.619,242.750,79.031,64.345,67.000,70.120,109.580,74.000,89.107,42.567,142.600,81.024,57.833,119.619,91.004,83.539,92.833,93.453,104.150,115.500,81.690,35.592,168.875,92.261,89.886,325.750,63.050,89.896,100.200,89.019,109.820,78.875,87.081,89.348
5,145.000,96.606,84.755,79.778,75.973,110.579,217.333,88.220,100.949,106.500,80.556,87.466,248.875,94.458,98.256,151.000,86.235,58.099,42.625,91.587,79.292,127.250,78.951,64.165,99.000,70.141,109.772,79.500,88.793,42.510,57.200,80.768,57.980,115.238,90.963,83.539,75.500,93.780,104.224,66.667,81.463,35.901,171.250,92.086,89.951,177.500,63.100,89.885,82.200,89.015,110.013,48.000,87.139,89.416
6,195.625,96.629,84.629,246.444,76.039,110.916,192.667,88.129,100.863,148.833,80.729,87.534,166.875,94.404,98.361,111.750,86.289,58.065,50.250,91.876,79.518,204.750,79.061,64.385,124.000,70.283,109.861,87.250,89.119,42.738,38.600,80.845,57.802,110.952,91.104,83.528,123.167,93.442,104.164,21.000,81.552,36.115,137.375,92.194,89.942,177.750,63.047,89.813,155.800,88.973,109.890,109.625,87.467,89.336
7,163.000,96.550,84.551,29.111,76.110,110.808,274.889,88.160,100.974,132.167,80.717,87.554,154.000,94.363,98.259,212.250,86.403,57.885,49.750,91.954,79.642,133.250,79.052,64.301,121.500,70.297,109.797,70.500,88.870,42.703,104.400,80.948,57.678,100.952,91.122,83.791,100.500,93.547,104.408,118.000,81.307,35.534,203.250,92.110,89.800,139.000,63.123,89.798,201.800,89.013,109.868,45.000,87.229,89.235
8,114.750,96.892,84.584,99.778,76.077,110.959,285.111,88.157,100.971,105.000,80.610,87.280,207.375,94.445,98.153,171.000,86.395,57.759,62.125,91.788,79.645,172.625,79.005,64.212,230.750,70.409,109.672,45.750,88.964,42.481,81.400,80.955,57.672,172.190,90.965,83.589,148.500,93.568,104.137,93.333,81.681,35.653,105.125,92.216,89.966,67.500,62.869,89.798,161.000,88.934,109.960,145.000,87.351,89.184
9,98.875,96.596,84.568,137.778,75.987,110.788,228.000,88.181,100.823,71.333,80.421,87.405,158.375,94.353,98.366,198.250,86.351,58.005,16.875,91.802,79.228,155.875,79.013,64.425,148.000,70.318,109.804,59.500,89.064,42.621,94.400,80.848,57.982,83.048,90.906,83.692,133.500,93.643,103.964,106.833,81.663,35.667,124.000,92.243,89.960,179.500,63.051,89.976,121.200,89.010,109.737,188.750,87.349,89.134
10,112.875,96.454,84.597,149.333,76.110,110.789,178.889,88.184,100.877,85.167,80.452,87.428,186.250,94.405,98.096,86.750,86.419,58.077,46.500,91.602,79.338,142.750,79.082,64.297,197.500,70.204,109.709,73.000,88.933,42.643,30.000,80.757,57.767,88.190,91.013,83.509,120.667,93.774,104.180,70.333,81.493,35.703,96.250,92.166,89.973,301.000,63.076,89.894,130.400,89.024,109.825,69.625,87.086,89.294
11,108.000,96.667,84.587,172.000,76.062,110.841,114.222,88.284,101.038,117.333,80.613,87.393,153.500,94.295,98.269,105.750,86.375,58.007,34.750,91.675,79.359,242.375,79.096,64.520,146.750,70.282,109.856,88.250,89.006,42.704,113.400,80.951,57.888,94.667,90.905,83.452,57.000,93.486,104.360,60.000,81.654,35.802,168.375,92.199,89.797,334.500,62.994,89.955,222.200,88.977,109.982,135.250,87.264,89.335
12,104.875,96.670,84.625,85.778,76.095,110.805,138.889,88.297,100.820,123.000,80.582,87.277,209.625,94.369,98.112,99.500,86.266,57.962,32.000,91.949,79.428,157.500,78.925,64.364,157.000,70.152,109.917,91.500,89.100,42.667,94.800,80.971,57.992,81.429,91.010,83.407,97.667,93.548,104.284,95.000,81.592,35.888,84.250,92.238,89.974,199.750,63.080,89.982,209.800,88.984,109.941,55.500,87.151,89.474
13,93.250,96.662,84.495,105.111,76.133,110.767,294.444,88.252,100.795,107.333,80.511,87.434,259.125,94.411,98.243,79.500,86.332,57.970,63.000,91.804,79.474,137.250,79.018,64.210,48.750,70.139,109.793,15.000,89.079,42.382,74.000,80.880,57.676,126.476,91.150,83.547,64.333,93.500,104.339,79.667,81.343,35.658,85.375,92.378,89.895,136.500,63.147,89.804,182.600,88.963,109.821,92.375,87.258,89.409
14,122.750,96.404,84.521,184.222,76.078,110.883,180.667,88.236,100.838,100.333,80.653,87.442,241.500,94.404,98.263,206.750,86.257,57.877,38.375,91.681,79.597,277.750,79.024,64.346,124.750,70.175,109.814,122.750,89.052,42.715,116.200,80.938,57.943,67.619,90.863,83.473,106.667,93.479,104.266,88.833,81.594,35.702,118.250,92.148,89.879,95.250,63.087,89.815,117.800,88.943,110.118,78.250,86.989,89.323
15,132.000,96.541,84.578,128.667,76.023,110.773,196.444,88.251,100.953,113.667,80.754,87.404,293.125,94.360,98.282,127.000,86.251,58.015,47.375,91.752,79.198,212.000,79.085,64.361,171.750,70.255,109.733,101.750,88.843,42.652,80.800,80.893,57.421,124.095,90.990,83.564,162.000,93.677,104.174,67.000,81.734,35.803,120.875,92.131,89.838,293.500,63.041,89.798,169.800,88.954,109.833,131.625,87.064,89.357
16,105.750,96.492,84.656,132.444,76.163,110.819,202.000,88.205,100.864,72.667,80.687,87.373,216.625,94.391,98.285,125.500,86.281,57.998,47.625,91.722,79.839,156.750,79.007,64.364,202.750,70.155,109.815,94.500,88.982,42.675,47.600,80.781,57.592,79.714,90.911,83.506,27.167,93.750,104.266,110.833,81.583,35.589,122.250,92.310,89.946,220.000,63.108,89.927,184.800,88.976,110.020,75.250,87.413,89.325
17,139.500,96.567,84.666,125.111,76.232,110.706,140.222,88.265,100.888,122.500,80.619,87.498,241.750,94.464,98.367,110.000,86.449,58.059,67.500,91.820,79.614,200.500,79.089,64.322,194.000,70.372,109.717,112.750,89.089,42.570,55.800,80.974,57.712,120.857,90.929,83.644,107.333,93.645,104.278,77.000,81.629,35.655,128.375,92.253,89.980,254.250,63.033,89.705,152.600,89.049,109.902,71.250,87.443,89.271
18,157.750,96.657,84.559,77.778,76.131,110.911,233.778,88.299,100.912,131.500,80.589,87.360,174.625,94.250,98.298,163.000,86.339,58.025,58.250,91.500,79.317,199.625,79.214,64.458,200.250,70.300,109.797,97.250,89.006,42.562,53.400,80.969,57.924,109.524,91.220,83.584,72.667,93.535,104.087,38.333,81.433,35.651,121.500,92.064,89.855,281.750,63.131,89.950,106.200,88.931,110.005,97.000,87.211,89.327
19,84.375,96.610,84.837,176.889,76.092,110.793,164.667,88.154,100.953,144.000,80.566,87.428,237.125,94.380,98.209,178.000,86.166,57.906,73.750,91.877,79.544,136.000,79.009,64.355,189.500,70.237,109.734,109.500,88.819,42.614,40.200,81.057,57.224,119.048,91.064,83.511,130.667,93.354,104.137,51.500,81.561,35.750,145.500,92.132,89.833,134.750,63.086,89.887,115.800,89.022,109.985,69.500,87.172,89.256
20,148.000,96.493,84.709,89.333,76.079,110.778,194.000,88.228,100.880,177.667,80.576,87.455,251.125,94.402,98.222,61.750,86.380,58.213,54.750,92.003,79.802,126.375,79.135,64.441,96.000,70.148,109.603,85.500,89.159,42.594,85.800,80.928,57.753,140.476,91.037,83.376,100.167,93.596,104.171,145.833,81.610,35.794,180.125,92.326,89.852,216.500,63.074,89.896,180.000,88.976,109.891,113.250,87.433,89.210
21,111.875,96.583,84.609,90.444,76.088,110.797,227.556,88.215,100.858,153.333,80.669,87.211,216.250,94.373,98.218,120.000,86.383,58.014,51.250,91.637,79.244,138.625,79.137,64.308,164.500,70.149,109.640,107.000,88.992,42.646,94.400,80.857,57.875,121.714,90.904,83.484,52.667,93.814,104.067,127.500,81.565,35.803,135.000,92.321,89.972,156.750,62.962,89.877,72.600,89.019,109.694,67.625,87.266,89.343
22,127.375,96.503,84.633,119.111,76.110,110.659,221.556,88.264,100.923,224.167,80.555,87.229,153.500,94.429,98.229,63.500,86.488,58.054,41.375,91.760,79.360,147.500,79.100,64.382,194.750,70.132,109.691,144.250,88.975,42.583,83.800,80.801,57.532,77.048,90.880,83.623,82.167,93.728,104.011,153.500,81.525,35.569,138.500,92.073,89.875,170.500,63.084,89.846,195.600,89.029,109.798,69.000,87.411,89.388
