 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19
1,103.500,65.971,66.148,359.000,63.913,69.178,523.333,70.252,67.618,185.500,73.397,60.782,508.250,73.485,72.392,247.750,75.763,76.919,619.375,68.249,70.756,126.250,42.397,56.387,332.762,67.198,74.933,281.889,76.183,67.787,880.125,67.704,95.136,140.385,62.468,61.647,305.375,60.843,69.995,225.667,68.089,56.440,265.800,67.177,61.775,117.125,62.403,54.724,304.333,69.934,59.977,33.750,36.121,60.689,398.000,71.413,70.282
2,103.562,66.103,66.108,432.091,63.948,69.220,328.833,70.274,67.656,125.125,73.493,60.743,538.000,73.500,72.394,329.450,75.760,76.919,316.375,68.283,70.688,232.125,42.177,56.391,256.810,67.300,74.905,276.778,76.167,67.769,690.000,67.768,95.154,135.923,62.524,61.722,281.250,60.835,70.014,223.000,68.167,56.392,219.900,67.218,61.713,94.562,62.253,54.741,310.000,69.976,59.991,94.667,36.192,60.729,264.833,71.303,70.193
3,162.375,66.069,66.272,235.000,63.860,69.168,232.667,70.226,67.643,78.625,73.483,60.726,497.750,73.506,72.440,217.400,75.772,76.901,410.500,68.237,70.777,206.875,42.276,56.434,255.524,67.259,74.895,272.111,76.101,67.830,749.750,67.763,95.143,167.423,62.473,61.618,170.375,60.781,70.044,153.333,68.262,56.368,163.400,67.164,61.852,49.438,62.278,54.735,187.333,69.884,59.952,69.167,36.552,60.674,466.333,71.345,70.293
4,92.250,65.995,66.031,344.364,63.943,69.219,289.083,70.288,67.581,38.500,73.493,60.819,440.375,73.476,72.456,285.450,75.748,77.018,390.875,68.287,70.751,195.875,42.199,56.454,263.857,67.380,74.966,394.667,76.163,67.755,601.250,67.762,95.078,126.308,62.557,61.702,230.375,60.808,70.117,201.500,68.131,56.335,204.400,67.170,61.692,19.625,62.470,54.870,136.833,69.938,59.888,101.167,36.473,60.652,272.333,71.396,70.273
5,125.812,65.901,66.065,350.455,63.946,69.213,284.750,70.283,67.682,73.625,73.484,60.584,481.875,73.491,72.425,302.450,75.749,76.921,441.625,68.178,70.698,165.375,42.289,56.410,311.143,67.280,74.918,257.889,76.120,67.802,685.250,67.757,95.103,162.462,62.530,61.693,225.375,60.862,70.029,262.583,68.091,56.360,225.500,67.142,61.775,110.125,62.294,54.812,213.667,69.977,60.009,159.000,36.389,60.743,285.167,71.279,70.274
6,212.562,65.933,66.058,413.000,63.913,69.197,347.667,70.375,67.581,139.375,73.482,60.686,469.875,73.526,72.422,318.550,75.742,77.008,380.250,68.281,70.662,234.125,42.402,56.460,314.667,67.299,74.961,342.778,76.179,67.739,708.375,67.778,95.111,138.769,62.441,61.666,212.250,60.792,70.000,242.917,68.082,56.384,376.400,67.165,61.823,39.250,62.223,54.793,281.000,69.909,59.982,30.333,36.012,60.714,350.333,71.277,70.228
7,507.688,65.951,66.153,410.545,63.956,69.167,224.583,70.266,67.626,83.000,73.504,60.767,479.750,73.489,72.475,299.850,75.770,76.921,521.625,68.253,70.727,240.000,42.406,56.394,290.000,67.301,74.856,365.333,76.108,67.756,832.125,67.741,95.119,163.000,62.519,61.684,172.875,60.838,70.013,138.333,68.158,56.406,357.100,67.130,61.831,57.188,62.339,54.649,214.333,70.079,60.013,115.500,36.413,60.770,362.667,71.393,70.286
8,566.500,65.991,66.178,361.091,63.911,69.210,316.333,70.242,67.684,223.500,73.580,60.738,389.875,73.538,72.438,224.000,75.687,77.099,412.625,68.242,70.731,256.875,42.297,56.422,318.143,67.377,74.978,375.444,76.164,67.751,675.000,67.771,95.160,167.962,62.418,61.596,233.625,60.854,69.857,264.250,68.170,56.413,221.700,67.164,61.855,96.875,62.214,54.701,152.500,69.951,59.972,73.667,36.309,60.715,312.333,71.315,70.280
9,546.375,65.943,66.101,377.364,63.917,69.243,382.167,70.193,67.633,130.500,73.480,60.569,430.125,73.481,72.393,294.250,75.728,76.995,416.125,68.221,70.778,169.250,42.340,56.375,288.857,67.217,74.924,333.000,76.116,67.760,745.375,67.752,95.086,179.692,62.465,61.716,335.500,60.768,70.042,169.250,68.144,56.426,233.400,67.178,61.771,17.375,62.273,54.397,273.000,69.894,59.960,60.667,36.344,60.728,376.833,71.393,70.255
10,434.688,65.902,66.110,282.545,63.898,69.253,250.833,70.257,67.676,91.375,73.431,60.791,346.000,73.467,72.443,269.500,75.745,76.931,187.000,68.183,70.697,187.750,42.258,56.365,293.381,67.256,74.940,255.444,76.173,67.786,722.000,67.743,95.099,193.000,62.495,61.573,263.500,60.842,69.978,245.250,68.078,56.413,223.800,67.178,61.750,96.062,62.467,54.821,273.000,70.035,60.041,116.583,36.278,60.657,263.500,71.353,70.269
11,304.812,65.975,66.099,329.455,63.920,69.207,267.417,70.255,67.577,102.750,73.487,60.830,438.750,73.473,72.453,306.850,75.749,76.959,280.625,68.206,70.766,208.625,42.473,56.373,345.762,67.353,74.920,317.444,76.116,67.738,828.375,67.728,95.144,170.423,62.491,61.752,211.125,60.873,70.004,162.917,67.973,56.404,260.700,67.168,61.881,46.562,62.177,54.833,209.833,69.918,60.016,47.083,36.206,60.696,343.833,71.324,70.257
12,467.750,65.953,66.039,400.727,63.920,69.248,267.917,70.248,67.602,109.625,73.422,60.670,365.750,73.493,72.454,320.100,75.721,76.921,242.750,68.277,70.724,227.250,42.256,56.396,342.762,67.326,74.883,289.333,76.108,67.800,699.750,67.758,95.187,108.731,62.513,61.589,257.375,60.878,70.017,168.917,68.113,56.429,217.800,67.125,61.893,113.812,62.283,54.758,174.167,69.959,60.040,64.833,36.205,60.651,525.833,71.377,70.301
13,232.250,66.036,66.094,361.364,63.970,69.169,209.333,70.183,67.620,133.000,73.546,60.730,363.875,73.563,72.384,275.950,75.739,76.957,357.750,68.263,70.675,375.625,42.318,56.386,302.238,67.378,74.915,299.444,76.113,67.758,733.625,67.755,95.144,167.115,62.468,61.619,291.250,60.842,70.060,233.833,68.081,56.351,201.400,67.182,61.687,45.188,62.344,54.822,243.167,69.926,60.018,43.333,36.250,60.590,192.167,71.300,70.230
14,134.938,65.867,66.029,417.182,63.910,69.110,225.667,70.281,67.724,156.500,73.589,60.686,422.000,73.462,72.356,293.350,75.786,76.977,378.000,68.244,70.792,256.125,42.384,56.396,265.762,67.330,74.800,263.444,76.095,67.748,568.750,67.748,95.148,159.500,62.522,61.718,264.625,60.800,69.978,251.083,68.129,56.412,301.100,67.157,61.843,57.438,62.214,54.825,209.500,70.007,59.984,47.250,36.261,60.706,315.333,71.252,70.248
