 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12
1,73.636,90.677,85.798,31.500,52.447,72.075,63.714,66.363,42.037,63.143,52.045,76.098,36.706,45.924,78.868,72.667,30.158,109.406,58.500,25.836,106.892,46.750,29.237,113.966,60.077,46.518,103.962,37.429,89.819,91.540,43.000,49.817,104.445,78.000,94.094,94.885
2,137.091,90.632,85.969,180.000,52.406,72.126,54.000,66.269,42.069,50.286,52.241,76.275,58.471,46.057,79.106,51.917,29.998,109.348,106.750,25.813,106.761,124.500,29.124,114.170,37.077,46.469,103.622,81.905,89.646,91.480,30.000,50.009,104.380,31.900,94.109,94.285
3,68.364,90.559,85.910,59.750,52.605,72.331,69.238,66.197,42.046,38.571,52.226,76.117,42.941,45.744,78.830,113.833,30.062,109.404,64.000,25.654,106.825,34.500,29.295,114.478,47.000,46.354,104.000,63.333,89.640,91.443,43.000,49.636,104.444,36.800,94.317,94.302
4,112.909,90.646,86.014,58.000,52.522,72.144,95.143,66.478,41.903,90.095,52.266,76.207,84.118,45.750,78.955,85.583,30.068,109.399,119.500,25.851,106.903,62.500,29.098,114.110,54.154,46.464,104.102,83.619,89.735,91.695,95.167,49.877,104.436,60.200,94.424,94.416
5,48.364,91.102,86.006,98.000,52.495,72.277,32.952,66.350,42.021,46.286,52.460,75.945,47.176,45.592,79.051,92.417,30.060,109.492,41.375,25.712,106.466,68.500,29.071,113.858,79.231,46.489,104.029,87.619,89.576,91.657,57.917,49.727,104.355,35.500,94.144,94.266
6,98.364,90.719,85.968,47.000,52.514,72.439,32.857,66.406,42.076,55.143,52.198,76.399,40.706,45.708,78.753,73.917,30.133,109.370,46.875,25.750,106.605,62.250,29.052,114.102,36.231,46.750,104.046,74.476,89.607,91.806,53.833,49.765,104.698,38.500,94.263,94.451
7,55.273,90.841,85.956,64.500,52.396,72.100,44.571,66.129,41.994,88.571,52.027,75.992,72.353,45.727,78.853,104.417,30.038,109.235,50.875,25.681,106.731,42.000,29.221,114.097,47.615,46.765,103.950,47.524,89.804,91.631,39.000,49.964,104.616,32.800,94.301,94.745
8,124.727,90.839,85.966,6.250,52.545,72.385,42.667,66.096,41.775,105.238,52.322,76.193,43.765,45.447,78.995,83.750,30.030,108.981,74.000,25.788,106.709,75.500,29.189,113.904,81.846,46.536,104.011,55.238,89.704,91.605,41.167,49.862,104.397,31.700,94.292,94.811
9,159.818,90.771,86.032,63.750,52.659,72.148,31.905,66.171,41.896,56.857,52.484,76.005,57.529,45.642,78.996,70.083,30.000,109.268,90.250,25.862,107.048,13.750,29.086,114.545,40.615,46.664,104.004,89.905,89.854,91.776,23.333,49.881,104.446,78.300,94.092,94.513
10,48.727,90.706,85.919,125.000,52.489,72.177,82.381,66.363,42.124,52.476,52.224,76.101,74.471,45.768,78.874,47.833,30.005,109.281,48.500,25.633,106.745,19.750,29.260,113.956,40.308,46.754,103.743,37.143,89.416,91.593,87.917,49.797,104.612,36.400,94.204,94.541
11,50.909,90.369,86.042,73.500,52.719,72.283,56.952,66.189,42.037,64.190,52.266,76.163,71.647,45.791,78.937,62.083,30.087,109.413,45.875,25.630,106.537,24.000,28.998,113.628,50.615,46.536,103.768,69.905,89.907,91.651,69.917,50.048,104.426,31.300,94.480,94.766
12,106.727,90.728,85.945,65.000,52.561,72.083,39.238,66.021,42.083,94.762,52.152,75.970,35.059,45.639,78.842,69.333,30.107,109.486,67.750,25.804,106.653,62.250,29.128,114.076,48.846,46.604,104.195,48.095,89.735,91.690,86.000,49.700,104.545,15.500,94.077,94.757
13,113.818,90.727,86.112,30.500,52.415,72.098,48.476,66.175,42.022,102.857,52.174,76.094,62.118,45.617,78.941,90.250,30.035,109.253,71.750,25.725,106.949,71.000,29.084,114.021,51.231,46.330,104.243,77.810,89.786,91.857,16.750,49.661,104.425,95.600,94.360,94.538
14,113.091,90.651,85.971,41.000,52.772,72.217,50.667,66.239,42.194,34.571,52.321,75.925,22.471,45.834,78.902,77.167,29.973,109.212,63.250,25.659,106.664,30.750,29.270,114.195,40.538,46.921,104.000,46.000,89.619,91.494,77.750,49.883,104.500,14.300,94.178,94.560
15,255.091,90.822,85.979,14.500,52.438,72.235,51.619,66.301,41.683,107.524,52.180,76.213,59.059,45.562,78.982,86.917,30.032,109.404,76.500,25.663,107.007,17.250,29.115,114.415,40.538,46.563,103.949,48.095,89.702,91.763,84.333,49.479,104.429,23.600,94.253,94.353
16,204.545,90.748,85.969,67.250,52.485,72.196,93.524,66.287,42.086,44.952,52.167,76.298,86.588,45.953,78.863,104.000,29.917,109.343,51.125,25.687,106.912,69.750,29.098,114.034,79.846,46.711,104.082,31.048,89.667,91.651,51.250,49.549,104.331,37.800,94.237,94.566
17,244.545,90.653,86.071,104.750,52.559,72.245,45.333,66.301,42.120,48.571,51.985,76.227,66.353,45.832,78.954,72.500,30.132,109.356,57.875,25.724,106.826,100.500,29.152,114.099,190.308,46.650,104.002,57.429,89.785,91.664,52.917,49.704,104.528,50.100,94.195,94.574
18,157.636,90.776,85.878,136.250,52.646,72.347,26.667,66.229,41.853,23.619,52.400,75.830,60.353,45.601,78.842,58.583,30.079,109.259,18.125,25.584,106.981,60.250,29.071,114.401,118.077,46.432,103.870,79.524,89.831,91.862,143.750,49.789,104.522,64.600,94.160,94.148
19,174.909,90.677,85.892,33.000,52.381,72.305,77.333,66.143,41.971,101.619,52.391,76.097,29.176,45.753,79.170,70.083,30.086,109.274,69.500,25.853,107.151,82.500,29.146,114.193,68.692,46.512,104.063,32.857,89.890,91.834,200.500,49.660,104.487,67.800,94.228,94.956
20,180.364,90.727,85.929,56.000,52.719,72.230,41.905,66.192,41.801,62.286,52.305,76.333,47.412,45.767,78.969,108.333,30.028,109.294,121.625,25.778,106.923,71.250,29.146,113.937,106.231,46.714,103.986,43.810,89.421,91.511,152.250,49.925,104.533,46.500,94.259,94.417
21,148.364,90.539,86.111,41.250,52.310,72.201,55.238,66.264,41.907,67.619,51.988,76.184,34.588,45.575,78.922,70.500,29.929,109.329,66.875,25.540,106.731,83.250,29.098,114.136,82.077,46.574,104.006,50.095,89.757,91.758,173.750,49.756,104.401,55.500,94.315,94.331
22,171.273,90.724,85.965,64.750,52.559,72.147,67.810,66.324,42.108,32.000,52.150,75.950,58.824,46.183,78.906,63.083,29.935,109.418,97.875,25.856,106.673,117.500,29.220,114.155,120.923,46.578,104.091,52.952,90.037,91.435,122.917,49.712,104.524,101.200,94.212,94.651
23,109.455,90.707,85.937,60.000,52.629,72.407,36.762,66.193,41.983,89.905,52.237,76.156,21.176,46.064,78.695,87.333,30.067,109.542,36.375,25.852,107.067,14.000,29.112,113.853,136.000,46.480,104.064,39.429,89.690,91.772,167.000,49.817,104.428,75.700,94.365,94.505
24,182.727,90.664,86.012,54.750,52.762,72.187,56.286,65.865,42.153,62.762,52.152,76.232,47.882,45.378,79.024,96.083,30.031,109.256,23.375,25.751,106.525,68.750,29.135,113.994,155.846,46.563,103.987,27.905,89.748,91.860,143.417,49.665,104.611,48.000,94.247,94.538
25,178.364,90.844,86.128,19.500,52.477,72.302,62.667,66.437,41.863,50.095,52.244,76.016,73.294,45.761,79.020,55.833,30.019,109.586,43.250,25.905,106.644,66.500,29.272,113.982,105.538,46.689,103.981,212.571,89.637,91.639,48.250,50.110,104.547,54.500,94.199,94.431
26,81.091,90.710,85.926,35.250,52.479,72.167,96.000,66.239,42.203,42.762,52.266,76.289,86.588,45.771,78.996,69.667,30.095,109.570,159.750,25.797,106.933,14.750,29.253,114.135,77.077,46.404,104.138,107.524,89.760,91.558,146.333,49.784,104.478,61.900,94.153,94.469
27,89.636,90.490,86.080,108.750,52.450,72.127,71.238,66.376,42.171,45.429,52.331,76.001,44.235,45.667,78.868,42.750,30.047,109.207,73.000,25.600,106.990,33.500,29.198,114.101,74.000,46.444,103.901,145.048,89.592,91.641,91.583,49.824,104.433,59.100,94.244,94.481
28,54.909,90.613,86.133,64.000,52.621,72.206,57.619,66.093,42.132,57.429,52.227,76.202,28.353,45.384,78.901,78.083,30.019,109.505,38.250,25.704,106.543,70.250,29.127,113.724,52.385,46.583,103.966,184.000,89.644,91.697,125.083,49.943,104.419,50.600,94.211,94.579
29,114.182,90.945,86.079,13.000,52.235,72.075,111.905,66.216,42.017,41.429,51.962,75.975,24.824,45.694,78.854,52.833,30.001,109.392,51.375,25.691,106.925,116.500,29.099,114.131,61.462,46.411,103.887,169.333,89.814,91.592,80.333,49.600,104.367,34.500,94.424,94.344
30,32.000,90.760,85.909,35.750,52.580,72.186,28.857,66.284,41.959,133.524,52.352,76.254,63.176,45.357,79.043,37.000,29.946,108.867,23.875,25.630,106.526,61.500,29.222,113.771,40.154,46.749,103.771,131.810,89.812,91.574,56.917,49.445,104.417,44.500,94.452,94.603
