 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13
1,222.941,77.456,76.144,116.833,94.592,85.369,190.000,100.680,83.050,100.154,87.161,76.694,54.625,80.923,60.145,10.692,92.359,55.322,59.125,69.906,65.941,24.154,101.603,64.210,49.818,86.689,47.292,30.385,94.865,61.169,71.333,106.580,118.549,98.667,100.232,89.200,204.462,86.654,88.413
2,218.353,77.213,76.125,152.833,94.693,85.141,245.000,100.611,82.977,64.923,87.374,76.705,37.125,81.117,60.329,31.231,92.716,55.137,18.750,70.215,66.063,38.231,101.559,64.241,61.091,86.677,46.591,18.615,94.499,61.640,43.500,106.809,118.470,138.667,100.046,89.116,234.538,86.674,88.376
3,325.882,77.316,76.069,248.167,94.574,85.313,209.500,100.649,82.937,61.692,87.459,76.875,40.750,81.078,60.064,31.923,92.975,55.074,20.625,70.392,65.905,23.462,101.571,64.430,57.273,86.741,46.963,28.077,94.775,61.292,16.167,106.578,118.051,122.833,100.115,89.105,197.846,86.720,88.326
4,330.235,77.323,76.155,124.333,94.613,85.248,98.750,100.726,83.015,57.769,87.437,76.915,43.125,80.964,60.094,25.231,92.864,55.034,12.250,69.886,66.014,29.231,101.626,64.341,20.909,86.335,46.830,34.231,94.776,61.494,15.500,106.668,118.452,78.333,100.117,89.198,216.462,86.607,88.379
5,367.765,77.302,76.074,88.167,94.503,85.282,125.750,100.600,83.107,77.308,87.259,76.741,50.062,80.990,60.238,40.769,92.756,54.962,89.875,70.061,65.876,24.154,101.245,64.522,42.182,86.620,47.115,31.000,94.787,61.337,25.000,106.468,118.451,109.667,100.081,89.189,166.385,86.595,88.184
6,283.765,77.288,76.101,101.500,94.846,85.286,230.000,100.577,82.989,74.769,87.210,76.855,32.875,80.796,59.963,41.692,92.850,55.323,36.125,69.845,65.556,54.154,101.366,64.457,29.455,86.486,46.806,47.923,94.559,61.510,46.833,106.557,118.349,108.000,100.180,89.424,140.077,86.722,88.293
7,346.471,77.293,76.081,171.500,94.616,85.360,238.750,100.776,83.117,100.846,87.155,76.937,18.188,80.658,60.359,21.000,93.028,55.051,32.250,70.095,65.792,23.923,101.300,64.519,50.909,86.617,47.437,23.538,94.732,61.340,23.667,106.638,118.108,57.500,100.144,89.337,199.923,86.699,88.346
8,375.529,77.286,76.025,237.167,94.511,85.103,169.500,100.545,83.096,63.154,87.193,76.736,27.250,80.963,60.166,30.231,93.016,55.232,29.375,70.014,66.002,29.077,101.577,64.417,28.364,86.691,47.017,37.000,94.760,61.141,24.667,106.720,118.292,99.833,100.170,89.305,237.385,86.792,88.321
9,354.941,77.393,76.093,82.667,94.571,85.163,122.000,100.777,82.922,55.308,87.455,77.026,51.562,80.945,60.435,32.846,92.648,54.892,37.250,70.100,65.829,28.846,101.474,64.340,47.455,86.916,47.225,26.385,94.819,61.148,74.333,106.513,118.653,135.667,100.081,89.168,185.231,86.736,88.373
10,274.118,77.336,76.086,139.833,94.448,85.142,153.500,100.590,83.054,73.154,87.324,76.707,36.375,80.839,60.219,27.385,92.882,55.308,34.125,69.998,65.844,59.769,101.498,64.490,8.000,86.603,46.965,21.769,94.512,61.401,43.667,106.586,118.511,63.000,100.089,89.100,238.385,86.655,88.406
11,237.765,77.151,76.064,120.667,94.648,85.289,225.500,100.580,83.089,52.000,87.429,76.938,34.125,81.064,60.120,24.154,92.709,54.951,24.250,70.204,65.567,32.385,101.624,64.484,14.545,86.676,47.275,19.615,94.972,61.607,35.500,106.594,118.389,92.167,100.071,89.303,178.308,86.607,88.424
12,120.235,77.335,76.124,240.333,94.585,85.207,109.750,100.510,82.988,77.077,87.197,76.954,65.188,80.783,60.087,24.154,92.676,54.910,18.500,70.129,65.347,57.462,101.255,64.634,40.182,86.470,46.965,13.000,94.586,61.473,24.667,106.410,118.502,74.333,100.161,89.485,271.538,86.657,88.434
13,114.235,77.435,76.148,193.667,94.575,85.205,37.000,100.689,83.285,99.692,87.216,76.846,21.875,80.945,60.035,26.923,92.786,55.460,39.125,70.113,65.866,27.231,101.613,64.449,52.182,86.491,47.011,17.769,94.467,61.291,29.333,106.765,118.607,119.333,100.291,89.288,262.615,86.708,88.281
14,97.529,76.994,76.107,144.000,94.591,85.115,141.000,100.545,83.112,66.846,87.304,76.930,50.688,80.788,60.077,21.077,92.922,55.154,39.750,70.283,65.981,34.308,101.474,64.396,23.455,86.364,46.669,20.385,94.658,61.294,24.000,106.931,118.269,64.500,100.150,89.179,208.385,86.697,88.394
15,86.118,77.137,76.030,214.667,94.547,85.218,139.500,100.683,83.081,64.923,87.181,76.936,48.688,81.068,60.310,35.308,92.765,55.264,21.500,70.029,65.951,22.462,101.812,64.655,66.000,86.525,46.707,23.231,94.787,61.153,18.833,106.779,118.144,76.667,100.110,89.292,217.615,86.710,88.351
16,104.706,77.430,76.156,94.500,94.400,85.338,153.250,100.627,82.992,56.538,87.107,76.741,23.062,80.869,60.359,35.231,92.786,55.049,0.750,69.595,65.875,34.154,101.645,64.248,1.091,86.335,46.655,29.231,95.066,61.023,34.833,106.577,118.799,82.833,100.244,89.271,231.769,86.622,88.437
17,100.941,77.331,76.060,159.333,94.479,85.219,164.000,100.558,83.070,68.000,87.436,76.783,36.062,80.735,60.113,21.846,92.785,55.190,2.500,69.611,65.999,13.923,101.530,64.525,28.727,86.553,47.181,23.846,94.863,61.459,19.500,106.355,118.554,177.333,100.191,89.280,210.769,86.587,88.383
