 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52,Mean53,XM53,YM53,Mean54,XM54,YM54,Mean55,XM55,YM55
1,2624.013,128.696,176.904,1226.077,232.195,235.040,1593.517,239.482,205.568,1237.667,245.271,205.868,569.081,231.405,180.580,747.633,238.729,179.319,81.808,218.586,252.351,148.375,240.081,213.532,77.688,235.429,220.500,57.375,228.333,248.149,444.581,172.268,193.651,263.567,197.966,174.380,121.419,196.784,215.945,169.191,193.127,222.122,175.286,211.984,181.688,103.438,247.485,230.883,125.625,231.568,254.872,439.562,244.488,194.992,270.520,218.094,216.079,489.190,198.110,200.825,149.588,232.750,244.292,59.750,241.295,167.001,329.111,210.994,203.445,118.778,205.972,190.032,26.486,195.971,187.907,152.595,206.396,213.704,326.471,220.702,209.888,45.529,202.869,231.226,104.769,198.910,192.084,50.750,255.777,236.549,119.000,221.877,206.186,61.812,244.002,161.295,26.438,170.309,152.004,126.538,186.335,200.163,233.742,152.175,180.839,551.700,141.364,181.971,98.077,234.193,175.319,199.300,219.762,190.088,216.600,243.377,184.748,42.615,212.431,189.075,65.200,202.599,185.600,72.364,205.739,196.388,6.482,210.666,227.344,3.165,222.373,247.480,28.516,226.443,198.340,120.108,183.711,173.792,34.323,255.950,215.478,4.500,185.240,225.466,5.200,176.855,221.805,2.710,180.154,212.239,297.032,216.871,194.054,0.000,NaN,NaN,119.562,191.017,167.469,147.032,192.072,174.333,126.077,233.040,209.241
2,1963.215,128.731,176.940,546.808,232.188,235.038,389.310,239.462,205.577,1297.556,245.192,205.864,624.216,231.406,180.504,671.067,238.702,179.367,41.731,219.056,252.307,175.000,239.962,213.672,110.250,235.453,220.733,52.375,228.009,248.287,432.129,172.274,193.611,269.200,198.105,174.388,111.161,196.667,215.818,170.338,193.258,222.151,213.762,212.093,181.504,90.500,247.315,230.998,99.375,231.383,254.827,561.562,244.450,195.166,299.260,218.089,216.080,692.381,198.084,200.874,91.294,232.869,244.425,105.688,241.219,166.832,271.167,210.901,203.507,117.500,206.069,190.129,61.514,195.999,187.776,170.024,206.437,213.729,285.588,220.706,209.896,13.176,203.069,230.147,103.538,198.723,192.151,97.000,255.550,236.339,106.375,222.016,206.264,80.875,244.135,161.348,17.500,170.311,151.907,93.769,186.105,200.290,204.452,152.222,180.731,384.500,141.341,182.105,109.769,234.271,175.377,157.900,219.922,190.185,220.400,243.284,184.833,69.308,212.554,189.397,30.100,202.839,185.405,53.909,205.773,196.118,13.964,210.759,228.988,14.051,221.902,247.463,20.129,226.666,198.332,137.027,183.575,173.730,58.774,255.959,215.576,7.357,185.427,225.983,4.700,177.745,222.095,28.516,179.909,212.855,406.387,216.804,194.180,7.571,188.945,233.585,107.375,191.191,167.257,85.806,192.198,174.522,102.077,232.903,209.130
3,693.165,128.688,177.040,1021.308,232.211,234.995,199.069,239.459,205.406,879.667,245.258,205.888,4094.487,231.415,180.575,861.133,238.701,179.327,73.346,218.781,252.519,174.562,240.021,213.657,140.500,235.562,220.643,96.375,228.219,248.089,331.097,172.119,193.549,223.467,198.073,174.252,83.419,196.806,215.679,191.118,193.120,222.088,236.143,212.030,181.521,137.000,247.457,230.827,64.188,231.569,254.874,573.375,244.495,195.117,294.140,218.105,216.015,556.190,198.142,200.789,103.647,232.722,244.428,127.062,241.205,166.917,356.889,210.831,203.453,103.944,206.026,190.179,47.946,195.827,187.461,122.381,206.406,213.512,300.647,220.650,209.887,16.588,203.021,229.081,97.615,198.940,192.408,864.812,255.637,236.227,105.562,221.992,206.304,52.938,243.852,161.595,28.438,170.486,151.966,128.692,186.216,200.256,200.903,152.105,180.813,425.600,141.456,182.039,777.538,234.182,175.398,192.800,219.771,190.198,283.000,243.327,184.958,72.077,212.535,189.168,57.700,202.693,185.371,46.182,205.988,195.893,15.018,210.872,228.868,5.620,221.660,247.499,35.355,226.589,198.157,118.649,183.862,173.728,15.032,256.239,215.574,14.000,184.863,226.118,8.500,177.446,221.524,13.097,179.579,212.270,362.774,216.809,194.183,0.000,NaN,NaN,87.688,191.009,167.083,168.000,191.975,174.384,108.385,233.080,209.386
4,467.392,128.649,176.994,1046.423,232.220,235.045,269.724,239.527,205.577,824.778,245.164,205.795,3365.946,231.403,180.561,3491.233,238.729,179.314,919.923,218.865,252.313,157.750,239.921,213.644,106.625,235.417,220.765,54.875,228.484,248.052,381.806,172.290,193.636,217.400,198.072,174.169,101.226,196.574,215.644,189.338,193.192,222.012,272.571,212.113,181.527,128.438,247.375,230.827,40.438,231.427,254.897,558.500,244.475,195.087,358.100,218.084,216.249,575.476,198.122,200.779,125.471,232.821,244.290,67.750,241.187,166.934,290.444,210.738,203.450,165.778,205.785,190.178,51.892,195.725,187.660,135.048,206.408,214.014,369.588,220.723,209.809,29.500,203.143,229.491,132.385,198.795,192.247,847.188,255.572,236.319,142.562,221.831,206.273,55.625,243.874,161.442,40.812,170.329,151.978,109.846,186.197,200.100,172.323,152.197,180.879,381.800,141.401,181.992,399.385,234.227,175.488,174.500,219.853,190.122,367.000,243.290,184.829,77.923,212.597,189.322,70.800,202.635,185.573,45.227,205.961,195.745,7.411,210.515,227.662,11.291,222.207,247.758,37.226,226.555,198.031,130.486,183.703,173.926,397.613,256.112,215.722,13.000,184.717,225.617,0.200,177.475,223.045,27.742,179.838,211.631,417.613,216.843,194.211,0.000,NaN,NaN,91.312,191.039,167.261,103.161,191.986,174.552,168.077,232.847,209.223
5,466.152,128.685,176.944,353.923,232.230,235.043,300.586,239.607,205.469,2404.611,245.207,205.784,1097.189,231.412,180.462,2328.400,238.756,179.333,635.846,218.907,252.270,171.375,239.968,213.537,102.812,235.489,220.652,110.250,228.158,248.295,302.323,172.178,193.560,373.300,198.052,174.426,49.806,196.875,216.193,217.279,193.126,222.040,177.952,212.040,181.546,112.875,247.281,230.861,415.375,231.500,254.876,579.312,244.439,195.073,336.040,218.005,216.098,638.000,198.094,200.774,166.824,232.766,244.286,149.000,241.198,166.844,360.556,210.767,203.352,146.056,206.137,190.106,81.297,195.946,187.395,105.310,206.440,213.958,431.882,220.770,209.767,29.088,202.976,229.443,123.308,198.744,192.111,744.188,255.667,236.238,91.875,221.800,206.353,65.625,243.810,161.528,66.312,170.044,151.718,108.385,185.980,200.250,209.935,151.950,180.893,449.500,141.371,181.978,131.692,234.212,175.547,127.300,219.819,190.164,388.000,243.334,184.881,89.154,212.407,189.439,96.200,202.812,185.492,40.091,205.685,195.878,16.464,210.846,227.165,26.759,222.100,246.912,50.194,226.769,197.783,132.541,183.727,173.859,422.968,256.195,215.602,12.429,185.286,226.541,8.100,177.502,222.735,8.645,179.714,212.505,450.452,216.850,194.175,0.000,NaN,NaN,88.938,191.065,167.228,86.774,192.142,174.383,103.462,233.101,209.459
6,479.367,128.774,176.935,163.192,232.270,234.888,248.345,239.486,205.503,2089.389,245.211,205.822,588.216,231.392,180.539,1076.700,238.805,179.304,937.577,218.918,252.331,1989.312,239.959,213.597,89.312,235.481,220.731,146.875,228.120,248.161,454.516,172.277,193.581,276.533,198.049,174.315,118.774,196.696,215.945,214.000,193.295,222.015,197.619,211.874,181.445,65.062,247.384,230.737,506.312,231.525,254.823,636.938,244.441,194.984,344.820,218.016,216.114,664.286,198.121,200.888,147.588,232.802,244.233,109.375,241.124,166.593,354.944,210.815,203.314,114.111,206.164,190.210,59.568,195.849,187.394,117.810,206.433,213.483,411.647,220.768,209.919,27.941,202.933,229.483,192.308,198.715,192.186,641.812,255.550,236.307,204.688,221.967,206.201,50.062,244.215,161.185,39.812,170.119,151.754,107.077,186.277,200.144,193.032,152.104,180.727,457.200,141.405,182.064,65.154,234.303,175.542,212.200,219.883,190.238,281.200,243.304,184.893,70.231,212.458,189.461,75.500,202.928,185.645,73.682,205.562,196.272,11.125,210.594,228.019,189.544,222.201,247.447,49.032,226.411,198.397,121.405,183.833,173.827,428.710,256.204,215.580,8.357,185.034,225.308,44.900,177.311,222.320,42.968,179.929,211.991,372.645,216.817,194.159,0.000,NaN,NaN,76.750,191.276,167.363,133.226,192.207,174.501,120.000,232.926,209.235
7,414.532,128.810,176.892,224.000,232.192,234.874,319.000,239.529,205.496,1345.500,245.217,205.779,599.622,231.452,180.503,728.300,238.708,179.346,362.423,219.010,252.298,1066.375,239.927,213.622,858.375,235.507,220.669,1003.750,228.109,248.210,1971.484,172.292,193.601,286.600,198.134,174.086,835.871,196.665,215.560,286.206,193.175,221.977,219.286,212.028,181.497,100.312,247.245,231.081,327.750,231.542,254.838,573.500,244.468,195.117,303.420,218.070,216.036,654.238,198.074,200.824,151.765,232.870,244.330,154.562,241.294,166.782,373.667,210.812,203.388,94.056,206.148,190.379,86.108,195.763,187.341,136.976,206.465,214.251,402.882,220.755,209.918,18.412,202.947,228.262,167.462,198.794,192.263,233.875,255.696,236.348,104.875,222.024,206.337,66.625,243.882,161.443,20.625,169.968,152.001,162.615,186.366,200.240,154.387,152.067,180.836,399.000,141.438,181.910,75.385,234.328,175.504,154.100,219.811,190.278,380.900,243.322,184.826,16.385,212.498,189.706,80.200,202.787,185.645,96.727,205.815,196.008,17.107,210.796,228.067,95.139,221.930,247.443,22.581,226.498,198.420,129.946,183.775,173.703,190.323,256.257,215.654,6.571,185.343,225.852,0.000,NaN,NaN,13.935,179.939,212.062,449.677,216.759,194.202,6.714,189.255,234.825,52.500,191.091,167.190,95.484,191.905,174.565,159.308,232.819,209.283
8,446.177,128.678,176.989,260.846,232.148,234.945,259.000,239.475,205.501,635.722,245.190,205.751,552.811,231.467,180.537,642.000,238.732,179.352,91.654,218.862,252.324,1375.438,239.952,213.660,714.375,235.463,220.735,894.500,228.174,248.088,1562.774,172.259,193.613,3089.583,198.049,174.268,288.000,196.794,215.534,235.015,193.149,222.010,212.762,211.998,181.491,75.250,247.313,230.920,162.188,231.498,254.707,589.938,244.499,194.987,365.140,217.975,216.251,568.571,198.124,200.872,115.059,232.893,244.170,118.750,241.398,166.682,384.056,210.891,203.471,210.833,206.094,189.881,85.946,195.567,187.403,146.262,206.408,213.975,402.647,220.799,209.960,47.382,203.028,228.493,191.923,198.756,191.996,160.000,255.651,236.186,106.375,222.017,206.236,66.562,244.134,161.223,44.188,170.097,151.802,120.615,186.119,200.381,132.839,152.099,180.893,493.600,141.347,181.949,40.000,234.131,175.383,251.800,219.800,190.224,336.900,243.252,184.835,49.462,212.304,189.501,206.500,202.873,185.707,120.227,205.633,196.263,19.571,210.576,226.983,24.228,221.846,246.658,26.968,226.531,198.504,135.297,183.595,173.794,129.806,256.231,215.692,10.000,185.015,226.876,1.400,177.586,222.669,11.226,180.550,211.675,358.323,216.779,194.278,0.000,NaN,NaN,62.188,191.200,167.102,148.194,192.201,174.493,222.846,232.943,209.205
9,374.684,128.761,177.002,317.038,232.304,234.929,284.034,239.565,205.518,552.722,245.164,205.832,592.595,231.416,180.468,661.267,238.775,179.387,87.654,219.283,252.298,1354.375,239.936,213.560,351.500,235.421,220.794,468.625,228.173,248.161,1692.903,172.290,193.569,3011.983,198.089,174.305,86.258,196.807,215.723,248.824,193.215,221.956,240.048,212.002,181.539,167.688,247.293,230.908,149.188,231.736,254.710,551.438,244.515,194.966,410.260,218.000,216.213,604.429,198.098,200.763,180.471,232.853,244.425,123.000,241.280,166.709,291.278,210.877,203.410,106.611,206.069,189.806,83.297,195.880,187.366,135.024,206.464,214.202,411.235,220.691,209.949,33.618,203.035,229.074,111.923,198.728,192.296,138.125,255.595,235.990,164.188,222.041,206.086,50.625,243.975,161.106,48.125,170.030,151.739,111.077,186.247,199.978,124.387,152.036,180.880,536.100,141.286,181.997,67.923,234.327,175.443,197.700,219.868,190.211,432.400,243.335,184.908,79.692,212.498,189.529,126.400,202.597,185.749,76.591,205.918,196.077,7.536,210.921,228.531,13.823,222.063,247.418,64.968,226.606,198.277,1420.865,183.737,173.789,72.452,256.225,215.750,21.071,185.189,225.986,10.000,177.407,222.041,12.000,180.282,211.978,301.097,216.721,194.066,0.000,NaN,NaN,74.375,191.014,166.993,244.129,192.076,174.818,205.538,233.041,209.407
10,426.481,128.869,176.876,248.192,232.247,234.983,300.172,239.455,205.412,491.778,245.146,205.768,626.432,231.401,180.575,683.867,238.718,179.415,67.769,219.069,252.231,864.375,239.941,213.541,154.750,235.503,220.721,131.250,228.267,248.279,2063.161,172.214,193.615,1422.800,198.073,174.260,123.032,196.573,215.876,281.338,193.202,221.778,239.571,212.088,181.462,63.562,247.326,231.148,67.188,231.556,254.717,566.375,244.487,194.970,351.080,218.048,216.334,492.333,198.078,200.732,200.294,232.836,244.138,102.438,241.308,166.864,388.389,210.863,203.422,151.111,206.143,189.985,139.730,195.903,187.481,136.262,206.503,214.263,402.000,220.738,209.760,16.500,202.922,228.729,143.385,198.779,192.145,111.312,255.553,236.234,162.875,222.100,206.280,80.312,243.971,161.286,77.625,170.322,151.639,202.615,186.241,200.217,98.710,152.070,180.833,561.100,141.398,181.968,108.846,234.200,175.449,272.100,219.745,190.124,292.600,243.252,184.891,27.769,212.301,189.371,175.400,202.764,185.791,82.227,205.601,196.059,9.321,210.538,229.076,11.038,222.548,246.860,21.290,226.552,198.571,535.838,183.701,173.731,89.097,256.241,215.722,9.571,185.241,225.724,14.100,177.288,222.190,28.258,179.838,212.238,407.935,216.797,194.207,0.000,NaN,NaN,447.625,191.069,167.464,208.452,192.177,174.978,233.923,233.012,209.319
