 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45
1,401.600,83.538,114.663,380.333,82.785,119.926,25.900,106.241,40.144,497.769,66.940,70.463,550.100,71.895,71.587,182.125,39.449,73.675,17.625,88.679,101.624,104.774,105.611,74.526,492.429,78.555,90.117,67.538,72.645,86.294,221.769,76.281,81.479,298.375,67.932,85.655,188.833,60.506,87.656,353.355,101.291,91.324,396.952,101.358,73.822,378.750,100.724,70.023,38.000,99.395,45.756,494.846,87.366,88.424,4.286,69.306,90.365,300.900,91.957,111.017,112.538,107.186,58.190,252.700,77.253,62.580,296.250,77.640,78.128,68.000,57.588,94.804,59.500,103.399,60.192,443.000,55.926,67.815,16.000,83.800,110.150,306.190,103.961,91.713,484.000,105.209,81.830,3.568,95.630,47.740,28.417,76.778,138.399,341.300,88.625,83.112,11.524,64.276,126.194,45.769,72.219,78.545,122.581,89.513,112.434,22.750,85.735,108.345,420.500,101.402,85.272,35.647,48.491,67.187,221.167,91.136,92.342,10.400,82.615,92.845,7.048,52.545,94.085,354.727,94.747,86.594,586.000,79.928,85.850,12.625,44.175,84.785,27.750,62.564,92.714
2,558.600,83.559,114.685,501.167,82.751,119.905,48.400,105.685,40.075,571.462,67.006,70.535,611.500,71.931,71.552,216.625,39.578,73.837,15.375,88.192,101.215,90.323,105.421,74.447,492.714,78.586,90.127,44.538,72.395,86.328,105.000,76.194,81.591,234.750,67.931,85.652,252.917,60.463,87.409,377.548,101.266,91.257,438.000,101.436,73.951,411.000,100.591,69.996,23.231,100.001,45.393,374.308,87.456,88.445,43.571,69.722,90.984,335.100,92.109,110.997,181.000,107.111,58.132,229.400,77.318,62.542,296.625,77.593,78.191,112.500,57.682,94.991,176.750,103.385,60.432,411.125,55.889,68.000,26.857,83.646,110.472,287.143,103.931,91.555,478.250,105.310,81.865,4.432,95.442,47.438,44.250,76.421,138.237,396.700,88.618,83.045,2.952,64.945,127.255,30.000,71.857,78.651,72.839,89.397,112.459,26.750,86.335,108.449,523.125,101.332,85.439,65.529,48.269,66.787,156.000,91.121,92.269,32.700,82.593,92.088,9.429,53.785,94.085,203.818,94.814,86.679,651.000,79.965,85.799,12.125,44.341,84.798,66.125,62.742,92.962
3,4095.000,83.545,114.700,587.000,82.719,119.870,16.300,106.029,39.839,650.077,66.934,70.548,584.900,71.962,71.565,175.875,39.521,73.729,19.250,87.980,101.620,112.258,105.669,74.620,399.143,78.665,90.051,98.077,72.822,86.546,115.231,75.995,81.676,302.500,67.878,85.698,110.333,60.344,87.761,316.194,101.202,91.068,350.952,101.448,73.957,417.500,100.508,70.039,85.692,99.616,45.542,461.692,87.421,88.431,34.571,69.467,90.904,254.200,92.002,110.829,64.615,107.378,58.259,208.800,77.326,62.611,190.000,77.538,78.100,32.900,57.313,95.395,50.000,103.297,59.985,450.062,55.925,67.930,79.857,83.591,110.646,340.762,103.868,91.574,495.250,105.286,81.833,13.946,95.567,48.032,13.750,76.834,137.795,256.500,88.696,83.011,7.143,64.945,126.900,40.077,72.202,78.942,47.935,89.298,112.302,68.500,85.949,108.127,419.125,101.337,85.421,80.941,48.560,67.017,173.833,91.027,92.402,3.300,82.615,91.295,0.000,NaN,NaN,247.091,94.745,86.691,568.125,80.070,85.838,12.000,44.550,84.785,55.125,62.885,93.142
4,4095.000,83.545,114.700,606.333,82.770,119.984,35.500,106.192,39.996,425.231,66.885,70.568,549.600,71.916,71.556,258.250,39.515,73.722,3.625,88.505,101.215,151.226,105.164,74.673,462.571,78.646,90.196,84.231,72.834,86.404,98.615,76.161,81.649,216.750,67.783,85.741,133.833,60.543,87.354,310.710,101.306,91.355,260.857,101.465,74.037,459.750,100.559,70.040,52.154,99.453,45.781,360.077,87.322,88.479,44.286,69.638,90.478,184.800,92.048,110.807,59.154,107.268,58.422,183.600,77.537,62.629,275.500,77.641,78.077,20.400,57.733,94.933,18.250,103.292,59.981,406.812,55.909,67.987,27.571,83.267,110.823,192.762,103.923,91.734,418.500,105.306,81.749,14.486,94.791,47.508,9.167,76.984,138.285,268.200,88.682,82.944,0.000,NaN,NaN,16.385,71.991,78.662,68.452,89.673,112.551,71.500,86.335,108.542,469.500,101.347,85.500,26.588,48.666,66.797,111.750,91.223,92.333,0.700,82.615,92.535,0.000,NaN,NaN,440.000,94.740,86.683,480.062,79.851,85.909,0.000,NaN,NaN,21.625,63.085,92.886
5,3735.000,83.580,114.697,464.667,82.767,119.889,50.400,105.555,40.145,512.231,66.978,70.439,399.300,71.964,71.566,157.125,39.624,73.612,13.625,88.195,100.905,43.935,105.690,74.399,218.571,78.578,90.193,39.154,72.544,86.613,78.077,76.140,81.238,164.375,67.873,85.528,102.333,60.541,87.624,305.613,101.257,91.349,269.619,101.645,73.815,393.000,100.608,69.922,43.308,99.693,45.790,324.231,87.416,88.478,19.714,69.683,91.342,186.000,92.043,111.110,88.385,106.903,58.086,184.500,77.408,62.806,240.125,77.677,78.176,53.800,57.687,95.179,143.500,103.420,59.993,415.500,55.969,67.973,15.714,83.508,110.211,186.190,103.821,91.564,406.250,105.268,81.868,8.054,94.705,47.585,8.917,76.916,138.224,323.200,88.654,83.010,4.190,64.558,126.713,28.846,71.763,78.501,28.774,90.031,112.495,6.250,86.025,108.630,421.375,101.330,85.486,20.824,48.564,67.257,168.083,91.043,92.318,4.400,83.235,92.225,0.000,NaN,NaN,326.364,94.681,86.684,475.312,80.041,85.872,0.000,NaN,NaN,18.125,62.198,92.777
6,2370.400,83.587,114.682,3897.250,82.779,119.959,31.600,105.602,40.030,405.923,67.035,70.588,304.500,71.900,71.508,69.875,39.557,73.783,1.625,88.195,101.835,105.935,105.653,74.576,422.857,78.549,90.280,55.154,72.927,86.529,102.462,75.942,81.780,246.000,67.978,85.735,101.333,60.552,87.491,241.290,101.284,91.407,341.333,101.522,73.891,320.500,100.666,70.131,13.692,99.109,45.789,345.462,87.396,88.477,32.286,69.285,90.365,149.800,92.102,110.863,61.846,106.756,58.033,157.100,77.545,62.594,218.500,77.682,78.177,13.400,57.815,94.395,22.500,103.568,60.295,431.438,55.841,67.942,53.714,83.750,110.475,136.381,103.767,91.591,267.500,105.158,81.752,9.459,95.006,47.886,0.750,76.105,138.105,223.900,88.628,82.879,4.857,64.659,127.182,1.154,72.488,78.688,65.226,89.356,112.363,73.500,86.195,108.192,244.625,101.401,85.495,20.118,48.515,67.425,129.500,90.822,92.264,12.500,82.305,92.014,0.000,NaN,NaN,230.545,94.658,86.811,493.688,79.982,85.840,0.000,NaN,NaN,13.125,62.675,92.845
7,2074.600,83.537,114.712,4017.083,82.775,119.967,0.000,NaN,NaN,424.462,67.034,70.543,451.300,71.858,71.600,138.750,39.543,73.607,26.750,88.195,101.835,60.065,105.734,74.513,237.143,78.599,90.110,22.769,72.600,86.682,55.538,76.315,81.572,196.500,67.906,85.513,74.000,60.525,87.693,273.548,101.258,91.398,243.619,101.462,73.997,499.250,100.588,70.022,28.846,99.924,45.775,324.615,87.330,88.437,16.286,69.590,91.600,169.100,92.139,111.146,76.923,107.491,57.980,279.200,77.472,62.687,120.250,77.675,78.147,13.000,57.619,95.301,55.750,103.404,60.029,398.250,55.876,67.997,1.429,83.545,111.445,176.571,103.879,91.769,320.000,105.269,81.778,5.676,94.983,47.606,0.250,75.485,138.105,177.600,88.667,83.093,6.476,64.261,126.708,37.846,71.633,78.547,34.387,89.217,112.640,40.500,86.128,108.207,390.625,101.391,85.356,53.294,48.636,67.021,132.583,90.975,92.332,0.100,82.925,91.915,0.000,NaN,NaN,265.091,94.698,86.813,526.938,79.928,85.842,0.000,NaN,NaN,2.125,62.082,92.699
8,2069.200,83.566,114.708,2721.000,82.760,119.978,1.800,106.175,39.215,444.231,66.947,70.534,351.400,71.992,71.355,148.750,39.568,73.843,3.875,88.505,101.215,69.355,105.549,74.559,364.571,78.642,90.320,25.385,72.654,86.559,112.308,76.162,81.251,167.875,67.825,85.554,192.500,60.281,87.480,221.677,101.143,91.334,320.381,101.544,74.040,352.250,100.612,70.157,16.077,99.291,45.394,254.385,87.347,88.516,0.000,NaN,NaN,152.100,91.859,110.880,54.692,107.188,58.230,304.200,77.449,62.661,188.875,77.614,78.073,3.800,57.864,95.097,27.750,103.388,60.175,441.250,55.820,67.865,4.857,83.545,110.442,229.905,103.837,91.640,431.750,105.239,81.900,30.649,94.749,48.127,0.000,NaN,NaN,289.500,88.625,82.939,10.571,64.766,126.635,14.538,72.587,78.797,26.452,89.878,112.114,50.500,86.083,108.345,490.875,101.375,85.413,11.294,48.667,67.267,82.667,91.262,92.456,6.500,82.830,92.487,0.000,NaN,NaN,283.273,94.625,86.687,520.062,79.872,85.871,0.750,44.795,85.095,0.000,NaN,NaN
9,3470.300,83.534,114.708,1790.000,82.760,119.966,0.000,NaN,NaN,562.615,66.856,70.522,379.300,71.923,71.578,129.125,39.563,73.765,2.000,88.815,101.525,85.484,105.538,74.586,468.143,78.576,90.263,60.462,72.624,86.438,142.385,76.046,81.582,179.125,67.951,85.544,83.833,60.369,87.650,208.258,101.283,91.413,315.714,101.519,74.052,288.500,100.670,70.031,22.154,99.581,45.604,262.000,87.447,88.497,11.000,69.285,90.655,183.400,92.150,110.859,19.692,107.099,57.896,189.800,77.376,62.732,275.250,77.571,78.035,22.200,57.611,95.202,1.000,103.385,60.605,494.875,55.836,67.966,62.286,83.386,110.757,159.810,103.698,91.526,345.500,105.238,81.884,3.892,94.985,47.641,12.917,75.819,138.689,231.800,88.651,82.938,6.381,64.644,126.741,6.923,71.672,78.678,12.194,89.991,112.403,36.500,85.900,108.421,443.125,101.364,85.471,63.412,48.720,66.899,92.333,91.398,92.284,0.000,NaN,NaN,0.000,NaN,NaN,217.273,94.764,86.688,445.562,79.895,85.956,0.000,NaN,NaN,0.000,NaN,NaN
10,3281.600,83.527,114.714,2590.917,82.802,119.970,9.600,105.865,40.455,472.769,66.981,70.526,312.800,71.924,71.622,106.250,39.426,73.649,0.000,NaN,NaN,65.742,105.630,74.666,349.000,78.617,90.313,26.846,72.711,86.714,102.000,75.954,81.777,75.625,68.063,85.621,112.083,60.336,87.683,198.645,101.067,91.174,338.476,101.432,73.932,321.250,100.618,70.112,21.154,99.755,45.849,276.385,87.498,88.567,0.143,69.595,91.605,246.100,92.022,110.878,54.077,107.398,58.291,138.300,77.333,62.562,320.250,77.635,77.902,29.600,57.717,94.699,19.750,103.515,60.166,360.625,55.976,67.972,7.286,83.381,110.387,214.952,103.954,91.565,406.500,105.375,81.800,4.324,95.635,47.895,1.917,76.725,138.078,250.000,88.736,82.917,14.095,64.325,126.972,32.846,72.190,78.200,18.194,89.074,112.564,13.250,86.335,108.655,467.375,101.427,85.409,48.588,48.642,67.117,54.000,91.082,92.257,1.500,82.615,92.845,3.048,53.475,93.775,306.727,94.662,86.635,388.250,80.000,86.011,0.000,NaN,NaN,11.375,62.155,92.535
