 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52,Mean53,XM53,YM53,Mean54,XM54,YM54,Mean55,XM55,YM55,Mean56,XM56,YM56,Mean57,XM57,YM57,Mean58,XM58,YM58,Mean59,XM59,YM59,Mean60,XM60,YM60,Mean61,XM61,YM61,Mean62,XM62,YM62,Mean63,XM63,YM63,Mean64,XM64,YM64,Mean65,XM65,YM65,Mean66,XM66,YM66,Mean67,XM67,YM67
1,262.667,123.738,158.847,432.412,128.354,186.668,386.278,190.652,96.972,2925.469,170.819,155.028,564.706,170.349,138.255,650.688,169.371,146.014,406.129,179.402,153.019,439.838,175.641,149.067,587.000,185.476,83.590,173.882,177.149,132.235,191.375,159.836,123.151,409.538,153.636,144.781,454.381,170.004,131.874,96.611,104.220,147.024,85.167,122.164,148.784,208.902,118.951,143.286,818.208,221.653,136.461,97.545,188.984,102.478,461.333,128.279,164.916,128.757,112.779,146.694,234.784,205.858,137.780,611.833,142.188,132.412,401.176,207.780,149.601,81.167,98.711,146.111,98.577,131.602,130.501,121.804,131.623,138.466,195.727,169.020,165.187,211.462,162.906,134.850,132.216,114.648,137.794,81.091,131.421,145.916,230.655,126.266,170.645,85.571,134.147,151.500,1099.097,166.600,150.344,316.722,117.719,169.869,483.308,225.147,146.011,339.235,209.976,131.209,262.312,181.782,156.187,192.645,134.217,124.944,174.190,135.533,137.731,58.865,168.594,124.906,184.955,126.638,138.499,85.812,155.511,120.572,211.364,145.493,139.337,53.545,109.598,181.640,278.000,103.452,165.007,418.176,103.277,170.745,180.645,158.941,139.213,310.500,149.945,120.646,124.700,152.613,161.182,252.682,174.337,165.459,409.676,206.517,143.402,173.353,132.616,165.800,507.548,124.149,182.487,273.765,230.397,134.014,42.588,153.088,81.659,23.000,193.090,127.671,726.353,214.786,141.770,188.688,127.986,149.852,106.722,152.660,137.527,319.429,172.752,134.956,97.081,128.530,144.552,163.562,133.636,183.039,849.489,115.326,178.633,170.615,169.235,118.127,148.875,121.638,135.450,236.600,217.859,144.063,458.129,150.830,124.910
2,336.433,123.641,158.995,1196.059,128.430,186.631,375.611,190.712,96.940,2897.656,170.820,155.025,660.471,170.331,138.307,592.500,169.356,145.951,291.871,179.262,153.046,386.270,175.768,148.898,510.062,185.425,83.759,204.588,176.999,132.438,199.125,159.767,122.600,332.462,153.801,144.908,508.476,170.027,131.915,83.611,104.112,147.023,112.500,122.225,149.004,151.255,118.780,143.274,839.750,221.545,136.358,199.773,188.947,102.543,535.667,128.330,164.841,162.108,112.635,146.428,285.725,205.838,137.849,544.222,142.289,132.475,400.059,207.724,149.633,63.500,98.630,146.063,111.346,131.644,130.432,133.725,131.568,138.533,133.727,168.972,165.052,211.692,162.948,134.677,112.811,114.405,138.072,144.955,131.872,146.152,293.724,126.220,170.505,130.619,134.100,151.224,507.097,166.584,150.464,359.222,117.787,169.796,378.615,225.180,146.108,395.235,209.835,131.288,262.125,181.862,156.056,172.581,134.121,124.837,196.381,135.544,137.385,120.486,168.305,125.312,191.455,126.720,138.596,34.188,155.314,120.948,196.682,145.577,139.264,34.636,109.479,181.700,353.255,103.429,164.977,365.941,103.242,170.721,115.419,158.748,139.055,303.773,149.820,120.799,95.000,152.636,160.945,261.545,174.382,165.225,385.838,206.501,143.332,173.353,132.607,165.499,384.452,124.115,182.512,147.235,230.330,133.895,50.412,152.867,81.672,43.562,193.530,127.590,773.000,214.845,141.830,114.500,128.091,150.149,122.556,152.687,137.561,362.571,172.812,135.028,142.811,128.521,144.570,96.750,133.567,183.717,775.362,115.323,178.609,103.769,169.290,118.152,124.312,121.646,135.547,213.300,217.913,144.150,439.097,150.894,124.970
3,596.700,123.824,158.946,2583.088,128.446,186.630,460.444,190.733,96.984,2421.938,170.780,155.018,502.294,170.310,138.300,579.062,169.364,146.115,338.968,179.316,152.919,399.838,175.624,148.974,584.812,185.326,83.658,224.118,177.020,132.256,138.438,159.642,122.894,366.346,153.805,144.842,513.905,170.149,131.894,99.722,104.218,146.980,144.833,122.214,148.782,118.549,118.910,143.367,925.625,221.674,136.434,160.409,188.907,102.414,534.667,128.346,164.880,80.216,112.757,146.531,177.490,205.978,137.692,695.444,142.254,132.441,459.000,207.670,149.526,57.458,98.868,146.087,83.731,131.993,130.624,104.863,131.723,138.479,223.409,169.148,165.139,250.692,163.048,134.942,91.405,114.484,137.949,138.273,131.646,146.092,225.724,126.379,170.446,95.333,134.176,151.380,501.935,166.610,150.363,334.556,117.763,169.889,432.923,225.293,146.099,410.765,209.934,131.222,282.188,181.669,156.301,183.355,134.177,124.876,206.905,135.452,137.766,105.892,168.259,125.123,173.818,126.635,138.632,111.625,155.311,120.783,250.909,145.609,139.568,40.227,109.499,182.138,377.333,103.471,165.110,332.176,103.225,170.680,193.677,159.013,139.050,288.409,149.851,120.619,104.000,152.453,161.091,327.500,174.336,165.160,371.027,206.515,143.333,157.059,132.676,165.668,385.097,124.196,182.564,220.588,230.333,133.915,47.059,153.156,81.734,60.562,193.423,127.085,623.529,214.845,141.890,106.312,128.071,149.804,116.611,152.805,137.402,330.095,172.846,135.073,126.324,128.472,144.389,164.188,133.617,183.392,709.447,115.264,178.549,71.000,169.262,118.100,179.625,121.763,135.349,162.000,218.034,144.116,318.516,150.732,125.107
4,2064.650,123.751,158.953,1722.294,128.473,186.626,2808.861,190.674,97.011,2768.938,170.829,155.010,621.529,170.378,138.276,531.562,169.405,146.050,368.129,179.234,152.948,368.595,175.573,148.986,590.188,185.199,83.764,223.824,176.950,132.222,154.812,159.736,123.011,378.731,153.670,144.872,470.381,169.945,131.832,75.111,104.179,147.017,143.500,122.085,148.917,92.941,118.856,143.275,889.500,221.704,136.502,101.636,188.728,102.372,453.056,128.177,164.840,163.189,112.852,146.579,195.725,206.005,137.622,579.556,142.184,132.395,406.353,207.761,149.613,38.167,98.910,146.347,92.769,131.646,130.466,103.412,131.611,138.197,226.409,168.964,165.053,207.192,163.012,134.714,92.811,114.612,137.698,105.545,131.855,146.091,252.138,126.220,170.483,123.524,134.111,151.474,418.710,166.548,150.482,262.667,117.746,169.883,403.462,225.263,146.062,377.294,209.891,131.281,249.812,181.876,156.046,245.226,134.194,125.123,138.048,135.444,137.359,58.649,168.199,124.936,166.864,126.667,138.676,86.750,155.497,120.639,203.364,145.687,139.418,69.545,109.701,181.695,318.902,103.404,165.062,393.882,103.248,170.551,149.032,158.771,138.975,356.318,149.805,120.725,83.400,152.569,161.516,256.682,174.279,165.419,274.324,206.556,143.364,164.588,132.522,165.471,315.097,124.045,182.496,242.882,230.398,134.019,37.235,153.343,81.611,87.375,193.057,127.425,741.882,214.864,141.911,115.000,128.063,149.781,108.222,152.783,137.481,321.524,172.764,134.997,171.730,128.548,144.382,172.812,133.662,182.974,672.255,115.277,178.742,104.846,169.373,118.279,185.375,121.789,135.435,192.600,217.918,144.078,470.258,150.819,124.996
5,2312.400,123.710,158.919,1184.588,128.433,186.670,990.167,190.712,96.966,2917.219,170.804,154.973,492.824,170.426,138.244,587.375,169.356,146.072,293.871,179.429,152.891,402.162,175.626,149.022,583.125,185.346,83.708,277.529,177.033,132.188,212.625,159.874,122.936,289.538,153.768,144.667,661.905,169.967,131.879,109.222,104.251,146.800,62.222,122.170,148.884,110.549,118.878,143.716,897.458,221.632,136.359,166.136,188.901,102.799,399.167,128.311,164.880,148.811,112.598,146.527,189.725,205.970,137.681,570.889,142.208,132.423,285.647,207.747,149.431,63.917,99.020,146.179,105.885,131.745,130.409,169.294,131.591,138.431,202.864,169.115,165.113,191.423,163.071,134.823,150.378,114.350,137.942,158.500,131.797,146.218,264.448,126.235,170.615,148.190,134.102,151.410,527.871,166.615,150.459,226.111,117.833,169.840,542.923,225.271,145.959,506.529,209.895,131.308,319.500,181.769,156.133,222.903,133.965,124.897,175.381,135.517,137.714,79.027,168.192,125.198,163.409,126.678,138.581,67.312,155.511,120.242,178.136,145.681,139.211,48.455,109.496,181.643,244.627,103.332,165.148,318.647,103.279,170.607,76.645,158.800,138.995,339.909,149.982,120.586,107.550,152.602,161.815,357.091,174.257,165.311,333.730,206.538,143.307,140.059,132.410,165.648,382.194,124.171,182.487,226.529,230.447,134.139,44.235,153.249,81.256,33.500,193.337,127.667,685.294,214.866,141.905,91.312,127.899,149.646,126.167,152.863,137.250,425.810,172.696,135.010,146.378,128.518,144.513,124.875,133.694,183.182,661.702,115.334,178.715,108.692,169.231,118.352,114.812,121.737,135.520,373.900,217.998,143.969,325.484,150.871,124.923
6,1429.633,123.662,158.830,1347.823,128.450,186.599,434.611,190.693,97.097,2028.000,170.817,155.011,557.412,170.431,138.258,625.625,169.361,146.054,490.000,179.399,153.087,437.405,175.629,148.913,543.250,185.482,83.787,198.000,177.014,132.272,117.688,159.954,122.949,370.308,153.646,144.778,454.000,170.020,131.898,117.278,104.134,146.868,101.778,122.102,148.720,120.039,118.928,143.379,867.833,221.621,136.432,114.500,188.928,102.428,497.111,128.328,164.834,104.757,112.847,146.435,249.333,205.913,137.670,499.889,142.326,132.451,293.353,207.716,149.506,53.750,98.703,146.028,128.462,131.783,130.330,103.412,131.751,138.625,193.045,169.038,165.242,264.962,162.828,134.886,141.838,114.439,137.805,201.136,131.825,146.194,255.172,126.350,170.520,167.190,134.198,151.262,542.194,166.654,150.572,361.444,117.765,169.912,360.692,225.080,145.977,348.588,209.850,131.317,540.250,181.808,156.317,285.484,134.077,125.157,208.333,135.422,137.620,113.946,168.262,125.254,216.000,126.825,138.602,70.375,155.520,120.385,212.818,145.596,139.353,62.273,109.723,181.623,345.608,103.451,165.177,326.941,103.165,170.533,195.613,158.975,139.058,301.591,149.747,120.710,122.200,152.651,160.957,308.000,174.188,165.219,297.027,206.510,143.314,183.176,132.538,165.460,455.290,124.085,182.605,189.471,230.339,133.775,28.000,153.232,81.178,141.312,193.262,127.510,742.176,214.867,141.941,143.312,128.010,150.049,191.889,152.649,137.600,333.810,172.840,135.037,81.459,128.558,144.652,162.562,133.598,183.301,775.021,115.304,178.699,135.462,169.172,118.104,193.250,121.665,135.420,223.000,218.006,143.888,318.645,150.835,125.020
7,762.167,123.684,158.788,1387.177,128.423,186.669,369.111,190.681,97.118,2089.250,170.838,155.034,563.706,170.371,138.269,534.500,169.369,146.098,487.871,179.271,152.970,408.757,175.582,149.020,483.562,185.362,83.841,250.235,177.200,132.175,205.938,159.836,122.994,367.154,153.610,144.759,441.524,170.074,131.877,165.278,104.242,147.278,106.667,122.075,148.796,146.275,118.892,143.306,878.958,221.592,136.405,96.727,188.785,102.398,486.056,128.242,164.899,91.351,112.661,146.517,196.941,205.984,137.774,498.444,142.278,132.322,387.471,207.734,149.509,70.625,98.799,146.084,73.923,131.719,130.385,117.608,131.602,138.667,178.818,168.993,165.151,251.538,162.819,134.878,181.405,114.616,137.819,155.545,131.739,146.146,232.276,126.294,170.521,110.000,134.154,151.463,427.484,166.639,150.493,295.056,117.770,169.854,514.154,225.204,145.950,616.471,209.944,131.199,833.312,181.938,156.153,202.516,134.016,125.095,150.000,135.306,137.386,43.622,168.471,125.310,243.182,126.622,138.617,48.812,155.281,120.447,237.773,145.553,139.361,41.273,109.705,181.826,321.647,103.444,165.119,320.118,103.288,170.692,96.258,159.108,138.937,311.455,149.798,120.641,72.850,152.417,160.791,337.591,174.287,165.218,340.324,206.420,143.287,126.588,132.605,165.525,453.226,124.141,182.540,215.765,230.273,134.012,68.765,153.298,81.712,26.688,193.412,127.185,808.941,214.878,141.855,119.500,128.027,149.901,90.056,152.970,137.671,325.524,172.736,134.955,104.919,128.594,144.558,139.125,133.582,183.554,660.979,115.283,178.744,72.846,169.312,117.978,225.812,121.490,135.292,211.600,217.958,144.122,297.355,150.867,125.073
8,309.233,123.540,158.753,1717.294,128.461,186.666,376.778,190.693,96.980,1337.500,170.772,154.993,592.529,170.371,138.318,536.625,169.331,146.064,308.516,179.456,152.916,350.000,175.497,148.963,470.312,185.233,83.629,306.412,177.014,132.338,202.500,159.673,123.309,371.769,153.711,144.739,513.810,170.023,131.840,68.500,104.209,147.060,98.444,122.081,148.681,163.647,118.994,143.099,787.167,221.678,136.426,148.045,188.894,102.502,551.778,128.368,164.932,113.892,112.634,146.629,220.118,205.914,137.726,466.222,142.179,132.383,381.176,207.796,149.619,65.542,98.779,145.692,129.346,131.603,130.450,185.059,131.458,138.491,192.455,168.911,165.105,171.269,162.831,134.816,130.054,114.581,137.736,124.591,131.754,146.103,285.034,126.288,170.470,97.476,134.261,151.266,452.839,166.664,150.460,302.444,117.746,169.876,368.692,225.246,146.107,375.647,209.902,131.308,490.812,181.744,156.296,312.968,134.049,125.089,147.619,135.440,137.546,121.459,168.573,125.235,182.273,126.739,138.524,101.562,155.534,120.575,170.409,145.653,139.397,81.136,109.419,181.679,327.843,103.390,165.123,297.353,103.274,170.665,124.839,158.873,139.040,250.909,149.867,120.558,73.550,152.600,161.400,250.591,174.318,165.138,242.486,206.539,143.296,205.471,132.676,165.631,434.774,124.158,182.460,158.941,230.404,133.889,68.353,153.151,81.318,39.875,193.283,127.542,650.471,214.853,141.860,118.000,128.082,150.003,134.222,152.773,137.497,317.714,172.804,135.069,104.595,128.448,144.511,129.312,133.693,183.250,589.277,115.296,178.672,24.077,169.214,117.928,106.812,121.602,135.269,258.300,218.002,143.817,332.452,150.763,125.230
9,333.167,123.671,158.896,1237.529,128.378,186.668,386.556,190.633,96.958,885.000,170.839,155.020,431.353,170.353,138.290,515.312,169.371,146.150,405.161,179.262,152.963,405.459,175.618,148.905,566.375,185.283,83.787,263.000,177.005,132.340,141.000,159.869,123.065,408.885,153.613,144.890,410.667,170.097,131.901,64.278,104.359,147.153,81.278,122.064,148.732,99.490,118.904,143.569,835.333,221.696,136.426,160.409,188.824,102.340,457.500,128.261,164.931,127.622,112.540,146.565,178.549,206.032,137.633,599.333,142.232,132.434,401.118,207.780,149.603,95.583,98.862,146.058,104.038,131.513,130.466,137.804,131.578,138.559,177.773,169.061,165.328,214.962,162.837,134.729,165.351,114.671,137.736,109.909,131.710,146.123,276.000,126.081,170.439,93.000,134.088,151.121,459.871,166.621,150.561,353.722,117.818,169.794,415.308,225.190,146.118,385.000,209.871,131.134,344.062,181.809,156.094,174.968,134.267,125.104,203.143,135.536,137.490,101.459,168.596,125.162,226.909,126.628,138.684,58.000,155.689,120.923,245.318,145.558,139.202,73.227,109.868,181.821,329.686,103.323,165.136,371.118,103.293,170.741,172.129,158.897,139.031,339.500,149.960,120.791,74.850,152.488,161.028,327.727,174.396,165.373,281.081,206.438,143.344,145.294,132.680,165.494,453.161,124.152,182.455,117.471,230.445,133.698,56.294,153.055,81.404,60.438,193.155,127.604,674.471,214.851,141.817,107.250,128.019,149.727,98.722,152.751,137.521,213.619,172.676,134.999,89.784,128.550,144.440,118.688,133.534,183.283,674.128,115.332,178.745,78.692,169.224,118.054,99.000,121.770,135.397,207.500,218.066,144.008,353.935,150.971,125.100
10,215.167,123.657,158.908,783.000,128.508,186.603,428.167,190.791,97.039,710.875,170.820,155.103,570.765,170.357,138.260,521.625,169.348,145.996,362.710,179.290,152.787,432.054,175.592,149.138,562.062,185.356,83.720,290.529,176.843,132.287,198.375,159.771,123.045,327.885,153.731,144.668,445.238,170.150,131.872,111.444,104.202,147.114,111.444,122.256,148.758,143.059,118.836,143.280,830.667,221.663,136.288,114.455,188.694,102.704,519.000,128.456,164.870,109.135,112.569,146.403,240.078,205.960,137.677,637.944,142.189,132.362,405.529,207.728,149.554,93.375,99.111,145.979,70.846,131.782,130.586,106.549,131.680,138.718,156.636,168.998,164.998,152.231,163.017,134.618,134.541,114.419,137.866,139.182,131.694,145.974,323.138,126.299,170.578,112.286,133.984,151.803,435.806,166.610,150.541,367.333,117.668,169.949,381.077,225.263,146.010,422.824,209.899,131.317,323.250,181.811,156.140,179.935,134.007,125.164,150.048,135.435,137.517,142.865,168.302,125.307,169.773,126.490,138.708,59.125,155.550,120.692,198.136,145.581,139.366,72.455,109.758,181.762,323.137,103.470,165.107,347.353,103.357,170.651,182.516,158.812,139.065,377.273,149.917,120.735,105.650,152.638,160.599,280.727,174.210,165.353,298.703,206.651,143.422,208.529,132.633,165.542,320.516,124.174,182.491,99.941,230.280,134.101,21.529,153.088,81.766,32.812,193.113,127.045,743.176,214.785,141.811,231.250,128.091,149.977,105.000,152.725,137.493,351.524,172.714,135.040,91.676,128.587,144.374,185.000,133.653,183.318,672.298,115.345,178.604,118.692,169.088,117.757,134.875,121.777,135.502,308.600,217.866,143.954,363.613,150.831,125.126
