 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43
1,149.351,244.969,61.561,439.000,227.590,74.120,112.765,244.521,22.125,141.462,242.781,29.739,36.600,250.810,31.612,37.043,252.060,19.607,49.619,214.652,22.015,116.700,212.320,29.299,106.839,237.210,34.918,112.312,235.739,26.858,1083.900,245.199,80.865,235.529,235.495,59.913,70.625,224.300,66.848,88.300,231.388,61.056,292.000,211.569,78.589,124.077,244.064,75.429,46.286,239.957,71.559,30.500,222.793,57.563,37.647,172.898,70.734,290.800,171.104,76.010,43.429,239.381,65.192,11.538,238.245,51.834,45.750,233.611,55.453,217.375,219.497,31.562,115.385,254.076,79.864,4.500,237.830,56.739,28.000,227.806,56.012,25.389,228.500,19.895,152.000,205.760,75.256,334.000,183.148,75.551,177.000,250.248,77.206,35.333,227.811,14.310,102.625,223.575,20.149,97.333,249.110,20.946,88.385,244.956,67.461,54.095,247.755,72.651,104.581,210.710,34.622,39.176,243.450,32.822,486.438,232.554,70.271,4.529,255.015,19.214,35.300,174.742,75.335,130.903,231.050,82.529,68.118,240.772,84.122
2,133.405,244.850,61.773,528.354,227.611,74.052,164.588,244.131,22.275,198.538,242.856,29.823,62.100,250.767,31.789,37.870,252.037,19.956,38.476,214.696,22.066,155.600,212.501,29.480,93.032,237.172,34.728,105.062,235.755,27.140,1127.200,245.226,80.919,273.412,235.524,59.736,68.750,224.672,66.573,118.200,231.374,60.971,267.941,211.574,78.518,95.923,244.130,75.302,69.000,239.921,71.472,19.944,223.023,58.100,52.941,172.938,70.982,200.900,170.960,76.060,108.667,239.400,65.353,14.077,238.850,51.562,110.375,233.651,55.296,173.375,219.346,31.511,95.462,254.047,79.684,17.375,237.702,56.720,42.083,228.084,56.443,17.778,228.559,20.164,163.417,205.927,75.128,288.919,182.933,75.337,116.500,250.216,77.241,24.583,227.898,14.336,130.688,223.550,20.235,125.524,249.132,20.757,89.308,244.754,67.352,40.381,247.380,72.356,98.903,210.766,34.555,47.529,243.148,32.678,517.500,232.555,70.426,5.235,254.878,18.720,11.600,174.557,75.314,135.871,231.102,82.669,111.588,240.657,84.073
3,145.784,244.962,61.653,480.312,227.528,74.011,165.941,244.277,22.175,130.308,242.947,29.794,150.500,250.243,32.050,36.978,251.860,19.930,88.000,214.607,22.031,166.000,212.238,29.349,109.742,237.121,34.890,96.500,235.682,27.061,1050.900,245.233,80.862,230.294,235.473,59.946,84.250,224.542,66.869,111.133,231.265,61.270,273.706,211.592,78.603,131.154,244.084,75.377,83.429,239.919,71.279,52.611,222.614,57.956,89.882,173.111,70.974,149.400,171.217,75.800,34.190,238.924,65.068,24.615,238.307,51.354,63.125,233.829,55.531,180.250,219.411,31.612,86.308,254.097,79.641,31.625,237.447,56.348,22.500,228.209,55.421,25.222,228.853,19.860,135.250,205.883,75.247,335.892,183.058,75.535,165.900,250.057,76.886,40.000,227.953,14.752,62.438,223.646,20.005,155.714,249.061,20.754,106.000,244.911,67.389,59.333,247.689,72.322,100.194,210.885,34.521,33.588,243.552,32.997,470.250,232.579,70.373,4.235,254.433,19.336,31.200,174.801,75.213,87.226,231.139,82.446,87.824,240.830,84.156
4,138.703,244.841,61.500,463.354,227.548,74.111,144.412,244.210,22.072,227.154,242.945,29.862,81.100,250.420,31.991,40.022,252.188,19.803,46.381,214.735,21.874,71.400,212.288,29.444,73.548,236.991,34.731,124.812,235.715,26.847,899.700,245.223,80.799,286.824,235.472,59.890,61.312,224.697,67.054,111.900,231.236,60.928,319.412,211.542,78.583,171.231,244.150,75.374,54.429,239.945,70.913,28.611,222.772,57.977,75.588,172.945,70.861,190.700,171.208,76.118,63.524,238.915,65.088,20.385,238.429,51.702,59.812,233.747,55.423,236.062,219.457,31.549,87.231,254.129,79.531,38.750,237.646,56.589,8.833,227.841,55.768,30.611,228.665,19.880,134.083,205.827,75.014,249.946,183.154,75.572,117.000,250.221,77.034,31.250,227.745,14.429,91.875,223.575,20.079,135.905,249.083,20.863,82.769,244.687,67.241,50.286,247.695,72.699,118.194,210.885,34.613,47.059,243.320,32.572,480.562,232.491,70.374,6.000,255.084,18.989,31.900,174.642,75.460,92.387,231.104,82.717,69.824,240.866,84.251
5,152.595,244.719,61.617,454.833,227.585,74.073,190.235,244.283,22.039,240.077,242.920,29.758,68.500,250.401,31.951,30.087,252.030,19.411,42.571,214.565,21.872,79.100,212.418,29.288,102.194,237.158,34.880,146.188,235.886,26.982,893.900,245.227,80.845,234.059,235.474,59.842,72.625,224.545,66.923,111.033,231.259,61.210,268.588,211.612,78.579,121.615,244.029,75.470,49.929,239.893,71.499,27.500,222.862,57.791,74.294,172.811,70.616,263.100,171.140,75.831,76.381,239.197,65.436,21.769,238.691,51.704,87.062,233.817,55.497,204.125,219.420,31.661,163.000,254.039,79.776,42.125,237.462,56.948,6.500,227.898,55.732,5.500,228.494,20.145,106.500,206.025,75.153,269.135,183.182,75.417,179.800,250.146,77.030,58.500,227.773,14.327,66.188,223.791,19.871,102.286,248.970,20.721,107.308,244.899,67.380,48.952,247.633,72.127,81.290,210.836,34.502,64.529,243.135,32.950,427.438,232.601,70.290,9.235,255.084,18.931,42.600,174.724,75.229,79.355,231.229,82.750,41.588,240.944,84.477
6,159.514,244.794,61.447,534.792,227.507,74.066,132.353,244.126,22.140,210.615,242.829,29.692,68.000,250.508,31.790,45.913,251.969,19.779,98.667,214.762,22.093,101.100,212.407,29.567,133.097,237.242,35.017,102.062,235.754,26.903,919.600,245.193,80.879,255.588,235.526,59.860,79.125,224.692,66.638,114.800,231.457,61.276,243.235,211.617,78.544,176.923,244.211,75.391,72.071,240.002,71.554,21.444,222.696,58.117,80.765,173.077,70.850,197.500,171.161,75.955,54.000,239.202,65.182,16.231,238.630,51.718,71.000,233.667,55.716,246.500,219.419,31.501,74.385,254.152,79.743,20.875,237.951,56.707,9.250,227.826,56.237,8.056,228.903,20.044,158.750,205.834,75.254,263.297,183.115,75.551,118.400,250.108,77.211,37.333,227.679,14.210,72.938,223.632,20.063,135.619,249.022,20.942,53.000,244.969,67.135,47.429,247.584,72.894,100.194,210.774,34.641,45.353,243.499,33.095,431.688,232.501,70.415,6.882,255.004,18.707,40.000,174.462,75.387,85.226,231.105,82.708,58.647,240.687,84.088
7,148.865,244.630,61.533,462.292,227.523,74.126,176.412,244.242,22.147,200.000,242.939,29.824,48.500,250.444,31.883,47.413,252.128,19.493,96.000,214.545,22.076,39.800,212.440,29.536,74.258,237.393,35.154,149.375,235.688,26.952,941.200,245.202,80.882,212.000,235.633,59.808,77.312,224.596,66.730,99.200,231.405,61.053,211.176,211.587,78.472,179.692,244.115,75.300,85.071,239.995,71.687,30.556,222.936,57.687,87.529,173.261,70.680,222.200,171.170,75.927,81.048,239.160,65.195,12.154,238.988,51.383,81.688,233.675,55.395,200.500,219.301,31.581,131.308,254.123,79.729,18.000,237.781,56.536,13.583,227.636,55.755,34.889,228.525,20.141,108.417,205.909,75.058,329.135,183.028,75.477,174.300,250.253,77.105,42.917,227.855,14.456,64.500,223.567,19.989,107.333,248.999,20.861,96.000,244.845,67.329,81.619,247.604,72.364,124.516,210.918,34.565,55.765,243.455,33.050,399.250,232.464,70.483,4.882,254.400,18.710,64.300,174.751,75.486,27.871,231.084,82.614,74.118,240.835,84.231
8,166.486,244.721,61.722,440.688,227.489,74.099,120.824,244.122,22.285,149.769,242.796,29.657,44.700,250.362,31.981,56.848,252.086,20.256,102.762,214.573,21.969,75.800,212.431,29.350,80.258,237.128,34.783,126.062,235.726,26.995,830.900,245.214,80.860,323.529,235.533,59.873,56.562,224.485,66.945,93.567,231.234,61.101,302.824,211.650,78.711,155.846,244.174,75.173,87.214,239.968,71.277,4.722,222.753,58.428,109.235,172.895,70.929,125.200,171.133,76.026,91.429,239.266,65.105,21.308,238.609,52.075,79.812,233.717,55.472,207.000,219.356,31.533,144.462,254.033,79.625,24.250,237.653,56.452,13.583,228.005,56.585,23.056,228.589,19.856,240.750,205.889,75.093,358.054,183.065,75.449,140.300,250.158,77.260,42.417,227.650,15.305,84.250,223.496,20.138,112.190,248.942,20.844,74.615,245.017,67.467,43.905,247.677,72.604,128.839,210.618,34.357,79.059,243.248,32.985,458.438,232.485,70.399,8.176,254.504,18.766,57.700,174.688,75.251,54.645,231.109,82.548,59.588,240.986,84.428
9,142.649,244.748,61.348,430.125,227.439,74.004,177.353,244.317,22.104,192.615,242.924,29.729,19.700,250.514,31.857,61.065,252.039,20.090,77.619,214.754,22.132,96.400,212.342,29.622,111.484,237.004,34.811,88.562,235.763,26.829,870.000,245.198,80.852,347.059,235.453,59.871,79.500,224.725,66.463,138.867,231.495,61.002,285.588,211.538,78.586,143.923,243.950,75.417,54.214,240.033,71.518,3.833,222.425,58.125,52.353,172.986,70.523,185.000,171.208,76.125,66.000,239.093,65.374,21.000,238.636,51.603,59.250,233.912,55.468,233.000,219.331,31.605,135.077,254.120,79.576,26.000,237.621,56.958,18.750,228.024,56.034,27.722,228.670,19.517,169.667,205.832,74.867,255.189,183.020,75.490,138.200,250.058,77.088,42.667,227.760,14.309,87.000,223.700,20.163,124.000,249.091,20.960,89.538,245.000,67.360,70.286,247.400,72.516,126.258,210.728,34.497,56.412,243.001,32.764,560.812,232.488,70.428,12.294,255.335,19.237,148.500,174.819,75.594,114.581,230.990,82.444,130.588,240.835,84.227
10,163.405,244.810,61.743,503.250,227.495,74.062,133.353,244.410,22.167,204.308,243.068,29.664,90.900,250.481,31.729,62.304,252.177,20.224,132.571,214.730,22.078,118.600,212.443,29.456,81.097,237.139,35.033,93.938,235.753,26.890,854.900,245.218,80.844,286.882,235.454,59.834,118.125,224.731,66.600,148.733,231.431,61.107,237.941,211.555,78.630,163.308,244.090,75.352,102.857,239.880,71.618,8.333,223.016,57.937,77.588,172.882,70.745,180.500,171.276,75.921,110.857,239.261,65.306,45.923,238.559,52.269,97.062,233.724,55.517,239.250,219.348,31.583,104.462,254.125,79.572,9.875,237.615,56.916,17.417,227.999,55.439,22.667,228.464,19.823,139.667,205.836,75.177,294.216,183.090,75.449,93.900,250.252,77.146,37.917,227.683,14.388,59.562,223.596,20.140,176.190,248.985,20.853,58.769,245.044,67.358,46.667,247.806,72.236,135.226,210.798,34.694,44.294,243.313,33.066,589.875,232.505,70.355,15.471,255.391,18.819,120.000,174.750,75.456,124.065,231.219,82.586,87.471,240.937,84.400
