 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39
1,68.412,98.060,111.121,74.429,93.320,110.536,26.462,95.301,103.936,93.613,99.416,102.874,91.095,115.060,45.115,44.233,86.050,97.972,132.125,125.462,108.980,107.667,128.908,112.147,111.412,81.739,77.138,52.865,135.505,40.703,146.227,155.636,86.022,113.333,98.233,69.151,78.957,101.510,49.661,172.863,142.720,78.096,137.688,135.787,78.581,161.161,138.955,74.833,46.952,90.300,53.139,51.646,100.779,55.296,201.862,97.111,90.536,62.538,139.872,60.895,97.556,138.258,88.251,268.047,88.530,80.917,419.405,97.413,83.723,62.167,138.028,67.056,70.323,142.064,64.511,84.754,151.153,46.991,67.843,105.990,64.943,46.952,82.581,66.127,55.098,128.575,64.426,91.730,88.273,77.781,68.091,135.150,92.318,86.222,130.065,91.915,78.919,110.559,49.677,77.259,140.403,50.860,9.935,107.963,45.564,65.833,107.197,98.648,85.613,136.756,62.125,34.577,140.398,40.628,46.865,93.468,69.479
2,35.235,98.175,111.168,94.095,93.622,110.782,45.077,95.554,104.005,96.129,99.430,102.902,72.429,114.841,44.973,39.933,86.120,98.340,99.000,125.582,108.827,133.667,128.333,112.198,72.000,82.053,77.029,71.135,135.494,41.105,166.455,155.716,85.906,107.778,98.292,68.941,49.971,101.527,49.299,212.549,142.657,78.276,196.188,135.770,78.572,198.839,139.041,74.509,70.143,90.253,53.449,86.152,100.727,55.457,189.793,97.189,90.535,48.308,140.153,60.729,87.556,138.294,88.385,207.233,88.600,80.858,412.486,97.521,84.009,60.333,138.213,67.259,101.226,141.745,64.745,49.188,151.301,46.852,62.353,105.770,64.493,60.381,82.430,66.000,42.549,128.488,64.443,115.892,88.372,77.737,84.500,135.224,92.488,79.611,129.967,91.816,87.135,110.366,49.965,32.074,140.419,51.228,77.677,108.049,45.484,53.000,107.162,98.680,129.484,136.997,62.340,20.462,140.606,40.991,21.892,93.408,69.425
3,61.235,97.630,111.048,96.857,93.618,110.672,93.692,95.496,104.081,76.774,99.542,102.741,52.286,114.876,44.879,40.267,85.864,97.856,76.625,125.587,109.250,164.762,128.313,112.172,168.588,81.914,77.223,99.135,135.724,41.287,146.318,155.758,85.974,84.833,98.120,68.991,32.986,102.014,49.136,206.353,142.730,78.246,185.750,135.850,78.696,274.903,138.918,74.753,59.000,90.248,52.981,68.962,100.831,55.133,261.862,97.273,90.475,69.154,139.927,60.607,68.056,138.303,88.136,265.279,88.668,80.825,346.486,97.595,83.870,149.944,138.116,67.062,87.290,141.901,64.446,42.725,150.732,46.941,38.118,105.817,65.176,68.714,82.428,65.990,63.216,128.389,64.180,76.216,88.295,77.556,63.909,135.205,92.258,180.444,129.972,91.718,60.703,110.640,49.756,45.667,140.023,51.541,39.677,107.887,45.840,53.167,107.319,98.354,128.774,136.919,62.292,21.692,140.119,41.127,76.486,93.352,69.382
4,29.941,97.614,111.236,81.048,93.549,110.501,37.462,95.491,103.805,147.419,99.585,102.961,49.714,115.268,44.873,44.167,85.996,97.907,131.062,125.391,109.107,145.000,128.390,112.244,126.000,81.955,77.270,77.784,135.676,41.456,163.682,155.620,86.047,136.833,98.065,69.164,72.986,101.599,49.366,164.078,142.727,77.977,152.750,135.919,78.356,206.774,139.092,74.755,46.286,90.276,53.071,54.886,101.014,55.215,316.586,97.277,90.526,90.731,139.774,60.500,106.333,138.396,88.445,188.047,88.649,80.831,407.405,97.460,83.820,97.722,138.251,67.253,103.097,141.784,64.638,49.014,151.325,46.733,42.902,105.747,65.377,35.143,82.263,65.799,54.745,128.740,64.618,81.622,88.246,77.766,51.727,135.278,92.118,67.722,129.976,91.849,109.135,110.182,50.001,69.704,140.324,50.931,20.452,107.991,45.224,42.833,107.347,98.501,158.645,136.750,62.097,28.692,140.002,41.028,32.378,93.440,68.821
5,75.118,98.050,111.602,110.429,93.525,110.670,42.231,96.178,104.219,86.774,99.274,102.664,46.476,115.254,44.913,40.833,86.094,98.100,84.250,125.785,109.142,124.952,128.240,112.273,131.529,81.733,77.025,27.514,135.421,41.137,147.045,155.507,85.915,118.389,98.144,69.406,40.116,101.843,49.159,145.098,142.620,78.169,178.562,135.801,78.560,254.129,139.110,74.451,79.571,90.116,53.088,68.253,101.089,55.265,220.138,97.108,90.632,70.808,139.835,60.538,83.222,138.420,88.255,255.698,88.740,81.001,377.892,97.446,83.849,117.500,138.292,66.879,102.839,141.776,64.700,71.884,151.018,46.721,45.294,106.164,64.953,52.476,82.567,66.051,58.745,128.382,63.916,75.351,88.135,77.587,61.136,135.262,92.253,52.222,129.787,91.630,47.189,110.388,49.683,68.519,140.469,51.355,61.355,107.767,45.527,70.167,107.199,98.500,110.323,136.840,61.953,14.808,140.384,41.156,47.243,93.318,69.450
6,36.824,97.861,111.620,85.714,93.488,110.527,47.308,95.526,104.040,126.774,99.335,102.824,69.476,115.257,44.740,42.400,85.990,98.246,82.125,125.783,109.127,141.571,128.391,112.183,101.059,81.923,77.263,73.081,135.623,41.013,149.636,155.637,85.957,105.000,98.223,69.009,37.942,101.985,49.358,192.980,142.734,78.225,159.250,135.824,78.469,194.452,139.051,74.710,48.333,90.055,52.824,57.316,100.601,55.503,181.034,97.264,90.608,81.962,140.090,60.577,37.444,138.094,88.235,221.209,88.805,81.001,387.405,97.491,83.825,147.222,138.321,66.910,110.581,141.814,64.546,75.275,150.964,46.725,72.745,106.058,65.064,48.095,82.186,65.836,50.824,128.526,64.212,107.405,88.265,77.521,35.409,134.922,92.215,55.944,129.981,91.948,78.486,110.289,49.851,55.037,140.407,51.003,38.645,107.870,45.025,75.278,107.163,99.001,95.742,136.685,62.145,22.000,140.610,40.965,64.811,93.560,69.570
7,35.471,97.866,111.505,58.619,93.547,110.325,59.462,95.500,104.436,109.290,99.195,102.713,59.381,115.404,45.077,42.333,86.336,98.030,101.500,125.690,109.269,140.476,128.527,112.102,166.588,81.956,76.935,60.811,135.694,41.300,144.455,155.935,85.954,77.389,98.394,69.243,43.304,102.034,49.551,171.647,142.793,78.263,121.250,135.932,78.710,254.387,139.002,74.802,37.905,89.818,52.971,76.127,100.818,55.073,195.931,97.143,90.375,68.692,140.097,60.765,48.889,138.232,88.087,239.581,88.869,80.815,293.027,97.433,83.880,71.778,138.252,66.966,149.935,141.854,64.724,63.536,150.955,46.759,73.843,105.796,65.156,58.857,82.277,65.824,53.529,128.595,64.269,121.892,88.284,77.701,73.136,135.217,92.466,102.389,129.885,91.952,86.000,110.377,49.799,38.630,140.280,50.855,13.548,108.056,44.963,87.611,107.341,98.313,124.968,136.886,62.440,17.346,140.837,40.991,46.054,93.389,69.222
8,27.941,98.156,111.299,61.524,93.630,110.564,69.385,95.219,104.027,58.000,99.428,102.744,77.667,115.185,45.125,28.700,86.094,97.989,72.375,125.654,109.065,139.667,128.449,112.555,89.706,81.904,77.139,74.919,135.617,40.930,212.636,155.643,85.947,150.778,98.286,69.146,76.928,101.614,49.322,140.000,142.490,78.036,160.500,135.840,78.540,187.871,139.005,74.533,110.667,90.087,53.310,67.949,100.838,55.209,238.793,97.168,90.249,73.692,139.981,60.657,78.111,138.175,88.495,232.721,88.726,80.802,354.000,97.426,83.860,118.444,138.232,67.036,108.129,141.938,64.420,49.449,150.932,47.186,29.294,105.707,65.075,53.905,82.422,65.887,42.510,128.624,64.329,97.189,88.259,77.883,51.227,135.157,92.234,37.944,130.009,91.099,111.946,110.565,49.765,71.963,140.550,51.096,25.419,107.845,45.528,43.278,107.063,98.589,134.839,136.907,62.030,18.731,140.561,40.702,37.730,93.517,69.000
9,60.118,98.044,111.605,72.048,93.575,111.145,19.769,95.463,103.977,41.742,99.356,102.658,52.714,115.377,44.852,46.800,86.159,98.017,86.688,125.391,108.974,118.190,128.245,112.264,122.353,81.610,76.963,90.324,135.773,41.396,195.682,155.807,85.870,83.333,97.986,69.146,74.261,102.006,49.606,75.804,142.759,78.175,133.500,135.849,78.644,207.419,138.969,74.507,75.905,90.081,53.347,72.228,100.723,55.105,208.966,97.324,90.505,74.154,140.030,60.800,42.333,138.301,88.399,256.209,88.651,81.013,439.730,97.433,83.900,140.222,138.381,67.191,116.323,141.810,64.576,44.870,150.908,46.602,63.569,105.655,64.999,69.190,82.555,65.796,65.647,128.421,64.010,175.676,88.067,77.726,21.545,135.274,92.741,44.111,129.746,92.485,152.216,110.346,49.803,43.852,140.155,50.910,34.710,107.858,45.248,81.944,107.108,98.875,119.548,136.877,62.046,35.462,140.302,41.178,26.054,93.497,68.963
10,50.000,97.899,111.418,68.095,93.690,110.975,61.231,95.399,103.828,63.032,99.535,102.824,66.333,115.056,45.066,29.433,86.407,97.880,66.812,125.539,109.219,106.000,128.072,112.252,116.059,81.643,77.230,85.568,135.742,40.955,159.955,155.831,85.725,84.333,98.174,69.101,62.464,101.796,49.203,146.353,142.572,78.041,153.062,135.980,78.398,114.774,139.021,74.330,57.190,90.141,53.149,64.506,100.585,55.219,241.897,97.162,90.554,76.308,139.724,60.644,65.389,138.296,88.241,195.047,88.779,80.824,321.946,97.480,83.839,105.889,138.167,67.389,72.516,141.915,64.623,49.594,151.315,46.950,47.961,105.788,65.122,42.619,82.498,66.106,55.137,128.564,64.309,93.135,88.130,77.522,48.091,134.855,92.340,100.722,129.941,91.974,71.784,110.437,49.874,28.593,140.446,50.889,25.032,107.752,45.858,60.056,107.437,98.498,141.419,136.806,62.176,42.885,140.460,40.661,44.919,93.562,69.047
