 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44
1,111.714,126.375,162.225,58.367,127.797,144.450,10.863,156.917,147.068,10.429,156.244,109.881,74.467,63.525,170.009,81.318,83.494,174.539,48.906,57.876,169.041,45.000,154.163,158.766,151.438,137.020,185.861,15.875,132.862,189.954,63.409,121.596,172.677,67.405,153.155,176.260,75.562,88.032,171.196,5.438,157.337,103.855,58.364,91.892,176.540,61.882,85.366,166.724,19.619,161.353,148.575,96.833,60.593,163.042,15.871,164.566,154.737,55.857,141.469,186.400,77.125,126.493,171.239,78.471,127.910,166.462,32.591,125.542,177.202,46.923,146.205,175.530,20.431,122.561,184.941,21.769,137.342,179.557,19.111,142.555,179.031,44.710,147.924,184.708,6.188,157.212,172.994,33.312,136.917,169.826,70.176,149.642,180.065,27.622,94.717,170.924,42.065,96.593,165.753,16.750,144.330,182.811,80.765,117.267,162.328,35.318,132.339,184.526,29.419,128.057,138.395,53.438,98.284,175.893,38.324,130.464,150.374,16.882,150.344,171.836,31.600,126.647,134.529,29.294,131.893,179.197,31.722,140.247,160.171,12.865,161.257,182.630
2,124.095,126.509,162.249,27.333,127.777,144.035,18.863,156.507,146.545,12.952,156.196,110.694,93.800,63.370,170.044,69.091,83.627,174.486,71.312,58.158,168.599,45.625,154.626,158.540,54.562,137.162,186.021,46.938,132.790,189.568,54.955,121.459,172.727,38.703,153.485,176.216,68.812,87.823,171.456,20.312,157.516,103.312,93.455,92.157,176.954,114.882,85.680,166.706,21.190,161.456,148.580,111.889,60.672,163.041,10.258,164.814,154.508,23.952,141.566,186.171,124.875,126.806,171.091,45.255,128.093,166.745,82.273,125.332,177.626,28.846,146.248,174.827,29.843,122.624,185.006,20.077,137.631,179.183,40.722,142.901,178.426,48.581,148.198,184.068,7.812,156.395,173.564,67.000,136.901,169.828,62.588,149.630,179.956,49.784,94.466,170.557,51.484,96.532,166.204,23.500,144.181,182.540,55.647,117.392,161.757,22.273,132.570,184.798,24.968,128.080,137.946,78.812,98.342,176.140,57.405,130.343,150.785,22.471,150.503,171.541,47.700,126.944,134.786,15.176,133.015,179.092,34.333,140.141,159.856,1.297,161.665,183.055
3,129.619,126.622,162.456,21.833,127.654,144.954,18.039,156.752,147.022,18.429,156.378,110.206,124.967,63.681,169.945,58.136,83.524,174.301,78.625,58.038,169.273,42.031,154.406,158.314,66.375,137.122,185.522,53.688,132.771,190.078,40.364,121.165,172.457,11.405,153.840,176.470,71.438,87.834,171.176,49.375,157.046,103.371,64.500,92.020,176.667,107.118,85.468,166.618,34.905,161.554,148.858,42.222,60.733,162.843,21.677,164.459,154.996,24.429,141.652,187.031,84.500,126.353,171.246,62.902,127.891,166.820,33.364,125.327,177.769,18.000,146.260,175.327,42.667,122.927,185.157,37.308,137.760,179.539,37.222,142.388,178.559,31.548,147.934,184.202,20.062,157.896,173.834,65.062,136.590,169.978,69.000,149.560,180.097,47.405,94.384,170.578,91.935,96.941,165.982,29.688,144.086,183.179,24.588,117.058,161.768,34.455,132.701,184.675,37.613,127.782,137.838,45.188,98.342,175.948,46.162,130.758,150.731,23.471,150.850,172.436,29.300,127.013,134.677,6.118,132.030,179.335,22.667,140.184,160.196,0.541,160.983,182.187
4,117.905,126.494,162.134,37.533,127.988,144.385,27.961,156.612,146.776,26.952,156.593,109.962,113.700,63.767,169.968,91.773,83.671,174.800,67.812,57.804,169.323,52.562,154.071,158.848,34.938,137.570,185.880,35.500,132.807,190.244,22.909,121.685,172.705,16.000,153.742,176.009,28.750,88.246,171.396,25.562,157.138,103.327,89.364,92.150,176.741,154.118,85.494,166.173,27.905,161.531,148.708,47.167,60.714,162.889,2.516,164.876,154.376,24.952,141.393,186.653,97.000,126.750,171.169,104.588,127.932,166.395,35.182,125.332,177.503,30.808,146.272,175.263,32.078,122.669,185.005,18.923,137.829,179.612,48.056,142.594,178.552,13.355,148.290,184.771,30.062,156.955,173.567,34.312,137.004,170.218,72.882,149.843,180.114,53.189,93.960,170.704,62.387,97.399,166.093,35.875,143.760,183.114,145.882,117.777,161.815,21.591,132.367,184.997,45.161,128.206,138.180,69.562,98.417,176.418,71.730,130.808,150.526,9.000,150.647,171.411,35.100,126.874,134.601,23.471,132.774,179.159,51.889,140.384,159.771,6.108,160.938,182.698
5,2372.667,126.497,162.278,24.233,127.901,144.563,14.510,156.796,146.757,24.810,156.571,110.072,71.500,63.628,169.815,72.727,83.659,174.615,66.719,57.821,169.593,70.031,154.264,158.740,96.250,137.350,185.687,24.500,132.921,189.747,34.727,121.315,172.513,50.108,153.803,176.575,61.000,88.196,171.493,40.219,157.508,103.220,95.727,92.231,176.616,114.882,85.406,166.564,21.429,161.325,148.343,46.556,60.555,163.192,26.000,164.920,155.056,42.000,141.327,186.665,83.625,126.639,171.081,448.863,127.970,165.938,54.636,125.318,177.638,41.846,146.227,175.345,25.020,122.284,184.619,7.077,137.455,179.554,51.000,142.548,178.661,38.903,148.048,183.805,17.688,157.053,173.643,73.750,136.881,170.118,72.294,150.046,180.114,67.946,94.431,170.515,40.065,96.870,166.430,38.438,143.863,182.445,50.059,117.482,161.865,24.000,132.319,184.997,29.484,128.076,137.757,85.750,98.475,175.806,44.649,130.820,150.868,19.235,150.693,172.049,28.700,127.145,134.705,17.941,132.312,178.719,18.944,140.266,159.613,1.405,160.735,183.675
6,1803.762,126.471,162.258,17.933,128.040,144.664,12.078,156.996,146.754,11.619,156.404,110.324,78.800,63.852,169.726,131.318,83.401,174.379,64.062,58.007,169.151,54.094,154.369,158.922,75.000,137.259,185.596,40.438,132.968,189.789,54.591,121.413,172.575,13.730,153.423,176.552,63.188,87.843,171.373,26.312,157.373,103.422,104.409,92.274,176.823,151.059,85.561,166.510,30.476,161.761,148.429,71.222,60.542,163.149,16.903,164.735,154.633,40.095,141.476,186.447,74.000,126.657,171.152,414.392,127.934,165.915,35.455,125.481,177.847,35.654,145.921,175.114,19.882,122.416,184.541,71.077,137.755,179.334,25.778,142.584,178.783,31.548,148.066,184.536,37.000,157.045,173.592,75.875,137.067,170.077,67.000,149.819,179.858,39.784,94.864,170.799,50.581,96.742,165.843,18.875,144.156,182.585,34.706,117.594,161.881,30.364,132.875,184.729,84.258,127.671,138.198,81.625,98.464,176.104,52.486,130.644,150.590,19.353,150.800,172.206,45.800,126.818,134.945,16.529,132.334,178.732,22.167,140.435,159.737,1.459,160.999,183.055
7,1530.619,126.475,162.217,76.433,127.908,144.611,69.333,156.628,146.792,35.000,156.877,110.089,113.800,63.334,169.989,67.318,83.435,174.763,86.094,57.939,169.293,92.031,154.387,158.679,21.500,137.043,186.121,47.875,132.784,189.994,61.773,121.498,172.619,35.405,153.293,176.402,68.875,88.157,171.469,49.156,157.373,103.803,92.091,92.335,176.433,145.588,85.583,166.603,31.762,161.545,148.133,91.500,60.695,163.137,24.839,164.452,155.000,13.048,141.247,186.602,81.000,126.799,171.197,357.843,127.853,166.108,28.818,125.141,177.564,19.308,146.454,175.061,27.176,122.552,185.240,24.231,137.819,179.517,29.667,142.870,178.486,24.065,147.957,183.857,9.250,157.356,173.600,71.062,136.709,170.250,46.529,149.697,180.243,35.405,94.529,170.543,55.677,96.636,165.959,18.312,143.824,182.385,38.176,117.601,162.113,31.455,131.943,184.466,33.484,127.515,137.815,71.938,98.209,176.104,39.135,130.631,150.651,19.000,150.504,172.343,4.000,126.914,134.633,18.118,132.714,178.653,13.000,140.117,159.777,3.784,160.735,183.055
8,1003.048,126.471,162.236,651.433,127.930,144.575,457.137,156.784,146.788,771.381,156.572,110.198,80.533,63.665,170.096,119.864,83.529,174.639,53.406,58.123,169.303,76.031,154.309,158.615,62.500,137.321,185.360,26.375,132.991,190.834,53.636,121.393,172.326,42.054,153.422,176.323,290.438,87.977,171.353,27.188,157.003,103.395,146.682,92.175,176.782,91.412,85.641,166.405,61.857,161.679,148.536,58.722,60.684,162.786,19.742,164.661,155.382,51.000,141.518,186.469,163.750,126.779,171.243,183.137,127.840,166.124,19.818,125.487,177.474,23.500,146.628,175.254,46.824,122.607,185.003,26.538,137.430,179.187,44.611,142.621,178.824,33.935,148.001,184.337,11.938,157.035,173.455,56.938,136.861,170.001,70.294,150.004,180.209,59.459,94.077,170.726,54.387,96.801,166.047,34.750,143.932,182.823,25.235,117.361,162.119,26.682,132.086,184.923,16.452,127.787,138.228,18.938,98.091,175.906,57.730,130.872,150.485,23.000,150.936,171.511,93.800,126.993,134.610,18.824,132.300,179.190,36.778,140.478,159.659,9.459,160.866,183.517
9,865.952,126.502,162.227,253.233,128.033,144.658,728.863,156.720,146.733,500.476,156.576,110.222,88.833,63.762,170.020,118.500,83.546,174.432,77.406,58.075,169.227,54.688,154.590,158.578,59.250,137.189,185.575,37.125,132.828,189.979,54.045,121.348,172.395,44.865,153.356,176.042,136.500,88.000,171.469,51.250,157.344,103.778,116.318,92.183,176.636,119.235,85.704,166.729,804.381,161.464,148.592,70.389,60.734,163.127,22.516,164.911,154.382,31.714,141.719,186.553,103.375,126.877,171.134,206.157,127.951,166.250,28.273,125.116,177.162,35.538,146.725,175.410,38.078,122.231,185.078,5.231,137.066,179.526,41.278,142.615,178.754,43.290,147.798,184.115,27.875,157.143,173.278,47.625,136.918,170.271,69.353,149.924,180.001,8.595,94.073,170.583,47.935,97.074,165.892,61.438,144.278,183.228,33.176,117.531,162.587,15.091,131.886,185.011,22.645,127.740,138.434,79.812,98.484,176.081,47.243,130.695,150.483,20.588,150.238,171.952,28.500,127.118,134.286,15.412,132.387,178.965,3.222,140.622,159.554,6.378,161.665,182.467
10,115.619,126.645,162.322,192.833,127.996,144.674,223.020,156.845,146.866,444.810,156.550,110.093,870.300,63.606,170.022,381.318,83.422,174.497,98.781,57.912,169.214,91.406,154.065,158.668,78.125,137.341,185.838,56.188,132.875,189.950,23.364,121.506,172.658,39.568,153.603,176.052,205.750,88.037,171.568,31.656,157.382,103.828,77.682,91.999,176.670,121.471,85.517,166.685,527.857,161.508,148.754,79.778,60.727,163.035,36.710,165.023,155.119,33.857,141.561,187.209,154.125,126.449,171.102,83.176,127.843,166.755,35.864,125.565,177.758,14.923,146.183,175.539,61.529,121.878,185.565,38.385,137.317,179.393,65.722,142.595,178.393,37.484,147.981,184.412,0.625,156.395,174.065,60.500,137.129,169.983,35.059,150.063,179.702,26.703,93.934,170.697,34.065,97.103,165.878,14.938,144.260,182.964,39.529,117.362,162.017,23.682,132.337,184.263,51.613,128.096,138.071,64.812,98.454,175.986,59.459,130.540,150.398,29.294,150.198,171.574,37.000,127.033,134.631,16.471,132.277,178.677,44.278,140.560,159.281,7.514,161.348,182.917
