 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30
1,2840.016,131.718,184.755,625.750,209.928,151.302,178.190,209.685,131.928,313.577,150.073,132.761,73.000,139.716,136.452,359.333,161.495,129.790,66.250,124.392,102.848,128.125,141.343,115.621,807.000,174.232,192.571,94.529,210.960,144.091,145.892,129.250,118.405,239.833,156.629,201.288,456.000,161.114,198.347,199.471,146.529,138.215,414.824,129.164,102.011,131.056,128.563,125.038,120.118,155.455,128.361,242.791,136.222,121.616,26.852,205.224,160.026,59.100,115.290,132.706,26.979,155.177,137.390,27.476,122.644,128.276,101.136,179.546,175.061,267.941,145.698,189.650,30.067,147.672,208.470,216.045,173.959,177.943,190.706,178.706,189.374,51.535,131.625,127.048,44.333,141.700,203.083,6.370,146.250,103.832
2,1852.250,131.718,184.736,964.625,209.962,151.357,203.857,209.505,131.938,350.346,150.277,132.557,136.278,139.326,136.383,404.667,161.425,129.828,80.231,124.287,103.022,141.719,141.329,115.582,805.292,174.193,192.502,137.588,210.675,144.219,162.108,128.838,118.566,98.000,156.468,201.357,130.647,161.069,198.544,170.353,146.704,138.375,304.235,129.249,102.041,101.611,128.615,124.820,127.922,155.374,128.587,255.047,136.087,121.674,14.459,206.131,160.371,33.667,115.552,132.749,27.292,155.435,137.909,22.095,122.696,128.255,135.455,179.603,175.273,217.647,145.656,189.485,46.900,147.618,208.606,197.682,173.820,178.171,241.000,178.802,189.502,20.535,131.880,127.020,55.905,141.662,203.119,2.778,145.938,105.195
3,1629.281,131.743,184.749,3185.188,209.899,151.286,147.476,209.462,131.914,345.962,150.221,132.679,74.333,139.626,136.463,294.400,161.537,129.785,64.269,124.128,102.817,142.438,141.454,115.615,734.833,174.156,192.487,151.706,210.871,143.930,175.351,129.348,118.192,112.433,156.544,201.486,104.941,161.147,198.515,200.765,146.635,138.232,396.706,129.221,102.029,185.222,128.604,124.811,175.804,155.404,128.615,272.186,136.072,121.505,34.787,205.652,160.568,26.200,115.187,132.754,26.521,155.468,137.136,18.048,122.639,128.030,126.045,179.432,175.199,268.471,145.712,189.582,48.033,147.550,208.405,196.091,173.897,178.034,251.941,178.753,189.353,77.860,131.789,126.797,72.333,141.753,203.490,1.704,146.286,104.692
4,1188.750,131.680,184.765,3497.250,209.894,151.275,160.190,209.530,131.607,381.962,150.440,132.658,160.000,139.478,136.533,420.100,161.571,129.712,66.038,124.419,102.974,145.438,141.390,115.696,787.250,174.182,192.510,177.059,210.799,144.057,199.568,129.365,118.583,87.167,156.304,201.402,66.294,161.268,198.392,322.176,146.566,138.354,539.235,129.158,102.079,209.778,128.639,124.902,148.353,155.566,128.412,270.884,136.218,121.618,41.180,206.020,160.124,36.433,115.339,132.734,26.708,154.970,136.824,49.524,122.556,128.070,147.182,179.674,175.159,255.118,145.777,189.453,38.167,147.737,208.836,208.955,173.801,178.252,270.765,178.668,189.583,52.302,131.968,126.659,99.190,141.840,203.293,5.741,146.419,104.189
5,589.781,131.816,184.740,2631.146,209.879,151.346,278.238,209.589,131.987,305.846,150.211,132.649,124.944,139.343,136.625,367.500,161.570,129.890,63.231,124.418,102.762,143.531,141.304,115.473,739.833,174.180,192.548,92.235,210.825,144.217,120.000,129.033,118.509,126.733,156.744,201.288,84.059,161.114,198.330,250.000,146.484,138.403,411.118,129.256,101.912,145.722,128.531,124.978,194.392,155.611,128.525,311.721,136.086,121.528,8.393,205.755,159.379,30.733,115.015,132.647,23.354,155.446,136.889,29.524,122.566,128.013,88.227,179.692,175.244,240.471,145.719,189.521,51.233,147.580,208.201,205.136,173.923,178.165,205.941,178.759,189.422,71.581,132.005,126.829,80.714,141.340,203.371,11.444,146.084,104.208
6,458.812,131.756,184.700,1082.250,209.879,151.298,201.048,209.478,132.037,333.115,150.180,132.683,63.056,139.486,136.946,387.933,161.440,129.726,56.135,124.428,102.812,112.250,141.327,115.570,874.833,174.260,192.474,128.647,210.962,144.070,100.973,129.061,118.628,87.867,156.672,201.205,84.412,161.189,198.414,229.882,146.620,138.452,328.588,129.252,102.055,118.500,128.651,124.641,199.765,155.458,128.412,329.326,136.133,121.465,26.393,205.745,160.301,45.100,115.335,133.003,33.042,155.490,137.563,40.524,122.548,128.298,128.455,179.594,175.232,294.000,145.683,189.656,76.900,147.698,208.518,205.818,173.815,178.119,247.353,178.841,189.559,98.558,131.835,127.150,55.810,141.481,203.199,10.370,145.915,104.445
7,375.281,131.759,184.648,543.292,209.902,151.388,178.286,209.475,131.824,332.000,150.282,132.656,121.444,139.481,136.352,428.500,161.529,129.756,87.096,124.187,102.844,167.500,141.300,115.663,809.125,174.196,192.565,112.588,210.790,143.808,141.297,129.167,118.663,115.767,156.561,201.206,122.765,161.186,198.372,265.118,146.699,138.395,457.647,129.309,101.996,137.556,128.593,124.716,172.157,155.522,128.480,231.395,136.064,121.478,37.180,205.695,160.581,65.333,115.430,132.923,35.083,155.332,137.618,36.429,122.366,128.396,192.636,179.500,175.466,235.294,145.719,189.442,39.433,147.550,208.306,247.136,173.931,178.171,259.235,178.830,189.450,105.326,131.806,127.150,49.905,141.749,203.221,16.444,145.798,103.983
8,417.531,131.774,184.629,451.292,209.881,151.309,165.476,209.529,131.860,357.308,150.218,132.668,130.222,139.485,136.516,402.200,161.489,129.906,76.712,124.617,102.592,163.062,141.581,115.504,859.042,174.120,192.509,63.118,210.777,143.985,202.432,129.171,118.637,124.900,156.583,201.071,82.824,160.899,198.440,329.647,146.532,138.425,469.176,129.229,102.051,126.500,128.611,124.806,222.588,155.549,128.565,324.023,136.045,121.497,37.574,205.674,159.572,55.300,115.260,132.513,20.417,155.179,137.165,42.048,122.741,128.184,179.591,179.463,175.271,266.471,145.545,189.528,28.633,147.689,208.717,221.909,173.806,177.962,193.529,178.604,189.415,107.116,131.639,127.037,64.524,141.539,203.361,0.000,NaN,NaN
9,346.469,131.660,184.673,481.458,209.927,151.300,417.762,209.522,131.968,347.231,150.361,132.601,66.167,139.415,136.591,353.100,161.364,129.831,67.981,124.500,102.659,139.500,141.389,115.451,806.792,174.294,192.495,59.529,210.947,144.099,164.486,129.306,118.785,101.433,156.631,201.308,74.588,161.133,198.380,251.294,146.588,138.491,457.588,129.166,102.091,146.167,128.694,124.845,125.451,155.380,128.850,292.767,135.997,121.472,28.984,205.625,160.367,198.067,115.195,132.653,34.312,155.155,137.638,47.714,122.363,128.270,131.273,179.521,175.317,222.294,145.590,189.448,47.567,147.844,208.611,136.318,174.169,178.196,223.647,178.888,189.532,74.977,131.850,126.894,75.000,141.646,203.579,3.926,145.542,103.754
10,318.156,131.742,184.714,446.625,209.965,151.283,2251.238,209.549,131.871,402.000,150.271,132.682,68.500,139.435,136.399,398.467,161.452,129.719,80.038,124.169,102.907,131.750,141.423,115.589,782.750,174.285,192.404,92.765,210.775,144.021,196.865,129.042,118.571,78.167,156.718,201.257,91.118,161.340,198.388,306.000,146.556,138.286,569.529,129.317,102.160,185.611,128.658,124.863,145.176,155.426,128.629,323.093,136.096,121.491,39.639,205.580,160.263,200.567,115.425,132.701,28.875,155.038,137.465,46.714,122.240,128.210,137.273,179.297,175.254,205.118,145.694,189.499,53.133,147.122,208.617,254.273,173.819,178.062,250.588,178.832,189.585,64.000,131.426,126.663,64.571,141.614,203.114,2.074,145.678,104.171
11,373.031,131.552,184.678,481.792,209.865,151.338,587.714,209.545,131.942,308.846,150.283,132.613,102.056,139.480,136.495,318.967,161.416,129.845,72.115,124.618,102.500,116.750,141.509,115.667,877.583,174.233,192.428,112.059,210.882,143.978,162.757,129.055,118.515,72.500,156.849,201.358,101.412,160.821,198.210,233.059,146.555,138.251,465.588,129.318,101.948,157.778,128.629,124.859,219.412,155.469,128.611,340.000,136.213,121.463,30.754,205.909,159.945,68.867,115.244,132.942,11.500,155.098,137.718,51.143,122.343,127.969,161.909,179.553,175.170,274.235,145.699,189.507,48.100,147.434,208.585,210.136,173.842,178.077,188.000,178.841,189.384,53.279,131.725,126.484,69.095,141.423,203.264,4.259,145.658,103.967
12,342.562,131.757,184.726,407.500,209.928,151.225,1024.905,209.528,131.864,331.346,150.332,132.789,51.556,139.572,136.694,360.600,161.522,129.704,74.192,124.339,102.518,131.562,141.247,115.517,807.875,174.226,192.429,108.706,210.895,143.759,225.027,129.247,118.596,142.700,156.496,201.203,121.235,160.960,198.568,285.824,146.644,138.505,412.824,129.273,101.991,152.333,128.691,124.818,167.020,155.342,128.676,321.233,136.087,121.547,28.459,205.810,160.276,42.233,115.186,132.985,15.562,155.482,137.319,17.143,122.148,128.111,140.636,179.311,175.095,290.235,145.721,189.441,27.500,147.527,208.067,239.591,173.926,178.235,177.294,178.755,189.421,57.326,131.677,126.616,77.857,141.694,203.318,8.889,146.175,103.319
13,394.969,131.744,184.834,458.750,209.941,151.342,145.333,209.460,131.910,314.654,150.363,132.599,92.056,139.616,136.612,288.133,161.492,129.769,49.231,124.417,102.496,126.312,141.480,115.622,845.333,174.271,192.543,117.882,211.144,144.205,234.378,129.241,118.427,99.000,156.382,201.142,152.059,161.212,198.416,243.941,146.642,138.416,480.235,129.250,102.089,115.611,128.716,124.904,164.706,155.509,128.584,316.279,136.196,121.496,41.803,205.459,159.682,18.500,115.132,132.914,36.042,155.092,137.477,46.667,122.279,128.234,148.318,179.502,175.278,236.059,145.615,189.415,31.833,147.676,208.399,223.136,173.965,178.138,152.588,178.591,189.403,49.395,131.885,126.883,63.714,141.449,203.469,5.926,145.944,103.819
14,364.625,131.739,184.692,448.542,209.928,151.248,201.857,209.411,131.831,373.538,150.336,132.574,105.111,139.461,136.700,390.133,161.545,129.838,68.442,123.957,102.933,137.469,141.614,115.611,837.708,174.232,192.438,102.000,210.760,143.995,152.595,128.987,118.484,91.367,156.686,201.260,80.294,160.933,198.501,267.941,146.540,138.383,498.765,129.219,102.012,184.944,128.660,124.904,190.353,155.490,128.570,343.326,136.096,121.479,17.115,205.407,160.271,24.167,115.255,132.649,16.125,155.478,136.982,18.476,122.443,127.876,151.182,179.501,175.441,195.118,145.711,189.381,29.833,147.455,209.557,155.591,173.955,178.059,187.353,178.711,189.516,60.326,132.168,126.884,45.905,141.783,203.793,19.963,146.437,103.790
15,351.531,131.841,184.616,481.542,209.920,151.341,165.286,209.315,131.973,500.231,150.247,132.619,152.111,139.465,136.339,385.067,161.391,129.794,68.308,124.468,102.771,158.438,141.189,115.785,838.375,174.242,192.471,79.294,210.828,143.910,155.297,129.135,118.655,105.100,156.553,201.141,96.882,161.082,198.511,306.294,146.634,138.353,516.882,129.169,102.093,173.778,128.564,124.975,169.137,155.337,128.729,336.814,136.144,121.521,13.541,205.802,160.060,51.800,115.057,133.129,26.833,155.230,136.943,46.476,122.497,128.207,135.864,179.352,175.361,253.941,145.717,189.479,25.900,147.462,208.717,191.864,173.903,178.170,186.941,178.613,189.555,55.488,131.518,126.695,64.000,141.576,203.664,0.296,146.553,103.346
16,324.688,131.660,184.767,446.917,209.914,151.418,208.238,209.364,131.938,434.077,150.277,132.575,60.722,139.654,136.588,405.067,161.387,129.764,70.365,124.242,102.832,121.438,141.505,115.464,852.583,174.278,192.555,102.882,210.787,143.960,190.432,129.010,118.707,87.500,156.858,201.310,144.059,160.940,198.462,322.412,146.592,138.443,490.882,129.218,102.013,168.722,128.833,124.658,249.412,155.394,128.654,367.349,136.236,121.539,16.230,205.633,159.756,27.500,114.684,132.988,33.875,155.327,137.091,57.952,122.231,128.063,172.818,179.699,175.265,241.941,145.710,189.460,73.267,147.820,208.800,211.636,173.846,178.045,126.176,178.565,189.449,60.372,131.813,126.628,41.476,141.486,203.533,13.111,145.986,103.966
17,346.344,131.719,184.591,458.667,209.881,151.342,236.286,209.477,131.853,676.269,150.460,132.654,83.833,139.347,136.514,291.800,161.541,129.801,55.096,124.090,103.057,103.938,141.539,115.659,959.000,174.227,192.558,71.882,210.704,143.923,203.514,129.103,118.477,130.567,156.519,201.321,112.647,161.197,198.203,301.471,146.663,138.512,618.941,129.218,102.166,134.167,128.724,124.923,214.510,155.454,128.677,276.814,135.976,121.464,18.721,205.699,160.105,40.767,114.965,133.095,98.167,155.434,137.007,57.476,122.200,127.968,143.818,179.390,175.185,205.882,145.655,189.532,56.700,147.769,209.008,257.818,173.877,178.059,139.765,178.656,189.501,51.581,131.604,126.639,87.333,141.669,203.601,3.963,145.719,104.054
18,378.219,131.672,184.754,435.042,209.896,151.366,219.143,209.477,131.910,2921.904,150.356,132.696,63.000,139.583,136.710,286.100,161.536,129.634,47.135,124.126,102.433,116.656,141.582,115.634,875.083,174.230,192.446,35.647,210.600,143.759,128.378,129.215,118.661,114.433,156.567,201.244,73.118,161.044,198.228,252.824,146.746,138.241,582.235,129.250,102.122,164.556,128.695,124.639,191.843,155.550,128.269,307.116,136.169,121.540,34.623,205.656,159.821,44.367,115.331,132.706,73.271,155.448,137.224,38.571,122.231,128.059,130.409,179.355,175.315,283.588,145.614,189.601,41.267,147.273,208.500,216.682,173.931,178.145,192.941,178.779,189.516,47.930,131.742,127.108,73.238,141.684,203.248,3.370,145.753,104.141
19,385.188,131.699,184.724,452.542,209.996,151.395,252.143,209.427,131.943,1445.692,150.356,132.659,552.056,139.494,136.275,307.533,161.523,129.661,37.615,124.278,102.455,142.000,141.309,115.299,806.083,174.233,192.509,123.529,210.751,144.081,194.703,129.126,118.608,116.400,156.709,201.317,120.529,161.009,198.478,256.118,146.593,138.310,636.176,129.148,102.111,174.222,128.463,124.859,217.725,155.350,128.643,334.047,136.101,121.439,44.787,205.888,160.163,234.533,115.178,132.633,30.938,155.400,137.177,30.429,122.179,128.190,110.500,179.532,175.237,286.471,145.649,189.468,42.567,147.936,208.955,185.591,173.771,178.090,107.176,178.791,189.481,68.302,131.941,126.937,78.524,141.553,203.385,10.444,145.652,104.596
