 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27
1,100.000,56.252,107.644,257.636,74.811,143.950,41.056,73.333,168.472,108.863,60.750,101.497,59.278,85.398,171.177,77.118,62.875,96.133,61.000,33.981,91.898,98.973,41.595,108.530,76.824,52.898,59.770,117.176,65.206,162.638,120.846,84.050,132.117,31.355,87.166,161.014,109.905,78.376,135.808,50.353,58.590,53.097,122.270,49.151,109.745,80.308,44.653,111.821,139.773,50.234,143.665,114.750,72.578,141.616,74.471,80.937,125.960,108.250,69.587,160.525,205.647,65.527,139.317,170.083,55.902,56.075,51.200,69.139,164.141,114.938,73.480,151.571,33.451,83.251,97.165,389.381,78.358,132.815,34.667,59.935,146.537
2,198.545,56.300,107.708,470.864,74.851,143.764,32.889,73.521,167.954,68.314,61.043,101.318,51.500,85.432,171.097,101.353,62.684,96.009,59.833,34.241,92.116,109.514,41.522,108.922,55.000,52.979,59.861,110.529,64.987,162.708,108.462,84.182,132.151,48.581,87.466,160.732,142.000,78.376,135.772,46.765,58.734,52.887,81.946,49.124,109.989,72.462,44.844,112.025,146.636,50.204,143.688,418.875,72.526,141.320,139.294,80.721,126.112,413.750,69.366,160.345,150.059,65.509,139.204,115.750,55.598,56.124,97.400,69.169,164.339,76.438,73.767,151.650,37.412,83.181,97.203,605.947,78.332,132.830,223.190,59.522,146.461
3,987.227,56.197,107.706,432.455,74.901,143.870,14.833,73.430,167.922,116.824,60.781,101.505,49.056,85.846,171.297,64.412,62.653,95.950,368.556,34.039,92.163,145.351,41.598,108.694,65.588,53.081,59.827,116.706,65.188,162.630,135.923,84.123,131.829,114.129,87.182,161.172,53.238,78.863,135.851,105.059,58.835,53.031,98.757,49.020,110.222,175.769,44.837,111.926,116.909,50.100,143.630,466.250,72.276,141.386,251.059,80.788,125.969,219.125,69.355,160.469,89.706,65.761,139.119,86.167,56.028,56.118,54.200,69.306,164.313,49.625,73.528,151.424,48.627,83.340,96.816,323.239,78.329,132.830,147.619,59.577,146.598
4,807.818,56.081,107.787,263.545,74.830,143.782,37.500,73.346,168.473,117.137,60.936,101.584,54.722,85.640,171.323,176.765,62.864,95.911,408.389,34.092,92.077,150.865,41.613,108.724,38.882,53.136,60.043,157.235,65.125,162.409,98.538,84.285,131.948,33.226,87.460,160.660,43.238,78.631,135.872,45.000,58.778,52.953,108.541,49.035,109.799,73.000,44.742,111.823,122.864,50.322,143.743,538.625,72.309,141.324,288.353,80.745,126.048,133.688,69.483,160.254,27.235,65.407,139.188,126.000,56.284,56.233,118.600,68.939,164.474,43.875,73.640,151.620,48.706,82.758,96.769,454.336,78.318,132.870,151.762,59.645,146.724
5,1011.818,56.135,107.753,433.364,74.738,143.774,45.111,73.449,168.049,152.078,60.949,101.679,43.722,85.626,171.349,67.294,62.443,96.241,124.056,34.170,91.989,99.459,41.638,108.657,49.941,53.012,59.656,157.824,65.268,162.641,141.769,84.116,131.978,60.516,87.043,161.037,77.905,78.765,135.650,47.529,58.367,53.164,109.405,49.193,109.995,112.385,44.961,111.808,116.455,50.349,143.649,260.375,72.352,141.363,182.118,80.742,125.962,67.000,69.717,160.427,365.000,65.553,139.286,122.583,55.839,55.882,74.900,69.187,164.253,30.312,73.357,151.440,30.627,83.386,96.856,344.425,78.350,132.760,47.619,59.331,146.724
6,765.455,56.165,107.765,472.045,74.842,143.776,71.389,73.294,168.512,114.196,60.854,101.520,92.889,85.537,171.019,130.529,62.562,96.273,73.778,34.182,92.325,72.270,41.533,108.538,42.824,52.826,60.034,172.412,65.067,162.487,190.923,84.350,131.882,51.871,87.102,160.604,70.095,78.741,135.743,62.588,58.885,53.000,102.432,49.310,109.841,85.538,44.912,111.929,119.455,50.021,143.537,453.125,72.316,141.366,134.471,80.585,125.977,47.438,69.426,160.087,303.765,65.638,139.220,43.667,55.803,56.225,165.600,69.128,164.430,65.500,74.080,151.300,56.275,83.072,96.966,314.779,78.302,132.812,25.810,60.146,146.433
7,637.864,56.081,107.696,402.909,74.769,143.882,531.111,73.488,168.221,119.569,60.956,101.469,45.222,85.566,171.519,129.765,62.548,95.960,89.389,34.110,92.067,139.676,41.755,108.617,82.294,53.147,59.786,85.706,65.041,162.470,158.769,84.269,132.210,56.968,87.312,160.755,51.714,78.787,135.566,64.176,58.510,52.945,79.135,49.158,109.962,94.000,44.815,111.825,135.227,49.998,143.803,284.000,72.336,141.240,47.412,80.997,125.971,72.125,69.582,160.296,151.765,65.652,139.257,57.667,56.155,56.406,160.300,69.171,164.327,29.000,73.634,151.746,9.569,83.412,96.923,111.310,78.614,132.561,63.429,59.821,146.570
8,786.227,56.040,107.683,371.227,74.909,143.770,284.889,73.526,168.455,104.235,60.897,101.590,29.556,85.727,171.325,67.588,62.725,95.598,78.333,34.053,92.063,117.946,41.852,108.574,100.588,52.792,59.866,166.824,65.197,162.740,104.538,84.227,132.015,37.613,87.335,161.112,74.190,78.555,135.974,16.353,59.342,53.234,54.216,49.192,109.835,66.462,44.606,111.860,130.955,50.421,143.678,170.375,72.393,141.444,111.647,80.839,126.180,30.312,69.172,160.238,92.647,65.377,139.204,81.250,56.350,56.151,149.000,69.163,164.427,36.375,74.131,151.570,15.294,83.291,96.777,47.292,78.603,132.886,55.714,59.369,146.740
9,215.318,56.198,107.801,360.409,74.851,143.741,254.667,73.415,168.396,135.373,60.952,101.541,29.222,85.486,171.844,77.882,62.663,96.259,86.889,34.179,92.032,107.946,41.729,108.613,110.294,53.136,59.991,135.000,65.043,162.723,163.846,84.373,132.078,56.645,87.022,160.904,80.667,78.283,135.982,38.000,58.683,52.943,128.919,49.251,109.942,79.385,44.522,111.996,159.909,49.988,143.715,107.625,72.591,141.255,44.588,80.375,125.946,26.938,69.054,160.419,38.882,65.619,139.194,39.667,55.858,56.146,244.000,69.138,164.440,30.312,73.507,151.527,47.843,83.369,97.071,84.159,78.341,132.544,53.714,59.475,146.591
10,112.909,56.234,107.718,90.591,74.997,143.910,243.667,73.453,168.133,794.706,60.888,101.645,65.556,85.434,171.311,73.294,62.429,95.788,46.833,34.073,91.914,130.541,41.520,108.577,72.176,53.235,59.996,124.471,65.103,162.938,166.692,84.020,132.083,47.871,87.278,161.284,51.810,78.697,135.900,45.412,59.154,53.353,65.784,49.468,109.971,150.077,44.857,112.036,126.727,50.339,143.789,181.625,72.435,141.344,45.294,80.663,126.021,88.750,69.235,160.445,37.647,65.736,139.386,93.500,55.892,55.942,99.300,68.979,164.281,51.312,73.969,151.733,22.667,83.219,96.851,69.752,78.575,132.394,21.429,59.702,146.773
11,110.727,56.456,107.707,120.227,74.701,143.760,213.833,73.627,168.176,619.333,60.986,101.624,342.667,85.526,171.399,90.353,62.833,96.200,75.333,34.189,91.924,179.622,41.463,108.620,75.882,52.769,60.148,152.059,65.242,162.413,152.846,84.147,132.223,58.516,87.387,160.619,69.333,78.545,136.048,43.765,58.732,52.836,124.054,49.172,109.861,98.154,45.054,111.672,141.182,50.267,143.695,81.375,72.247,141.267,19.294,81.375,125.979,57.312,69.267,160.222,25.176,65.529,138.965,139.583,55.763,56.043,108.000,69.002,164.371,51.938,73.869,151.487,19.137,83.450,97.137,61.186,78.672,132.693,37.619,59.631,146.788
12,77.591,56.382,107.856,78.500,74.760,143.878,197.444,73.533,168.140,561.725,61.031,101.686,357.056,85.583,171.396,107.647,62.656,95.911,85.778,34.130,92.105,101.946,41.891,108.526,93.118,53.134,60.176,144.882,65.052,162.515,113.769,84.194,132.014,62.000,87.406,160.570,54.571,78.368,135.866,55.882,58.680,52.778,97.622,49.143,109.948,149.231,44.767,111.755,191.909,50.216,143.658,3.750,72.147,140.967,29.647,80.925,126.085,29.312,69.219,160.132,13.235,65.646,139.213,125.833,55.959,56.147,116.000,69.112,164.588,45.375,73.718,151.894,26.824,82.934,97.280,103.186,78.612,132.533,33.143,59.871,146.531
13,70.091,56.014,107.851,29.591,74.739,143.618,145.556,73.484,168.409,408.196,60.878,101.660,89.389,85.596,171.383,120.706,62.523,95.828,43.611,33.882,91.777,110.919,41.763,108.816,81.647,53.137,59.913,77.235,64.760,162.541,109.308,84.184,132.119,101.290,87.018,160.957,92.095,78.831,135.885,93.529,58.645,53.069,103.459,49.069,109.712,54.077,44.783,111.850,128.591,50.183,143.693,48.750,72.205,141.252,74.000,81.165,126.010,33.625,69.350,160.342,52.882,65.467,139.121,122.583,55.869,56.159,86.600,69.152,164.416,61.938,73.982,151.555,30.824,83.322,96.988,90.690,78.372,132.603,40.524,59.578,146.852
14,164.955,56.099,107.625,79.909,74.998,143.784,175.222,73.551,168.489,228.275,60.988,101.599,146.444,85.671,171.324,317.824,62.571,95.860,68.167,34.100,91.718,100.919,41.806,108.729,66.059,53.126,60.165,202.765,65.059,162.482,159.692,84.159,132.127,12.194,86.988,161.034,21.905,78.580,135.663,32.176,58.481,53.307,49.622,49.348,109.799,144.692,44.767,112.024,167.045,50.371,143.676,64.875,72.519,141.383,68.353,80.762,126.031,122.562,69.632,160.247,16.412,65.706,138.889,167.667,55.531,55.975,141.900,68.991,164.377,76.812,73.696,151.607,37.804,83.431,96.850,96.850,78.426,132.819,17.048,59.540,146.813
15,56.636,56.033,107.674,33.727,75.028,143.806,96.500,73.449,168.416,1293.255,60.956,101.556,147.167,85.732,171.314,1083.941,62.668,95.917,97.500,34.049,92.311,168.757,41.887,108.685,346.824,53.068,60.153,149.588,64.978,162.401,84.923,84.303,131.922,48.452,87.377,161.010,65.143,78.634,135.918,55.706,58.717,52.934,92.054,49.149,110.123,105.000,44.813,111.538,168.773,50.021,143.607,53.375,71.989,141.302,9.294,81.100,125.705,69.000,69.318,160.639,32.824,65.439,139.113,103.000,55.878,56.117,102.900,69.064,164.314,45.812,73.897,151.811,24.118,82.875,96.896,92.248,78.538,132.615,25.143,59.728,146.709
16,100.045,56.158,107.807,95.773,74.827,143.745,217.111,73.533,168.254,920.314,60.951,101.497,22.278,85.554,171.590,1033.588,62.529,95.897,71.667,34.121,91.892,112.108,41.423,108.749,451.353,53.096,60.074,207.235,65.172,162.509,134.000,84.045,132.044,115.419,87.062,160.801,88.952,78.511,136.013,42.118,58.723,53.169,90.000,49.093,109.733,119.000,44.845,111.679,144.864,50.398,143.741,72.250,72.546,141.535,31.294,80.969,125.930,63.250,69.710,160.212,29.706,65.435,139.105,40.000,55.686,56.028,132.400,69.019,164.214,30.562,74.028,151.607,26.510,83.010,97.116,105.876,78.419,132.908,46.190,59.624,146.495
