 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38
1,2723.083,79.387,151.644,149.194,90.114,146.617,124.745,60.916,147.389,31.517,84.724,175.756,60.933,60.839,205.231,62.562,84.221,149.730,48.619,99.413,170.986,50.308,61.601,113.777,18.815,52.632,172.899,102.314,69.951,167.543,66.267,75.669,117.121,489.833,78.080,144.547,198.500,58.999,179.151,35.692,66.381,173.325,232.909,73.912,177.319,55.636,101.433,142.806,77.733,66.990,136.603,214.375,52.258,181.119,115.941,80.389,195.230,45.059,100.271,147.901,389.125,99.549,111.855,232.938,97.324,124.627,64.188,55.450,169.336,56.312,47.297,146.307,240.400,79.331,133.171,171.455,49.475,160.618,102.839,74.640,163.450,345.636,80.109,139.241,81.784,79.437,201.120,69.032,103.308,121.510,201.000,80.252,165.242,53.062,59.607,108.965,26.333,70.138,115.156,18.581,98.515,165.464,107.135,65.266,117.108,1222.462,73.962,197.101,74.643,80.096,173.767,158.944,77.250,185.957
2,3862.583,79.369,151.710,2358.264,90.181,146.888,1114.549,61.095,147.420,1182.862,84.653,175.904,83.000,60.985,205.062,95.250,84.012,149.724,41.190,99.480,171.194,23.654,61.598,113.428,10.556,52.533,172.535,80.627,70.269,167.621,123.100,75.578,116.912,478.250,78.185,144.583,84.500,58.864,179.107,24.231,67.046,173.269,219.591,73.843,177.436,61.364,101.277,142.888,118.400,67.012,136.271,202.812,52.227,181.032,83.059,80.293,195.262,42.824,100.234,148.130,505.250,99.532,111.881,179.062,97.310,124.574,50.312,55.353,169.294,108.312,47.409,146.562,176.600,79.592,133.450,189.682,49.406,160.476,66.710,74.480,163.492,389.227,80.151,139.126,50.595,79.203,200.902,60.645,103.075,121.490,337.812,80.149,165.148,32.312,59.897,108.963,26.083,70.419,115.889,8.839,98.678,165.082,53.784,65.372,116.788,78.385,73.896,197.070,141.214,79.923,173.844,129.500,77.306,186.033
3,2105.067,79.381,151.688,1311.556,90.240,146.829,2203.412,61.143,147.438,320.552,84.580,175.841,2670.600,61.031,205.055,46.750,84.318,149.990,29.571,99.389,170.812,52.577,61.582,113.789,10.481,52.913,172.688,92.392,70.222,167.725,96.267,75.570,116.855,398.167,78.120,144.452,151.700,59.039,179.013,30.308,66.594,172.590,220.591,73.831,177.545,62.909,100.852,143.179,88.867,66.917,136.215,146.125,52.342,180.701,41.235,80.236,195.417,66.647,100.259,148.319,302.188,99.592,111.962,209.188,97.409,124.426,85.312,55.296,169.138,73.062,47.375,146.535,186.400,79.297,133.366,152.591,49.389,160.442,115.290,74.517,163.245,328.818,80.108,139.163,51.243,79.012,201.301,49.548,103.361,121.750,278.875,80.201,165.220,43.250,59.999,109.047,61.250,69.853,115.720,11.806,98.764,165.128,61.730,65.089,116.707,102.538,74.098,197.215,55.214,79.720,174.061,116.222,77.259,186.032
4,345.333,79.345,151.631,270.222,90.312,146.782,1456.039,61.120,147.441,634.345,84.672,175.940,1916.367,61.016,205.045,56.688,84.247,149.863,53.476,99.363,170.582,51.692,61.452,113.659,3.704,52.254,174.263,50.275,70.178,167.412,73.867,75.572,117.073,422.708,78.090,144.377,85.700,59.080,179.193,14.462,66.211,172.474,254.727,73.831,177.490,36.455,101.123,142.845,75.367,66.966,136.399,106.812,52.212,181.007,30.882,80.705,195.186,60.882,100.364,147.801,356.750,99.496,111.914,236.812,97.394,124.483,73.375,55.435,169.245,36.625,47.258,146.286,166.700,79.371,133.076,207.273,49.420,160.779,98.452,74.848,163.669,348.227,80.225,139.139,55.568,79.422,201.215,62.129,103.331,121.670,270.250,80.251,165.256,39.125,59.949,109.172,33.083,70.041,116.251,21.161,98.849,165.506,78.000,65.191,116.853,92.154,73.858,197.220,156.071,79.974,173.948,95.278,77.138,186.097
5,254.533,79.310,151.566,59.750,90.059,146.932,1660.353,61.116,147.368,224.103,84.806,175.924,1368.433,61.047,205.016,40.375,84.214,150.114,28.095,99.129,170.502,40.346,61.717,113.534,7.926,52.152,173.077,31.765,70.260,167.704,49.067,75.893,117.222,326.875,78.222,144.568,100.000,58.831,178.963,27.308,66.474,172.951,197.045,73.912,177.465,40.455,101.123,142.980,57.667,67.076,136.305,136.812,52.213,181.048,27.941,80.183,194.883,40.706,99.891,148.166,346.500,99.463,111.817,210.688,97.371,124.489,38.375,55.398,168.843,51.125,47.221,145.989,223.400,79.356,133.226,167.091,49.429,160.363,49.871,74.617,163.540,280.864,80.236,138.945,49.243,79.739,201.028,51.161,103.181,121.643,198.500,80.240,165.106,15.500,59.955,109.040,13.500,70.464,116.160,28.065,98.345,165.347,82.703,65.191,117.051,48.846,73.755,197.299,42.500,80.025,173.865,91.167,77.142,186.275
6,272.133,79.240,151.626,101.000,90.340,146.469,435.804,61.085,147.337,47.897,84.760,175.801,149.400,60.948,205.071,1351.938,84.142,149.674,54.143,99.487,171.070,31.615,61.815,113.597,3.667,52.526,172.844,64.667,70.153,167.543,29.167,75.896,117.050,382.917,78.155,144.395,92.600,58.926,179.357,3.231,66.274,172.574,231.136,73.730,177.495,29.318,101.102,142.752,55.100,66.871,136.420,83.812,52.439,181.178,30.765,80.378,195.049,38.353,99.983,147.966,377.625,99.557,111.787,204.500,97.375,124.562,41.875,55.389,168.916,34.062,47.017,146.708,124.400,79.336,133.336,114.591,49.495,160.720,61.548,74.912,163.653,245.455,80.210,139.129,91.730,79.572,200.983,51.161,103.828,121.629,254.125,80.159,165.126,31.875,60.255,108.838,24.917,70.012,116.181,29.226,98.546,165.316,69.459,65.361,117.197,71.462,74.084,196.977,73.571,79.719,174.227,60.500,77.353,186.381
7,234.967,79.261,151.569,101.278,90.313,146.382,119.373,61.064,147.457,40.724,84.563,175.977,51.767,60.918,204.928,1326.938,84.154,149.734,1002.095,99.320,170.855,28.692,61.471,113.796,9.741,52.545,172.467,72.588,70.047,167.562,40.133,75.453,117.029,420.333,78.205,144.446,68.000,58.786,179.179,4.462,66.805,173.755,212.955,73.717,177.428,53.045,101.572,142.963,93.800,66.968,136.304,104.750,52.217,181.025,47.941,80.407,195.070,68.412,100.281,148.403,492.875,99.646,111.842,212.312,97.474,124.632,64.812,55.449,169.302,55.125,47.468,146.147,130.700,79.289,133.187,121.682,49.381,160.598,41.613,74.723,163.488,334.909,80.112,139.126,42.649,79.282,201.039,61.290,103.826,121.462,250.062,80.023,165.349,26.688,60.079,108.978,33.417,70.251,115.188,145.484,98.573,165.525,78.703,65.049,117.159,72.692,73.767,197.056,70.071,79.932,173.850,133.333,77.054,186.011
8,231.367,79.375,151.583,87.361,90.160,146.672,88.157,61.156,147.337,31.966,84.922,175.849,58.733,60.885,205.015,805.188,84.176,149.747,693.429,99.393,170.809,589.231,61.507,113.599,11.185,52.328,173.085,34.784,70.236,167.986,76.133,75.487,117.220,421.083,78.159,144.545,66.500,58.975,179.029,9.385,66.185,173.664,155.273,73.893,177.573,60.955,101.641,142.922,74.567,66.932,136.500,156.875,52.270,180.955,53.118,80.256,195.317,42.529,100.097,147.961,350.312,99.650,111.844,190.938,97.272,124.543,42.750,55.559,169.146,23.375,46.785,146.570,214.300,79.417,133.375,101.227,49.432,160.304,64.774,74.648,163.517,317.000,80.093,139.036,40.162,79.417,200.683,23.871,103.388,121.549,262.812,80.325,165.097,29.125,59.816,109.078,35.667,70.266,115.966,621.613,98.487,164.999,136.108,65.383,117.085,90.385,74.035,197.061,74.571,79.827,174.150,117.556,77.197,186.178
9,173.067,79.206,151.619,93.167,90.233,146.487,143.804,61.153,147.457,24.448,85.041,175.849,86.633,60.999,205.268,95.062,84.150,149.749,687.905,99.382,170.751,224.000,61.257,113.673,168.370,52.471,172.801,56.745,69.967,167.533,62.300,75.534,116.956,425.375,78.205,144.573,69.500,58.932,179.323,23.538,66.979,172.938,169.955,73.884,177.312,28.682,101.428,142.362,71.200,67.132,136.128,165.125,52.278,181.086,31.294,80.613,195.231,13.353,100.068,148.108,394.562,99.655,111.926,223.500,97.415,124.686,48.750,55.448,169.463,31.188,47.258,146.325,242.900,79.324,133.198,179.909,49.500,160.379,83.290,74.823,163.514,325.682,80.186,139.226,45.459,79.744,201.164,27.355,103.506,121.440,192.500,80.335,165.151,27.375,59.618,109.178,67.583,69.971,115.558,294.645,98.492,165.086,43.838,65.308,116.831,106.077,73.773,197.160,32.643,80.021,173.368,59.167,77.199,186.202
10,204.767,79.452,151.503,121.972,90.183,146.898,105.333,61.212,147.422,31.414,84.752,176.214,85.633,60.954,204.977,36.375,84.080,150.018,321.952,99.341,170.995,29.577,61.508,113.536,565.889,52.463,172.840,63.804,70.230,167.509,53.633,75.896,117.123,416.542,78.177,144.479,97.200,58.854,179.327,28.231,66.600,173.068,167.091,73.905,177.516,57.091,100.801,143.428,60.400,67.038,136.310,143.375,52.576,180.981,45.824,80.205,195.077,17.471,100.136,147.999,361.938,99.539,111.846,174.250,97.436,124.417,67.312,55.322,169.353,57.875,47.274,146.486,126.300,79.371,133.310,137.545,49.531,160.697,70.516,74.792,163.667,281.818,80.118,139.215,62.216,79.329,201.089,60.194,103.422,121.796,186.938,80.272,165.153,7.312,60.152,109.196,52.917,69.954,115.693,31.613,98.451,165.165,62.865,65.137,116.879,26.077,74.389,196.895,33.000,80.114,173.597,87.056,77.171,186.095
