 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20
1,1615.471,260.719,197.330,190.409,162.715,173.143,96.438,257.357,193.290,120.645,259.803,187.851,260.591,169.367,169.471,138.294,247.682,195.990,94.667,246.424,200.585,127.000,242.456,155.491,185.375,229.231,198.338,55.765,229.600,193.728,189.815,222.384,216.109,174.619,163.586,168.844,200.805,244.622,190.347,137.958,240.194,195.146,329.333,237.697,169.790,396.562,258.645,181.130,147.559,216.088,194.985,63.594,220.800,198.062,79.294,238.346,190.377,328.692,240.852,161.581
2,890.471,260.806,197.428,192.409,162.921,173.241,98.062,257.460,193.563,97.355,259.581,187.639,220.909,169.465,169.610,176.765,247.611,195.689,235.778,246.455,200.743,191.176,242.418,155.546,155.875,229.088,198.453,91.471,229.633,193.932,211.333,222.122,216.007,175.476,163.878,168.836,148.000,244.687,190.484,166.250,240.185,194.646,293.857,237.654,169.752,419.938,258.602,181.063,101.618,216.203,194.965,60.469,220.422,198.578,34.941,238.481,190.576,493.077,240.777,161.486
3,329.176,260.696,197.510,206.909,162.943,173.169,108.438,257.394,193.485,172.452,259.756,187.757,278.182,169.364,169.556,178.412,247.589,195.823,187.833,246.531,200.486,111.176,242.931,155.701,144.438,229.287,198.230,71.471,229.656,193.705,233.852,222.431,216.144,126.667,163.689,168.807,150.122,244.541,190.428,113.208,240.237,195.008,277.095,237.763,169.566,333.969,258.523,181.031,103.029,215.994,195.013,58.000,220.757,198.289,98.059,238.409,190.344,401.692,240.709,161.579
4,226.588,260.491,197.171,189.273,162.793,173.316,101.000,257.014,193.636,120.129,259.755,187.746,199.500,169.379,169.452,129.118,247.628,196.022,122.722,246.505,200.626,100.059,242.662,155.760,168.562,229.049,198.351,56.706,229.373,193.790,152.963,222.347,216.134,181.143,163.881,168.962,164.951,244.608,190.507,124.167,240.283,194.772,347.952,237.727,169.641,347.438,258.611,180.994,109.912,215.990,194.878,69.406,220.777,198.154,58.941,238.537,190.623,393.538,240.679,161.558
5,196.471,260.792,197.384,214.455,162.831,173.217,80.562,257.437,193.210,103.871,259.550,187.742,249.409,169.525,169.574,108.235,247.782,196.056,145.722,246.451,200.672,122.647,242.636,155.766,149.875,229.127,198.340,117.882,229.554,193.743,147.704,222.316,216.011,142.952,163.683,168.746,136.244,244.586,190.127,98.625,240.226,195.020,345.810,237.648,169.864,373.125,258.541,181.009,112.235,216.088,194.797,72.250,220.755,198.339,49.471,237.956,190.268,339.077,240.715,161.519
6,188.765,260.642,197.541,217.773,162.673,173.220,124.500,257.536,193.504,220.387,259.689,187.813,181.500,169.419,169.465,102.882,247.699,195.907,94.000,246.324,200.833,91.706,242.528,155.795,174.062,229.118,198.374,128.529,229.611,194.022,149.519,222.191,216.013,174.476,163.844,168.857,179.317,244.555,190.298,84.583,240.189,194.756,265.524,237.713,169.750,390.719,258.531,181.065,129.794,216.053,195.466,72.375,220.584,197.983,89.765,238.759,190.232,439.538,240.709,161.477
7,235.059,260.757,197.163,244.455,162.824,173.135,85.562,257.209,193.424,152.323,259.773,187.718,211.091,169.334,169.584,146.588,247.592,195.958,87.167,246.390,200.852,108.647,242.555,155.841,123.000,229.282,198.301,146.824,229.515,193.721,248.074,222.269,215.985,196.143,163.695,168.783,186.293,244.605,190.550,90.667,240.149,195.123,349.619,237.721,169.631,405.781,258.579,181.011,136.588,216.013,195.040,63.344,220.825,198.656,49.471,238.142,190.684,385.846,240.818,161.581
8,187.294,260.776,197.537,204.182,162.711,173.107,141.062,257.423,193.566,170.065,259.516,187.729,147.864,169.604,169.445,208.412,247.662,195.908,48.667,246.580,200.828,80.765,242.398,155.725,165.312,229.045,198.307,105.706,229.568,193.722,158.481,222.299,216.050,191.190,163.745,168.885,155.537,244.598,190.320,130.125,240.252,194.889,386.857,237.768,169.781,397.375,258.598,181.216,138.265,216.086,194.942,30.219,220.872,198.588,21.235,237.959,190.027,355.846,240.633,161.446
9,178.706,260.742,197.344,276.682,162.702,173.072,81.438,257.384,193.337,97.742,259.611,188.071,204.000,169.509,169.425,182.353,247.671,195.972,216.611,246.322,200.608,75.706,242.761,156.050,136.188,229.185,198.314,109.824,229.417,193.641,161.704,222.280,216.106,188.333,163.854,168.915,158.171,244.512,190.461,131.708,240.259,195.090,310.476,237.717,169.729,397.375,258.665,181.116,136.824,216.134,195.004,52.750,220.706,198.003,40.706,238.195,190.407,365.769,240.678,161.474
10,174.118,260.663,197.106,156.455,162.483,173.281,117.500,257.072,193.526,155.355,259.698,187.517,216.091,169.408,169.661,221.941,247.551,195.844,116.389,246.617,200.664,138.059,242.261,155.584,241.062,229.118,198.325,123.176,229.775,193.674,240.222,222.244,215.940,172.524,163.743,168.978,164.293,244.599,190.695,144.875,240.372,194.828,276.952,237.923,169.780,502.906,258.622,181.084,141.000,216.130,195.051,78.844,220.684,198.153,75.059,238.063,190.511,358.462,240.680,161.574
11,175.353,260.702,197.296,196.091,162.677,173.314,163.438,257.272,193.464,107.226,259.719,187.518,202.318,169.389,169.489,123.353,247.471,196.018,61.611,246.671,200.731,63.118,242.483,155.736,215.062,229.168,198.360,99.941,229.369,193.590,155.481,222.282,215.895,160.762,163.560,168.921,132.390,244.631,190.174,126.875,240.257,195.041,302.714,237.792,169.873,501.562,258.530,181.076,143.294,216.071,195.193,72.750,220.619,198.477,71.118,238.178,190.355,387.769,240.768,161.518
12,186.647,260.737,197.203,276.409,162.834,173.176,73.625,257.376,193.446,115.032,259.550,187.677,243.727,169.424,169.664,123.706,247.653,195.920,102.389,246.141,200.747,115.059,242.403,155.629,198.688,229.058,198.301,63.824,229.309,193.828,223.037,222.360,216.230,177.048,163.714,169.077,170.951,244.577,190.772,136.583,240.055,195.006,328.714,237.659,169.723,564.188,258.551,181.132,127.088,215.997,195.062,54.656,220.625,198.357,71.000,238.157,190.318,233.308,240.753,161.583
13,203.882,260.541,197.466,246.000,162.764,173.026,133.188,257.335,193.292,128.065,259.717,187.581,256.455,169.449,169.490,135.765,247.643,195.592,46.944,246.419,200.428,123.118,242.201,155.532,258.438,228.996,198.216,92.118,229.532,193.847,171.000,222.313,215.965,143.619,163.628,168.932,129.976,244.646,190.502,98.083,240.284,195.126,257.905,237.652,169.655,420.344,258.454,181.114,118.559,216.043,195.082,84.781,220.602,197.982,67.176,238.677,190.283,325.154,240.796,161.610
14,236.176,260.702,197.417,2828.159,162.803,173.151,164.000,257.219,193.551,161.548,259.555,187.777,239.773,169.470,169.571,180.647,247.595,195.922,74.278,246.515,200.434,92.412,242.555,155.557,240.000,229.359,198.272,67.235,229.502,193.912,159.111,222.162,216.041,291.429,163.587,169.155,150.000,244.597,190.397,88.458,240.288,195.047,365.571,237.725,169.809,402.562,258.559,181.007,149.059,216.091,195.041,69.281,220.417,198.197,62.000,238.291,190.355,508.077,240.796,161.462
15,230.706,260.660,197.345,2274.409,162.732,173.131,1146.188,257.267,193.346,159.226,259.529,187.486,228.182,169.416,169.565,164.353,247.765,195.835,108.500,246.252,200.333,86.412,242.319,155.687,207.062,229.125,198.216,111.353,229.532,193.490,238.333,222.286,215.913,246.905,163.605,169.205,129.610,244.616,190.477,158.875,240.275,194.991,276.667,237.838,169.618,391.094,258.528,181.067,101.706,216.028,194.986,81.188,220.723,198.726,52.588,238.360,190.610,468.923,240.760,161.628
16,360.882,260.744,197.389,1619.409,162.793,173.113,559.188,257.279,193.456,200.645,259.646,187.694,180.909,169.408,169.739,280.176,247.736,195.872,83.611,246.510,200.529,122.235,242.519,155.491,142.062,229.005,198.241,164.118,229.618,193.593,118.556,222.202,216.067,270.810,163.701,168.831,133.634,244.672,190.827,100.583,240.205,194.990,313.619,237.741,169.627,490.844,258.498,181.035,150.500,215.982,195.035,57.219,220.794,198.374,19.412,238.497,190.874,570.385,240.716,161.552
17,160.765,260.525,197.397,2813.500,162.791,173.131,912.188,257.269,193.405,135.161,259.591,187.573,222.455,169.427,169.747,85.353,247.547,195.950,117.611,246.463,200.796,109.176,242.599,155.738,175.875,229.086,198.364,149.706,229.587,193.723,187.963,222.068,216.357,312.810,163.589,169.186,161.902,244.680,190.426,124.250,240.430,195.046,329.000,237.771,169.802,427.625,258.567,180.891,157.235,216.103,194.978,64.250,220.571,198.635,109.941,238.430,190.550,638.231,240.653,161.627
18,219.824,260.699,197.136,1235.000,162.736,173.175,581.312,257.324,193.454,242.516,259.539,187.655,268.727,169.414,169.605,135.706,247.644,195.898,75.778,246.476,200.624,119.412,242.650,155.600,199.312,229.112,198.439,115.059,229.566,193.808,214.222,222.289,216.200,223.381,163.645,169.033,173.098,244.587,190.734,118.167,240.282,195.262,481.143,237.692,169.935,375.062,258.539,181.114,113.353,216.079,195.036,56.594,220.558,197.872,66.588,238.271,190.504,767.615,240.698,161.545
19,285.118,260.732,197.376,1679.000,162.731,173.103,119.375,257.365,193.441,162.581,259.603,187.812,281.909,169.427,169.478,181.706,247.723,195.841,87.833,246.298,200.634,114.059,242.498,155.655,157.938,229.165,198.327,127.588,229.659,193.614,163.556,222.219,216.256,269.048,163.582,168.874,146.780,244.523,190.780,175.208,240.186,194.898,336.048,237.596,169.854,471.062,258.527,181.021,145.735,216.066,194.570,75.375,220.721,198.427,36.706,238.586,190.344,544.692,240.765,161.535
20,201.824,260.702,197.415,241.864,162.646,173.191,45.250,257.162,193.679,94.387,259.751,187.821,179.409,169.539,169.540,99.059,247.595,195.933,138.889,246.433,200.891,164.176,242.527,155.630,159.875,229.051,198.330,131.471,229.637,193.711,207.111,222.330,216.191,174.238,163.764,168.953,159.927,244.507,190.563,123.083,240.284,194.849,460.571,237.765,169.792,491.781,258.597,181.060,127.353,215.965,195.121,72.406,220.691,198.372,52.941,238.473,190.447,467.923,240.713,161.647
21,193.706,260.649,197.574,206.682,162.778,173.105,102.812,257.511,193.530,759.742,259.789,187.611,230.273,169.471,169.715,173.353,247.687,195.883,169.000,246.523,200.505,76.118,242.385,155.563,164.125,229.309,198.318,83.118,229.552,193.645,156.926,222.359,215.770,120.048,163.820,169.076,130.512,244.597,190.812,152.542,240.282,195.119,355.238,237.724,169.717,383.656,258.678,181.023,141.882,216.047,194.787,64.125,220.881,198.215,38.471,238.109,190.274,399.846,240.669,161.533
22,255.235,260.684,197.462,179.273,162.758,173.353,143.312,257.057,193.393,802.968,259.650,187.728,291.273,169.601,169.519,152.000,247.517,196.065,107.056,246.438,200.810,161.235,242.371,155.690,195.000,229.190,198.222,115.235,229.588,193.679,156.037,222.178,216.019,105.762,163.581,169.063,158.805,244.665,190.356,163.250,240.310,194.944,263.857,237.831,169.718,330.688,258.519,181.042,159.412,216.139,195.166,128.156,220.753,198.228,69.941,238.546,190.712,399.000,240.825,161.558
23,331.000,260.673,197.679,259.909,162.695,173.247,105.125,257.510,193.569,299.226,259.590,187.735,247.545,169.548,169.520,152.000,247.571,196.029,73.944,246.496,200.664,176.529,242.766,155.867,158.750,229.237,198.461,88.588,229.568,193.841,220.481,222.241,215.874,167.619,163.679,168.745,141.366,244.540,190.618,129.500,240.306,194.983,399.095,237.769,169.690,362.219,258.543,180.959,130.029,216.106,194.706,88.906,220.868,198.309,59.235,238.617,190.689,419.385,240.758,161.585
24,184.294,260.777,197.260,255.182,162.793,173.068,86.812,257.248,193.339,161.806,259.680,187.760,260.955,169.417,169.636,173.118,247.584,195.756,93.111,246.517,200.649,167.412,242.557,155.813,156.938,229.121,198.339,131.706,229.724,193.856,190.593,222.319,215.944,136.095,163.798,168.898,124.610,244.622,190.872,165.500,240.232,195.287,369.333,237.742,169.880,308.156,258.584,180.978,118.500,215.989,194.894,88.875,220.886,198.351,41.235,238.249,190.633,536.538,240.658,161.464
25,144.647,260.602,197.352,207.545,162.720,173.041,107.438,257.244,193.566,174.387,259.544,187.665,200.909,169.512,169.423,157.765,247.792,196.016,46.056,246.317,200.651,145.294,242.363,155.519,154.062,229.198,198.384,117.588,229.581,193.631,143.185,222.346,216.238,149.048,163.803,168.758,124.829,244.542,190.642,131.833,240.305,194.980,395.429,237.777,169.823,406.594,258.483,180.970,142.824,215.945,194.846,53.906,220.641,198.671,29.412,238.368,190.258,435.462,240.690,161.642
26,237.647,260.646,197.376,241.455,162.836,173.029,108.625,257.349,193.264,175.677,259.651,187.964,203.545,169.429,169.695,230.235,247.610,195.977,92.889,246.403,200.633,133.294,242.462,155.664,214.750,229.090,198.516,82.765,229.605,194.141,217.370,222.235,216.039,166.905,163.830,169.079,202.707,244.647,189.945,140.792,240.317,194.956,384.952,237.689,169.776,343.281,258.599,181.183,141.382,216.132,194.933,64.500,220.641,198.283,87.882,238.121,190.242,344.000,240.711,161.443
27,261.765,260.655,197.553,243.909,162.664,173.163,157.250,257.470,193.622,201.806,259.751,187.820,236.045,169.508,169.509,81.588,247.566,195.782,100.556,246.375,200.567,179.235,242.584,155.748,213.125,229.191,198.203,97.353,229.310,193.911,177.222,222.231,215.861,198.857,163.816,168.861,170.000,244.646,190.617,119.167,240.275,195.031,331.238,237.850,169.737,401.656,258.524,180.984,162.559,215.987,195.074,83.375,220.461,198.301,77.353,238.366,190.700,381.538,240.608,161.522
28,256.765,260.813,197.321,220.864,162.817,173.056,67.125,257.217,193.482,182.968,259.555,187.958,299.045,169.541,169.719,103.412,247.825,195.860,100.667,246.346,200.547,68.235,242.566,155.656,253.938,229.055,198.200,156.294,229.772,193.532,175.444,222.211,216.128,137.905,163.767,169.163,159.098,244.605,190.341,102.917,240.294,194.930,331.619,237.798,169.649,339.281,258.585,181.088,132.500,216.048,195.012,73.375,220.689,198.477,98.118,238.277,190.467,480.231,240.683,161.545
29,221.588,260.630,197.328,159.500,162.732,173.188,130.688,257.177,193.418,78.129,259.538,187.636,270.500,169.462,169.654,168.588,247.642,195.831,143.944,246.366,200.694,127.647,242.715,155.787,308.875,228.947,198.254,121.176,229.399,193.617,235.074,222.321,216.044,148.190,163.819,168.669,144.146,244.454,190.427,213.000,240.206,194.927,344.333,237.730,169.672,385.438,258.522,181.063,136.882,216.146,195.129,95.125,220.726,198.425,72.529,238.567,190.835,324.000,240.630,161.630
30,225.353,260.627,197.411,220.500,162.724,173.029,127.562,257.187,193.240,113.226,259.643,187.892,322.273,169.297,169.499,96.412,247.640,195.892,87.889,246.515,200.542,131.059,242.642,155.340,159.750,229.281,198.381,123.588,229.510,193.785,336.296,222.275,216.081,200.667,163.606,169.003,143.976,244.462,190.722,116.792,240.138,195.083,348.238,237.816,169.641,441.562,258.684,181.010,146.000,216.009,194.857,64.812,220.688,198.200,34.941,238.120,190.176,371.385,240.730,161.592
