 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26
1,63.548,92.167,95.870,15.167,75.644,72.653,551.134,86.570,101.621,611.500,86.587,94.897,353.556,107.285,97.938,502.769,105.461,103.044,88.257,125.321,119.467,168.917,102.794,93.336,171.136,100.461,103.076,232.686,126.774,106.783,77.214,55.573,66.901,51.077,132.336,104.407,41.613,36.937,58.586,91.412,132.115,123.535,32.818,138.014,111.649,280.125,55.300,60.978,82.400,80.787,141.371,36.409,89.731,137.188,219.294,64.785,49.703,29.500,69.429,63.579,96.000,58.654,56.848,11.722,125.808,112.109,110.649,115.310,119.057,33.630,126.186,123.866,60.381,80.451,84.141,77.500,101.806,119.403
2,76.194,92.170,95.589,24.333,75.768,72.327,533.567,86.589,101.626,546.267,86.635,94.955,524.778,107.256,98.069,133.077,105.265,103.134,76.600,125.548,119.401,138.000,103.105,93.413,202.136,100.190,103.026,243.000,126.906,106.793,72.405,55.605,67.050,48.923,132.699,104.567,29.742,36.685,57.832,57.294,131.994,123.498,29.273,138.142,111.174,270.375,55.359,61.213,34.767,80.730,141.629,19.364,89.649,137.201,226.588,64.734,49.759,50.375,69.628,63.368,134.968,58.686,56.749,46.500,125.571,112.370,73.189,115.115,119.418,40.074,126.197,123.588,52.048,80.588,84.043,93.575,101.861,119.519
3,79.355,92.217,95.863,19.167,75.537,73.472,584.577,86.527,101.597,707.067,86.569,94.868,250.111,107.292,97.979,102.769,105.485,103.095,56.857,125.315,119.361,164.167,103.023,93.530,187.864,100.408,103.360,280.429,126.974,106.610,87.095,55.571,66.704,65.692,132.115,104.526,44.387,36.621,58.521,55.176,132.300,123.478,64.773,138.108,111.409,320.750,55.366,61.031,74.133,80.742,141.747,54.000,89.999,137.278,253.059,64.727,49.723,67.938,69.618,63.611,171.226,58.831,56.655,51.778,125.413,112.320,97.189,115.192,119.378,72.000,126.249,123.364,98.810,80.748,83.914,87.125,101.974,119.322
4,46.516,92.222,96.166,12.500,75.792,72.324,624.227,86.471,101.688,672.233,86.640,94.991,143.556,107.157,97.959,108.231,105.212,103.040,86.343,125.268,119.333,177.917,103.083,93.572,136.545,100.395,103.070,248.429,126.901,106.540,154.095,55.678,66.841,22.385,132.782,104.868,26.516,36.663,58.223,61.882,132.168,123.438,29.000,137.556,111.258,400.688,55.212,61.099,27.133,80.750,141.331,53.682,89.926,137.011,108.059,64.636,49.744,83.094,69.687,63.631,150.968,58.630,56.477,33.389,125.474,112.224,103.946,115.133,119.427,67.333,126.334,123.753,87.143,80.730,84.137,99.475,101.756,119.368
5,38.903,92.100,95.736,18.500,75.447,72.658,596.392,86.486,101.655,670.833,86.679,94.945,69.111,107.258,98.197,133.000,105.430,103.194,60.857,125.422,119.336,156.583,103.130,93.331,144.500,100.322,103.251,275.600,127.014,106.742,92.500,55.702,67.023,54.154,132.268,104.570,59.613,36.626,58.489,67.941,132.142,123.420,52.273,137.792,111.212,294.188,55.320,61.232,92.900,80.506,141.712,32.318,89.907,137.339,253.059,64.837,49.710,36.469,69.724,63.641,89.871,58.704,56.727,40.111,125.408,112.143,82.054,115.199,119.328,71.741,126.228,124.072,54.286,80.343,84.070,66.200,101.658,119.365
6,138.903,92.230,95.797,16.933,75.252,73.382,610.495,86.520,101.646,649.100,86.618,94.945,66.500,106.989,97.745,186.769,105.407,103.166,82.514,125.345,119.103,189.528,102.902,93.459,118.227,100.306,103.261,264.914,126.958,106.727,79.071,55.629,66.919,16.077,132.663,104.661,52.065,36.434,58.627,39.588,132.164,123.800,19.000,137.672,111.105,420.188,55.381,61.188,42.600,80.361,141.570,35.455,89.576,137.269,153.765,64.613,49.795,81.938,69.768,63.797,150.323,58.682,56.495,12.056,125.786,112.602,58.595,114.874,119.330,35.444,126.330,124.360,56.143,80.418,84.056,79.625,101.930,119.372
7,115.161,92.166,96.108,21.267,75.048,72.356,585.938,86.585,101.659,720.067,86.635,94.900,83.833,106.994,97.865,138.615,105.440,103.163,64.971,125.524,119.141,157.028,103.020,93.265,245.000,100.209,103.052,237.343,127.053,106.693,115.381,55.575,67.100,11.846,132.612,104.961,44.516,36.578,58.364,42.294,132.050,123.682,36.909,137.665,111.574,331.812,55.229,61.227,60.333,80.367,141.509,32.682,89.995,137.539,229.471,64.827,49.811,63.844,69.654,63.664,168.065,58.677,56.480,48.778,125.294,112.466,120.378,115.178,119.536,63.259,126.244,124.195,68.619,80.541,84.164,69.625,101.756,119.313
8,118.323,92.041,96.020,22.500,75.125,72.963,596.907,86.502,101.701,686.200,86.778,94.978,82.833,107.155,97.846,98.154,105.448,103.381,70.543,125.387,119.419,209.889,102.949,93.528,104.318,100.429,103.118,207.914,126.835,106.678,87.333,55.441,66.848,19.769,132.250,104.706,54.581,36.819,58.424,56.941,132.097,123.257,48.409,137.659,111.851,367.562,55.214,61.077,79.733,80.539,141.581,30.136,89.647,137.658,190.412,64.824,49.661,41.969,69.501,63.734,244.000,58.623,56.462,55.111,125.903,112.239,112.054,115.142,119.418,63.185,126.400,123.546,60.952,80.296,84.017,72.625,101.681,119.073
9,90.581,92.249,95.984,27.133,75.433,72.776,584.082,86.621,101.569,533.567,86.575,94.936,71.944,107.153,97.931,46.000,105.621,103.106,74.571,125.191,119.432,209.417,102.918,93.317,113.136,100.297,103.199,297.800,127.036,106.623,97.405,55.693,66.926,27.077,132.607,104.607,87.871,36.794,58.306,48.765,132.037,123.406,48.182,137.638,111.255,373.688,55.293,61.023,66.400,80.646,141.718,43.864,89.897,136.853,181.471,64.793,49.709,39.938,70.009,63.650,145.742,58.730,56.851,59.500,125.356,111.991,86.324,115.222,119.383,67.333,126.275,123.812,72.857,80.365,84.103,77.850,102.099,119.415
10,75.548,92.140,96.070,28.800,75.795,72.825,605.134,86.534,101.661,498.467,86.677,94.886,72.000,107.021,97.851,61.154,105.348,103.269,78.171,125.363,119.550,166.056,103.065,93.732,152.455,100.292,103.143,282.600,126.984,106.671,84.071,55.622,66.963,25.308,132.464,104.647,36.129,36.400,58.912,47.000,131.998,123.545,58.909,138.025,111.497,432.812,55.338,60.936,40.333,80.536,141.999,63.818,89.732,136.885,197.412,64.796,49.598,76.688,69.932,63.729,147.032,58.743,56.697,24.722,125.695,112.346,82.378,115.305,119.490,41.407,126.397,123.698,89.000,80.666,84.119,71.225,102.024,118.948
