 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22
1,61.898,126.087,130.907,59.050,123.178,137.093,807.259,119.707,90.469,283.013,171.163,64.205,222.048,154.222,141.604,103.770,122.425,74.474,201.362,119.192,148.579,583.742,169.632,55.802,234.560,163.749,60.836,72.714,122.115,125.235,69.233,147.938,142.295,72.059,113.789,129.176,275.500,139.223,137.251,267.444,135.765,126.167,1015.784,143.362,133.500,586.182,144.296,126.812,343.143,150.199,124.436,328.857,153.992,130.127,212.562,140.031,148.270,115.571,137.843,154.623,60.250,90.157,178.449,89.625,118.760,133.035
2,47.327,126.144,131.247,49.800,123.373,136.561,885.667,119.657,90.475,259.570,171.180,64.273,160.238,154.292,141.628,94.033,122.708,74.522,251.574,119.131,148.453,415.032,169.617,55.874,224.560,163.881,61.007,72.381,122.131,124.958,86.333,147.943,142.258,54.176,113.579,129.162,263.333,139.247,137.513,283.667,135.716,125.975,915.027,143.402,133.405,713.955,144.390,126.742,278.400,150.130,124.490,239.524,154.088,129.977,95.062,140.086,148.322,86.476,137.815,154.787,38.542,90.310,178.440,84.062,118.776,133.012
3,46.286,126.147,131.451,67.225,123.193,136.925,795.296,119.665,90.454,186.405,171.263,64.246,178.762,154.306,141.544,52.754,122.595,74.990,184.298,119.161,148.453,386.581,169.717,55.829,165.093,163.744,61.360,62.476,121.854,125.191,47.200,147.900,142.300,132.471,113.450,129.250,368.944,139.215,137.294,321.778,135.853,126.082,918.973,143.427,133.485,643.045,144.382,126.838,352.771,150.198,124.595,234.286,154.099,130.243,155.938,140.046,148.230,84.810,137.488,154.836,36.333,90.274,178.454,93.938,118.797,132.931
4,63.653,126.020,131.137,40.950,123.106,136.975,879.074,119.610,90.377,288.203,171.280,64.292,206.381,154.183,141.563,60.918,122.508,74.681,221.489,119.209,148.391,569.677,169.671,55.758,154.667,163.945,61.019,87.476,122.022,125.050,82.700,148.006,142.323,62.353,113.816,129.424,300.389,139.168,137.348,305.556,135.801,126.138,978.811,143.354,133.490,539.045,144.282,126.796,356.971,150.138,124.430,319.000,154.014,130.154,205.375,140.022,148.263,106.857,137.838,154.540,33.625,89.785,178.542,59.531,118.464,132.853
5,57.898,125.903,130.791,53.625,123.174,136.900,819.074,119.684,90.487,246.709,171.143,64.170,213.524,154.237,141.715,88.328,122.506,74.401,187.106,119.280,148.600,478.710,169.681,55.865,181.467,163.768,61.131,104.238,121.864,125.282,88.700,148.176,142.493,29.294,113.498,129.310,391.500,139.152,137.397,263.222,135.826,126.066,855.892,143.396,133.383,650.727,144.404,126.712,278.114,150.055,124.569,270.000,154.071,130.230,178.250,140.080,148.195,67.810,137.852,154.736,52.167,89.543,178.547,48.625,118.739,133.292
6,58.469,125.835,131.228,49.000,123.172,136.921,848.556,119.615,90.460,265.241,171.309,64.339,129.571,154.239,141.680,103.672,122.498,74.341,211.787,119.218,148.561,414.065,169.581,55.865,237.227,163.848,61.302,82.667,121.925,125.158,113.033,147.929,142.398,75.824,113.334,129.096,419.833,139.289,137.431,291.833,135.815,126.011,765.081,143.390,133.431,607.909,144.320,126.830,293.114,150.164,124.478,217.619,154.003,130.172,105.438,139.937,148.022,108.524,137.705,154.663,42.583,90.467,178.393,60.188,118.913,132.783
7,45.796,125.835,131.237,47.425,123.362,136.601,743.333,119.722,90.519,238.177,171.136,64.349,180.048,154.255,141.886,106.131,122.663,74.610,172.511,119.133,148.512,442.774,169.686,55.885,192.667,163.780,61.156,74.810,121.960,125.256,81.967,147.617,142.138,98.941,113.350,129.119,259.000,139.112,137.425,282.111,135.791,126.050,920.054,143.344,133.395,567.773,144.346,126.812,291.171,150.218,124.442,243.667,154.095,130.139,236.875,139.973,147.793,93.810,137.879,154.385,47.625,90.000,178.279,65.875,118.645,133.175
8,81.082,125.974,130.842,89.050,123.480,137.183,816.741,119.640,90.450,265.899,171.327,64.327,134.571,154.326,141.519,116.721,122.517,74.501,290.128,119.154,148.544,270.710,169.584,55.797,180.933,163.871,60.969,85.714,121.817,125.270,67.500,148.078,142.196,44.529,113.573,129.400,249.889,139.124,137.296,307.056,135.856,125.882,942.378,143.360,133.483,716.682,144.310,126.840,284.029,150.186,124.479,266.238,153.968,130.138,130.750,139.991,148.145,81.048,137.808,154.580,28.042,90.140,178.320,82.156,118.850,132.912
9,52.531,125.963,131.396,54.425,123.340,136.603,799.222,119.648,90.448,241.291,171.317,64.425,190.905,154.287,141.630,85.344,122.435,74.728,168.809,119.140,148.622,439.806,169.712,55.858,174.027,163.843,60.987,85.095,121.856,125.248,87.667,147.953,142.243,65.059,113.561,129.156,308.778,139.234,137.449,277.667,135.845,126.133,1030.865,143.435,133.420,545.318,144.336,126.807,293.029,150.181,124.639,260.524,153.998,130.001,196.250,139.827,148.396,108.429,137.798,154.658,48.083,90.178,178.376,66.469,118.850,132.847
10,36.265,125.988,131.440,40.900,123.207,136.936,812.704,119.562,90.439,309.772,171.261,64.165,153.952,154.208,141.748,87.213,122.333,74.669,198.936,119.181,148.602,472.710,169.708,55.885,175.093,163.832,60.999,93.857,121.866,125.240,75.667,147.958,142.295,75.000,113.712,129.336,354.333,139.300,137.374,350.278,135.748,126.011,984.649,143.319,133.460,488.318,144.250,126.843,246.200,150.187,124.471,254.762,154.023,130.307,168.938,139.997,147.814,52.476,138.071,154.588,37.167,90.058,178.552,48.750,118.639,132.851
11,54.551,126.100,131.325,64.725,123.149,136.594,755.815,119.609,90.517,269.367,171.233,64.277,135.524,154.330,141.801,73.770,122.626,74.721,203.319,119.187,148.526,401.935,169.646,55.805,191.307,163.917,61.310,122.286,121.858,125.262,87.167,147.928,142.029,51.941,113.406,129.160,354.889,139.287,137.551,301.278,135.787,126.096,905.730,143.463,133.420,706.545,144.443,126.766,262.171,150.245,124.477,239.286,154.062,130.036,175.188,139.932,148.091,80.238,137.698,154.510,39.000,90.167,178.594,63.969,118.754,133.053
12,32.184,126.115,130.713,58.125,123.407,136.747,766.482,119.565,90.434,201.823,171.203,64.287,208.429,154.178,141.694,70.328,122.626,74.786,270.298,119.221,148.620,432.839,169.631,55.732,189.173,163.826,61.125,95.476,122.039,125.291,76.333,148.077,142.281,83.941,113.626,128.979,301.222,139.225,137.502,247.167,135.783,126.099,927.189,143.360,133.403,693.455,144.272,126.808,313.143,150.095,124.662,222.095,153.991,130.187,249.188,139.978,147.988,60.667,137.546,154.640,48.542,90.264,178.589,52.125,118.810,132.842
13,48.408,126.079,131.490,59.600,123.361,136.807,748.259,119.578,90.436,278.962,171.310,64.189,150.048,154.276,141.629,63.705,122.592,74.658,175.447,119.088,148.517,498.645,169.674,55.899,166.160,163.963,61.252,66.095,121.843,125.276,73.733,147.748,142.197,49.647,113.690,129.162,299.556,139.228,137.293,306.667,135.947,126.130,896.595,143.395,133.463,600.955,144.286,126.677,279.486,150.183,124.495,244.619,154.091,130.301,157.312,140.066,148.007,43.238,137.839,154.353,40.708,89.782,178.585,51.500,118.863,133.162
14,47.286,126.367,131.482,82.075,123.557,136.968,785.704,119.651,90.459,241.266,171.324,64.115,127.762,154.137,141.598,122.951,122.641,74.473,128.000,119.313,148.583,335.419,169.645,55.819,209.413,163.843,61.062,101.238,122.121,125.012,91.667,147.782,142.017,40.353,113.519,129.434,383.944,139.221,137.319,275.444,135.780,126.124,887.081,143.436,133.479,683.455,144.298,126.828,283.743,150.125,124.396,248.048,154.048,129.894,139.125,139.915,148.225,26.000,137.871,154.688,24.792,90.074,178.648,51.781,118.881,133.198
15,67.633,126.083,131.449,77.200,123.216,137.042,655.407,119.582,90.417,225.570,171.212,64.258,137.667,154.259,141.566,81.639,122.725,74.682,144.894,119.131,148.559,485.935,169.670,55.781,199.733,163.853,61.225,54.571,122.155,125.172,85.967,147.756,141.916,52.529,113.474,129.086,296.111,139.210,137.492,265.278,135.860,125.937,806.000,143.373,133.446,657.091,144.254,126.738,295.057,150.175,124.451,234.286,154.104,130.090,199.000,140.092,147.968,64.048,138.150,154.541,32.833,89.752,178.330,62.938,118.835,132.765
16,55.571,126.231,130.887,43.525,123.177,136.976,578.667,119.634,90.386,259.519,171.330,64.223,194.952,154.367,141.578,85.508,122.522,74.699,195.957,119.101,148.389,399.226,169.642,55.721,164.427,163.903,61.092,67.857,121.922,125.365,72.800,147.833,142.041,39.882,113.802,128.971,271.778,139.174,137.291,292.444,135.774,125.904,867.135,143.380,133.450,716.091,144.367,126.797,314.629,150.102,124.531,288.333,153.965,130.135,191.875,140.158,148.035,73.143,137.708,154.787,29.292,90.151,178.426,70.625,118.895,133.258
17,75.041,125.945,131.101,43.750,123.133,136.768,686.482,119.671,90.500,250.582,171.203,64.199,168.238,154.270,141.874,83.344,122.476,74.627,191.915,119.102,148.608,427.290,169.703,55.924,221.413,163.769,61.231,80.524,121.943,125.114,93.433,147.952,142.249,51.176,113.751,129.413,267.556,139.150,137.401,294.278,135.880,126.055,880.649,143.363,133.438,589.636,144.288,126.791,302.600,150.278,124.497,224.714,154.172,130.079,157.562,139.904,148.001,114.952,137.349,154.779,38.500,90.045,178.293,55.406,118.925,133.197
18,66.694,126.100,131.156,55.700,123.480,136.545,693.852,119.615,90.510,210.481,171.194,64.328,156.714,154.244,141.711,81.475,122.675,74.644,200.851,119.268,148.506,349.935,169.651,55.918,211.920,163.925,61.049,84.952,122.325,125.228,99.100,147.630,142.067,75.706,113.696,129.203,293.167,139.165,137.360,370.778,135.762,126.042,895.892,143.394,133.475,639.500,144.312,126.699,307.229,150.130,124.382,269.762,154.060,130.089,143.938,140.005,148.060,101.571,137.868,154.884,55.333,90.062,178.677,68.406,118.792,132.755
